release_hour,count,historical_dh_seconds_min,historical_dh_seconds_mean,historical_dh_seconds_median,historical_dh_seconds_p95,historical_dh_seconds_p99,historical_dh_seconds_max,current_dh_seconds_min,current_dh_seconds_mean,current_dh_seconds_median,current_dh_seconds_p95,current_dh_seconds_p99,current_dh_seconds_max,v5_seconds_min,v5_seconds_mean,v5_seconds_median,v5_seconds_p95,v5_seconds_p99,v5_seconds_max,v5_minus_historical_min,v5_minus_historical_mean,v5_minus_historical_median,v5_minus_historical_p95,v5_minus_historical_p99,v5_minus_historical_max,v5_minus_control_min,v5_minus_control_mean,v5_minus_control_median,v5_minus_control_p95,v5_minus_control_p99,v5_minus_control_max,v5_source_wait_min,v5_source_wait_mean,v5_source_wait_median,v5_source_wait_p95,v5_source_wait_p99,v5_source_wait_max,current_source_wait_seconds_min,current_source_wait_seconds_mean,current_source_wait_seconds_median,current_source_wait_seconds_p95,current_source_wait_seconds_p99,current_source_wait_seconds_max,source_wait_delta_min,source_wait_delta_mean,source_wait_delta_median,source_wait_delta_p95,source_wait_delta_p99,source_wait_delta_max,after_admission_delta_min,after_admission_delta_mean,after_admission_delta_median,after_admission_delta_p95,after_admission_delta_p99,after_admission_delta_max,v5_above_historical_od_p95_count,v5_minus_historical_total_seconds,v5_minus_control_total_seconds,positive_v5_minus_historical_seconds
12,2261,60.200000000,178.314904909,202.100000000,280.300000000,316.420000000,464.900000000,59.600000000,162.172047766,201.200000000,239.800000000,256.000000000,273.800000000,59.600000000,175.281556833,206.200000000,276.000000000,293.480000000,309.200000000,-225.300000000,-3.033348076,-0.600000000,34.200000000,52.140000000,69.000000000,-18.000000000,13.109509067,7.600000000,45.400000000,57.360000000,67.400000000,2.000000000,4.275187970,2.000000000,18.200000000,48.280000000,52.000000000,2.000000000,2.629367536,2.000000000,5.800000000,19.680000000,25.200000000,0.000000000,1.645820433,0.000000000,10.800000000,29.760000000,38.800000000,-18.000000000,11.463688633,3.600000000,45.400000000,57.360000000,67.400000000,211,-6858.400000000,29640.600000000,15754.000000000
13,2087,60.200000000,167.061954959,163.500000000,276.170000000,317.314000000,440.200000000,59.600000000,149.404599904,161.600000000,229.100000000,245.656000000,262.400000000,59.600000000,159.739722089,176.800000000,247.140000000,274.912000000,294.600000000,-187.200000000,-7.322232870,-0.600000000,22.040000000,33.828000000,51.700000000,-21.600000000,10.335122185,7.000000000,33.340000000,43.228000000,47.200000000,2.000000000,2.986583613,2.000000000,9.600000000,11.200000000,15.800000000,2.000000000,2.040057499,2.000000000,2.000000000,3.628000000,4.800000000,0.000000000,0.946526114,0.000000000,7.200000000,9.000000000,11.200000000,-21.600000000,9.388596071,5.200000000,33.340000000,43.228000000,47.200000000,200,-15281.500000000,21569.400000000,11216.500000000
14,2288,60.200000000,171.118050699,163.850000000,278.465000000,314.349000000,379.300000000,59.600000000,154.816608392,160.000000000,237.600000000,250.826000000,263.400000000,59.600000000,166.130769231,178.400000000,264.460000000,288.400000000,302.800000000,-136.500000000,-4.987281469,-0.600000000,30.700000000,43.500000000,61.300000000,-15.400000000,11.314160839,3.600000000,41.130000000,50.400000000,62.000000000,2.000000000,2.544667832,2.000000000,7.400000000,12.026000000,14.400000000,2.000000000,2.022727273,2.000000000,2.000000000,3.000000000,5.200000000,0.000000000,0.521940559,0.000000000,4.930000000,10.000000000,12.400000000,-15.400000000,10.792220280,3.400000000,41.130000000,50.400000000,62.000000000,147,-11410.900000000,25886.800000000,11990.400000000
15,2091,60.200000000,169.605691057,199.000000000,269.300000000,318.090000000,380.000000000,59.600000000,152.830033477,198.400000000,231.700000000,247.220000000,267.200000000,59.600000000,161.961836442,199.200000000,254.100000000,276.620000000,305.800000000,-177.000000000,-7.643854615,-0.700000000,22.550000000,43.020000000,59.700000000,-18.400000000,9.131802965,3.000000000,37.000000000,48.640000000,57.200000000,2.000000000,2.542515543,2.000000000,6.400000000,13.460000000,30.000000000,2.000000000,2.106838833,2.000000000,2.000000000,5.620000000,13.200000000,0.000000000,0.435676710,0.000000000,4.100000000,9.020000000,16.800000000,-18.400000000,8.696126255,3.000000000,37.000000000,48.640000000,57.200000000,88,-15983.300000000,19094.600000000,8728.900000000
16,2409,60.200000000,160.209796596,160.300000000,259.980000000,303.468000000,397.700000000,59.600000000,144.894562059,158.200000000,224.120000000,240.136000000,266.200000000,59.600000000,154.579742632,167.200000000,242.720000000,267.456000000,301.200000000,-178.700000000,-5.630053964,-0.700000000,28.500000000,40.000000000,55.400000000,-6.800000000,9.685180573,3.000000000,37.400000000,45.568000000,48.800000000,2.000000000,2.840846824,2.000000000,8.800000000,21.584000000,25.800000000,2.000000000,2.018347862,2.000000000,2.000000000,2.400000000,5.400000000,0.000000000,0.822498962,0.000000000,6.600000000,19.584000000,23.800000000,-6.800000000,8.862681611,3.000000000,36.000000000,45.568000000,48.800000000,142,-13562.800000000,23331.600000000,12051.000000000
17,2539,60.200000000,169.642300118,170.200000000,277.510000000,318.800000000,415.600000000,59.600000000,154.479873966,164.200000000,233.220000000,245.800000000,274.000000000,59.600000000,162.655376132,186.000000000,250.020000000,272.524000000,309.000000000,-179.500000000,-6.986923986,-0.600000000,22.700000000,34.354000000,67.800000000,-16.400000000,8.175502166,2.400000000,30.000000000,41.724000000,51.400000000,2.000000000,2.489641591,2.000000000,7.000000000,11.600000000,17.600000000,2.000000000,2.019377708,2.000000000,2.000000000,2.000000000,6.200000000,0.000000000,0.470263883,0.000000000,4.820000000,9.400000000,11.400000000,-16.400000000,7.705238283,2.400000000,28.620000000,41.724000000,51.400000000,122,-17739.800000000,20757.600000000,10590.700000000
18,2672,60.200000000,172.780314371,170.800000000,290.845000000,329.119000000,434.600000000,59.600000000,152.270359281,164.800000000,233.380000000,253.858000000,270.400000000,59.600000000,165.156437126,193.000000000,259.400000000,294.716000000,316.000000000,-207.600000000,-7.623877246,-1.000000000,39.745000000,60.187000000,70.000000000,-15.400000000,12.886077844,4.800000000,51.090000000,61.058000000,71.200000000,2.000000000,2.731362275,2.000000000,6.800000000,21.400000000,23.800000000,2.000000000,2.024176647,2.000000000,2.000000000,2.058000000,8.000000000,0.000000000,0.707185629,0.000000000,4.800000000,19.400000000,21.800000000,-15.400000000,12.178892216,4.400000000,47.890000000,56.858000000,66.200000000,210,-20371.000000000,34431.600000000,18560.900000000
19,2545,60.200000000,181.968212181,201.700000000,270.800000000,313.348000000,418.900000000,59.600000000,168.194577603,198.800000000,232.000000000,238.000000000,245.000000000,59.600000000,172.977131631,204.200000000,233.600000000,241.512000000,255.800000000,-198.700000000,-8.991080550,-1.100000000,19.880000000,27.256000000,34.700000000,-6.800000000,4.782554028,1.000000000,21.200000000,30.000000000,35.000000000,2.000000000,2.377996071,2.000000000,5.000000000,12.000000000,13.600000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.377996071,0.000000000,3.000000000,10.000000000,11.600000000,-6.800000000,4.404557957,1.000000000,18.200000000,26.136000000,34.200000000,244,-22882.300000001,12171.599999999,8437.900000000
20,1833,60.200000000,178.113802510,199.000000000,267.380000000,309.912000000,389.700000000,59.600000000,164.376759411,173.800000000,224.880000000,237.000000000,244.400000000,59.600000000,170.249427169,200.200000000,232.400000000,243.536000000,259.600000000,-174.500000000,-7.864375341,-1.200000000,26.700000000,34.300000000,42.300000000,-11.200000000,5.872667758,1.400000000,26.800000000,36.136000000,42.000000000,2.000000000,3.448663393,2.000000000,12.600000000,17.000000000,19.800000000,2.000000000,2.068412439,2.000000000,2.000000000,4.536000000,8.600000000,0.000000000,1.380250955,0.000000000,10.000000000,14.600000000,16.400000000,-11.200000000,4.492416803,1.400000000,19.000000000,25.072000000,30.200000000,259,-14415.400000000,10764.600000000,8030.700000000
21,1200,60.300000000,188.585416667,201.200000000,266.915000000,309.421000000,367.700000000,59.600000000,176.683333333,198.800000000,228.440000000,237.810000000,244.600000000,59.600000000,181.693166667,206.200000000,232.410000000,243.804000000,251.400000000,-145.500000000,-6.892250000,-0.700000000,21.530000000,27.700000000,30.100000000,-14.200000000,5.009833333,1.600000000,18.810000000,27.400000000,31.000000000,2.000000000,2.904166667,2.000000000,9.010000000,11.400000000,19.200000000,2.000000000,2.069166667,2.000000000,2.000000000,4.404000000,8.800000000,0.000000000,0.835000000,0.000000000,6.810000000,8.802000000,10.400000000,-14.200000000,4.174833333,1.600000000,15.400000000,22.002000000,22.800000000,142,-8270.700000000,6011.800000000,4902.000000000
22,294,61.500000000,184.880952381,167.200000000,254.700000000,283.729000000,331.400000000,60.800000000,178.095918367,165.100000000,222.000000000,225.284000000,226.800000000,60.800000000,184.345578231,176.300000000,222.000000000,225.284000000,228.400000000,-109.200000000,-0.535374150,1.650000000,17.900000000,19.314000000,20.500000000,-15.800000000,6.249659864,5.600000000,15.800000000,16.400000000,16.600000000,2.000000000,4.897278912,2.000000000,10.600000000,11.200000000,11.200000000,2.000000000,2.238775510,2.000000000,4.000000000,4.800000000,4.800000000,0.000000000,2.658503401,0.000000000,7.800000000,8.200000000,8.200000000,-15.800000000,3.591156463,3.600000000,10.800000000,12.456000000,14.200000000,86,-157.400000000,1837.400000000,1591.400000000
