start,goal,count,historical_dh_seconds_min,historical_dh_seconds_mean,historical_dh_seconds_median,historical_dh_seconds_p95,historical_dh_seconds_p99,historical_dh_seconds_max,current_dh_seconds_min,current_dh_seconds_mean,current_dh_seconds_median,current_dh_seconds_p95,current_dh_seconds_p99,current_dh_seconds_max,v5_seconds_min,v5_seconds_mean,v5_seconds_median,v5_seconds_p95,v5_seconds_p99,v5_seconds_max,v5_minus_historical_min,v5_minus_historical_mean,v5_minus_historical_median,v5_minus_historical_p95,v5_minus_historical_p99,v5_minus_historical_max,v5_minus_control_min,v5_minus_control_mean,v5_minus_control_median,v5_minus_control_p95,v5_minus_control_p99,v5_minus_control_max,v5_source_wait_min,v5_source_wait_mean,v5_source_wait_median,v5_source_wait_p95,v5_source_wait_p99,v5_source_wait_max,current_source_wait_seconds_min,current_source_wait_seconds_mean,current_source_wait_seconds_median,current_source_wait_seconds_p95,current_source_wait_seconds_p99,current_source_wait_seconds_max,source_wait_delta_min,source_wait_delta_mean,source_wait_delta_median,source_wait_delta_p95,source_wait_delta_p99,source_wait_delta_max,after_admission_delta_min,after_admission_delta_mean,after_admission_delta_median,after_admission_delta_p95,after_admission_delta_p99,after_admission_delta_max,v5_above_historical_od_p95_count,v5_minus_historical_total_seconds,v5_minus_control_total_seconds,positive_v5_minus_historical_seconds
3,48,894,237.400000000,269.121364653,264.000000000,326.685000000,377.254000000,442.200000000,236.600000000,244.591275168,240.200000000,265.550000000,281.028000000,293.800000000,236.600000000,341.963087248,269.200000000,725.170000000,758.076000000,775.600000000,-171.000000000,72.841722595,4.600000000,447.870000000,496.421000000,526.500000000,-3.000000000,97.371812081,24.800000000,477.890000000,514.996000000,533.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-3.000000000,97.371812081,24.800000000,477.890000000,514.996000000,533.400000000,221,65120.500000000,87050.400000000,74139.600000000
3,49,1661,218.900000000,252.298314269,243.300000000,321.400000000,367.340000000,480.400000000,217.600000000,222.348585190,219.800000000,233.800000000,247.480000000,266.400000000,217.600000000,260.363636364,225.800000000,538.000000000,726.960000000,753.400000000,-248.800000000,8.065322095,-7.400000000,272.900000000,475.380000000,513.700000000,-30.000000000,38.015051174,4.000000000,310.800000000,503.800000000,529.600000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-30.000000000,38.015051174,4.000000000,310.800000000,503.800000000,529.600000000,136,13396.500000001,63143.000000001,49790.200000000
4,47,2234,61.100000000,86.608504924,83.500000000,128.870000000,176.568000000,242.000000000,60.400000000,66.813786929,62.400000000,85.000000000,102.400000000,121.200000000,60.400000000,116.874395703,81.400000000,411.780000000,567.402000000,597.400000000,-164.700000000,30.265890779,-0.700000000,309.940000000,477.867000000,520.500000000,-2.200000000,50.060608774,14.000000000,343.030000000,500.470000000,532.800000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.200000000,50.060608774,14.000000000,343.030000000,500.470000000,532.800000000,349,67614.000000000,111835.400000000,90500.200000000
4,48,917,232.700000000,261.422573610,257.600000000,310.240000000,342.044000000,381.300000000,232.000000000,238.926063250,234.200000000,259.880000000,270.104000000,287.800000000,232.000000000,330.643620502,262.400000000,712.480000000,752.976000000,769.200000000,-138.100000000,69.221046892,4.900000000,445.080000000,499.380000000,520.700000000,-1.000000000,91.717557252,24.000000000,476.280000000,511.104000000,527.800000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.000000000,91.717557252,24.000000000,476.280000000,511.104000000,527.800000000,219,63475.700000000,84105.000000000,71393.900000000
4,49,1736,214.200000000,245.280587558,240.200000000,305.075000000,342.200000000,464.900000000,213.000000000,217.328801843,215.000000000,226.850000000,239.730000000,263.800000000,213.000000000,258.177419355,221.200000000,560.450000000,721.390000000,750.800000000,-225.300000000,12.896831797,-6.400000000,305.625000000,479.485000000,519.400000000,-39.400000000,40.848617512,4.200000000,342.600000000,503.200000000,527.200000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-39.400000000,40.848617512,4.200000000,342.600000000,503.200000000,527.200000000,155,22388.900000000,70913.200000000,57200.900000000
5,47,2274,60.200000000,89.992216359,88.200000000,130.835000000,166.375000000,276.300000000,59.600000000,66.225153914,61.600000000,85.000000000,99.762000000,115.600000000,59.600000000,117.643447669,79.800000000,433.190000000,569.254000000,600.600000000,-139.300000000,27.651231310,-2.050000000,320.495000000,488.708000000,521.300000000,-1.000000000,51.418293755,13.400000000,350.030000000,502.924000000,528.600000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.000000000,51.418293755,13.400000000,350.030000000,502.924000000,528.600000000,331,62878.900000000,116925.200000000,93221.800000000
5,48,898,231.800000000,266.187750557,262.800000000,312.330000000,351.736000000,440.200000000,231.200000000,238.628285078,234.200000000,258.830000000,277.406000000,291.600000000,231.200000000,329.793318486,261.600000000,712.690000000,749.580000000,768.800000000,-177.800000000,63.605567929,1.900000000,443.605000000,490.015000000,510.600000000,-2.000000000,91.165033408,23.100000000,475.230000000,510.442000000,528.200000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.000000000,91.165033408,23.100000000,475.230000000,510.442000000,528.200000000,219,57117.800000000,81866.200000000,67666.100000000
5,49,1714,213.300000000,249.101983664,244.700000000,307.970000000,340.048000000,416.400000000,212.200000000,215.162310385,215.200000000,220.000000000,226.174000000,250.800000000,212.200000000,228.921120187,215.200000000,256.000000000,690.592000000,746.600000000,-203.200000000,-20.180863477,-27.500000000,11.175000000,436.474000000,515.500000000,-34.200000000,13.758809802,0.400000000,39.600000000,475.314000000,531.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-34.200000000,13.758809802,0.400000000,39.600000000,475.314000000,531.400000000,49,-34590.000000001,23582.599999999,18554.700000000
52,48,3490,206.500000000,212.605386819,208.700000000,234.600000000,262.600000000,362.600000000,206.200000000,208.840229226,206.400000000,222.200000000,232.400000000,236.600000000,206.200000000,213.280286533,207.000000000,248.200000000,264.200000000,267.000000000,-156.400000000,0.674899713,-0.400000000,27.610000000,51.411000000,57.300000000,-1.200000000,4.440057307,0.400000000,30.220000000,45.200000000,49.800000000,2.000000000,5.770945559,2.000000000,29.910000000,49.200000000,52.000000000,2.000000000,2.898796562,2.000000000,8.110000000,21.000000000,25.200000000,0.000000000,2.872148997,0.000000000,20.400000000,34.800000000,41.200000000,-1.200000000,1.567908309,0.400000000,5.800000000,14.200000000,14.800000000,344,2355.399999998,15495.799999998,12914.700000000
52,49,6996,157.900000000,162.741209262,160.400000000,173.400000000,191.930000000,233.000000000,157.400000000,160.057975986,158.400000000,167.600000000,170.800000000,174.800000000,157.400000000,172.128673528,170.400000000,194.400000000,210.410000000,229.400000000,-74.600000000,9.387464265,7.500000000,33.300000000,48.710000000,67.900000000,-3.000000000,12.070697541,9.600000000,35.200000000,51.000000000,71.200000000,2.000000000,4.430846198,2.000000000,13.600000000,21.400000000,26.200000000,2.000000000,2.069782733,2.000000000,2.000000000,4.200000000,6.600000000,0.000000000,2.361063465,0.000000000,11.400000000,19.400000000,24.200000000,-3.000000000,9.709634077,7.600000000,28.200000000,36.400000000,51.000000000,2944,65674.700000000,84446.600000000,75295.400000000
52,50,4611,199.000000000,210.531012795,201.800000000,258.550000000,309.930000000,387.300000000,198.400000000,200.153415745,199.000000000,206.600000000,210.180000000,215.200000000,198.400000000,210.233181522,206.600000000,235.600000000,250.600000000,270.200000000,-188.900000000,-0.297831273,1.800000000,31.800000000,43.200000000,70.000000000,-4.200000000,10.079765777,6.200000000,35.200000000,49.580000000,70.400000000,2.000000000,4.043895034,2.000000000,12.000000000,22.000000000,27.000000000,2.000000000,2.056170028,2.000000000,2.000000000,4.200000000,6.200000000,0.000000000,1.987725005,0.000000000,10.000000000,20.000000000,25.000000000,-4.200000000,8.092040772,4.800000000,28.200000000,35.400000000,49.800000000,15,-1373.300000000,46477.800000000,36633.100000000
53,47,3777,61.400000000,71.582525814,61.500000000,113.720000000,151.620000000,249.200000000,60.800000000,62.986444268,60.800000000,76.400000000,91.544000000,114.000000000,60.800000000,114.747842203,60.800000000,472.280000000,571.800000000,597.600000000,-97.400000000,43.165316389,-0.600000000,391.020000000,498.248000000,530.200000000,-2.600000000,51.761397935,0.000000000,409.880000000,507.096000000,532.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.600000000,51.761397935,0.000000000,409.880000000,507.096000000,532.400000000,746,163035.400000004,195502.800000004,181837.500000000
53,48,107,233.000000000,279.429906542,274.500000000,319.180000000,359.800000000,362.300000000,232.400000000,242.164485981,239.000000000,263.740000000,276.752000000,278.000000000,232.400000000,324.495327103,251.000000000,696.320000000,740.700000000,750.000000000,-117.700000000,45.065420561,-14.700000000,402.440000000,468.732000000,477.500000000,-1.000000000,82.330841121,11.600000000,454.880000000,497.540000000,504.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.000000000,82.330841121,11.600000000,454.880000000,497.540000000,504.400000000,24,4822.000000000,8809.400000000,7201.800000000
53,49,215,214.500000000,246.447906977,238.100000000,308.560000000,335.890000000,393.700000000,206.800000000,209.681860465,207.400000000,217.860000000,219.688000000,221.800000000,206.800000000,212.578604651,207.000000000,220.720000000,287.768000000,500.000000000,-185.100000000,-33.869302326,-25.900000000,-1.100000000,-1.100000000,285.500000000,-11.600000000,2.896744186,0.000000000,3.540000000,80.296000000,293.200000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-11.600000000,2.896744186,0.000000000,3.540000000,80.296000000,293.200000000,2,-7281.900000000,622.800000000,488.900000000
53,50,155,218.200000000,235.381935484,218.600000000,307.320000000,343.752000000,359.000000000,217.800000000,218.073548387,217.800000000,219.120000000,220.660000000,221.400000000,217.800000000,218.211612903,217.800000000,219.920000000,221.400000000,222.200000000,-141.200000000,-17.170322581,-0.800000000,-0.070000000,1.268000000,1.900000000,-1.000000000,0.138064516,0.000000000,1.200000000,2.000000000,2.600000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.000000000,0.138064516,0.000000000,1.200000000,2.000000000,2.600000000,0,-2661.400000000,21.400000000,6.100000000
