release_300s_bin,count,historical_dh_seconds_min,historical_dh_seconds_mean,historical_dh_seconds_median,historical_dh_seconds_p95,historical_dh_seconds_p99,historical_dh_seconds_max,current_dh_seconds_min,current_dh_seconds_mean,current_dh_seconds_median,current_dh_seconds_p95,current_dh_seconds_p99,current_dh_seconds_max,v5_seconds_min,v5_seconds_mean,v5_seconds_median,v5_seconds_p95,v5_seconds_p99,v5_seconds_max,v5_minus_historical_min,v5_minus_historical_mean,v5_minus_historical_median,v5_minus_historical_p95,v5_minus_historical_p99,v5_minus_historical_max,v5_minus_control_min,v5_minus_control_mean,v5_minus_control_median,v5_minus_control_p95,v5_minus_control_p99,v5_minus_control_max,v5_source_wait_min,v5_source_wait_mean,v5_source_wait_median,v5_source_wait_p95,v5_source_wait_p99,v5_source_wait_max,current_source_wait_seconds_min,current_source_wait_seconds_mean,current_source_wait_seconds_median,current_source_wait_seconds_p95,current_source_wait_seconds_p99,current_source_wait_seconds_max,source_wait_delta_min,source_wait_delta_mean,source_wait_delta_median,source_wait_delta_p95,source_wait_delta_p99,source_wait_delta_max,after_admission_delta_min,after_admission_delta_mean,after_admission_delta_median,after_admission_delta_p95,after_admission_delta_p99,after_admission_delta_max,v5_above_historical_od_p95_count,v5_minus_historical_total_seconds,v5_minus_control_total_seconds,positive_v5_minus_historical_seconds
45,31,60.300000000,81.474193548,77.100000000,115.300000000,118.140000000,118.200000000,59.600000000,64.277419355,61.400000000,72.800000000,73.280000000,73.400000000,59.600000000,66.638709677,65.800000000,75.700000000,77.960000000,78.200000000,-48.000000000,-14.835483871,-8.500000000,0.100000000,0.970000000,1.300000000,-0.000000000,2.361290323,2.000000000,5.500000000,5.880000000,6.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,2.361290323,2.000000000,5.500000000,5.880000000,6.000000000,0,-459.900000000,73.200000000,1.500000000
46,5,61.100000000,61.540000000,61.500000000,62.060000000,62.172000000,62.200000000,60.400000000,60.840000000,60.800000000,61.280000000,61.376000000,61.400000000,60.400000000,60.840000000,60.800000000,61.280000000,61.376000000,61.400000000,-0.800000000,-0.700000000,-0.700000000,-0.620000000,-0.604000000,-0.600000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,0,-3.500000000,-0.000000000,0.000000000
47,39,60.300000000,87.323076923,83.000000000,115.500000000,139.376000000,150.700000000,59.600000000,65.717948718,65.000000000,73.040000000,76.564000000,77.400000000,59.600000000,68.389743590,68.000000000,78.220000000,80.880000000,82.400000000,-78.100000000,-18.933333333,-16.200000000,-0.650000000,-0.076000000,0.000000000,-0.600000000,2.671794872,1.800000000,7.480000000,9.068000000,9.600000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.600000000,2.671794872,1.800000000,7.480000000,9.068000000,9.600000000,0,-738.400000000,104.200000000,0.000000000
48,10,61.400000000,65.410000000,61.400000000,82.125000000,87.705000000,89.100000000,60.800000000,62.000000000,60.800000000,67.380000000,71.556000000,72.600000000,60.800000000,62.040000000,60.800000000,67.560000000,71.592000000,72.600000000,-27.700000000,-3.370000000,-0.600000000,-0.600000000,-0.600000000,-0.600000000,-0.000000000,0.040000000,-0.000000000,0.220000000,0.364000000,0.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.040000000,-0.000000000,0.220000000,0.364000000,0.400000000,0,-33.700000000,0.400000000,0.000000000
49,40,60.200000000,83.005000000,78.500000000,118.695000000,132.300000000,136.200000000,59.600000000,64.395000000,62.500000000,74.010000000,74.322000000,74.400000000,59.600000000,67.840000000,68.500000000,77.320000000,81.308000000,82.400000000,-60.400000000,-15.165000000,-9.700000000,1.895000000,6.149000000,6.500000000,-0.800000000,3.445000000,3.200000000,8.810000000,9.122000000,9.200000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.800000000,3.445000000,3.200000000,8.810000000,9.122000000,9.200000000,0,-606.600000000,137.800000000,13.800000000
50,16,61.100000000,62.768750000,61.400000000,69.075000000,76.935000000,78.900000000,60.400000000,61.775000000,60.800000000,66.900000000,71.460000000,72.600000000,60.400000000,61.775000000,60.800000000,66.900000000,71.460000000,72.600000000,-6.300000000,-0.993750000,-0.600000000,-0.600000000,-0.600000000,-0.600000000,-0.000000000,-0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0,-15.900000000,-0.000000000,0.000000000
51,69,60.300000000,89.855072464,91.600000000,121.660000000,152.852000000,172.300000000,59.600000000,66.255072464,65.200000000,74.840000000,78.328000000,78.600000000,59.600000000,71.579710145,72.200000000,83.600000000,87.128000000,87.400000000,-106.100000000,-18.275362319,-17.600000000,8.580000000,10.856000000,11.400000000,-0.000000000,5.324637681,5.600000000,11.520000000,12.264000000,12.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,5.324637681,5.600000000,11.520000000,12.264000000,12.400000000,0,-1261.000000000,367.400000000,59.100000000
52,39,61.100000000,63.274358974,61.400000000,70.920000000,92.014000000,93.800000000,59.600000000,61.056410256,60.800000000,61.760000000,66.860000000,68.000000000,59.600000000,61.056410256,60.800000000,61.760000000,66.860000000,68.000000000,-28.800000000,-2.217948718,-0.600000000,-0.600000000,-0.600000000,-0.600000000,-0.000000000,-0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0,-86.500000000,-0.000000000,0.000000000
53,82,60.200000000,83.710975610,83.900000000,118.285000000,131.949000000,145.800000000,59.600000000,64.087804878,62.000000000,72.790000000,74.352000000,75.000000000,59.600000000,68.109756098,67.000000000,78.780000000,83.790000000,84.600000000,-77.000000000,-15.601219512,-16.200000000,5.295000000,7.637000000,9.500000000,-0.000000000,4.021951220,3.800000000,10.590000000,12.114000000,12.600000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,4.021951220,3.800000000,10.590000000,12.114000000,12.600000000,0,-1279.300000000,329.800000000,58.500000000
54,36,60.200000000,64.097222222,61.400000000,78.450000000,89.100000000,89.100000000,59.600000000,61.644444444,60.800000000,66.350000000,70.990000000,72.600000000,59.600000000,61.655555556,60.800000000,66.650000000,70.990000000,72.600000000,-28.700000000,-2.441666667,-0.600000000,-0.600000000,-0.600000000,-0.600000000,-0.000000000,0.011111111,-0.000000000,0.000000000,0.260000000,0.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.011111111,-0.000000000,0.000000000,0.260000000,0.400000000,0,-87.900000000,0.400000000,0.000000000
55,113,61.100000000,92.431858407,91.600000000,129.120000000,152.056000000,159.600000000,59.600000000,72.350442478,72.600000000,86.760000000,89.976000000,90.400000000,59.600000000,88.109734513,93.400000000,109.360000000,112.304000000,113.600000000,-89.000000000,-4.322123894,-0.600000000,28.460000000,32.888000000,35.600000000,-5.200000000,15.759292035,15.800000000,32.800000000,33.576000000,33.600000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-5.200000000,15.759292035,15.800000000,32.800000000,33.576000000,33.600000000,0,-488.400000000,1780.800000000,669.300000000
56,31,60.300000000,76.829032258,68.900000000,119.050000000,134.750000000,140.300000000,59.600000000,63.406451613,60.800000000,72.600000000,72.600000000,72.600000000,59.600000000,67.735483871,61.800000000,84.100000000,84.620000000,84.800000000,-58.500000000,-9.093548387,-0.700000000,6.450000000,9.380000000,10.400000000,-0.000000000,4.329032258,0.000000000,19.400000000,22.080000000,22.200000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,4.329032258,0.000000000,19.400000000,22.080000000,22.200000000,0,-281.900000000,134.200000000,28.600000000
57,127,60.200000000,97.359842520,96.300000000,135.920000000,148.456000000,190.000000000,59.600000000,76.253543307,76.400000000,90.680000000,93.680000000,96.600000000,59.600000000,96.914960630,103.000000000,122.800000000,126.888000000,133.000000000,-66.400000000,-0.444881890,-0.700000000,44.690000000,53.696000000,56.700000000,-1.600000000,20.661417323,21.000000000,43.080000000,45.748000000,46.800000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.600000000,20.661417323,21.000000000,43.080000000,45.748000000,46.800000000,0,-56.500000000,2624.000000000,1283.200000000
58,72,60.200000000,87.462500000,61.450000000,217.690000000,257.694000000,270.900000000,59.600000000,75.263888889,60.800000000,213.990000000,217.600000000,217.600000000,59.600000000,86.866666667,60.800000000,214.100000000,219.630000000,224.600000000,-52.100000000,-0.595833333,-0.600000000,34.950000000,40.787000000,41.000000000,-0.000000000,11.602777778,-0.000000000,46.180000000,46.774000000,47.200000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,11.602777778,-0.000000000,46.180000000,46.774000000,47.200000000,0,-42.900000000,835.400000000,369.300000000
59,160,61.400000000,123.835625000,108.050000000,258.125000000,281.606000000,303.100000000,59.600000000,99.598750000,85.200000000,224.460000000,249.040000000,261.000000000,59.600000000,122.411250000,117.000000000,227.850000000,294.060000000,314.800000000,-76.100000000,-1.424375000,-0.600000000,45.245000000,55.150000000,59.100000000,-0.000000000,22.812500000,21.400000000,52.210000000,55.882000000,60.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,22.812500000,21.400000000,52.210000000,55.882000000,60.000000000,8,-227.900000000,3650.000000000,1506.800000000
60,118,60.200000000,114.666949153,88.150000000,258.200000000,317.148000000,335.400000000,59.600000000,95.713559322,67.700000000,232.780000000,246.260000000,249.200000000,60.800000000,138.757627119,132.800000000,295.260000000,307.766000000,316.000000000,-111.000000000,24.090677966,25.400000000,67.260000000,73.522000000,75.400000000,-9.800000000,43.044067797,58.100000000,71.460000000,72.932000000,73.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-9.800000000,43.044067797,58.100000000,71.460000000,72.932000000,73.400000000,15,2842.700000000,5079.200000000,3413.000000000
61,166,61.100000000,143.687951807,125.550000000,307.125000000,335.195000000,359.300000000,60.200000000,112.310843373,94.400000000,254.250000000,267.730000000,279.400000000,60.400000000,136.602409639,132.600000000,286.150000000,299.750000000,334.800000000,-122.400000000,-7.085542169,-7.150000000,55.650000000,64.520000000,66.300000000,-23.400000000,24.291566265,25.000000000,53.000000000,55.940000000,56.600000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-23.400000000,24.291566265,25.000000000,53.000000000,55.940000000,56.600000000,37,-1176.200000000,4032.400000000,1653.000000000
62,158,61.100000000,124.915189873,95.250000000,264.720000000,288.655000000,346.100000000,60.200000000,105.330379747,69.300000000,242.880000000,258.692000000,271.800000000,125.800000000,171.845569620,148.700000000,312.030000000,327.776000000,330.800000000,-95.100000000,46.930379747,58.650000000,81.690000000,85.446000000,87.000000000,-13.600000000,66.515189873,70.000000000,85.800000000,89.230000000,90.200000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-13.600000000,66.515189873,70.000000000,85.800000000,89.230000000,90.200000000,102,7415.000000000,10509.400000000,7920.600000000
63,190,60.200000000,132.870000000,117.200000000,274.060000000,328.522000000,360.100000000,59.600000000,109.366315789,90.500000000,237.170000000,268.014000000,281.400000000,59.600000000,136.755789474,125.100000000,264.610000000,312.992000000,323.200000000,-79.100000000,3.885789474,0.600000000,60.760000000,78.899000000,86.800000000,-1.200000000,27.389473684,28.900000000,56.400000000,59.952000000,77.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.200000000,27.389473684,28.900000000,56.400000000,59.952000000,77.000000000,47,738.300000000,5204.000000000,2959.900000000
64,180,60.200000000,127.733888889,97.600000000,254.030000000,306.432000000,395.000000000,59.800000000,107.743333333,72.200000000,231.240000000,247.904000000,254.400000000,126.600000000,171.013333333,146.200000000,298.610000000,318.000000000,319.200000000,-96.200000000,43.279444444,50.850000000,79.605000000,84.482000000,89.000000000,-0.200000000,63.270000000,71.800000000,85.410000000,86.442000000,87.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.200000000,63.270000000,71.800000000,85.410000000,86.442000000,87.000000000,105,7790.300000000,11388.600000000,8246.400000000
65,359,60.200000000,160.576601671,158.000000000,298.050000000,329.108000000,368.100000000,59.600000000,135.612813370,157.400000000,217.480000000,247.156000000,252.200000000,59.600000000,153.405571031,159.600000000,217.400000000,273.532000000,294.600000000,-114.500000000,-7.171030641,-0.400000000,52.630000000,82.420000000,101.900000000,-5.800000000,17.792757660,11.200000000,59.620000000,64.284000000,66.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-5.800000000,17.792757660,11.200000000,59.620000000,64.284000000,66.400000000,61,-2574.400000000,6387.600000000,3174.500000000
66,202,61.400000000,162.236138614,153.600000000,268.445000000,311.667000000,338.600000000,60.400000000,143.294059406,111.600000000,263.340000000,287.386000000,293.800000000,151.200000000,205.962376238,182.200000000,338.980000000,351.786000000,357.800000000,-84.700000000,43.726237624,60.800000000,102.560000000,104.998000000,121.400000000,-39.400000000,62.668316832,76.800000000,102.340000000,103.998000000,104.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-39.400000000,62.668316832,76.800000000,102.340000000,103.998000000,104.400000000,148,8832.700000000,12659.000000000,9809.000000000
