start,goal,release_hour,count,v5_minus_historical_min,v5_minus_historical_mean,v5_minus_historical_median,v5_minus_historical_p95,v5_minus_historical_p99,v5_minus_historical_max,v5_minus_control_min,v5_minus_control_mean,v5_minus_control_median,v5_minus_control_p95,v5_minus_control_p99,v5_minus_control_max,v5_source_wait_min,v5_source_wait_mean,v5_source_wait_median,v5_source_wait_p95,v5_source_wait_p99,v5_source_wait_max,v5_above_historical_od_p95_count,v5_minus_historical_total_seconds,v5_minus_control_total_seconds,positive_v5_minus_historical_seconds
2,50,9,32,-50.700000000,-8.593750000,-0.900000000,1.475000000,2.576000000,2.700000000,-1.200000000,0.375000000,0.000000000,2.290000000,2.538000000,2.600000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0,-275.000000000,12.000000000,7.500000000
2,50,10,87,-98.400000000,-9.251724138,-0.900000000,1.610000000,2.522000000,4.500000000,-1.000000000,0.422988506,0.000000000,2.200000000,3.196000000,4.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0,-804.900000000,36.800000000,22.400000000
2,50,11,35,-138.900000000,-12.045714286,-0.900000000,1.220000000,4.114000000,5.100000000,-1.200000000,0.497142857,0.000000000,3.080000000,4.464000000,4.600000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0,-421.600000000,17.400000000,9.200000000
2,50,12,54,-33.000000000,-7.542592593,-0.900000000,0.400000000,1.364000000,2.000000000,-1.000000000,0.370370370,0.000000000,2.020000000,3.646000000,4.600000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0,-407.300000000,20.000000000,6.200000000
2,50,13,54,-37.900000000,-8.070370370,-0.900000000,2.135000000,3.546000000,4.500000000,-0.800000000,0.537037037,0.000000000,3.480000000,4.294000000,4.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0,-435.800000000,29.000000000,12.300000000
2,50,14,53,-79.600000000,-9.832075472,-0.900000000,0.560000000,1.920000000,2.700000000,-1.000000000,0.301886792,0.000000000,1.680000000,2.288000000,2.600000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0,-521.100000000,16.000000000,7.200000000
2,50,15,65,-114.200000000,-10.669230769,-0.900000000,0.400000000,2.020000000,4.900000000,-1.000000000,0.310769231,0.000000000,1.960000000,4.232000000,5.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0,-693.500000000,20.200000000,6.900000000
2,50,16,92,-82.100000000,-9.967391304,-0.900000000,0.900000000,2.090000000,3.000000000,-2.000000000,0.363043478,0.000000000,2.380000000,4.272000000,5.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0,-917.000000000,33.400000000,11.500000000
2,50,17,64,-123.200000000,-21.092187500,-3.500000000,1.570000000,2.200000000,2.200000000,-0.400000000,0.378125000,0.000000000,2.170000000,2.274000000,2.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0,-1349.900000000,24.200000000,11.400000000
2,50,18,72,-92.800000000,-12.402777778,-0.900000000,1.935000000,4.145000000,4.500000000,-1.200000000,0.563888889,0.300000000,2.090000000,4.116000000,4.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0,-893.000000000,40.600000000,20.200000000
2,50,19,62,-113.000000000,-15.243548387,-4.800000000,0.770000000,0.939000000,1.000000000,-1.200000000,0.435483871,0.000000000,1.790000000,4.136000000,5.600000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0,-945.100000000,27.000000000,4.000000000
2,50,20,26,-31.800000000,-7.730769231,-3.200000000,1.450000000,1.675000000,1.700000000,-1.200000000,0.730769231,0.400000000,2.350000000,3.450000000,3.800000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0,-201.000000000,19.000000000,4.300000000
2,50,21,16,-28.800000000,-5.762500000,-0.850000000,1.025000000,3.005000000,3.500000000,-2.800000000,0.262500000,0.000000000,2.300000000,2.540000000,2.600000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0,-92.200000000,4.200000000,3.700000000
2,50,22,10,-17.500000000,-6.000000000,-0.900000000,0.130000000,0.346000000,0.400000000,0.000000000,0.100000000,0.000000000,0.510000000,0.582000000,0.600000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0,-60.000000000,1.000000000,0.400000000
3,47,2,7,-71.600000000,-10.914285714,-0.800000000,-0.800000000,-0.800000000,-0.800000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0,-76.400000000,0.000000000,0.000000000
3,47,3,28,-78.100000000,-21.903571429,-9.100000000,-0.410000000,0.895000000,1.300000000,-1.000000000,1.885714286,1.200000000,6.190000000,7.130000000,7.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0,-613.300000000,52.800000000,1.300000000
