start,goal,count,historical_dh_seconds_min,historical_dh_seconds_mean,historical_dh_seconds_median,historical_dh_seconds_p95,historical_dh_seconds_p99,historical_dh_seconds_max,current_dh_seconds_min,current_dh_seconds_mean,current_dh_seconds_median,current_dh_seconds_p95,current_dh_seconds_p99,current_dh_seconds_max,v5_seconds_min,v5_seconds_mean,v5_seconds_median,v5_seconds_p95,v5_seconds_p99,v5_seconds_max,v5_minus_historical_min,v5_minus_historical_mean,v5_minus_historical_median,v5_minus_historical_p95,v5_minus_historical_p99,v5_minus_historical_max,v5_minus_control_min,v5_minus_control_mean,v5_minus_control_median,v5_minus_control_p95,v5_minus_control_p99,v5_minus_control_max,v5_source_wait_min,v5_source_wait_mean,v5_source_wait_median,v5_source_wait_p95,v5_source_wait_p99,v5_source_wait_max,current_source_wait_seconds_min,current_source_wait_seconds_mean,current_source_wait_seconds_median,current_source_wait_seconds_p95,current_source_wait_seconds_p99,current_source_wait_seconds_max,source_wait_delta_min,source_wait_delta_mean,source_wait_delta_median,source_wait_delta_p95,source_wait_delta_p99,source_wait_delta_max,after_admission_delta_min,after_admission_delta_mean,after_admission_delta_median,after_admission_delta_p95,after_admission_delta_p99,after_admission_delta_max,v5_above_historical_od_p95_count,v5_minus_historical_total_seconds,v5_minus_control_total_seconds,positive_v5_minus_historical_seconds
4,48,98,232.700000000,268.746938776,266.550000000,307.030000000,317.869000000,320.100000000,232.000000000,239.620408163,235.500000000,255.250000000,266.200000000,266.200000000,620.000000000,701.457142857,711.200000000,760.740000000,766.872000000,769.200000000,328.400000000,432.710204082,440.700000000,504.080000000,512.746000000,520.700000000,358.200000000,461.836734694,474.100000000,517.380000000,527.218000000,527.800000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,358.200000000,461.836734694,474.100000000,517.380000000,527.218000000,527.800000000,98,42405.600000000,45260.000000000,42405.600000000
4,49,76,216.400000000,251.185526316,249.450000000,292.425000000,302.675000000,317.600000000,213.000000000,219.984210526,217.800000000,234.450000000,235.850000000,236.000000000,621.400000000,695.544736842,707.500000000,739.800000000,750.050000000,750.800000000,305.600000000,444.359210526,449.750000000,504.500000000,511.525000000,519.400000000,386.200000000,475.560526316,488.900000000,520.750000000,527.200000000,527.200000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,386.200000000,475.560526316,488.900000000,520.750000000,527.200000000,527.200000000,76,33771.300000000,36142.600000000,33771.300000000
5,47,117,60.200000000,90.821367521,88.200000000,133.220000000,166.580000000,171.600000000,59.600000000,67.782905983,63.400000000,84.240000000,90.648000000,95.400000000,403.600000000,529.413675214,541.200000000,584.400000000,590.008000000,600.600000000,264.100000000,438.592307692,453.600000000,504.560000000,520.240000000,521.300000000,335.600000000,461.630769231,476.800000000,519.520000000,524.344000000,528.600000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,335.600000000,461.630769231,476.800000000,519.520000000,524.344000000,528.600000000,117,51315.300000000,54010.800000000,51315.300000000
5,48,93,231.800000000,271.565591398,269.800000000,314.420000000,333.672000000,352.900000000,231.200000000,239.604301075,236.600000000,258.240000000,263.664000000,264.400000000,623.400000000,699.144086022,710.800000000,761.960000000,768.432000000,768.800000000,281.100000000,427.578494624,441.800000000,495.080000000,510.508000000,510.600000000,359.600000000,459.539784946,475.000000000,518.000000000,528.016000000,528.200000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,359.600000000,459.539784946,475.000000000,518.000000000,528.016000000,528.200000000,93,39764.800000000,42737.200000000,39764.800000000
5,49,26,213.300000000,245.603846154,243.250000000,293.000000000,294.875000000,294.900000000,212.200000000,215.784615385,215.200000000,220.800000000,225.950000000,227.400000000,625.000000000,699.276923077,709.700000000,742.300000000,746.000000000,746.600000000,337.400000000,453.673076923,468.000000000,510.025000000,514.400000000,515.500000000,409.800000000,483.492307692,495.800000000,526.900000000,530.650000000,531.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,409.800000000,483.492307692,495.800000000,526.900000000,530.650000000,531.400000000,26,11795.500000000,12570.800000000,11795.500000000
52,48,196,206.500000000,210.247448980,206.600000000,224.450000000,230.970000000,245.600000000,206.200000000,207.902040816,206.400000000,216.700000000,220.620000000,221.400000000,206.200000000,209.875510204,207.000000000,227.200000000,235.040000000,236.600000000,-39.400000000,-0.371938776,-0.300000000,5.025000000,7.230000000,8.400000000,-0.800000000,1.973469388,0.400000000,10.500000000,14.420000000,15.200000000,2.000000000,3.118367347,2.000000000,12.200000000,20.040000000,21.600000000,2.000000000,2.365306122,2.000000000,5.300000000,9.220000000,10.000000000,0.000000000,0.753061224,0.000000000,6.900000000,10.820000000,11.600000000,-0.800000000,1.220408163,0.400000000,4.250000000,5.200000000,5.200000000,3,-72.900000000,386.800000000,168.900000000
52,49,369,157.900000000,161.885907859,160.100000000,175.080000000,194.352000000,228.800000000,157.400000000,158.676422764,157.800000000,163.160000000,166.328000000,167.400000000,157.400000000,168.784281843,168.200000000,181.000000000,184.064000000,185.600000000,-71.200000000,6.898373984,5.500000000,22.500000000,24.892000000,27.500000000,-1.000000000,10.107859079,8.600000000,23.400000000,26.328000000,27.800000000,2.000000000,2.989159892,2.000000000,8.000000000,10.464000000,11.200000000,2.000000000,2.044444444,2.000000000,2.000000000,3.728000000,4.800000000,0.000000000,0.944715447,0.000000000,5.720000000,7.064000000,8.000000000,-1.000000000,9.163143631,7.600000000,22.040000000,23.664000000,24.200000000,135,2545.500000000,3729.800000000,3061.700000000
52,50,352,199.000000000,215.738352273,201.800000000,283.440000000,339.843000000,387.300000000,198.400000000,199.088636364,198.800000000,200.800000000,202.294000000,203.600000000,198.400000000,209.825568182,205.100000000,239.800000000,241.098000000,241.600000000,-188.900000000,-5.912784091,-0.300000000,39.290000000,41.898000000,42.400000000,-1.800000000,10.736931818,6.200000000,41.090000000,42.600000000,43.000000000,2.000000000,3.975568182,2.000000000,19.400000000,20.698000000,21.200000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,1.975568182,0.000000000,17.400000000,18.698000000,19.200000000,-1.800000000,8.761363636,6.200000000,23.600000000,24.000000000,25.600000000,0,-2081.300000000,3779.400000000,2911.100000000
53,47,255,61.400000000,79.448627451,72.800000000,123.470000000,144.026000000,177.100000000,60.800000000,64.840784314,62.000000000,80.560000000,91.184000000,98.200000000,384.400000000,509.682352941,523.200000000,581.000000000,595.276000000,597.600000000,267.700000000,430.233725490,423.000000000,511.430000000,521.728000000,530.200000000,322.200000000,444.841568627,459.600000000,518.220000000,529.180000000,532.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,322.200000000,444.841568627,459.600000000,518.220000000,529.180000000,532.400000000,255,109709.600000000,113434.600000000,109709.600000000
53,48,12,239.000000000,284.891666667,291.800000000,316.330000000,317.826000000,318.200000000,233.200000000,241.533333333,239.300000000,254.380000000,254.556000000,254.600000000,621.400000000,681.233333333,685.600000000,745.710000000,749.142000000,750.000000000,327.000000000,396.341666667,398.600000000,473.760000000,476.752000000,477.500000000,387.600000000,439.700000000,444.800000000,501.320000000,503.784000000,504.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,387.600000000,439.700000000,444.800000000,501.320000000,503.784000000,504.400000000,12,4756.100000000,5276.400000000,4756.100000000
