bin,begin_seconds,end_seconds,v5_mean_admitted_active_segments,control_mean_admitted_active_segments,v5_mean_source_pending_segments,control_mean_source_pending_segments,v5_excess_active,v5_to_control_active_ratio
100,30000,30300,70.208666667,59.830000000,0.413333333,0.413333333,10.378666667,1.173469274
101,30300,30600,44.528000000,42.317333333,0.993333333,0.993333333,2.210666667,1.052240217
102,30600,30900,83.692000000,74.698666667,0.546666667,0.546666667,8.993333333,1.120394831
103,30900,31200,75.411333333,72.786666667,1.798000000,1.414666667,2.624666667,1.036059718
104,31200,31500,96.843333333,88.298666667,0.546666667,0.546666667,8.544666667,1.096770053
105,31500,31800,111.356666667,121.677333333,18.925333333,5.783333333,-10.320666667,0.915180039
106,31800,32100,146.930000000,129.551333333,3.489333333,0.843333333,17.378666667,1.134145024
107,32100,32400,88.162666667,85.836000000,2.296000000,1.394666667,2.326666667,1.027105954
108,32400,32700,100.395333333,95.596000000,3.286000000,1.060666667,4.799333333,1.050204332
109,32700,33000,96.492666667,91.888000000,2.422000000,1.594666667,4.604666667,1.050111730
110,33000,33300,82.354000000,76.670000000,1.912666667,0.833333333,5.684000000,1.074135907
111,33300,33600,79.226000000,77.014666667,1.320000000,1.320000000,2.211333333,1.028713146
112,33600,33900,37.721333333,33.756000000,0.460000000,0.460000000,3.965333333,1.117470474
113,33900,34200,80.642666667,76.692000000,2.698666667,1.468000000,3.950666667,1.051513413
114,34200,34500,59.128666667,55.331333333,0.706666667,0.706666667,3.797333333,1.068628987
115,34500,34800,76.132000000,73.015333333,1.630000000,1.274000000,3.116666667,1.042685098
116,34800,35100,65.344000000,60.064666667,0.690000000,0.690000000,5.279333333,1.087894159
117,35100,35400,78.443333333,74.933333333,1.808666667,1.346666667,3.510000000,1.046841637
118,35400,35700,78.246666667,68.430666667,0.969333333,0.833333333,9.816000000,1.143444460
119,35700,36000,116.134000000,113.884666667,4.653333333,1.991333333,2.249333333,1.019750976
120,36000,36300,128.994000000,115.022000000,1.143333333,1.143333333,13.972000000,1.121472414
121,36300,36600,64.838666667,62.309333333,1.971333333,1.474666667,2.529333333,1.040593170
122,36600,36900,132.866666667,122.523333333,1.466666667,1.446666667,10.343333333,1.084419294
123,36900,37200,54.109333333,51.694666667,1.130000000,1.130000000,2.414666667,1.046710170
124,37200,37500,100.789333333,92.238000000,1.036666667,1.036666667,8.551333333,1.092709440
125,37500,37800,104.722000000,100.116000000,3.250000000,1.834666667,4.606000000,1.046006632
126,37800,38100,143.404666667,131.598000000,1.506666667,1.506666667,11.806666667,1.089717676
127,38100,38400,77.894666667,75.534666667,1.965333333,1.434666667,2.360000000,1.031243932
128,38400,38700,156.344000000,150.058666667,2.222666667,1.886666667,6.285333333,1.041885840
129,38700,39000,180.422666667,164.790666667,1.990000000,1.973333333,15.632000000,1.094859741
130,39000,39300,137.359333333,131.242666667,1.113333333,1.113333333,6.116666667,1.046605779
131,39300,39600,70.062666667,69.016666667,1.173333333,1.173333333,1.046000000,1.015155759
132,39600,39900,133.962666667,129.308666667,1.153333333,1.153333333,4.654000000,1.035991400
133,39900,40200,138.758000000,142.282666667,11.227333333,2.533333333,-3.524666667,0.975227716
134,40200,40500,185.818666667,165.806666667,9.057333333,1.603333333,20.012000000,1.120694785
135,40500,40800,160.616000000,134.081333333,2.378000000,2.126666667,26.534666667,1.197899782
136,40800,41100,172.752666667,158.372666667,1.600000000,1.600000000,14.380000000,1.090798496
137,41100,41400,88.801333333,85.973333333,1.724666667,1.210000000,2.828000000,1.032893921
138,41400,41700,106.972000000,101.158000000,4.094666667,1.405333333,5.814000000,1.057474446
139,41700,42000,59.974666667,56.240000000,1.553333333,1.220666667,3.734666667,1.066405880
140,42000,42300,54.875333333,48.752666667,0.420000000,0.420000000,6.122666667,1.125586293
141,42300,42600,54.818666667,52.881333333,1.554000000,1.234000000,1.937333333,1.036635486
142,42600,42900,93.232000000,86.010666667,2.006666667,0.933333333,7.221333333,1.083958579
143,42900,43200,57.906666667,55.276666667,1.735333333,1.304666667,2.630000000,1.047578846
144,43200,43500,109.460000000,104.392000000,4.682000000,1.671333333,5.068000000,1.048547781
145,43500,43800,67.473333333,63.197333333,1.772000000,1.341333333,4.276000000,1.067661083
146,43800,44100,97.584666667,85.132000000,1.169333333,0.886666667,12.452666667,1.146274805
147,44100,44400,100.702000000,97.128000000,2.468666667,1.641333333,3.574000000,1.036796804
148,44400,44700,95.179333333,80.416666667,0.653333333,0.653333333,14.762666667,1.183577202
149,44700,45000,75.526000000,70.148666667,2.104666667,1.590000000,5.377333333,1.076656244
150,45000,45300,145.918000000,130.834666667,1.150000000,1.150000000,15.083333333,1.115285449
151,45300,45600,98.500666667,93.140666667,2.426000000,1.648000000,5.360000000,1.057547366
