section,case_id,scale,speed_mps,fault_scenario,metric,s4_value,hca_value,fixed_denominator,verdict,evidence_status
primary_capacity,t5_5_nanning_2x_fault_single_6,2,2.5,single_6,completed_raw_bags,55934,39659,57012,S4_WIN,ADMITTED
primary_capacity,t5_5_nanning_2x_fault_single_7,2,2.5,single_7,completed_raw_bags,57012,39046,57012,S4_WIN,ADMITTED
primary_capacity,t5_5_nanning_2x_fault_single_8,2,2.5,single_8,completed_raw_bags,55678,4251,57012,S4_WIN,ADMITTED
primary_capacity,t5_5_nanning_2x_fault_pair_1_7,2,2.5,pair_1_7,completed_raw_bags,41069,37840,57012,S4_WIN,ADMITTED
primary_capacity,t5_5_nanning_2x_fault_pair_2_4,2,2.5,pair_2_4,completed_raw_bags,48531,775,57012,S4_WIN,ADMITTED
primary_capacity,t5_5_nanning_2x_fault_pair_3_5,2,2.5,pair_3_5,completed_raw_bags,24372,915,57012,S4_WIN,ADMITTED
primary_capacity,t5_5_nanning_2x_fault_pair_4_5,2,2.5,pair_4_5,completed_raw_bags,45952,378,57012,S4_WIN,ADMITTED
primary_capacity,t5_5_nanning_2x_fault_pair_5_7,2,2.5,pair_5_7,completed_raw_bags,47338,1054,57012,S4_WIN,ADMITTED
primary_capacity,t5_5_nanning_2x_fault_triple_2_4_6,2,2.5,triple_2_4_6,completed_raw_bags,48531,775,57012,S4_WIN,ADMITTED
primary_capacity,t5_5_nanning_2x_fault_triple_3_5_8,2,2.5,triple_3_5_8,completed_raw_bags,24230,915,57012,S4_WIN,ADMITTED
primary_capacity,t5_5_nanning_2x_fault_triple_4_6_7,2,2.5,triple_4_6_7,completed_raw_bags,55011,3611,57012,S4_WIN,ADMITTED
same_hca_release_timing,t5_2_nanning_1x_speed_2,1,2.0,,min,59.001000000000204,59.0,28506,PHYSICAL_SEMANTICS_RESOLUTION_TIE,ELIGIBLE_FULL_POPULATION_SAME_HCA_RELEASE
same_hca_release_timing,t5_2_nanning_1x_speed_2,1,2.0,,mean,342.9913497158458,448.0532870272925,28506,S4_LOWER,ELIGIBLE_FULL_POPULATION_SAME_HCA_RELEASE
same_hca_release_timing,t5_2_nanning_1x_speed_2,1,2.0,,p95,573.1484999999902,769.0,28506,S4_LOWER,ELIGIBLE_FULL_POPULATION_SAME_HCA_RELEASE
same_hca_release_timing,t5_2_nanning_1x_speed_2,1,2.0,,p99,640.887249999987,922.9500000000007,28506,S4_LOWER,ELIGIBLE_FULL_POPULATION_SAME_HCA_RELEASE
same_hca_release_timing,t5_2_nanning_1x_speed_2,1,2.0,,max,811.0930000000044,4042.0,28506,S4_LOWER,ELIGIBLE_FULL_POPULATION_SAME_HCA_RELEASE
same_hca_release_timing,t5_2_nanning_1x_speed_2p5,1,2.5,,min,48.40099999999802,49.0,28506,S4_LOWER,ELIGIBLE_FULL_POPULATION_SAME_HCA_RELEASE
same_hca_release_timing,t5_2_nanning_1x_speed_2p5,1,2.5,,mean,282.93438227040235,374.08012348277555,28506,S4_LOWER,ELIGIBLE_FULL_POPULATION_SAME_HCA_RELEASE
same_hca_release_timing,t5_2_nanning_1x_speed_2p5,1,2.5,,p95,475.3385000000035,653.0,28506,S4_LOWER,ELIGIBLE_FULL_POPULATION_SAME_HCA_RELEASE
same_hca_release_timing,t5_2_nanning_1x_speed_2p5,1,2.5,,p99,553.4658999999936,785.0,28506,S4_LOWER,ELIGIBLE_FULL_POPULATION_SAME_HCA_RELEASE
same_hca_release_timing,t5_2_nanning_1x_speed_2p5,1,2.5,,max,812.6979999999967,2851.0,28506,S4_LOWER,ELIGIBLE_FULL_POPULATION_SAME_HCA_RELEASE
same_hca_release_timing,t5_2_nanning_1x_speed_3,1,3.0,,min,41.334333333332324,42.0,28506,S4_LOWER,ELIGIBLE_FULL_POPULATION_SAME_HCA_RELEASE
same_hca_release_timing,t5_2_nanning_1x_speed_3,1,3.0,,mean,243.13487614303457,319.6078720269417,28506,S4_LOWER,ELIGIBLE_FULL_POPULATION_SAME_HCA_RELEASE
same_hca_release_timing,t5_2_nanning_1x_speed_3,1,3.0,,p95,413.38000000000557,559.0,28506,S4_LOWER,ELIGIBLE_FULL_POPULATION_SAME_HCA_RELEASE
same_hca_release_timing,t5_2_nanning_1x_speed_3,1,3.0,,p99,510.29348333333877,677.9500000000007,28506,S4_LOWER,ELIGIBLE_FULL_POPULATION_SAME_HCA_RELEASE
same_hca_release_timing,t5_2_nanning_1x_speed_3,1,3.0,,max,660.0629999999946,4051.0,28506,S4_LOWER,ELIGIBLE_FULL_POPULATION_SAME_HCA_RELEASE
map2_primary_capacity,t5_2_map2_1x_speed_1p5,1,1.5,,completed_raw_bags,28506,28506,28506,FULL_POPULATION_CEILING_TIE,ADMITTED
map2_primary_capacity,t5_2_map2_1x_speed_2,1,2.0,,completed_raw_bags,28506,28506,28506,FULL_POPULATION_CEILING_TIE,ADMITTED
map2_primary_capacity,t5_2_map2_1x_speed_2p5,1,2.5,,completed_raw_bags,28506,28506,28506,FULL_POPULATION_CEILING_TIE,ADMITTED
map2_primary_capacity,t5_2_map2_1x_speed_3,1,3.0,,completed_raw_bags,28506,28506,28506,FULL_POPULATION_CEILING_TIE,ADMITTED
map2_primary_capacity,t5_2_map2_2x_speed_1p5,2,1.5,,completed_raw_bags,57012,56822,57012,S4_WIN,ADMITTED
map2_primary_capacity,t5_2_map2_2x_speed_2,2,2.0,,completed_raw_bags,57012,56992,57012,S4_WIN,ADMITTED
map2_primary_capacity,t5_2_map2_2x_speed_2p5,2,2.5,,completed_raw_bags,57012,56917,57012,S4_WIN,ADMITTED
map2_primary_capacity,t5_2_map2_2x_speed_3,2,3.0,,completed_raw_bags,57012,56829,57012,S4_WIN,ADMITTED
map2_primary_capacity,t5_5_map2_1x_fault_single_1,1,2.5,single_1,completed_raw_bags,28506,28506,28506,FULL_POPULATION_CEILING_TIE,ADMITTED
map2_primary_capacity,t5_5_map2_1x_fault_single_2,1,2.5,single_2,completed_raw_bags,25313,25313,28506,TOPOLOGY_UPPER_TIE,ADMITTED
map2_primary_capacity,t5_5_map2_1x_fault_single_3,1,2.5,single_3,completed_raw_bags,28506,28506,28506,FULL_POPULATION_CEILING_TIE,ADMITTED
map2_primary_capacity,t5_5_map2_1x_fault_single_4,1,2.5,single_4,completed_raw_bags,28506,28471,28506,S4_WIN,ADMITTED
map2_primary_capacity,t5_5_map2_1x_fault_single_5,1,2.5,single_5,completed_raw_bags,28506,28484,28506,S4_WIN,ADMITTED
map2_primary_capacity,t5_5_map2_1x_fault_single_6,1,2.5,single_6,completed_raw_bags,28506,28506,28506,FULL_POPULATION_CEILING_TIE,ADMITTED
map2_primary_capacity,t5_5_map2_1x_fault_single_7,1,2.5,single_7,completed_raw_bags,28506,28506,28506,FULL_POPULATION_CEILING_TIE,ADMITTED
map2_primary_capacity,t5_5_map2_1x_fault_single_8,1,2.5,single_8,completed_raw_bags,28506,28497,28506,S4_WIN,ADMITTED
map2_primary_capacity,t5_5_map2_1x_fault_pair_1_7,1,2.5,pair_1_7,completed_raw_bags,28506,28506,28506,FULL_POPULATION_CEILING_TIE,ADMITTED
map2_primary_capacity,t5_5_map2_1x_fault_pair_2_4,1,2.5,pair_2_4,completed_raw_bags,22113,22083,28506,S4_WIN,ADMITTED
map2_primary_capacity,t5_5_map2_1x_fault_pair_3_5,1,2.5,pair_3_5,completed_raw_bags,18914,18914,28506,TOPOLOGY_UPPER_TIE,ADMITTED
map2_primary_capacity,t5_5_map2_1x_fault_pair_4_5,1,2.5,pair_4_5,completed_raw_bags,0,0,28506,TOPOLOGY_UPPER_TIE,ADMITTED
map2_primary_capacity,t5_5_map2_1x_fault_triple_2_4_6,1,2.5,triple_2_4_6,completed_raw_bags,7453,7453,28506,TOPOLOGY_UPPER_TIE,ADMITTED
map2_primary_capacity,t5_5_map2_1x_fault_triple_3_5_8,1,2.5,triple_3_5_8,completed_raw_bags,6306,0,28506,S4_WIN,ADMITTED
map2_primary_capacity,t5_5_map2_1x_fault_triple_4_6_7,1,2.5,triple_4_6_7,completed_raw_bags,9235,5635,28506,S4_WIN,ADMITTED
map2_primary_capacity,t5_5_map2_2x_fault_single_1,2,2.5,single_1,completed_raw_bags,57012,56894,57012,S4_WIN,ADMITTED
map2_primary_capacity,t5_5_map2_2x_fault_single_2,2,2.5,single_2,completed_raw_bags,50626,50583,57012,S4_WIN,ADMITTED
map2_primary_capacity,t5_5_map2_2x_fault_single_3,2,2.5,single_3,completed_raw_bags,57012,57006,57012,S4_WIN,ADMITTED
map2_primary_capacity,t5_5_map2_2x_fault_single_4,2,2.5,single_4,completed_raw_bags,57012,42592,57012,S4_WIN,ADMITTED
map2_primary_capacity,t5_5_map2_2x_fault_single_5,2,2.5,single_5,completed_raw_bags,57012,50520,57012,S4_WIN,ADMITTED
map2_primary_capacity,t5_5_map2_2x_fault_single_6,2,2.5,single_6,completed_raw_bags,57012,56817,57012,S4_WIN,ADMITTED
map2_primary_capacity,t5_5_map2_2x_fault_single_7,2,2.5,single_7,completed_raw_bags,57012,56932,57012,S4_WIN,ADMITTED
map2_primary_capacity,t5_5_map2_2x_fault_single_8,2,2.5,single_8,completed_raw_bags,57012,55349,57012,S4_WIN,ADMITTED
map2_primary_capacity,t5_5_map2_2x_fault_pair_1_7,2,2.5,pair_1_7,completed_raw_bags,57012,56938,57012,S4_WIN,ADMITTED
map2_primary_capacity,t5_5_map2_2x_fault_pair_2_4,2,2.5,pair_2_4,completed_raw_bags,44226,39566,57012,S4_WIN,ADMITTED
map2_primary_capacity,t5_5_map2_2x_fault_pair_3_5,2,2.5,pair_3_5,completed_raw_bags,37828,37751,57012,S4_WIN,ADMITTED
map2_primary_capacity,t5_5_map2_2x_fault_pair_4_5,2,2.5,pair_4_5,completed_raw_bags,0,0,57012,TOPOLOGY_UPPER_TIE,ADMITTED
map2_primary_capacity,t5_5_map2_2x_fault_triple_2_4_6,2,2.5,triple_2_4_6,completed_raw_bags,14906,14906,57012,TOPOLOGY_UPPER_TIE,ADMITTED
map2_primary_capacity,t5_5_map2_2x_fault_triple_3_5_8,2,2.5,triple_3_5_8,completed_raw_bags,12612,0,57012,S4_WIN,ADMITTED
map2_primary_capacity,t5_5_map2_2x_fault_triple_4_6_7,2,2.5,triple_4_6_7,completed_raw_bags,18470,11252,57012,S4_WIN,ADMITTED
map2_same_hca_release_timing,t5_2_map2_1x_speed_1p5,1,1.5,,min,305.3343333333178,306.0,28506,S4_LOWER,ELIGIBLE_FULL_POPULATION_SAME_HCA_RELEASE
map2_same_hca_release_timing,t5_2_map2_1x_speed_1p5,1,1.5,,mean,342.9664989709767,386.5492177085526,28506,S4_LOWER,ELIGIBLE_FULL_POPULATION_SAME_HCA_RELEASE
map2_same_hca_release_timing,t5_2_map2_1x_speed_1p5,1,1.5,,p95,403.33533333333617,486.0,28506,S4_LOWER,ELIGIBLE_FULL_POPULATION_SAME_HCA_RELEASE
map2_same_hca_release_timing,t5_2_map2_1x_speed_1p5,1,1.5,,p99,407.33533333336527,536.0,28506,S4_LOWER,ELIGIBLE_FULL_POPULATION_SAME_HCA_RELEASE
map2_same_hca_release_timing,t5_2_map2_1x_speed_1p5,1,1.5,,max,433.3353333333398,612.0,28506,S4_LOWER,ELIGIBLE_FULL_POPULATION_SAME_HCA_RELEASE
map2_same_hca_release_timing,t5_2_map2_1x_speed_2,1,2.0,,min,232.00099999999657,232.0,28506,PHYSICAL_SEMANTICS_RESOLUTION_TIE,ELIGIBLE_FULL_POPULATION_SAME_HCA_RELEASE
map2_same_hca_release_timing,t5_2_map2_1x_speed_2,1,2.0,,mean,259.4016032765019,297.72693468041814,28506,S4_LOWER,ELIGIBLE_FULL_POPULATION_SAME_HCA_RELEASE
map2_same_hca_release_timing,t5_2_map2_1x_speed_2,1,2.0,,p95,304.5020000000004,373.0,28506,S4_LOWER,ELIGIBLE_FULL_POPULATION_SAME_HCA_RELEASE
map2_same_hca_release_timing,t5_2_map2_1x_speed_2,1,2.0,,p99,307.50199999999313,417.0,28506,S4_LOWER,ELIGIBLE_FULL_POPULATION_SAME_HCA_RELEASE
map2_same_hca_release_timing,t5_2_map2_1x_speed_2,1,2.0,,max,318.50199999999313,771.0,28506,S4_LOWER,ELIGIBLE_FULL_POPULATION_SAME_HCA_RELEASE
map2_same_hca_release_timing,t5_2_map2_1x_speed_2p5,1,2.5,,min,188.0009999999893,188.0,28506,PHYSICAL_SEMANTICS_RESOLUTION_TIE,ELIGIBLE_FULL_POPULATION_SAME_HCA_RELEASE
map2_same_hca_release_timing,t5_2_map2_1x_speed_2p5,1,2.5,,mean,210.55305735634744,237.99964919666036,28506,S4_LOWER,ELIGIBLE_FULL_POPULATION_SAME_HCA_RELEASE
map2_same_hca_release_timing,t5_2_map2_1x_speed_2p5,1,2.5,,p95,247.20199999999022,300.0,28506,S4_LOWER,ELIGIBLE_FULL_POPULATION_SAME_HCA_RELEASE
map2_same_hca_release_timing,t5_2_map2_1x_speed_2p5,1,2.5,,p99,254.049499999997,332.0,28506,S4_LOWER,ELIGIBLE_FULL_POPULATION_SAME_HCA_RELEASE
map2_same_hca_release_timing,t5_2_map2_1x_speed_2p5,1,2.5,,max,279.20199999999386,383.0,28506,S4_LOWER,ELIGIBLE_FULL_POPULATION_SAME_HCA_RELEASE
map2_same_hca_release_timing,t5_2_map2_1x_speed_3,1,3.0,,min,158.0009999999893,158.0,28506,PHYSICAL_SEMANTICS_RESOLUTION_TIE,ELIGIBLE_FULL_POPULATION_SAME_HCA_RELEASE
map2_same_hca_release_timing,t5_2_map2_1x_speed_3,1,3.0,,mean,177.00150329754902,202.7855539184733,28506,S4_LOWER,ELIGIBLE_FULL_POPULATION_SAME_HCA_RELEASE
map2_same_hca_release_timing,t5_2_map2_1x_speed_3,1,3.0,,p95,207.6686666666501,257.0,28506,S4_LOWER,ELIGIBLE_FULL_POPULATION_SAME_HCA_RELEASE
map2_same_hca_release_timing,t5_2_map2_1x_speed_3,1,3.0,,p99,211.41449999999102,295.9500000000007,28506,S4_LOWER,ELIGIBLE_FULL_POPULATION_SAME_HCA_RELEASE
map2_same_hca_release_timing,t5_2_map2_1x_speed_3,1,3.0,,max,228.33533333335072,372.0,28506,S4_LOWER,ELIGIBLE_FULL_POPULATION_SAME_HCA_RELEASE
