case_id,scale,case_group,protocol_status,repeats_expected,repeats_complete,speed_mps,fault_line_ids,fault_edges,fault_schedule,topology_upper_raw_bags,fixed_raw_bag_denominator,fixed_segment_population,primary_capacity_eligible,status_echo_pass,cohort_pass,fixed_horizon_pass,fault_event_pass,released_segment_count_by_repeat,planned_segment_count_by_repeat,completed_segment_count_by_repeat,completed_raw_bag_count_by_repeat,fixed_denominator_completion_rate_by_repeat,mean_fixed_denominator_completion_rate,full_population_completion,formal_timing_comparison_allowed,timing_scope,processed_attempt_mean_minutes_by_repeat,full_population_processed_attempt_minutes_by_repeat
nanning_1x_t5_5_fault_single_3,1,all_day_line_interruption,FIXED_HORIZON_CAPACITY,1,1,2.5,[3],"[[94, 76]]",8260:94:76:fault,28506,28506,43603,True,True,True,True,True,[43603],[43603],[43601],[28504],[0.9999298393320705],0.9999298393320705,False,False,NOT_REPORTED,[null],[null]
nanning_1x_t5_5_fault_single_4,1,all_day_line_interruption,FIXED_HORIZON_CAPACITY,1,1,2.5,[4],"[[78, 80]]",8260:78:80:fault,27813,28506,43603,True,True,True,True,True,[5734],[5723],[5723],[2091],[0.0733529783203536],0.0733529783203536,False,False,NOT_REPORTED,[null],[null]
nanning_1x_t5_5_fault_single_5,1,all_day_line_interruption,FIXED_HORIZON_CAPACITY,1,1,2.5,[5],"[[112, 113]]",8260:112:113:fault,23669,28506,43603,True,True,True,True,True,[2489],[2477],[2477],[560],[0.019644987020276432],0.019644987020276432,False,False,NOT_REPORTED,[null],[null]
nanning_1x_t5_5_fault_single_6,1,all_day_line_interruption,FIXED_HORIZON_CAPACITY,1,1,2.5,[6],"[[29, 112]]",8260:29:112:fault,28506,28506,43603,True,True,True,True,True,[43603],[43603],[43603],[28506],[1.0],1.0,True,False,NOT_REPORTED,[null],[null]
nanning_1x_t5_5_fault_single_7,1,all_day_line_interruption,FIXED_HORIZON_CAPACITY,1,1,2.5,[7],"[[34, 55]]",8260:34:55:fault,28506,28506,43603,True,True,True,True,True,[43603],[43603],[43603],[28506],[1.0],1.0,True,False,NOT_REPORTED,[null],[null]
nanning_1x_t5_5_fault_single_8,1,all_day_line_interruption,FIXED_HORIZON_CAPACITY,1,1,2.5,[8],"[[100, 102]]",8260:100:102:fault,27839,28506,43603,True,True,True,True,True,[7229],[7218],[7218],[2183],[0.07658036904511331],0.07658036904511331,False,False,NOT_REPORTED,[null],[null]
nanning_1x_t5_5_fault_pair_1_7,1,all_day_line_interruption,FIXED_HORIZON_CAPACITY,1,1,2.5,"[1, 7]","[[50, 25], [34, 55]]",8260:50:25:fault;8260:34:55:fault,28506,28506,43603,True,True,True,True,True,[43603],[43603],[43602],[28505],[0.9999649196660352],0.9999649196660352,False,False,NOT_REPORTED,[null],[null]
nanning_1x_t5_5_fault_pair_2_4,1,all_day_line_interruption,FIXED_HORIZON_CAPACITY,1,1,2.5,"[2, 4]","[[28, 29], [78, 80]]",8260:28:29:fault;8260:78:80:fault,25193,28506,43603,True,True,True,True,True,[2251],[2239],[2239],[477],[0.01673331930119975],0.01673331930119975,False,False,NOT_REPORTED,[null],[null]
nanning_1x_t5_5_fault_pair_3_5,1,all_day_line_interruption,FIXED_HORIZON_CAPACITY,1,1,2.5,"[3, 5]","[[94, 76], [112, 113]]",8260:94:76:fault;8260:112:113:fault,12186,28506,43603,True,True,True,True,True,[2070],[2058],[2058],[483],[0.016943801304988425],0.016943801304988425,False,False,NOT_REPORTED,[null],[null]
nanning_1x_t5_5_fault_pair_4_5,1,all_day_line_interruption,FIXED_HORIZON_CAPACITY,1,1,2.5,"[4, 5]","[[78, 80], [112, 113]]",8260:78:80:fault;8260:112:113:fault,22976,28506,43603,True,True,True,True,True,[1840],[1828],[1828],[231],[0.008103557145864028],0.008103557145864028,False,False,NOT_REPORTED,[null],[null]
nanning_1x_t5_5_fault_pair_5_7,1,all_day_line_interruption,FIXED_HORIZON_CAPACITY,1,1,2.5,"[5, 7]","[[112, 113], [34, 55]]",8260:112:113:fault;8260:34:55:fault,23669,28506,43603,True,True,True,True,True,[2489],[2477],[2477],[560],[0.019644987020276432],0.019644987020276432,False,False,NOT_REPORTED,[null],[null]
nanning_1x_t5_5_fault_triple_2_4_6,1,all_day_line_interruption,FIXED_HORIZON_CAPACITY,1,1,2.5,"[2, 4, 6]","[[28, 29], [78, 80], [29, 112]]",8260:28:29:fault;8260:78:80:fault;8260:29:112:fault,25193,28506,43603,True,True,True,True,True,[2251],[2239],[2239],[477],[0.01673331930119975],0.01673331930119975,False,False,NOT_REPORTED,[null],[null]
nanning_1x_t5_5_fault_triple_3_5_8,1,all_day_line_interruption,FIXED_HORIZON_CAPACITY,1,1,2.5,"[3, 5, 8]","[[94, 76], [112, 113], [100, 102]]",8260:94:76:fault;8260:112:113:fault;8260:100:102:fault,12115,28506,43603,True,True,True,True,True,[2070],[2058],[2058],[483],[0.016943801304988425],0.016943801304988425,False,False,NOT_REPORTED,[null],[null]
nanning_1x_t5_5_fault_triple_4_6_7,1,all_day_line_interruption,FIXED_HORIZON_CAPACITY,1,1,2.5,"[4, 6, 7]","[[78, 80], [29, 112], [34, 55]]",8260:78:80:fault;8260:29:112:fault;8260:34:55:fault,27813,28506,43603,True,True,True,True,True,[5734],[5723],[5723],[2091],[0.0733529783203536],0.0733529783203536,False,False,NOT_REPORTED,[null],[null]
nanning_2x_t5_5_fault_single_1,2,all_day_line_interruption,FIXED_HORIZON_CAPACITY,1,1,2.5,[1],"[[50, 25]]",8260:50:25:fault,57012,57012,87206,True,True,True,True,True,[66699],[66698],[66596],[37810],[0.6631937136041535],0.6631937136041535,False,False,NOT_REPORTED,[null],[null]
nanning_2x_t5_5_fault_single_2,2,all_day_line_interruption,FIXED_HORIZON_CAPACITY,1,1,2.5,[2],"[[28, 29]]",8260:28:29:fault,51772,57012,87206,True,True,True,True,True,[4437],[4425],[4425],[1015],[0.017803269487125517],0.017803269487125517,False,False,NOT_REPORTED,[null],[null]
nanning_2x_t5_5_fault_single_3,2,all_day_line_interruption,FIXED_HORIZON_CAPACITY,1,1,2.5,[3],"[[94, 76]]",8260:94:76:fault,57012,57012,87206,True,True,True,True,True,[59536],[59533],[59426],[31709],[0.5561811548445941],0.5561811548445941,False,False,NOT_REPORTED,[null],[null]
nanning_2x_t5_5_fault_single_4,2,all_day_line_interruption,FIXED_HORIZON_CAPACITY,1,1,2.5,[4],"[[78, 80]]",8260:78:80:fault,55626,57012,87206,True,True,True,True,True,[10640],[10629],[10624],[3609],[0.06330246263944432],0.06330246263944432,False,False,NOT_REPORTED,[null],[null]
nanning_2x_t5_5_fault_single_5,2,all_day_line_interruption,FIXED_HORIZON_CAPACITY,1,1,2.5,[5],"[[112, 113]]",8260:112:113:fault,47338,57012,87206,True,True,True,True,True,[4617],[4605],[4605],[1054],[0.018487335999438716],0.018487335999438716,False,False,NOT_REPORTED,[null],[null]
nanning_2x_t5_5_fault_single_6,2,all_day_line_interruption,FIXED_HORIZON_CAPACITY,1,1,2.5,[6],"[[29, 112]]",8260:29:112:fault,57012,57012,87206,True,True,True,True,True,[68805],[68804],[68724],[39659],[0.695625482354592],0.695625482354592,False,False,NOT_REPORTED,[null],[null]
nanning_2x_t5_5_fault_single_7,2,all_day_line_interruption,FIXED_HORIZON_CAPACITY,1,1,2.5,[7],"[[34, 55]]",8260:34:55:fault,57012,57012,87206,True,True,True,True,True,[68144],[68142],[68045],[39046],[0.6848733599943871],0.6848733599943871,False,False,NOT_REPORTED,[null],[null]
nanning_2x_t5_5_fault_single_8,2,all_day_line_interruption,FIXED_HORIZON_CAPACITY,1,1,2.5,[8],"[[100, 102]]",8260:100:102:fault,55678,57012,87206,True,True,True,True,True,[14046],[14035],[14035],[4251],[0.0745632498421385],0.0745632498421385,False,False,NOT_REPORTED,[null],[null]
nanning_2x_t5_5_fault_pair_1_7,2,all_day_line_interruption,FIXED_HORIZON_CAPACITY,1,1,2.5,"[1, 7]","[[50, 25], [34, 55]]",8260:50:25:fault;8260:34:55:fault,57012,57012,87206,True,True,True,True,True,[66764],[66761],[66664],[37840],[0.6637199186136252],0.6637199186136252,False,False,NOT_REPORTED,[null],[null]
nanning_2x_t5_5_fault_pair_2_4,2,all_day_line_interruption,FIXED_HORIZON_CAPACITY,1,1,2.5,"[2, 4]","[[28, 29], [78, 80]]",8260:28:29:fault;8260:78:80:fault,50386,57012,87206,True,True,True,True,True,[4027],[4015],[4015],[775],[0.013593629411351995],0.013593629411351995,False,False,NOT_REPORTED,[null],[null]
nanning_2x_t5_5_fault_pair_3_5,2,all_day_line_interruption,FIXED_HORIZON_CAPACITY,1,1,2.5,"[3, 5]","[[94, 76], [112, 113]]",8260:94:76:fault;8260:112:113:fault,24372,57012,87206,True,True,True,True,True,[3793],[3781],[3781],[915],[0.01604925278888655],0.01604925278888655,False,False,NOT_REPORTED,[null],[null]
nanning_2x_t5_5_fault_pair_4_5,2,all_day_line_interruption,FIXED_HORIZON_CAPACITY,1,1,2.5,"[4, 5]","[[78, 80], [112, 113]]",8260:78:80:fault;8260:112:113:fault,45952,57012,87206,True,True,True,True,True,[3289],[3277],[3277],[378],[0.006630183119343296],0.006630183119343296,False,False,NOT_REPORTED,[null],[null]
nanning_2x_t5_5_fault_pair_5_7,2,all_day_line_interruption,FIXED_HORIZON_CAPACITY,1,1,2.5,"[5, 7]","[[112, 113], [34, 55]]",8260:112:113:fault;8260:34:55:fault,47338,57012,87206,True,True,True,True,True,[4617],[4605],[4605],[1054],[0.018487335999438716],0.018487335999438716,False,False,NOT_REPORTED,[null],[null]
nanning_2x_t5_5_fault_triple_2_4_6,2,all_day_line_interruption,FIXED_HORIZON_CAPACITY,1,1,2.5,"[2, 4, 6]","[[28, 29], [78, 80], [29, 112]]",8260:28:29:fault;8260:78:80:fault;8260:29:112:fault,50386,57012,87206,True,True,True,True,True,[4027],[4015],[4015],[775],[0.013593629411351995],0.013593629411351995,False,False,NOT_REPORTED,[null],[null]
nanning_2x_t5_5_fault_triple_3_5_8,2,all_day_line_interruption,FIXED_HORIZON_CAPACITY,1,1,2.5,"[3, 5, 8]","[[94, 76], [112, 113], [100, 102]]",8260:94:76:fault;8260:112:113:fault;8260:100:102:fault,24230,57012,87206,True,True,True,True,True,[3793],[3781],[3781],[915],[0.01604925278888655],0.01604925278888655,False,False,NOT_REPORTED,[null],[null]
nanning_2x_t5_5_fault_triple_4_6_7,2,all_day_line_interruption,FIXED_HORIZON_CAPACITY,1,1,2.5,"[4, 6, 7]","[[78, 80], [29, 112], [34, 55]]",8260:78:80:fault;8260:29:112:fault;8260:34:55:fault,55626,57012,87206,True,True,True,True,True,[10640],[10629],[10626],[3611],[0.0633375429734091],0.0633375429734091,False,False,NOT_REPORTED,[null],[null]
