scenario,policy_family,task_global_index,segment_id,task_id,source_line,teacher_family,teacher_planned,policy_planned,teacher_path,policy_path,teacher_path_length,policy_path_length,prefix_match_len,first_divergence_current,sipp_teacher_next,policy_next,divergence_reason,policy_decision_count,policy_terminal_reason,teacher_finish_time,policy_finish_time,finish_time_gap_vs_sipp,failure_motif,counterfactual_interpretation
legacy_first16,periodic_replanning_sipp,10,10:storage_in,10,12,rolling_horizon_sipp,True,True,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,8,8,8,,,,path_prefix_match,7,,10133.572939999998,10172.62162,39.048680000001696,,policy completed under this diagnostic
legacy_first16,periodic_replanning_sipp,11,11:storage_in,11,13,rolling_horizon_sipp,True,True,1 7 8 11 13 23 24 27 28 47,1 7 8 11 13 23 24 27 28 47,10,10,10,,,,path_prefix_match,9,,10144.372939999997,10187.62162,43.24868000000242,,policy completed under this diagnostic
legacy_first16,periodic_replanning_sipp,12,12:storage_in,12,14,rolling_horizon_sipp,True,True,0 6 12 13 23 24 27 28 47,0 6 12 13 23 24 27 28 47,9,9,9,,,,path_prefix_match,8,,10690.568600000002,10715.1686,24.599999999998545,,policy completed under this diagnostic
legacy_first16,periodic_replanning_sipp,13,13:storage_in,13,15,rolling_horizon_sipp,True,True,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,8,8,8,,,,path_prefix_match,7,,10711.57885,10735.1686,23.589750000001004,,policy completed under this diagnostic
legacy_first16,periodic_replanning_sipp,14,14:storage_in,14,16,rolling_horizon_sipp,True,True,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,8,8,8,,,,path_prefix_match,7,,10722.37885,10745.1686,22.78975000000173,,policy completed under this diagnostic
legacy_first16,periodic_replanning_sipp,15,15:storage_in,15,17,rolling_horizon_sipp,True,True,3 16 21 23 24 27 28 47,3 16 21 23 24 27 28 47,8,8,8,,,,path_prefix_match,7,,10733.178849999998,10755.1686,21.98975000000246,,policy completed under this diagnostic
legacy_first16,edge_score_event,0,0:storage_in,0,2,rolling_horizon_sipp,True,True,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,9,9,9,,,,path_prefix_match,8,,8316.845453,8316.845453,0.0,,policy completed under this diagnostic
legacy_first16,edge_score_event,1,1:storage_in,1,3,rolling_horizon_sipp,True,True,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,8,8,8,,,,path_prefix_match,7,,8914.245453,8914.245453,0.0,,policy completed under this diagnostic
legacy_first16,edge_score_event,2,2:storage_in,2,4,rolling_horizon_sipp,True,True,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,8,8,8,18,22,18,hold_when_sipp_moves,11,,8939.800872,8925.416298999999,-14.384573000001183,,policy completed under this diagnostic
legacy_first16,edge_score_event,3,3:storage_in,3,5,rolling_horizon_sipp,True,True,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,9,9,9,18,22,18,hold_when_sipp_moves,16,,8929.000872,8937.000872,8.0,,policy completed under this diagnostic
legacy_first16,edge_score_event,4,4:storage_in,4,6,rolling_horizon_sipp,True,True,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,9,9,9,,,,path_prefix_match,8,,9511.482986,9511.482986,0.0,,policy completed under this diagnostic
legacy_first16,edge_score_event,5,5:storage_in,5,7,rolling_horizon_sipp,True,True,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,8,8,8,18,22,18,hold_when_sipp_moves,13,,9522.282986,9523.015484,0.7324979999993957,,policy completed under this diagnostic
legacy_first16,edge_score_event,6,6:storage_in,6,8,rolling_horizon_sipp,True,True,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,8,8,8,,,,path_prefix_match,7,,10108.221619999998,10108.221619999998,0.0,,policy completed under this diagnostic
legacy_first16,edge_score_event,7,7:storage_in,7,9,rolling_horizon_sipp,True,True,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,9,9,9,,,,path_prefix_match,8,,10122.28213,10122.28213,0.0,,policy completed under this diagnostic
legacy_first16,edge_score_event,8,8:storage_in,8,10,rolling_horizon_sipp,True,True,0 6 8 11 14 46 36 38 39 47,0 6 8 11 14 46 36 38 39 47,10,10,10,,,,path_prefix_match,9,,10155.706479999999,10155.706479999999,0.0,,policy completed under this diagnostic
legacy_first16,edge_score_event,9,9:storage_in,9,11,rolling_horizon_sipp,True,True,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,8,8,8,22,24,22,hold_when_sipp_moves,9,,10155.172939999997,10133.73414,-21.438799999996263,,policy completed under this diagnostic
legacy_first16,edge_score_event,10,10:storage_in,10,12,rolling_horizon_sipp,True,True,5 19 18 22 24 27 28 47,5 19 18 22 26 43 15 14 46 36 38 39 47,8,13,4,18,22,18,hold_when_sipp_moves,19,,10133.572939999998,10173.572939999998,40.0,,policy completed under this diagnostic
legacy_first16,edge_score_event,11,11:storage_in,11,13,rolling_horizon_sipp,True,True,1 7 8 11 13 23 24 27 28 47,1 7 8 11 13 23 24 27 28 47,10,10,10,27,28,27,hold_when_sipp_moves,15,,10144.372939999997,10145.439820000001,1.0668800000039482,,policy completed under this diagnostic
legacy_first16,edge_score_event,12,12:storage_in,12,14,rolling_horizon_sipp,True,True,0 6 12 13 23 24 27 28 47,0 6 8 11 14 46 36 38 39 47,9,10,2,6,12,8,different_next_node,9,,10690.568600000002,10716.7686,26.19999999999709,,policy completed under this diagnostic
legacy_first16,edge_score_event,13,13:storage_in,13,15,rolling_horizon_sipp,True,True,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,8,8,8,,,,path_prefix_match,7,,10711.57885,10711.57885,0.0,,policy completed under this diagnostic
legacy_first16,edge_score_event,14,14:storage_in,14,16,rolling_horizon_sipp,True,True,5 19 18 22 24 27 28 47,5 19 18 22 26 43 15 14 46 36 38 39 47,8,13,4,18,22,18,hold_when_sipp_moves,14,,10722.37885,10753.88828,31.509430000000066,,policy completed under this diagnostic
legacy_first16,edge_score_event,15,15:storage_in,15,17,rolling_horizon_sipp,True,True,3 16 21 23 24 27 28 47,3 16 17 18 22 24 27 28 47,8,9,2,16,21,17,different_next_node,13,,10733.178849999998,10729.8454,-3.3334499999982654,,policy completed under this diagnostic
legacy_first16,fallback_event,0,0:storage_in,0,2,rolling_horizon_sipp,True,True,3 16 17 18 22 24 27 28 47,3 16 21 23 24 27 28 47,9,8,2,16,17,21,different_next_node,7,,8316.845453,8321.045452999999,4.199999999998909,,policy completed under this diagnostic
legacy_first16,fallback_event,1,1:storage_in,1,3,rolling_horizon_sipp,True,True,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,8,8,8,,,,path_prefix_match,7,,8914.245453,8914.245453,0.0,,policy completed under this diagnostic
legacy_first16,fallback_event,2,2:storage_in,2,4,rolling_horizon_sipp,True,True,5 19 18 22 24 27 28 47,5 19 18 22 26 43 15 14 46 36 38 39 47,8,13,4,18,22,18,hold_when_sipp_moves,14,,8939.800872,8956.416298999999,16.615426999998817,,policy completed under this diagnostic
legacy_first16,fallback_event,3,3:storage_in,3,5,rolling_horizon_sipp,True,True,3 16 17 18 22 24 27 28 47,3 16 21 23 24 27 28 47,9,8,2,16,17,21,different_next_node,7,,8929.000872,8933.200872,4.199999999998909,,policy completed under this diagnostic
legacy_first16,fallback_event,4,4:storage_in,4,6,rolling_horizon_sipp,True,True,3 16 17 18 22 24 27 28 47,3 16 21 23 24 27 28 47,9,8,2,16,17,21,different_next_node,7,,9511.482986,9515.682986,4.199999999998909,,policy completed under this diagnostic
legacy_first16,fallback_event,5,5:storage_in,5,7,rolling_horizon_sipp,True,True,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,8,8,8,24,27,24,hold_when_sipp_moves,17,,9522.282986,9527.015484,4.732497999999396,,policy completed under this diagnostic
legacy_first16,fallback_event,6,6:storage_in,6,8,rolling_horizon_sipp,True,True,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,8,8,8,,,,path_prefix_match,7,,10108.221619999998,10108.221619999998,0.0,,policy completed under this diagnostic
legacy_first16,fallback_event,7,7:storage_in,7,9,rolling_horizon_sipp,True,True,3 16 17 18 22 24 27 28 47,3 16 21 23 24 27 28 47,9,8,2,16,17,21,different_next_node,7,,10122.28213,10126.482129999999,4.199999999998909,,policy completed under this diagnostic
legacy_first16,fallback_event,8,8:storage_in,8,10,rolling_horizon_sipp,True,False,0 6 8 11 14 46 36 38 39 47,0 6 12 13 23 24 27,10,7,2,6,8,12,different_next_node,8,no_safe_action,10155.706479999999,,,wrong_branch_vs_sipp,policy failed where rolling-horizon SIPP completed
legacy_first16,fallback_event,9,9:storage_in,9,11,rolling_horizon_sipp,True,True,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,8,8,8,27,28,27,hold_when_sipp_moves,13,,10155.172939999997,10137.73414,-17.438799999996263,,policy completed under this diagnostic
legacy_first16,fallback_event,10,10:storage_in,10,12,rolling_horizon_sipp,True,True,5 19 18 22 24 27 28 47,5 19 18 22 26 43 15 14 46 36 38 39 47,8,13,4,18,22,18,hold_when_sipp_moves,19,,10133.572939999998,10173.572939999998,40.0,,policy completed under this diagnostic
legacy_first16,fallback_event,11,11:storage_in,11,13,rolling_horizon_sipp,True,True,1 7 8 11 13 23 24 27 28 47,1 7 8 11 13 23 24 27 28 47,10,10,10,27,28,27,hold_when_sipp_moves,19,,10144.372939999997,10149.439820000001,5.066880000003948,,policy completed under this diagnostic
legacy_first16,fallback_event,12,12:storage_in,12,14,rolling_horizon_sipp,True,True,0 6 12 13 23 24 27 28 47,0 6 12 13 23 24 27 28 47,9,9,9,,,,path_prefix_match,8,,10690.568600000002,10690.568600000002,0.0,,policy completed under this diagnostic
legacy_first16,fallback_event,13,13:storage_in,13,15,rolling_horizon_sipp,True,True,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,8,8,8,,,,path_prefix_match,7,,10711.57885,10711.57885,0.0,,policy completed under this diagnostic
legacy_first16,fallback_event,14,14:storage_in,14,16,rolling_horizon_sipp,True,True,5 19 18 22 24 27 28 47,5 19 18 22 26 43 15 14 46 36 38 39 47,8,13,4,18,22,18,hold_when_sipp_moves,14,,10722.37885,10753.88828,31.509430000000066,,policy completed under this diagnostic
legacy_first16,fallback_event,15,15:storage_in,15,17,rolling_horizon_sipp,True,True,3 16 21 23 24 27 28 47,3 16 21 23 24 27 28 47,8,8,8,,,,path_prefix_match,7,,10733.178849999998,10729.045399999999,-4.133449999999357,,policy completed under this diagnostic
legacy_first16,pibt_active_bag_replay,0,0:storage_in,0,2,rolling_horizon_sipp,True,False,3 16 17 18 22 24 27 28 47,3 16 21 23 24 27 28 29 30 31 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 ...(+699 more),9,763,2,16,17,21,different_next_node,1472,max_ticks,8316.845453,,,wrong_branch_vs_sipp,policy failed where rolling-horizon SIPP completed
legacy_first16,pibt_active_bag_replay,1,1:storage_in,1,3,rolling_horizon_sipp,True,False,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 29 30 31 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 ...(+631 more),8,695,7,28,47,29,different_next_node,1405,max_ticks,8914.245453,,,wrong_branch_vs_sipp,policy failed where rolling-horizon SIPP completed
legacy_first16,pibt_active_bag_replay,2,2:storage_in,2,4,rolling_horizon_sipp,True,False,5 19 18 22 24 27 28 47,5 19 18 22 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 ...(+629 more),8,693,4,22,24,26,different_next_node,1410,max_ticks,8939.800872,,,wrong_branch_vs_sipp,policy failed where rolling-horizon SIPP completed
legacy_first16,pibt_active_bag_replay,3,3:storage_in,3,5,rolling_horizon_sipp,True,False,3 16 17 18 22 24 27 28 47,3 16 21 23 24 27 28 29 30 31 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 ...(+630 more),9,694,2,16,17,21,different_next_node,1400,max_ticks,8929.000872,,,wrong_branch_vs_sipp,policy failed where rolling-horizon SIPP completed
legacy_first16,pibt_active_bag_replay,4,4:storage_in,4,6,rolling_horizon_sipp,True,False,3 16 17 18 22 24 27 28 47,3 16 21 23 24 27 28 29 30 31 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 ...(+560 more),9,624,2,16,17,21,different_next_node,1338,max_ticks,9511.482986,,,wrong_branch_vs_sipp,policy failed where rolling-horizon SIPP completed
legacy_first16,pibt_active_bag_replay,5,5:storage_in,5,7,rolling_horizon_sipp,True,False,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 ...(+563 more),8,627,7,28,47,29,different_next_node,1336,max_ticks,9522.282986,,,wrong_branch_vs_sipp,policy failed where rolling-horizon SIPP completed
legacy_first16,pibt_active_bag_replay,6,6:storage_in,6,8,rolling_horizon_sipp,True,False,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 ...(+903 more),8,967,7,28,47,29,different_next_node,1044,max_ticks,10108.221619999998,,,wrong_branch_vs_sipp,policy failed where rolling-horizon SIPP completed
legacy_first16,pibt_active_bag_replay,7,7:storage_in,7,9,rolling_horizon_sipp,True,False,3 16 17 18 22 24 27 28 47,3 16 21 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 ...(+898 more),9,962,2,16,17,21,different_next_node,1042,max_ticks,10122.28213,,,wrong_branch_vs_sipp,policy failed where rolling-horizon SIPP completed
legacy_first16,pibt_active_bag_replay,8,8:storage_in,8,10,rolling_horizon_sipp,True,False,0 6 8 11 14 46 36 38 39 47,0 6 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 ...(+897 more),10,961,2,6,8,12,different_next_node,1044,max_ticks,10155.706479999999,,,wrong_branch_vs_sipp,policy failed where rolling-horizon SIPP completed
legacy_first16,pibt_active_bag_replay,9,9:storage_in,9,11,rolling_horizon_sipp,True,False,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 29 30 31 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 ...(+501 more),8,565,7,28,47,29,different_next_node,1260,max_ticks,10155.172939999997,,,wrong_branch_vs_sipp,policy failed where rolling-horizon SIPP completed
legacy_first16,pibt_active_bag_replay,10,10:storage_in,10,12,rolling_horizon_sipp,True,False,5 19 18 22 24 27 28 47,5 19 18 22 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 ...(+500 more),8,564,4,18,22,18,hold_when_sipp_moves,1261,max_ticks,10133.572939999998,,,hold_when_sipp_moves,policy failed where rolling-horizon SIPP completed
legacy_first16,pibt_active_bag_replay,11,11:storage_in,11,13,rolling_horizon_sipp,True,False,1 7 8 11 13 23 24 27 28 47,1 7 8 11 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 ...(+501 more),10,565,4,11,13,14,different_next_node,1256,max_ticks,10144.372939999997,,,wrong_branch_vs_sipp,policy failed where rolling-horizon SIPP completed
legacy_first16,pibt_active_bag_replay,12,12:storage_in,12,14,rolling_horizon_sipp,True,False,0 6 12 13 23 24 27 28 47,0 6 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 ...(+836 more),9,900,8,28,47,29,different_next_node,974,max_ticks,10690.568600000002,,,wrong_branch_vs_sipp,policy failed where rolling-horizon SIPP completed
legacy_first16,pibt_active_bag_replay,13,13:storage_in,13,15,rolling_horizon_sipp,True,False,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 ...(+832 more),8,896,7,28,47,29,different_next_node,969,max_ticks,10711.57885,,,wrong_branch_vs_sipp,policy failed where rolling-horizon SIPP completed
legacy_first16,pibt_active_bag_replay,14,14:storage_in,14,16,rolling_horizon_sipp,True,False,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 ...(+830 more),8,894,7,22,24,22,hold_when_sipp_moves,970,max_ticks,10722.37885,,,hold_when_sipp_moves,policy failed where rolling-horizon SIPP completed
legacy_first16,pibt_active_bag_replay,15,15:storage_in,15,17,rolling_horizon_sipp,True,False,3 16 21 23 24 27 28 47,3 16 21 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 ...(+827 more),8,891,7,23,24,23,hold_when_sipp_moves,968,max_ticks,10733.178849999998,,,hold_when_sipp_moves,policy failed where rolling-horizon SIPP completed
legacy_first16,astar_guided_safe_env,0,0:storage_in,0,2,rolling_horizon_sipp,True,True,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,9,9,9,,,,path_prefix_match,8,,8316.845453,8316.845453,0.0,,policy completed under this diagnostic
legacy_first16,astar_guided_safe_env,1,1:storage_in,1,3,rolling_horizon_sipp,True,True,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,8,8,8,,,,path_prefix_match,7,,8914.245453,8914.245453,0.0,,policy completed under this diagnostic
legacy_first16,astar_guided_safe_env,2,2:storage_in,2,4,rolling_horizon_sipp,True,True,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,8,8,8,,,,path_prefix_match,11,,8939.800872,8925.416298999999,-14.384573000001183,,policy completed under this diagnostic
legacy_first16,astar_guided_safe_env,3,3:storage_in,3,5,rolling_horizon_sipp,True,True,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,9,9,9,,,,path_prefix_match,16,,8929.000872,8937.000872,8.0,,policy completed under this diagnostic
legacy_first16,astar_guided_safe_env,4,4:storage_in,4,6,rolling_horizon_sipp,True,True,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,9,9,9,,,,path_prefix_match,8,,9511.482986,9511.482986,0.0,,policy completed under this diagnostic
legacy_first16,astar_guided_safe_env,5,5:storage_in,5,7,rolling_horizon_sipp,True,True,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,8,8,8,,,,path_prefix_match,13,,9522.282986,9523.015484,0.7324979999993957,,policy completed under this diagnostic
legacy_first16,astar_guided_safe_env,6,6:storage_in,6,8,rolling_horizon_sipp,True,True,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,8,8,8,,,,path_prefix_match,7,,10108.221619999998,10108.221619999998,0.0,,policy completed under this diagnostic
legacy_first16,astar_guided_safe_env,7,7:storage_in,7,9,rolling_horizon_sipp,True,True,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,9,9,9,,,,path_prefix_match,8,,10122.28213,10122.28213,0.0,,policy completed under this diagnostic
legacy_first16,astar_guided_safe_env,8,8:storage_in,8,10,rolling_horizon_sipp,True,True,0 6 8 11 14 46 36 38 39 47,0 6 12 13 23 24 27 28 47,10,9,2,6,8,12,different_next_node,12,,10155.706479999999,10133.506480000002,-22.19999999999709,,policy completed under this diagnostic
legacy_first16,astar_guided_safe_env,9,9:storage_in,9,11,rolling_horizon_sipp,True,True,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,8,8,8,,,,path_prefix_match,20,,10155.172939999997,10144.73414,-10.438799999996263,,policy completed under this diagnostic
legacy_first16,astar_guided_safe_env,10,10:storage_in,10,12,rolling_horizon_sipp,True,True,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,8,8,8,,,,path_prefix_match,29,,10133.572939999998,10155.572939999998,22.0,,policy completed under this diagnostic
legacy_first16,astar_guided_safe_env,11,11:storage_in,11,13,rolling_horizon_sipp,True,False,1 7 8 11 13 23 24 27 28 47,1,10,1,1,1,7,,policy_path_ended_before_teacher_goal,9,no_safe_action,10144.372939999997,,,decision_horizon_exhausted,policy failed where rolling-horizon SIPP completed
legacy_first16,astar_guided_safe_env,12,12:storage_in,12,14,rolling_horizon_sipp,True,True,0 6 12 13 23 24 27 28 47,0 6 12 13 23 24 27 28 47,9,9,9,,,,path_prefix_match,8,,10690.568600000002,10690.568600000002,0.0,,policy completed under this diagnostic
legacy_first16,astar_guided_safe_env,13,13:storage_in,13,15,rolling_horizon_sipp,True,True,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,8,8,8,,,,path_prefix_match,7,,10711.57885,10711.57885,0.0,,policy completed under this diagnostic
legacy_first16,astar_guided_safe_env,14,14:storage_in,14,16,rolling_horizon_sipp,True,True,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,8,8,8,,,,path_prefix_match,11,,10722.37885,10722.88828,0.5094300000000658,,policy completed under this diagnostic
legacy_first16,astar_guided_safe_env,15,15:storage_in,15,17,rolling_horizon_sipp,True,True,3 16 21 23 24 27 28 47,3 16 17 18 22 24 27 28 47,8,9,2,16,21,17,different_next_node,17,,10733.178849999998,10733.8454,0.6665500000017346,,policy completed under this diagnostic
legacy_first16_buffer2,periodic_replanning_sipp,0,0:storage_in,0,2,rolling_horizon_sipp,True,True,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,9,9,9,,,,path_prefix_match,8,,8316.845453,8342.845453,26.0,,policy completed under this diagnostic
legacy_first16_buffer2,periodic_replanning_sipp,1,1:storage_in,1,3,rolling_horizon_sipp,True,True,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,8,8,8,,,,path_prefix_match,7,,8914.245453,8932.845453,18.600000000000364,,policy completed under this diagnostic
legacy_first16_buffer2,periodic_replanning_sipp,2,2:storage_in,2,4,rolling_horizon_sipp,True,True,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,8,8,8,,,,path_prefix_match,7,,8939.800872,8942.845453,3.0445810000001075,,policy completed under this diagnostic
legacy_first16_buffer2,periodic_replanning_sipp,3,3:storage_in,3,5,rolling_horizon_sipp,True,True,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,9,9,9,,,,path_prefix_match,8,,8929.000872,8957.845453,28.84458099999938,,policy completed under this diagnostic
