scenario,candidate,release_semantics,reservation_semantics,tth_denominator,mean_tht,complete_bags,processed_segment_count,planned_segments,failed_segments,node_conflicts,runtime_full_astar_calls,source_retry_count,fault_success_rate,material_regression,claim_level,note
fault_16_paper_fault_arc_8,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,3.56092686,28506,43603,43603,0,0,0,0,1,False,fault_diagnostic_only,paper_success=0.99; g6_reference=1.0
fault_16_paper_fault_arcs_1_7,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,3.54640612,25306,43603,40403,3200,0,0,0,0.88774293,False,fault_diagnostic_only,paper_success=1.0; g6_reference=0.88774293
fault_16_paper_fault_arcs_2_4,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,3.52506409,20426,43603,35523,8080,0,0,0,0.7165509,False,fault_diagnostic_only,paper_success=0.76; g6_reference=0.7165509
fault_16_paper_fault_arcs_3_5,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,3.5268666,20420,43603,35517,8086,0,0,0,0.71634042,False,fault_diagnostic_only,paper_success=0.66; g6_reference=0.71634042
fault_16_paper_fault_arcs_4_5,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,3.54092458,18732,43603,33829,9774,0,0,0,0.65712482,False,fault_diagnostic_only,paper_success=0.0; g6_reference=0.65712482
fault_16_paper_fault_arcs_5_7,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,3.58845123,23619,43603,38716,4887,0,0,0,0.82856241,False,fault_diagnostic_only,paper_success=0.48; g6_reference=0.82856241
fault_16_paper_fault_arcs_2_4_6,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,3.53370027,15540,43603,30637,12966,0,0,0,0.54514839,False,fault_diagnostic_only,paper_success=0.26; g6_reference=0.54514839
fault_16_paper_fault_arcs_3_5_8,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,3.53367251,20420,43603,35517,8086,0,0,0,0.71634042,False,fault_diagnostic_only,paper_success=0.05; g6_reference=0.71634042
fault_16_paper_fault_arcs_4_6_7,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,3.59616785,18733,43603,33830,9773,0,0,0,0.6571599,False,fault_diagnostic_only,paper_success=0.26; g6_reference=0.6571599
high_flow_extension_subset_32768,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,49.53400446,28960,32768,32768,0,0,0,0,,False,extension_only,high-flow subset is not paper main
high_flow_extension_full_348824,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,589.78110407,228048,348824,348824,0,0,0,0,,False,extension_only,"full high-flow extension, temp source queue artifact not committed"
paper_main_2.5,model_plus_pibt_lite_source_queue_open_end_v2,java_source_queue_one_per_epoch,reservation_open_end_boundary,java_release_time_tth,3.54670701,28506,43603,43603,0,0,0,0,,False,engineering_enhancement_not_paper_candidate,paper main THT under java_release_time_tth
speed_sweep_1.5,model_plus_pibt_lite_source_queue_open_end_v2,java_source_queue_one_per_epoch,reservation_open_end_boundary,java_release_time_tth,5.75688101,28506,43603,43603,0,0,0,0,,False,engineering_enhancement_not_paper_candidate,speed sweep safety regression
speed_sweep_2.0,model_plus_pibt_lite_source_queue_open_end_v2,java_source_queue_one_per_epoch,reservation_open_end_boundary,java_release_time_tth,4.36419993,28506,43603,43603,0,0,0,0,,False,engineering_enhancement_not_paper_candidate,speed sweep safety regression
speed_sweep_2.5,model_plus_pibt_lite_source_queue_open_end_v2,java_source_queue_one_per_epoch,reservation_open_end_boundary,java_release_time_tth,3.54670701,28506,43603,43603,0,0,0,0,,False,engineering_enhancement_not_paper_candidate,speed sweep safety regression
speed_sweep_3.0,model_plus_pibt_lite_source_queue_open_end_v2,java_source_queue_one_per_epoch,reservation_open_end_boundary,java_release_time_tth,2.98957705,28506,43603,43603,0,0,0,0,,False,engineering_enhancement_not_paper_candidate,speed sweep safety regression
dynamic_static_1.5_10,model_plus_pibt_lite_source_queue_open_end_v2,java_source_queue_one_per_epoch,reservation_open_end_boundary,java_release_time_tth,6.37944472,28506,43603,43603,0,0,0,0,,False,diagnostic_only,effective_speed=1.350; paper_dynamic=6.45
dynamic_static_1.5_20,model_plus_pibt_lite_source_queue_open_end_v2,java_source_queue_one_per_epoch,reservation_open_end_boundary,java_release_time_tth,7.14332665,28506,43603,43603,0,0,0,0,,False,diagnostic_only,effective_speed=1.200; paper_dynamic=6.67
dynamic_static_1.5_30,model_plus_pibt_lite_source_queue_open_end_v2,java_source_queue_one_per_epoch,reservation_open_end_boundary,java_release_time_tth,8.14910473,28506,43603,43603,0,0,0,0,,False,diagnostic_only,effective_speed=1.050; paper_dynamic=6.91
dynamic_static_2.0_10,model_plus_pibt_lite_source_queue_open_end_v2,java_source_queue_one_per_epoch,reservation_open_end_boundary,java_release_time_tth,4.83627008,28506,43603,43603,0,0,0,0,,False,diagnostic_only,effective_speed=1.800; paper_dynamic=4.92
dynamic_static_2.0_20,model_plus_pibt_lite_source_queue_open_end_v2,java_source_queue_one_per_epoch,reservation_open_end_boundary,java_release_time_tth,5.41459437,28506,43603,43603,0,0,0,0,,False,diagnostic_only,effective_speed=1.600; paper_dynamic=5.16
dynamic_static_2.0_30,model_plus_pibt_lite_source_queue_open_end_v2,java_source_queue_one_per_epoch,reservation_open_end_boundary,java_release_time_tth,6.15738992,28506,43603,43603,0,0,0,0,,False,diagnostic_only,effective_speed=1.400; paper_dynamic=5.42
dynamic_static_2.5_10,model_plus_pibt_lite_source_queue_open_end_v2,java_source_queue_one_per_epoch,reservation_open_end_boundary,java_release_time_tth,3.91539163,28506,43603,43603,0,0,0,0,,False,diagnostic_only,effective_speed=2.250; paper_dynamic=3.99
dynamic_static_2.5_20,model_plus_pibt_lite_source_queue_open_end_v2,java_source_queue_one_per_epoch,reservation_open_end_boundary,java_release_time_tth,4.36419993,28506,43603,43603,0,0,0,0,,False,diagnostic_only,effective_speed=2.000; paper_dynamic=4.25
dynamic_static_2.5_30,model_plus_pibt_lite_source_queue_open_end_v2,java_source_queue_one_per_epoch,reservation_open_end_boundary,java_release_time_tth,4.96916739,28506,43603,43603,0,0,0,0,,False,diagnostic_only,effective_speed=1.750; paper_dynamic=4.49
dynamic_static_3.0_10,model_plus_pibt_lite_source_queue_open_end_v2,java_source_queue_one_per_epoch,reservation_open_end_boundary,java_release_time_tth,3.30066726,28506,43603,43603,0,0,0,0,,False,diagnostic_only,effective_speed=2.700; paper_dynamic=3.39
dynamic_static_3.0_20,model_plus_pibt_lite_source_queue_open_end_v2,java_source_queue_one_per_epoch,reservation_open_end_boundary,java_release_time_tth,3.68479428,28506,43603,43603,0,0,0,0,,False,diagnostic_only,effective_speed=2.400; paper_dynamic=3.51
dynamic_static_3.0_30,model_plus_pibt_lite_source_queue_open_end_v2,java_source_queue_one_per_epoch,reservation_open_end_boundary,java_release_time_tth,4.18124007,28506,43603,43603,0,0,0,0,,False,diagnostic_only,effective_speed=2.100; paper_dynamic=3.64
fault_16_paper_fault_arc_1,model_plus_pibt_lite_source_queue_open_end_v2,java_source_queue_one_per_epoch,reservation_open_end_boundary,java_release_time_tth,3.53790432,25306,43603,40403,3200,0,0,0,0.88774293,False,fault_diagnostic_only,paper_success=1.0; g6_reference=0.88774293
fault_16_paper_fault_arc_2,model_plus_pibt_lite_source_queue_open_end_v2,java_source_queue_one_per_epoch,reservation_open_end_boundary,java_release_time_tth,3.53366162,25313,43603,40410,3193,0,0,0,0.88798849,False,fault_diagnostic_only,paper_success=0.88; g6_reference=0.88798849
fault_16_paper_fault_arc_3,model_plus_pibt_lite_source_queue_open_end_v2,java_source_queue_one_per_epoch,reservation_open_end_boundary,java_release_time_tth,3.52594631,25307,43603,40404,3199,0,0,0,0.88777801,False,fault_diagnostic_only,paper_success=1.0; g6_reference=0.88777801
fault_16_paper_fault_arc_4,model_plus_pibt_lite_source_queue_open_end_v2,java_source_queue_one_per_epoch,reservation_open_end_boundary,java_release_time_tth,3.52960568,23619,43603,38716,4887,0,0,0,0.82856241,False,fault_diagnostic_only,paper_success=0.95; g6_reference=0.82856241
fault_16_paper_fault_arc_5,model_plus_pibt_lite_source_queue_open_end_v2,java_source_queue_one_per_epoch,reservation_open_end_boundary,java_release_time_tth,3.53995004,23619,43603,38716,4887,0,0,0,0.82856241,False,fault_diagnostic_only,paper_success=0.97; g6_reference=0.82856241
fault_16_paper_fault_arc_6,model_plus_pibt_lite_source_queue_open_end_v2,java_source_queue_one_per_epoch,reservation_open_end_boundary,java_release_time_tth,3.54404417,23620,43603,38717,4886,0,0,0,0.82859749,False,fault_diagnostic_only,paper_success=0.96; g6_reference=0.82859749
fault_16_paper_fault_arc_7,model_plus_pibt_lite_source_queue_open_end_v2,java_source_queue_one_per_epoch,reservation_open_end_boundary,java_release_time_tth,3.58152693,28506,43603,43603,0,0,0,0,1,False,fault_diagnostic_only,paper_success=1.0; g6_reference=1.0
fault_16_paper_fault_arc_8,model_plus_pibt_lite_source_queue_open_end_v2,java_source_queue_one_per_epoch,reservation_open_end_boundary,java_release_time_tth,3.5500663,28506,43603,43603,0,0,0,0,1,False,fault_diagnostic_only,paper_success=0.99; g6_reference=1.0
fault_16_paper_fault_arcs_1_7,model_plus_pibt_lite_source_queue_open_end_v2,java_source_queue_one_per_epoch,reservation_open_end_boundary,java_release_time_tth,3.53790432,25306,43603,40403,3200,0,0,0,0.88774293,False,fault_diagnostic_only,paper_success=1.0; g6_reference=0.88774293
fault_16_paper_fault_arcs_2_4,model_plus_pibt_lite_source_queue_open_end_v2,java_source_queue_one_per_epoch,reservation_open_end_boundary,java_release_time_tth,3.51624204,20426,43603,35523,8080,0,0,0,0.7165509,False,fault_diagnostic_only,paper_success=0.76; g6_reference=0.7165509
fault_16_paper_fault_arcs_3_5,model_plus_pibt_lite_source_queue_open_end_v2,java_source_queue_one_per_epoch,reservation_open_end_boundary,java_release_time_tth,3.52148188,20420,43603,35517,8086,0,0,0,0.71634042,False,fault_diagnostic_only,paper_success=0.66; g6_reference=0.71634042
fault_16_paper_fault_arcs_4_5,model_plus_pibt_lite_source_queue_open_end_v2,java_source_queue_one_per_epoch,reservation_open_end_boundary,java_release_time_tth,3.53243274,18732,43603,33829,9774,0,0,0,0.65712482,False,fault_diagnostic_only,paper_success=0.0; g6_reference=0.65712482
fault_16_paper_fault_arcs_5_7,model_plus_pibt_lite_source_queue_open_end_v2,java_source_queue_one_per_epoch,reservation_open_end_boundary,java_release_time_tth,3.57843657,23619,43603,38716,4887,0,0,0,0.82856241,False,fault_diagnostic_only,paper_success=0.48; g6_reference=0.82856241
fault_16_paper_fault_arcs_2_4_6,model_plus_pibt_lite_source_queue_open_end_v2,java_source_queue_one_per_epoch,reservation_open_end_boundary,java_release_time_tth,3.52526727,15540,43603,30637,12966,0,0,0,0.54514839,False,fault_diagnostic_only,paper_success=0.26; g6_reference=0.54514839
fault_16_paper_fault_arcs_3_5_8,model_plus_pibt_lite_source_queue_open_end_v2,java_source_queue_one_per_epoch,reservation_open_end_boundary,java_release_time_tth,3.52794238,20420,43603,35517,8086,0,0,0,0.71634042,False,fault_diagnostic_only,paper_success=0.05; g6_reference=0.71634042
fault_16_paper_fault_arcs_4_6_7,model_plus_pibt_lite_source_queue_open_end_v2,java_source_queue_one_per_epoch,reservation_open_end_boundary,java_release_time_tth,3.5773165,18733,43603,33830,9773,0,0,0,0.6571599,False,fault_diagnostic_only,paper_success=0.26; g6_reference=0.6571599
high_flow_extension_subset_32768,model_plus_pibt_lite_source_queue_open_end_v2,java_source_queue_one_per_epoch,reservation_open_end_boundary,java_release_time_tth,49.64291068,28960,32768,32768,0,0,0,0,,False,extension_only,high-flow subset is not paper main
high_flow_extension_full_348824,model_plus_pibt_lite_source_queue_open_end_v2,java_source_queue_one_per_epoch,reservation_open_end_boundary,java_release_time_tth,589.69470725,228048,348824,348824,0,0,0,0,,False,extension_only,"full high-flow extension, temp source queue artifact not committed"
