start,goal,match,path_length,python_path,cpp_path
4,49,1,13,"[4, 17, 18, 22, 24, 27, 28, 29, 30, 31, 32, 37, 49]","[4, 17, 18, 22, 24, 27, 28, 29, 30, 31, 32, 37, 49]"
4,50,1,12,"[4, 17, 18, 22, 26, 43, 15, 14, 46, 36, 44, 50]","[4, 17, 18, 22, 26, 43, 15, 14, 46, 36, 44, 50]"
4,51,1,11,"[4, 17, 18, 22, 26, 43, 15, 14, 46, 35, 51]","[4, 17, 18, 22, 26, 43, 15, 14, 46, 35, 51]"
5,47,1,8,"[5, 19, 18, 22, 24, 27, 28, 47]","[5, 19, 18, 22, 24, 27, 28, 47]"
5,48,1,8,"[5, 19, 18, 22, 24, 27, 45, 48]","[5, 19, 18, 22, 24, 27, 45, 48]"
5,49,1,13,"[5, 19, 18, 22, 24, 27, 28, 29, 30, 31, 32, 37, 49]","[5, 19, 18, 22, 24, 27, 28, 29, 30, 31, 32, 37, 49]"
5,50,1,11,"[5, 19, 25, 26, 43, 15, 14, 46, 36, 44, 50]","[5, 19, 25, 26, 43, 15, 14, 46, 36, 44, 50]"
5,51,1,10,"[5, 19, 25, 26, 43, 15, 14, 46, 35, 51]","[5, 19, 25, 26, 43, 15, 14, 46, 35, 51]"
52,47,1,14,"[52, 29, 30, 31, 32, 33, 34, 12, 13, 23, 24, 27, 28, 47]","[52, 29, 30, 31, 32, 33, 34, 12, 13, 23, 24, 27, 28, 47]"
52,48,1,5,"[52, 40, 41, 45, 48]","[52, 40, 41, 45, 48]"
52,49,1,7,"[52, 29, 30, 31, 32, 37, 49]","[52, 29, 30, 31, 32, 37, 49]"
52,50,1,8,"[52, 29, 30, 31, 32, 33, 44, 50]","[52, 29, 30, 31, 32, 33, 44, 50]"
52,51,1,9,"[52, 29, 30, 31, 32, 33, 34, 35, 51]","[52, 29, 30, 31, 32, 33, 34, 35, 51]"
53,47,1,8,"[53, 20, 21, 23, 24, 27, 28, 47]","[53, 20, 21, 23, 24, 27, 28, 47]"
53,48,1,8,"[53, 20, 21, 23, 24, 27, 45, 48]","[53, 20, 21, 23, 24, 27, 45, 48]"
53,49,1,10,"[53, 20, 10, 15, 14, 46, 36, 38, 37, 49]","[53, 20, 10, 15, 14, 46, 36, 38, 37, 49]"
53,50,1,9,"[53, 20, 10, 15, 14, 46, 36, 44, 50]","[53, 20, 10, 15, 14, 46, 36, 44, 50]"
53,51,1,8,"[53, 20, 10, 15, 14, 46, 35, 51]","[53, 20, 10, 15, 14, 46, 35, 51]"
