table_id,row_id,metric,method,unit,measurement_status,paper_evidence,paper_value,paper_dynamic_value,paper_static_value,paper_improvement_percent,hca_evidence,hca_value,hca_primary_success,s4_evidence,s4_value,s4_nominal_value,s4_degraded_value,s4_degradation_delta,s4_primary_success,s4_finish_le_std,s4_finish_le_std_minus_2700,s4_secondary_status,s4_admission_mode,s4_topology_reachable_raw_bag_upper_bound,s4_topology_safety_pass,s4_business_failed_raw_bags,s4_business_failure_is_safety_failure,speed_mps,standard_speed_mps,actual_speed_mps,deviation_percent,line_ids,reconstructed_edges,global_line_mapping_edges,affected_conveyors,mapping_evidence,mapping_basis,case_specific_override,mapping_source_inconsistency,fresh_protocol_status,contains_69_edge_reconstruction,s4_vs_archived,s4_vs_fresh_hca,s4_vs_fresh_hca_evidence,s4_vs_fresh_hca_release_pairing,s4_vs_archived_dynamic,s4_vs_archived_static
5.2,speed_3.0_mean,tth_mean_minutes,,,MEASURED,ARCHIVED,3.37,,,,EXACT_FRESH,3.3545686288266796,,EXACT_FRESH,2.9528191663352903,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,S4_WIN,S4_WIN,,,,
5.2,speed_3.0_max,tth_max_minutes,,,MEASURED,ARCHIVED,5.05,,,,EXACT_FRESH,5.05,,EXACT_FRESH,5.016733333333225,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,S4_WIN,S4_WIN,,,,
5.3,dispersed_heuristic_min,min,dispersed_heuristic,minutes,MEASURED,ARCHIVED,3.56,,,,NOT_MEASURED,,,EXACT_FRESH,3.133366666666431,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,S4_WIN,NOT_MEASURED,,,,
5.3,dispersed_heuristic_mean,mean,dispersed_heuristic,minutes,MEASURED,ARCHIVED,4.43,,,,NOT_MEASURED,,,EXACT_FRESH,3.512828910872565,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,S4_WIN,NOT_MEASURED,,,,
5.3,dispersed_heuristic_max,max,dispersed_heuristic,minutes,MEASURED,ARCHIVED,8.62,,,,NOT_MEASURED,,,EXACT_FRESH,6.790066666666584,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,S4_WIN,NOT_MEASURED,,,,
5.3,iot_drpa_hca_star_min,min,iot_drpa_hca_star,minutes,MEASURED,ARCHIVED,3.13,,,,EXACT_FRESH,3.1333333333333333,,EXACT_FRESH,3.133366666666431,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,ORIGINAL_WIN,ORIGINAL_WIN,,,,
5.3,iot_drpa_hca_star_mean,mean,iot_drpa_hca_star,minutes,MEASURED,ARCHIVED,3.96,,,,EXACT_FRESH,3.94516943801305,,EXACT_FRESH,3.512828910872565,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,S4_WIN,S4_WIN,,,,
5.3,iot_drpa_hca_star_max,max,iot_drpa_hca_star,minutes,MEASURED,ARCHIVED,5.98,,,,EXACT_FRESH,5.95,,EXACT_FRESH,6.790066666666584,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,ORIGINAL_WIN,ORIGINAL_WIN,,,,
5.3,paper_improvement_min,min,paper_improvement,percent,NOT_MEASURED,ARCHIVED,12.1,,,,NOT_MEASURED,,,NOT_MEASURED,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,,,,
5.3,paper_improvement_mean,mean,paper_improvement,percent,NOT_MEASURED,ARCHIVED,10.6,,,,NOT_MEASURED,,,NOT_MEASURED,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,,,,
5.3,paper_improvement_max,max,paper_improvement,percent,NOT_MEASURED,ARCHIVED,30.6,,,,NOT_MEASURED,,,NOT_MEASURED,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,,,,
5.4,speed_1.5_dev_10,mean_tth_minutes,,,MEASURED,ARCHIVED,,6.45,6.59,2.12,,,,RECONSTRUCTED,,5.718686732227889,6.334348910344213,0.6156621781163238,,,,,,,,,,,1.5,1.35,10,,,,,,,,,,,,,,,S4_WIN,S4_WIN
5.4,speed_1.5_dev_20,mean_tth_minutes,,,MEASURED,ARCHIVED,,6.67,6.86,2.77,,,,RECONSTRUCTED,,5.718686732227889,7.100871087178465,1.3821843549505761,,,,,,,,,,,1.5,1.2000000000000002,20,,,,,,,,,,,,,,,ORIGINAL_WIN,ORIGINAL_WIN
5.4,speed_1.5_dev_30,mean_tth_minutes,,,MEASURED,ARCHIVED,,6.91,7.11,2.81,,,,RECONSTRUCTED,,5.718686732227889,8.096516712883663,2.3778299806557737,,,,,,,,,,,1.5,1.0499999999999998,30,,,,,,,,,,,,,,,ORIGINAL_WIN,ORIGINAL_WIN
5.4,speed_2.0_dev_10,mean_tth_minutes,,,MEASURED,ARCHIVED,,4.92,5.07,2.96,,,,RECONSTRUCTED,,4.325176983792843,4.7953905320775485,0.47021354828470585,,,,,,,,,,,2.0,1.8,10,,,,,,,,,,,,,,,S4_WIN,S4_WIN
5.4,speed_2.0_dev_20,mean_tth_minutes,,,MEASURED,ARCHIVED,,5.16,5.36,3.73,,,,RECONSTRUCTED,,4.325176983792843,5.371409940597258,1.046232956804415,,,,,,,,,,,2.0,1.6,20,,,,,,,,,,,,,,,ORIGINAL_WIN,ORIGINAL_WIN
5.4,speed_2.0_dev_30,mean_tth_minutes,,,MEASURED,ARCHIVED,,5.42,5.62,3.56,,,,RECONSTRUCTED,,4.325176983792843,6.114515840608314,1.7893388568154718,,,,,,,,,,,2.0,1.4,30,,,,,,,,,,,,,,,ORIGINAL_WIN,ORIGINAL_WIN
5.4,speed_2.5_dev_10,mean_tth_minutes,,,MEASURED,ARCHIVED,,3.99,4.19,4.77,,,,RECONSTRUCTED,,3.512828910872565,3.8807008208798996,0.36787191000733444,,,,,,,,,,,2.5,2.25,10,,,,,,,,,,,,,,,S4_WIN,S4_WIN
5.4,speed_2.5_dev_20,mean_tth_minutes,,,MEASURED,ARCHIVED,,4.25,4.46,4.71,,,,RECONSTRUCTED,,3.512828910872565,4.332290983184783,0.8194620723122177,,,,,,,,,,,2.5,2.0,20,,,,,,,,,,,,,,,ORIGINAL_WIN,S4_WIN
5.4,speed_2.5_dev_30,mean_tth_minutes,,,MEASURED,ARCHIVED,,4.49,4.72,4.87,,,,RECONSTRUCTED,,3.512828910872565,4.937226201501379,1.4243972906288138,,,,,,,,,,,2.5,1.75,30,,,,,,,,,,,,,,,ORIGINAL_WIN,ORIGINAL_WIN
5.4,speed_3.0_dev_10,mean_tth_minutes,,,MEASURED,ARCHIVED,,3.39,3.56,4.78,,,,RECONSTRUCTED,,2.9528191663352903,3.2646913636980677,0.3118721973627774,,,,,,,,,,,3.0,2.7,10,,,,,,,,,,,,,,,S4_WIN,S4_WIN
5.4,speed_3.0_dev_20,mean_tth_minutes,,,MEASURED,ARCHIVED,,3.51,3.72,5.65,,,,RECONSTRUCTED,,2.9528191663352903,3.6486565923742913,0.695837426039001,,,,,,,,,,,3.0,2.4000000000000004,20,,,,,,,,,,,,,,,ORIGINAL_WIN,S4_WIN
5.4,speed_3.0_dev_30,mean_tth_minutes,,,MEASURED,ARCHIVED,,3.64,3.87,5.94,,,,RECONSTRUCTED,,2.9528191663352903,4.143253705875425,1.190434539540135,,,,,,,,,,,3.0,2.0999999999999996,30,,,,,,,,,,,,,,,ORIGINAL_WIN,ORIGINAL_WIN
5.5,single_1,baggage_success_rate,,,MEASURED,ARCHIVED,1.0,,,,EXACT_FRESH,,1.0,EXACT_FRESH,,,,,1.0,1.0,0.4293482073949344,MEASURED,TABLE_5_5_FIXED_HORIZON_SAFETY,,,0,False,,,,,1,6->12,6->12,1,RECONSTRUCTED,1:69_EDGE_RECONSTRUCTION,False,False,FRESH_PROTOCOL_IDENTIFIED,True,TIE,TIE,PROTOCOL_CONTROLLED_RECONSTRUCTION,SAME_CANONICAL_POPULATION_AND_FIXED_DENOMINATOR_NOT_SEGMENT_RELEASE_PAIRED,,
5.5,single_2,baggage_success_rate,,,MEASURED,ARCHIVED,0.88,,,,EXACT_FRESH,,0.8879884936504595,EXACT_FRESH,,,,,0.8869711639654809,0.8869711639654809,0.37613134077036414,MEASURED,TABLE_5_5_FIXED_HORIZON_SAFETY,,,3222,False,,,,,2,8->11,8->11,7,RECONSTRUCTED,2:STRONG_MAPPING,False,False,FRESH_PROTOCOL_IDENTIFIED,False,S4_WIN,ORIGINAL_WIN,PROTOCOL_CONTROLLED_RECONSTRUCTION,SAME_CANONICAL_POPULATION_AND_FIXED_DENOMINATOR_NOT_SEGMENT_RELEASE_PAIRED,,
5.5,single_3,baggage_success_rate,,,MEASURED,ARCHIVED,1.0,,,,EXACT_FRESH,,1.0,EXACT_FRESH,,,,,0.7974461516873641,0.7974461516873641,0.33108819195958744,MEASURED,TABLE_5_5_FIXED_HORIZON_SAFETY,,,5774,False,,,,,3,13->23,13->23,5,RECONSTRUCTED,3:STRONG_MAPPING,False,False,FRESH_PROTOCOL_IDENTIFIED,False,ORIGINAL_WIN,ORIGINAL_WIN,PROTOCOL_CONTROLLED_RECONSTRUCTION,SAME_CANONICAL_POPULATION_AND_FIXED_DENOMINATOR_NOT_SEGMENT_RELEASE_PAIRED,,
5.5,single_4,baggage_success_rate,,,MEASURED,ARCHIVED,0.95,,,,EXACT_FRESH,,0.9987721883112327,EXACT_FRESH,,,,,0.1608433312285133,0.1608433312285133,0.06212727145162422,MEASURED,TABLE_5_5_FIXED_HORIZON_SAFETY,,,23921,False,,,,,4,24->27,24->27,15,RECONSTRUCTED,4:STRONG_MAPPING,False,False,FRESH_PROTOCOL_IDENTIFIED,False,ORIGINAL_WIN,ORIGINAL_WIN,PROTOCOL_CONTROLLED_RECONSTRUCTION,SAME_CANONICAL_POPULATION_AND_FIXED_DENOMINATOR_NOT_SEGMENT_RELEASE_PAIRED,,
5.5,single_5,baggage_success_rate,,,MEASURED,ARCHIVED,0.97,,,,EXACT_FRESH,,0.9992282326527748,EXACT_FRESH,,,,,0.7912369325755981,0.7912369325755981,0.32210762646460395,MEASURED,TABLE_5_5_FIXED_HORIZON_SAFETY,,,5951,False,,,,,5,14->46,14->46,24,RECONSTRUCTED,5:STRONG_MAPPING,False,False,FRESH_PROTOCOL_IDENTIFIED,False,ORIGINAL_WIN,ORIGINAL_WIN,PROTOCOL_CONTROLLED_RECONSTRUCTION,SAME_CANONICAL_POPULATION_AND_FIXED_DENOMINATOR_NOT_SEGMENT_RELEASE_PAIRED,,
5.5,single_6,baggage_success_rate,,,MEASURED,ARCHIVED,0.96,,,,EXACT_FRESH,,1.0,EXACT_FRESH,,,,,0.9987020276433032,0.9987020276433032,0.42808531537220235,MEASURED,TABLE_5_5_FIXED_HORIZON_SAFETY,,,37,False,,,,,6,43->15,43->15,7,RECONSTRUCTED,6:69_EDGE_RECONSTRUCTION,False,False,FRESH_PROTOCOL_IDENTIFIED,True,S4_WIN,ORIGINAL_WIN,PROTOCOL_CONTROLLED_RECONSTRUCTION,SAME_CANONICAL_POPULATION_AND_FIXED_DENOMINATOR_NOT_SEGMENT_RELEASE_PAIRED,,
5.5,single_7,baggage_success_rate,,,MEASURED,ARCHIVED,1.0,,,,EXACT_FRESH,,1.0,EXACT_FRESH,,,,,0.9843892513856732,0.780923314389953,0.42622605767206906,MEASURED,TABLE_5_5_FIXED_HORIZON_SAFETY,,,445,False,,,,,7,33->44,33->44,1,RECONSTRUCTED,7:69_EDGE_RECONSTRUCTION,False,False,FRESH_PROTOCOL_IDENTIFIED,True,ORIGINAL_WIN,ORIGINAL_WIN,PROTOCOL_CONTROLLED_RECONSTRUCTION,SAME_CANONICAL_POPULATION_AND_FIXED_DENOMINATOR_NOT_SEGMENT_RELEASE_PAIRED,,
5.5,single_8,baggage_success_rate,,,MEASURED,ARCHIVED,0.99,,,,EXACT_FRESH,,0.999684276994317,EXACT_FRESH,,,,,1.0,1.0,0.4265768610117168,MEASURED,TABLE_5_5_FIXED_HORIZON_SAFETY,,,0,False,,,,,8,31->32,31->32,7,RECONSTRUCTED,8:STRONG_MAPPING,False,False,FRESH_PROTOCOL_IDENTIFIED,False,S4_WIN,S4_WIN,PROTOCOL_CONTROLLED_RECONSTRUCTION,SAME_CANONICAL_POPULATION_AND_FIXED_DENOMINATOR_NOT_SEGMENT_RELEASE_PAIRED,,
5.5,pair_1_7,baggage_success_rate,,,MEASURED,ARCHIVED,1.0,,,,EXACT_FRESH,,1.0,EXACT_FRESH,,,,,0.984424331719638,0.7834841787693819,0.42640145934189294,MEASURED,TABLE_5_5_FIXED_HORIZON_SAFETY,,,444,False,,,,,"1,7","6->12,33->44","6->12,33->44",2,RECONSTRUCTED,"1:69_EDGE_RECONSTRUCTION,7:69_EDGE_RECONSTRUCTION",False,False,FRESH_PROTOCOL_IDENTIFIED,True,ORIGINAL_WIN,ORIGINAL_WIN,PROTOCOL_CONTROLLED_RECONSTRUCTION,SAME_CANONICAL_POPULATION_AND_FIXED_DENOMINATOR_NOT_SEGMENT_RELEASE_PAIRED,,
5.5,pair_2_4,baggage_success_rate,,,MEASURED,ARCHIVED,0.76,,,,EXACT_FRESH,,0.7746790149442223,EXACT_FRESH,,,,,0.13895320283449097,0.13895320283449097,0.05479548165298534,MEASURED,TABLE_5_5_FIXED_HORIZON_SAFETY,,,24545,False,,,,,"2,4","8->11,24->27","8->11,24->27",22,RECONSTRUCTED,"2:STRONG_MAPPING,4:STRONG_MAPPING",False,False,FRESH_PROTOCOL_IDENTIFIED,False,ORIGINAL_WIN,ORIGINAL_WIN,PROTOCOL_CONTROLLED_RECONSTRUCTION,SAME_CANONICAL_POPULATION_AND_FIXED_DENOMINATOR_NOT_SEGMENT_RELEASE_PAIRED,,
5.5,pair_3_5,baggage_success_rate,,,MEASURED,ARCHIVED,0.66,,,,EXACT_FRESH,,0.6635094366098365,EXACT_FRESH,,,,,0.6612993755700555,0.6612993755700555,0.26769802848523117,MEASURED,TABLE_5_5_FIXED_HORIZON_SAFETY,,,9655,False,,,,,"3,5","13->23,14->46","13->23,14->46",36,RECONSTRUCTED,"3:STRONG_MAPPING,5:STRONG_MAPPING",False,False,FRESH_PROTOCOL_IDENTIFIED,False,S4_WIN,ORIGINAL_WIN,PROTOCOL_CONTROLLED_RECONSTRUCTION,SAME_CANONICAL_POPULATION_AND_FIXED_DENOMINATOR_NOT_SEGMENT_RELEASE_PAIRED,,
5.5,pair_4_5,baggage_success_rate,,,MEASURED,ARCHIVED,0.0,,,,EXACT_FRESH,,0.0,TOPOLOGY_PROVEN_RECONSTRUCTION,,,,,0.0,,,CENSORED_NOT_MEASURED,TABLE_5_5_TOPOLOGY_SATURATION_EVIDENCE,0,True,28506,False,,,,,"4,5","14->46,24->27","24->27,14->46",54,RECONSTRUCTED,"4:STRONG_MAPPING,5:STRONG_MAPPING",False,False,FRESH_PROTOCOL_IDENTIFIED,False,TIE,TIE,PROTOCOL_CONTROLLED_RECONSTRUCTION,SAME_CANONICAL_POPULATION_AND_FIXED_DENOMINATOR_NOT_SEGMENT_RELEASE_PAIRED,,
5.5,pair_5_7,baggage_success_rate,,,NOT_MEASURED,ARCHIVED,0.48,,,,NOT_MEASURED,,,NOT_MEASURED,,,,,,,,NOT_MEASURED,,,,,,,,,,"5,7","33->44,46->36","14->46,33->44",12,RECONSTRUCTED,"5:STRONG_MAPPING,7:69_EDGE_RECONSTRUCTION;ARCHIVED_WORKBOOK_LABEL_SOURCE_PROTOCOL_UNRESOLVED",True,True,ARCHIVED_ONLY_SOURCE_PROTOCOL_UNRESOLVED,True,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,,
5.5,triple_2_4_6,baggage_success_rate,,,MEASURED,ARCHIVED,0.26,,,,EXACT_FRESH,,0.2614537290395005,EXACT_FRESH,,,,,0.133866554409598,0.133866554409598,0.05465516031712622,MEASURED,TABLE_5_5_FIXED_HORIZON_SAFETY,,,24690,False,,,,,"2,4,6","8->11,24->27,43->15","8->11,24->27,43->15",36,RECONSTRUCTED,"2:STRONG_MAPPING,4:STRONG_MAPPING,6:69_EDGE_RECONSTRUCTION",False,False,FRESH_PROTOCOL_IDENTIFIED,True,ORIGINAL_WIN,ORIGINAL_WIN,PROTOCOL_CONTROLLED_RECONSTRUCTION,SAME_CANONICAL_POPULATION_AND_FIXED_DENOMINATOR_NOT_SEGMENT_RELEASE_PAIRED,,
5.5,triple_3_5_8,baggage_success_rate,,,MEASURED,ARCHIVED,0.05,,,,EXACT_FRESH,,0.0,EXACT_FRESH,,,,,0.0028064267171823477,0.0028064267171823477,0.0016838560303094085,MEASURED,TABLE_5_5_FIXED_HORIZON_SAFETY,,,28426,False,,,,,"3,5,8","13->23,14->46,31->32","13->23,14->46,31->32",51,RECONSTRUCTED,"3:STRONG_MAPPING,5:STRONG_MAPPING,8:STRONG_MAPPING",False,False,FRESH_PROTOCOL_IDENTIFIED,False,ORIGINAL_WIN,S4_WIN,PROTOCOL_CONTROLLED_RECONSTRUCTION,SAME_CANONICAL_POPULATION_AND_FIXED_DENOMINATOR_NOT_SEGMENT_RELEASE_PAIRED,,
5.5,triple_4_6_7,baggage_success_rate,,,MEASURED,ARCHIVED,0.26,,,,EXACT_FRESH,,0.19767768189153162,EXACT_FRESH,,,,,0.07058163193713604,0.07058163193713604,0.061951869781800326,MEASURED,TABLE_5_5_FIXED_HORIZON_SAFETY,,,26494,False,,,,,"4,6,7","24->27,33->44,43->15","24->27,43->15,33->44",30,RECONSTRUCTED,"4:STRONG_MAPPING,6:69_EDGE_RECONSTRUCTION,7:69_EDGE_RECONSTRUCTION",False,False,FRESH_PROTOCOL_IDENTIFIED,True,ORIGINAL_WIN,ORIGINAL_WIN,PROTOCOL_CONTROLLED_RECONSTRUCTION,SAME_CANONICAL_POPULATION_AND_FIXED_DENOMINATOR_NOT_SEGMENT_RELEASE_PAIRED,,
