candidate_id,family,tier,selection_id,selected_segment_count,selected_raw_bag_count,selection_sha256,cohort_sha256,scorer,pibt,control,resolved_priority,framework,preference,diagnostic_only,execution_status,gate_status,promotion_status,early_reject_reasons,blocker,original_entry_mean_minutes,original_entry_p95_seconds,original_entry_p99_seconds,source_wait_mean_minutes,network_time_mean_minutes,complete_raw_bag_count,completed_segment_count,completion_rate,conflict_count,unsafe_entry_count,runtime_full_astar_calls,global_reservation_scan_count,future_routes_stored,unresolved_deadlock_count,event_limit_reached,time_limit_reached,reservation_depth,credit_issued_count,credit_consumed_count,credit_expired_count,credit_local_hold_count,selective_credit_trigger_count,selective_credit_low_load_bypass_count,selective_credit_merge_trigger_count,selective_credit_contention_trigger_count,priority_teacher_input_count,priority_future_route_input_count,priority_global_scan_count,pibt_applicability_count,pibt_attempt_count,pibt_prepare_count,pibt_validate_count,pibt_commit_count,pibt_rollback_count,pibt_backtrack_count,pibt_wait_for_cycle_count,pibt_handoff_count,pibt_max_observed_depth,pibt_state_read_count,pibt_message_count,pibt_decision_latency_seconds,pibt_preference_candidate_count,pibt_preference_unique_exit_penalty_count,pibt_preference_wait_cycle_penalty_count,pibt_preference_backtrack_penalty_count,pibt_preference_regret_prior_hit_count,decision_latency_us_p50,decision_latency_us_p95,decision_latency_us_p99,runtime_deterministic_sha256,result_file_sha256,cache_key,attempt_id
D1,interaction,8192,canonical_first_8192_segments,8192,4898,929636f7b8938361616fe3b91e8154fa381f0f89b632402cb103d021047fa4b2,1df50671e23800809f00eb8a2372850737a67824ed6b13e55021bf6877dc6a46,,,,Q0,,,,NOT_RUN,NOT_EVALUATED,REJECT,NOT_EXECUTED,SUCCESSIVE_HALVING_NOT_SELECTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,interaction,full,canonical_first_43603_segments,43603,28506,e5f2e0be1ae62750e2f647370016c7cb141b181ce54a93bf90ca9968507fd8e8,6eacd336812fb71261db48debd3e1f96129479f8b84d478b8fb2661bacd654f6,,,,Q0,,,,NOT_RUN,NOT_EVALUATED,NOT_AUTHORIZED,,TIER_NOT_RUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,interaction,motif,real_map2_dense_merge_window_v1,96,96,e922a0f9d8bd957a5f54becf61bf0e3973568b83aa82358a414a9eb121b21961,7fb06e1fef14e2ce3744bdd336d8136be1db5bf3976ed9079ade4d5108b3f03a,S1_frozen_g4e_legal_local_adapter,P2,C5,Q0,event_loop_one_step,current,False,EXECUTED,PASS,ELIGIBLE_FOR_NEXT_TIER,,,1.479603015624949,204.06449999999313,205.54533649999917,0.004383680555555556,1.4752193350693934,96,96,1.0,0,0,0,0,0,0,False,False,1,96,96,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,9.2,13.5,17.34900000000001,facd9c1b33a2a26cad36b0c576b31d94c2b5498d0baf0333abe08763f40343e4,a1258d23806c7169204c393f4099d13c5cd34305b98c22cf5be878dabe3ddf19,09e264aca36d2b00d54a421def5ad504112f0daba851a4d96b3f403979dd488b,1785129144241578000-LAPTOP-M3GASC4G-37948
D2,interaction,144,canonical_first_144_segments,144,72,ef7a1919584e7623551d5b3395ea219effd4df8e56b3144a72341f94c93fc573,3d8f81aa8c202aaa5bf21aa85b768f7da3f6de64523682e80365bab8a34a5d44,S1_frozen_g4e_legal_local_adapter,P2,C5,Q0,event_loop_one_step,current,False,EXECUTED,PASS,REJECT,MEAN_WORSE_BY_MORE_THAN_1_SECOND_PER_BAG,,170.3830497483796,11436.236104349999,11543.388159600001,0.044675925925925924,3.890137780092562,72,144,1.0,0,0,0,0,0,0,False,False,1,144,144,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,9.7,15.8,16.4,c4fff097a1fa6976f19c75aade34b8cba52d41a6365800fd9a056ab7bae3c2ec,30c6ffd4c48538f920553510f25c876c5662fef44da601808e75720c50c1a5cb,49e51b1b5db0bc4a1f405b0b7510f66bf0d1a26e9ea6b631a6944464698450f4,1785129153177744600-LAPTOP-M3GASC4G-37948
D2,interaction,512,canonical_first_512_segments,512,256,4181a84a6c3a36d0bed1edd63939c94889095fe5193a3925f2c85d5025ca3345,896abc54086eedf66c85642f55a34cd840df6fb50ff8d4c3ea07ef179b2730a5,,,,Q0,,,,NOT_RUN,NOT_EVALUATED,REJECT,NOT_EXECUTED,SUCCESSIVE_HALVING_NOT_SELECTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,interaction,2048,canonical_first_2048_segments,2048,1047,e94060b03969ffc180881d807521b627e23bae6a816cf70919a9286616b4901d,d1f6d7b81a33a305e1e3aa05c3f1fecdb35311382f73aeb441dfb9624aa45f7b,,,,Q0,,,,NOT_RUN,NOT_EVALUATED,REJECT,NOT_EXECUTED,SUCCESSIVE_HALVING_NOT_SELECTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,interaction,8192,canonical_first_8192_segments,8192,4898,929636f7b8938361616fe3b91e8154fa381f0f89b632402cb103d021047fa4b2,1df50671e23800809f00eb8a2372850737a67824ed6b13e55021bf6877dc6a46,,,,Q0,,,,NOT_RUN,NOT_EVALUATED,REJECT,NOT_EXECUTED,SUCCESSIVE_HALVING_NOT_SELECTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,interaction,full,canonical_first_43603_segments,43603,28506,e5f2e0be1ae62750e2f647370016c7cb141b181ce54a93bf90ca9968507fd8e8,6eacd336812fb71261db48debd3e1f96129479f8b84d478b8fb2661bacd654f6,,,,Q0,,,,NOT_RUN,NOT_EVALUATED,NOT_AUTHORIZED,,TIER_NOT_RUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,interaction,motif,real_map2_dense_merge_window_v1,96,96,e922a0f9d8bd957a5f54becf61bf0e3973568b83aa82358a414a9eb121b21961,7fb06e1fef14e2ce3744bdd336d8136be1db5bf3976ed9079ade4d5108b3f03a,S1_frozen_g4e_legal_local_adapter,P2,C6,Q0,event_loop_one_step,current,False,EXECUTED,PASS,ELIGIBLE_FOR_NEXT_TIER,,,1.479603015624949,204.06449999999313,205.54533649999917,0.004383680555555556,1.4752193350693934,96,96,1.0,0,0,0,0,0,0,False,False,1,96,96,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,10.7,21.1,26.805000000000007,318560e8dfe28d8cad5ed9d125b429309853d63e1c7fe6e957d1ac353a76a706,b31c1bee90d36070404bf4decb027058810fc73412f26f8b419a8512d780712b,b928a444f8bd21f09ae447040d3dd3ad6afae6030aa386d6e27b7512ded56615,1785129144706717500-LAPTOP-M3GASC4G-37948
D3,interaction,144,canonical_first_144_segments,144,72,ef7a1919584e7623551d5b3395ea219effd4df8e56b3144a72341f94c93fc573,3d8f81aa8c202aaa5bf21aa85b768f7da3f6de64523682e80365bab8a34a5d44,S1_frozen_g4e_legal_local_adapter,P2,C6,Q0,event_loop_one_step,current,False,EXECUTED,PASS,REJECT,MEAN_WORSE_BY_MORE_THAN_1_SECOND_PER_BAG,,170.3830497483796,11436.236104349999,11543.388159600001,0.044675925925925924,3.890137780092562,72,144,1.0,0,0,0,0,0,0,False,False,1,144,144,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,8.5,10.8,12.79000000000001,ba63b7da40d0c64295aa9aae4917a0077f07389768e41a6803a4c0230e941515,e4bc5325c5ad2830632c140ae22d3bfd6daef36da1681ee1d63bf0afdb4f3dd9,9f3dbec1f28f912593615cc1b85a5543da39df1055848eef27c69704268e18c3,1785129153678331000-LAPTOP-M3GASC4G-37948
D3,interaction,512,canonical_first_512_segments,512,256,4181a84a6c3a36d0bed1edd63939c94889095fe5193a3925f2c85d5025ca3345,896abc54086eedf66c85642f55a34cd840df6fb50ff8d4c3ea07ef179b2730a5,,,,Q0,,,,NOT_RUN,NOT_EVALUATED,REJECT,NOT_EXECUTED,SUCCESSIVE_HALVING_NOT_SELECTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,interaction,2048,canonical_first_2048_segments,2048,1047,e94060b03969ffc180881d807521b627e23bae6a816cf70919a9286616b4901d,d1f6d7b81a33a305e1e3aa05c3f1fecdb35311382f73aeb441dfb9624aa45f7b,,,,Q0,,,,NOT_RUN,NOT_EVALUATED,REJECT,NOT_EXECUTED,SUCCESSIVE_HALVING_NOT_SELECTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
