scenario,policy_family,task_local_index,task_global_index,segment_id,task_id,source_line,task_start,task_goal,pass_time,std,start_deadline_slack,teacher_family,teacher_path,teacher_finish_time,policy_partial_path,policy_decision_count,policy_terminal_reason,first_divergence_current,sipp_teacher_next,policy_next,policy_action_kind,divergence_reason,ready_time,deadline_slack_at_divergence,safe_candidate_count,candidate_count,blocked_candidate_count,active_fault_state,node_capacity_state,merge_group_state,scenario_context,failure_motif,observation_vs_model_guess,suggested_next_fix,slice_scope,prefix_match_len,decision_ordinal,task_decision_ordinal,fallback_used
legacy_first16,pibt_active_bag_replay,9,9,9:storage_in,9,11,4,47,10085.33414,23400.0,13274.26586,rolling_horizon_sipp,4 17 18 22 24 27 28 47,10155.172939999997,4 17 18 22 24 27 28 29 30 31 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 ...(+501 more),1260,max_ticks,28,47,29,move,different_next_node,10157.845453,13238.154547,,,,no,none,none,no_fault,wrong_branch_vs_sipp,model_or_data_limited,Collect SIPP teacher counterfactual slices and run feature ablations before RL.,first_divergence,7,,7,
legacy_first16,pibt_active_bag_replay,10,10,10:storage_in,10,12,5,47,10087.97294,22200.0,12072.42706,rolling_horizon_sipp,5 19 18 22 24 27 28 47,10133.572939999998,5 19 18 22 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 ...(+500 more),1261,max_ticks,18,22,18,hold,hold_when_sipp_moves,10112.845453,12051.954547,,,,no,none,none,no_fault,hold_when_sipp_moves,model_or_feature_limited,Train against SIPP next-hop rankings and add shortest-to-goal plus downstream reservation features.,first_divergence,4,,3,
legacy_first16,pibt_active_bag_replay,11,11,11:storage_in,11,13,1,47,10089.43982,23400.0,13268.56018,rolling_horizon_sipp,1 7 8 11 13 23 24 27 28 47,10144.372939999997,1 7 8 11 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 ...(+501 more),1256,max_ticks,11,13,14,move,different_next_node,10132.845453,13234.754547,,,,no,none,none,no_fault,wrong_branch_vs_sipp,model_or_data_limited,Collect SIPP teacher counterfactual slices and run feature ablations before RL.,first_divergence,4,,4,
legacy_first16,pibt_active_bag_replay,12,12,12:storage_in,12,14,0,47,10645.1686,24000.0,13316.4314,rolling_horizon_sipp,0 6 12 13 23 24 27 28 47,10690.568600000002,0 6 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 ...(+836 more),974,max_ticks,28,47,29,move,different_next_node,10717.845453,13278.154547,,,,no,none,none,no_fault,wrong_branch_vs_sipp,model_or_data_limited,Collect SIPP teacher counterfactual slices and run feature ablations before RL.,first_divergence,8,,8,
legacy_first16,pibt_active_bag_replay,13,13,13:storage_in,13,15,4,47,10665.17885,24300.0,13594.42115,rolling_horizon_sipp,4 17 18 22 24 27 28 47,10711.57885,4 17 18 22 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 ...(+832 more),969,max_ticks,28,47,29,move,different_next_node,10737.845453,13558.154547,,,,no,none,none,no_fault,wrong_branch_vs_sipp,model_or_data_limited,Collect SIPP teacher counterfactual slices and run feature ablations before RL.,first_divergence,7,,7,
legacy_first16,pibt_active_bag_replay,14,14,14:storage_in,14,16,5,47,10673.28828,22200.0,11487.111719999999,rolling_horizon_sipp,5 19 18 22 24 27 28 47,10722.37885,5 19 18 22 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 ...(+830 more),970,max_ticks,22,24,22,hold,hold_when_sipp_moves,10707.845453,11465.354547,,,,no,none,none,no_fault,hold_when_sipp_moves,model_or_feature_limited,Train against SIPP next-hop rankings and add shortest-to-goal plus downstream reservation features.,first_divergence,7,,4,
legacy_first16,pibt_active_bag_replay,15,15,15:storage_in,15,17,3,47,10675.8454,24000.0,13282.1546,rolling_horizon_sipp,3 16 21 23 24 27 28 47,10733.178849999998,3 16 21 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 ...(+827 more),968,max_ticks,23,24,23,hold,hold_when_sipp_moves,10727.845453,13254.154547,,,,no,none,none,no_fault,hold_when_sipp_moves,model_or_feature_limited,Train against SIPP next-hop rankings and add shortest-to-goal plus downstream reservation features.,first_divergence,7,,4,
legacy_first16_buffer2,fallback_event,8,8,8:storage_in,8,10,0,47,10084.10648,23400.0,13277.49352,rolling_horizon_sipp,0 6 8 11 14 46 36 38 39 47,10155.706479999999,0 6 12 13 23 24 27,8,no_safe_action,6,8,12,move,different_next_node,10088.306480000001,13276.493519999998,3,3,0,no,28:2;47:2,none,buffer_capacity,buffer_capacity_branch_gap,model_or_data_limited,Collect SIPP teacher counterfactual slices and run feature ablations before RL.,first_divergence,2,69,2,True
legacy_first16_buffer2,pibt_active_bag_replay,0,0,0:storage_in,0,2,3,47,8267.845453,22200.0,13890.154547,rolling_horizon_sipp,3 16 17 18 22 24 27 28 47,8316.845453,3 16 21 23 24 27 28 29 30 31 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 ...(+699 more),1472,max_ticks,16,17,21,move,different_next_node,8297.845453,13861.754547,,,,no,28:2;47:2,none,buffer_capacity,buffer_capacity_branch_gap,model_or_data_limited,Collect SIPP teacher counterfactual slices and run feature ablations before RL.,first_divergence,2,,2,
legacy_first16_buffer2,pibt_active_bag_replay,1,1,1:storage_in,1,3,4,47,8867.845453,22200.0,13291.754547,rolling_horizon_sipp,4 17 18 22 24 27 28 47,8914.245453,4 17 18 22 24 27 28 29 30 31 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 ...(+631 more),1405,max_ticks,28,47,29,move,different_next_node,8937.845453,13258.154547,,,,no,28:2;47:2,none,buffer_capacity,buffer_capacity_branch_gap,model_or_data_limited,Collect SIPP teacher counterfactual slices and run feature ablations before RL.,first_divergence,7,,7,
legacy_first16_buffer2,pibt_active_bag_replay,2,2,2:storage_in,2,4,5,47,8875.816299,22200.0,13284.583701,rolling_horizon_sipp,5 19 18 22 24 27 28 47,8939.800872,5 19 18 22 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 ...(+629 more),1410,max_ticks,22,24,26,move,different_next_node,8912.845453,13260.354547,,,,no,28:2;47:2,none,buffer_capacity,buffer_capacity_branch_gap,model_or_data_limited,Collect SIPP teacher counterfactual slices and run feature ablations before RL.,first_divergence,4,,4,
legacy_first16_buffer2,pibt_active_bag_replay,3,3,3:storage_in,3,5,3,47,8880.000872,22200.0,13277.999128,rolling_horizon_sipp,3 16 17 18 22 24 27 28 47,8929.000872,3 16 21 23 24 27 28 29 30 31 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 ...(+630 more),1400,max_ticks,16,17,21,move,different_next_node,8917.845453,13241.754547,,,,no,28:2;47:2,none,buffer_capacity,buffer_capacity_branch_gap,model_or_data_limited,Collect SIPP teacher counterfactual slices and run feature ablations before RL.,first_divergence,2,,2,
legacy_first16_buffer2,pibt_active_bag_replay,4,4,4:storage_in,4,6,3,47,9462.482986,22200.0,12695.517014,rolling_horizon_sipp,3 16 17 18 22 24 27 28 47,9511.482986,3 16 21 23 24 27 28 29 30 31 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 ...(+560 more),1338,max_ticks,16,17,21,move,different_next_node,9497.845453,12661.754547,,,,no,28:2;47:2,none,buffer_capacity,buffer_capacity_branch_gap,model_or_data_limited,Collect SIPP teacher counterfactual slices and run feature ablations before RL.,first_divergence,2,,2,
legacy_first16_buffer2,pibt_active_bag_replay,5,5,5:storage_in,5,7,4,47,9470.615484,23100.0,13588.984516,rolling_horizon_sipp,4 17 18 22 24 27 28 47,9522.282986,4 17 18 22 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 ...(+563 more),1336,max_ticks,28,47,29,move,different_next_node,9542.845453,13553.154547,,,,no,28:2;47:2,none,buffer_capacity,buffer_capacity_branch_gap,model_or_data_limited,Collect SIPP teacher counterfactual slices and run feature ablations before RL.,first_divergence,7,,7,
legacy_first16_buffer2,pibt_active_bag_replay,6,6,6:storage_in,6,8,5,47,10062.62162,22200.0,12097.77838,rolling_horizon_sipp,5 19 18 22 24 27 28 47,10108.221619999998,5 19 18 22 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 ...(+903 more),1044,max_ticks,28,47,29,move,different_next_node,10132.845453,12063.154547,,,,no,28:2;47:2,none,buffer_capacity,buffer_capacity_branch_gap,model_or_data_limited,Collect SIPP teacher counterfactual slices and run feature ablations before RL.,first_divergence,7,,7,
legacy_first16_buffer2,pibt_active_bag_replay,7,7,7:storage_in,7,9,3,47,10073.28213,22200.0,12084.71787,rolling_horizon_sipp,3 16 17 18 22 24 27 28 47,10122.28213,3 16 21 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 ...(+898 more),1042,max_ticks,16,17,21,move,different_next_node,10112.845453,12046.754547,,,,no,28:2;47:2,none,buffer_capacity,buffer_capacity_branch_gap,model_or_data_limited,Collect SIPP teacher counterfactual slices and run feature ablations before RL.,first_divergence,2,,2,
legacy_first16_buffer2,pibt_active_bag_replay,8,8,8:storage_in,8,10,0,47,10084.10648,23400.0,13277.49352,rolling_horizon_sipp,0 6 8 11 14 46 36 38 39 47,10155.706479999999,0 6 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 ...(+897 more),1044,max_ticks,6,8,12,move,different_next_node,10112.845453,13251.954547,,,,no,28:2;47:2,none,buffer_capacity,buffer_capacity_branch_gap,model_or_data_limited,Collect SIPP teacher counterfactual slices and run feature ablations before RL.,first_divergence,2,,2,
legacy_first16_buffer2,pibt_active_bag_replay,9,9,9:storage_in,9,11,4,47,10085.33414,23400.0,13274.26586,rolling_horizon_sipp,4 17 18 22 24 27 28 47,10155.172939999997,4 17 18 22 24 27 28 29 30 31 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 ...(+501 more),1260,max_ticks,28,47,29,move,different_next_node,10157.845453,13238.154547,,,,no,28:2;47:2,none,buffer_capacity,buffer_capacity_branch_gap,model_or_data_limited,Collect SIPP teacher counterfactual slices and run feature ablations before RL.,first_divergence,7,,7,
legacy_first16_buffer2,pibt_active_bag_replay,10,10,10:storage_in,10,12,5,47,10087.97294,22200.0,12072.42706,rolling_horizon_sipp,5 19 18 22 24 27 28 47,10133.572939999998,5 19 18 22 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 ...(+500 more),1261,max_ticks,18,22,18,hold,hold_when_sipp_moves,10112.845453,12051.954547,,,,no,28:2;47:2,none,buffer_capacity,hold_when_sipp_moves,model_or_feature_limited,Train against SIPP next-hop rankings and add shortest-to-goal plus downstream reservation features.,first_divergence,4,,3,
legacy_first16_buffer2,pibt_active_bag_replay,11,11,11:storage_in,11,13,1,47,10089.43982,23400.0,13268.56018,rolling_horizon_sipp,1 7 8 11 13 23 24 27 28 47,10144.372939999997,1 7 8 11 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 ...(+501 more),1256,max_ticks,11,13,14,move,different_next_node,10132.845453,13234.754547,,,,no,28:2;47:2,none,buffer_capacity,buffer_capacity_branch_gap,model_or_data_limited,Collect SIPP teacher counterfactual slices and run feature ablations before RL.,first_divergence,4,,4,
legacy_first16_buffer2,pibt_active_bag_replay,12,12,12:storage_in,12,14,0,47,10645.1686,24000.0,13316.4314,rolling_horizon_sipp,0 6 12 13 23 24 27 28 47,10690.568600000002,0 6 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 ...(+836 more),974,max_ticks,28,47,29,move,different_next_node,10717.845453,13278.154547,,,,no,28:2;47:2,none,buffer_capacity,buffer_capacity_branch_gap,model_or_data_limited,Collect SIPP teacher counterfactual slices and run feature ablations before RL.,first_divergence,8,,8,
legacy_first16_buffer2,pibt_active_bag_replay,13,13,13:storage_in,13,15,4,47,10665.17885,24300.0,13594.42115,rolling_horizon_sipp,4 17 18 22 24 27 28 47,10711.57885,4 17 18 22 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 ...(+832 more),969,max_ticks,28,47,29,move,different_next_node,10737.845453,13558.154547,,,,no,28:2;47:2,none,buffer_capacity,buffer_capacity_branch_gap,model_or_data_limited,Collect SIPP teacher counterfactual slices and run feature ablations before RL.,first_divergence,7,,7,
legacy_first16_buffer2,pibt_active_bag_replay,14,14,14:storage_in,14,16,5,47,10673.28828,22200.0,11487.111719999999,rolling_horizon_sipp,5 19 18 22 24 27 28 47,10722.37885,5 19 18 22 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 ...(+830 more),970,max_ticks,22,24,22,hold,hold_when_sipp_moves,10707.845453,11465.354547,,,,no,28:2;47:2,none,buffer_capacity,hold_when_sipp_moves,model_or_feature_limited,Train against SIPP next-hop rankings and add shortest-to-goal plus downstream reservation features.,first_divergence,7,,4,
legacy_first16_buffer2,pibt_active_bag_replay,15,15,15:storage_in,15,17,3,47,10675.8454,24000.0,13282.1546,rolling_horizon_sipp,3 16 21 23 24 27 28 47,10733.178849999998,3 16 21 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 ...(+827 more),968,max_ticks,23,24,23,hold,hold_when_sipp_moves,10727.845453,13254.154547,,,,no,28:2;47:2,none,buffer_capacity,hold_when_sipp_moves,model_or_feature_limited,Train against SIPP next-hop rankings and add shortest-to-goal plus downstream reservation features.,first_divergence,7,,4,
legacy_first32,edge_score_event,15,15,15:storage_in,15,17,3,47,10675.8454,24000.0,13282.1546,rolling_horizon_sipp,3 16 21 23 24 27 28 47,10762.459529999998,3 16 17 18,8,no_safe_action,16,21,17,move,different_next_node,10678.4454,13281.1546,3,3,0,no,none,none,no_fault,wrong_branch_vs_sipp,model_or_data_limited,Collect SIPP teacher counterfactual slices and run feature ablations before RL.,first_divergence,2,143,2,False
legacy_first32,edge_score_event,17,17,17:storage_in,17,19,2,47,10681.47782,24000.0,13274.92218,rolling_horizon_sipp,2 9 7 8 11 14 46 36 38 39 47,10756.077819999999,2 9 7 8,5,no_safe_action,7,8,7,hold,hold_when_sipp_moves,10689.87782,13272.92218,1,2,1,no,none,none,no_fault,hold_when_sipp_moves,model_or_feature_limited,Train against SIPP next-hop rankings and add shortest-to-goal plus downstream reservation features.,first_divergence,4,165,3,False
legacy_first32,edge_score_event,18,18,18:storage_in,18,20,0,47,10684.10647,24000.0,13277.49353,rolling_horizon_sipp,0 6 12 13 23 24 27 28 47,10751.659529999999,0 6 8 11 14 46,18,no_safe_action,6,12,8,move,different_next_node,10688.306470000001,13276.493529999998,3,3,0,no,none,none,no_fault,wrong_branch_vs_sipp,model_or_data_limited,Collect SIPP teacher counterfactual slices and run feature ablations before RL.,first_divergence,2,160,2,False
legacy_first32,edge_score_event,19,19,19:storage_in,19,21,1,47,10686.81115,24900.0,14171.18885,rolling_horizon_sipp,1 7 8 11 13 23 24 27 28 47,10784.059529999997,1 7 8 11 13 23 24 27,11,no_safe_action,8,11,8,hold,hold_when_sipp_moves,10695.21115,14169.18885,1,2,1,no,none,none,no_fault,hold_when_sipp_moves,model_or_feature_limited,Train against SIPP next-hop rankings and add shortest-to-goal plus downstream reservation features.,first_divergence,8,175,3,False
legacy_first32,edge_score_event,25,25,25:storage_in,25,27,4,47,11267.81636,24600.0,13291.78364,rolling_horizon_sipp,4 17 18 22 24 27 28 47,11314.21636,4 17 18,3,no_safe_action,18,22,,unplanned,no_safe_action,11275.016360000001,13289.783639999998,0,2,2,no,none,none,no_fault,no_safe_action_at_divergence,shield_or_timing_limited,Audit safe-mask timing and add no-safe-action risk labels to the dataset.,first_divergence,3,267,3,True
legacy_first32,edge_score_event,26,26,26:storage_in,26,28,4,47,11269.33434,23400.0,12090.265660000001,rolling_horizon_sipp,4 17 18 22 24 27 28 47,11357.416359999997,4 17 18,6,no_safe_action,4,17,4,hold,hold_when_sipp_moves,11269.33434,12090.265660000001,1,2,1,no,none,none,no_fault,hold_when_sipp_moves,model_or_feature_limited,Train against SIPP next-hop rankings and add shortest-to-goal plus downstream reservation features.,first_divergence,3,257,1,False
legacy_first32,edge_score_event,27,27,27:storage_in,27,29,5,47,11270.51203,22200.0,10889.88797,rolling_horizon_sipp,5 19 18 22 24 27 28 47,11346.616359999998,5 19 18 22 26 43 15 14 46,17,no_safe_action,22,24,26,move,different_next_node,11286.31203,10886.887970000002,2,3,1,no,none,none,no_fault,wrong_branch_vs_sipp,model_or_data_limited,Collect SIPP teacher counterfactual slices and run feature ablations before RL.,first_divergence,4,291,4,False
legacy_first32,edge_score_event,30,30,30:storage_in,30,32,5,47,11274.66746,24600.0,13285.732539999999,rolling_horizon_sipp,5 19 25 26 43 15 14 46 36 38 39 47,11362.944479999998,5 19 18,3,no_safe_action,19,25,18,move,different_next_node,11277.267460000001,13284.732539999999,3,3,0,no,none,none,no_fault,wrong_branch_vs_sipp,model_or_data_limited,Collect SIPP teacher counterfactual slices and run feature ablations before RL.,first_divergence,2,273,2,False
