scenario,context,replay_variant,node_kind,decision_count,move_now_legacy,hold_until_safe,reroute_now_legacy,primary_g4a_labels,effective_label_coverage,no_path,repair_or_fallback,blocked_or_abstain
legacy_offset64_repair32,repair_window,wait_fixed_hold_1s,linear,178,120,35,0,155,0.8707865168539326,13,0,10
legacy_offset64_repair32,repair_window,wait_fixed_hold_2s,all,282,175,69,0,244,0.8652482269503546,20,0,18
legacy_offset64_repair32,repair_window,wait_fixed_hold_2s,branch,118,58,51,0,109,0.923728813559322,0,0,9
legacy_offset64_repair32,repair_window,wait_fixed_hold_2s,linear,164,117,18,0,135,0.823170731707317,20,0,9
legacy_offset64_repair32,repair_window,wait_fixed_hold_5s,all,296,192,51,0,243,0.8209459459459459,44,0,9
legacy_offset64_repair32,repair_window,wait_fixed_hold_5s,branch,109,70,32,0,102,0.9357798165137615,0,0,7
legacy_offset64_repair32,repair_window,wait_fixed_hold_5s,linear,187,122,19,0,141,0.7540106951871658,44,0,2
legacy_offset64_repair32,repair_window,jump_to_earliest_safe_time,all,261,143,34,0,177,0.6781609195402298,68,0,16
legacy_offset64_repair32,repair_window,jump_to_earliest_safe_time,branch,72,42,20,0,62,0.8611111111111112,0,0,10
legacy_offset64_repair32,repair_window,jump_to_earliest_safe_time,linear,189,101,14,0,115,0.6084656084656085,68,0,6
legacy_offset64_repair32,repair_window,reroute_from_current_legacy,all,319,194,0,7,201,0.6300940438871473,14,0,104
legacy_offset64_repair32,repair_window,reroute_from_current_legacy,branch,136,67,0,7,74,0.5441176470588235,0,0,62
legacy_offset64_repair32,repair_window,reroute_from_current_legacy,linear,183,127,0,0,127,0.6939890710382514,14,0,42
legacy_offset64_repair32,repair_window,ablation_edge_capacity_2,all,286,206,0,0,206,0.7202797202797203,17,0,63
legacy_offset64_repair32,repair_window,ablation_edge_capacity_2,branch,111,69,0,0,69,0.6216216216216216,0,0,42
legacy_offset64_repair32,repair_window,ablation_edge_capacity_2,linear,175,137,0,0,137,0.7828571428571428,17,0,21
legacy_offset64_repair32,repair_window,ablation_disable_edge_capacity,all,271,247,0,0,247,0.9114391143911439,24,0,0
legacy_offset64_repair32,repair_window,ablation_disable_edge_capacity,branch,107,107,0,0,107,1.0,0,0,0
legacy_offset64_repair32,repair_window,ablation_disable_edge_capacity,linear,164,140,0,0,140,0.8536585365853658,24,0,0
legacy_offset64_repair32,repair_window,ablation_disable_merge_group,all,326,176,0,0,176,0.5398773006134969,13,0,137
legacy_offset64_repair32,repair_window,ablation_disable_merge_group,branch,148,56,0,0,56,0.3783783783783784,0,0,92
legacy_offset64_repair32,repair_window,ablation_disable_merge_group,linear,178,120,0,0,120,0.6741573033707865,13,0,45
legacy_offset64_repair32,repair_window,hybrid_legacy_wait_sipp_fallback,all,254,148,32,0,180,0.7086614173228346,59,7,8
legacy_offset64_repair32,repair_window,hybrid_legacy_wait_sipp_fallback,branch,74,50,20,0,70,0.9459459459459459,0,2,2
legacy_offset64_repair32,repair_window,hybrid_legacy_wait_sipp_fallback,linear,180,98,12,0,110,0.6111111111111112,59,5,6
legacy_offset64_merge32,merge_group,g3c_baseline_reproduction,all,322,164,0,0,164,0.5093167701863354,19,0,139
legacy_offset64_merge32,merge_group,g3c_baseline_reproduction,branch,121,56,0,0,56,0.4628099173553719,0,0,65
legacy_offset64_merge32,merge_group,g3c_baseline_reproduction,linear,201,108,0,0,108,0.5373134328358209,19,0,74
legacy_offset64_merge32,merge_group,wait_fixed_hold_1s,all,322,164,117,0,281,0.8726708074534162,19,0,22
legacy_offset64_merge32,merge_group,wait_fixed_hold_1s,branch,121,56,57,0,113,0.9338842975206612,0,0,8
legacy_offset64_merge32,merge_group,wait_fixed_hold_1s,linear,201,108,60,0,168,0.835820895522388,19,0,14
legacy_offset64_merge32,merge_group,wait_fixed_hold_2s,all,269,165,67,0,232,0.862453531598513,17,0,20
legacy_offset64_merge32,merge_group,wait_fixed_hold_2s,branch,103,58,38,0,96,0.9320388349514563,0,0,7
legacy_offset64_merge32,merge_group,wait_fixed_hold_2s,linear,166,107,29,0,136,0.8192771084337349,17,0,13
legacy_offset64_merge32,merge_group,wait_fixed_hold_5s,all,294,182,58,0,240,0.8163265306122449,46,0,8
legacy_offset64_merge32,merge_group,wait_fixed_hold_5s,branch,104,71,31,0,102,0.9807692307692307,0,0,2
legacy_offset64_merge32,merge_group,wait_fixed_hold_5s,linear,190,111,27,0,138,0.7263157894736842,46,0,6
legacy_offset64_merge32,merge_group,jump_to_earliest_safe_time,all,259,137,35,0,172,0.6640926640926641,52,0,35
legacy_offset64_merge32,merge_group,jump_to_earliest_safe_time,branch,73,46,20,0,66,0.9041095890410958,0,0,7
legacy_offset64_merge32,merge_group,jump_to_earliest_safe_time,linear,186,91,15,0,106,0.5698924731182796,52,0,28
legacy_offset64_merge32,merge_group,reroute_from_current_legacy,all,339,184,0,7,191,0.5634218289085545,16,0,132
legacy_offset64_merge32,merge_group,reroute_from_current_legacy,branch,136,69,0,7,76,0.5588235294117647,0,0,60
legacy_offset64_merge32,merge_group,reroute_from_current_legacy,linear,203,115,0,0,115,0.5665024630541872,16,0,72
legacy_offset64_merge32,merge_group,ablation_edge_capacity_2,all,315,181,0,0,181,0.5746031746031746,19,0,115
legacy_offset64_merge32,merge_group,ablation_edge_capacity_2,branch,91,69,0,0,69,0.7582417582417582,0,0,22
legacy_offset64_merge32,merge_group,ablation_edge_capacity_2,linear,224,112,0,0,112,0.5,19,0,93
legacy_offset64_merge32,merge_group,ablation_disable_edge_capacity,all,295,182,0,0,182,0.6169491525423729,19,0,94
legacy_offset64_merge32,merge_group,ablation_disable_edge_capacity,branch,73,73,0,0,73,1.0,0,0,0
legacy_offset64_merge32,merge_group,ablation_disable_edge_capacity,linear,222,109,0,0,109,0.49099099099099097,19,0,94
legacy_offset64_merge32,merge_group,ablation_disable_merge_group,all,326,176,0,0,176,0.5398773006134969,13,0,137
legacy_offset64_merge32,merge_group,ablation_disable_merge_group,branch,148,56,0,0,56,0.3783783783783784,0,0,92
legacy_offset64_merge32,merge_group,ablation_disable_merge_group,linear,178,120,0,0,120,0.6741573033707865,13,0,45
legacy_offset64_merge32,merge_group,hybrid_legacy_wait_sipp_fallback,all,263,145,36,0,181,0.688212927756654,50,3,29
legacy_offset64_merge32,merge_group,hybrid_legacy_wait_sipp_fallback,branch,77,53,21,0,74,0.961038961038961,0,2,1
legacy_offset64_merge32,merge_group,hybrid_legacy_wait_sipp_fallback,linear,186,92,15,0,107,0.5752688172043011,50,1,28
