decision_id,runtime_bag_id,task_id,segment_id,source_node,goal_node,original_arrival_time,java_arrival_epoch,release_time,source_queue_delay_seconds,raw_arrival_to_release_delta_seconds,source_queue_rank,mapping_source
trace_highflow_4p0:172:520,61,172,172:storage_out:g4irsf11_c0:trace_highflow_4p0,52,49,14270.545860602308,14270,20400.062940602307,6130.062940602307,6129.51708,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2457:521,62,2457,2457:storage_in:g4irsf11_c3:trace_highflow_4p0,2,47,20413.30215599059,20413,20413.30215599059,0.30215599059010856,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2457:522,62,2457,2457:storage_in:g4irsf11_c3:trace_highflow_4p0,2,47,20413.30215599059,20413,20413.30215599059,0.30215599059010856,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2457:523,62,2457,2457:storage_in:g4irsf11_c3:trace_highflow_4p0,2,47,20413.30215599059,20413,20413.30215599059,0.30215599059010856,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2457:524,62,2457,2457:storage_in:g4irsf11_c3:trace_highflow_4p0,2,47,20413.30215599059,20413,20413.30215599059,0.30215599059010856,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2457:525,62,2457,2457:storage_in:g4irsf11_c3:trace_highflow_4p0,2,47,20413.30215599059,20413,20413.30215599059,0.30215599059010856,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2498:526,63,2498,2498:direct:g4irsf11_c3:trace_highflow_4p0,3,48,20466.178970444602,20466,20466.178970444602,0.17897044460187317,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2498:527,63,2498,2498:direct:g4irsf11_c3:trace_highflow_4p0,3,48,20466.178970444602,20466,20466.178970444602,0.17897044460187317,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2498:528,63,2498,2498:direct:g4irsf11_c3:trace_highflow_4p0,3,48,20466.178970444602,20466,20466.178970444602,0.17897044460187317,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2498:529,63,2498,2498:direct:g4irsf11_c3:trace_highflow_4p0,3,48,20466.178970444602,20466,20466.178970444602,0.17897044460187317,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2498:530,63,2498,2498:direct:g4irsf11_c3:trace_highflow_4p0,3,48,20466.178970444602,20466,20466.178970444602,0.17897044460187317,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2498:531,63,2498,2498:direct:g4irsf11_c3:trace_highflow_4p0,3,48,20466.178970444602,20466,20466.178970444602,0.17897044460187317,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2498:532,63,2498,2498:direct:g4irsf11_c3:trace_highflow_4p0,3,48,20466.178970444602,20466,20466.178970444602,0.17897044460187317,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2498:533,63,2498,2498:direct:g4irsf11_c3:trace_highflow_4p0,3,48,20466.178970444602,20466,20466.178970444602,0.17897044460187317,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2542:534,64,2542,2542:direct:g4irsf11_c2:trace_highflow_4p0,5,49,20532.593954604577,20532,20532.593954604577,0.5939546045774478,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2542:535,64,2542,2542:direct:g4irsf11_c2:trace_highflow_4p0,5,49,20532.593954604577,20532,20532.593954604577,0.5939546045774478,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2542:536,64,2542,2542:direct:g4irsf11_c2:trace_highflow_4p0,5,49,20532.593954604577,20532,20532.593954604577,0.5939546045774478,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2542:537,64,2542,2542:direct:g4irsf11_c2:trace_highflow_4p0,5,49,20532.593954604577,20532,20532.593954604577,0.5939546045774478,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2542:538,64,2542,2542:direct:g4irsf11_c2:trace_highflow_4p0,5,49,20532.593954604577,20532,20532.593954604577,0.5939546045774478,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2542:539,64,2542,2542:direct:g4irsf11_c2:trace_highflow_4p0,5,49,20532.593954604577,20532,20532.593954604577,0.5939546045774478,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2542:540,64,2542,2542:direct:g4irsf11_c2:trace_highflow_4p0,5,49,20532.593954604577,20532,20532.593954604577,0.5939546045774478,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2542:541,64,2542,2542:direct:g4irsf11_c2:trace_highflow_4p0,5,49,20532.593954604577,20532,20532.593954604577,0.5939546045774478,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2542:542,64,2542,2542:direct:g4irsf11_c2:trace_highflow_4p0,5,49,20532.593954604577,20532,20532.593954604577,0.5939546045774478,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2542:543,64,2542,2542:direct:g4irsf11_c2:trace_highflow_4p0,5,49,20532.593954604577,20532,20532.593954604577,0.5939546045774478,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2542:544,64,2542,2542:direct:g4irsf11_c2:trace_highflow_4p0,5,49,20532.593954604577,20532,20532.593954604577,0.5939546045774478,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2583:545,65,2583,2583:storage_in:g4irsf11_c0:trace_highflow_4p0,53,47,20590.421424266482,20590,20590.421424266482,0.4214242664820631,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2583:546,65,2583,2583:storage_in:g4irsf11_c0:trace_highflow_4p0,53,47,20590.421424266482,20590,20590.421424266482,0.4214242664820631,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2542:547,64,2542,2542:direct:g4irsf11_c2:trace_highflow_4p0,5,49,20532.593954604577,20532,20532.593954604577,0.5939546045774478,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2583:548,65,2583,2583:storage_in:g4irsf11_c0:trace_highflow_4p0,53,47,20590.421424266482,20590,20590.421424266482,0.4214242664820631,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2583:549,65,2583,2583:storage_in:g4irsf11_c0:trace_highflow_4p0,53,47,20590.421424266482,20590,20590.421424266482,0.4214242664820631,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2583:550,65,2583,2583:storage_in:g4irsf11_c0:trace_highflow_4p0,53,47,20590.421424266482,20590,20590.421424266482,0.4214242664820631,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2583:551,65,2583,2583:storage_in:g4irsf11_c0:trace_highflow_4p0,53,47,20590.421424266482,20590,20590.421424266482,0.4214242664820631,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2627:552,66,2627,2627:direct:g4irsf11_c2:trace_highflow_4p0,0,50,20631.80348633623,20631,20631.80348633623,0.8034863362299802,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2583:553,65,2583,2583:storage_in:g4irsf11_c0:trace_highflow_4p0,53,47,20590.421424266482,20590,20590.421424266482,0.4214242664820631,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2627:554,66,2627,2627:direct:g4irsf11_c2:trace_highflow_4p0,0,50,20631.80348633623,20631,20631.80348633623,0.8034863362299802,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2627:555,66,2627,2627:direct:g4irsf11_c2:trace_highflow_4p0,0,50,20631.80348633623,20631,20631.80348633623,0.8034863362299802,0.0,0,g4irsf7_original_pass_time->pass_time
