record_type,window,trace_kind,round,mode,lane,time,microphase,item_count,wave_count,max_conflict_free_width,parallel_item_count,global_barrier_count,pair_wall_seconds,sum_individual_wall_seconds,overlap_factor,aggregate_event_count,aggregate_events_per_wall_second,run_wall_seconds,business_equivalent,safety_equivalent,status,median_individual_wall_seconds,individual_wall_regression_fraction,latency_guard_pass,effective_width,conflict_free_parallel_item_fraction,top_owner_share,width,group_count,wave_fraction,release_epoch_min,release_epoch_max,release_span_seconds,release_density_segments_per_second,event_trace_coverage_fraction,event_optimistic_effective_width_upper_bound,event_optimistic_parallel_item_fraction_upper_bound,decision_observed_effective_width,decision_observed_parallel_item_fraction,width_gate_pass,fraction_gate_pass
trace_microphase_summary,peak_release_density,event,,,,,4,1536,843,5,1197,0,,,,,,,,,,,,,,,,,281,,,,,,,,,,,,
trace_microphase_summary,peak_release_density,event,,,,,5,16226,9979,6,10143,0,,,,,,,,,,,,,,,,,2643,,,,,,,,,,,,
trace_microphase_summary,peak_release_density,event,,,,,7,3923,2369,6,2519,0,,,,,,,,,,,,,,,,,2245,,,,,,,,,,,,
trace_summary,peak_release_density,decision,,,,,,3949,,6,,0,,,,,,,,,NO_GO_ON_PEAK_RELEASE_512_CANARY,,,,1.609865470852018,0.6231957457584199,0.06913142567738668,,2256,,,,,,,,,,,,
trace_width_histogram,peak_release_density,decision,,,,,,,1488,,,,,,,,,,,,,,,,,,,1,,0.6066041581736649,,,,,,,,,,,
trace_width_histogram,peak_release_density,decision,,,,,,,604,,,,,,,,,,,,,,,,,,,2,,0.2462291072156543,,,,,,,,,,,
trace_width_histogram,peak_release_density,decision,,,,,,,230,,,,,,,,,,,,,,,,,,,3,,0.09376273950264982,,,,,,,,,,,
trace_width_histogram,peak_release_density,decision,,,,,,,99,,,,,,,,,,,,,,,,,,,4,,0.04035874439461883,,,,,,,,,,,
trace_width_histogram,peak_release_density,decision,,,,,,,25,,,,,,,,,,,,,,,,,,,5,,0.010191602119853241,,,,,,,,,,,
trace_width_histogram,peak_release_density,decision,,,,,,,7,,,,,,,,,,,,,,,,,,,6,,0.0028536485935589076,,,,,,,,,,,
trace_microphase_summary,peak_release_density,decision,,,,,5,3949,2453,6,2461,0,,,,,,,,,,,,,,,,,2256,,,,,,,,,,,,
trace_window,prefix,,,,,,,512,,,,,,,,,,,,,NO_GO_ON_PREFIX_512_CANARY,,,,,,,,,,8267.0,27054.0,18787.0,0.0272528876350668,0.9612787686648435,1.1377553830056721,0.19801069674015634,1.0865116279069766,0.1569634703196347,False,False
trace_summary,prefix,event,,,,,,39721,,4,,0,,,,,,,,,NO_GO_ON_PREFIX_512_CANARY,,,,1.0937000936174899,0.16570579794063595,0.09022934971425695,,20364,,,,,,,,,,,,
trace_width_histogram,prefix,event,,,,,,,33139,,,,,,,,,,,,,,,,,,,1,,0.9124676468968556,,,,,,,,,,,
trace_width_histogram,prefix,event,,,,,,,2965,,,,,,,,,,,,,,,,,,,2,,0.08163995814747509,,,,,,,,,,,
trace_width_histogram,prefix,event,,,,,,,204,,,,,,,,,,,,,,,,,,,3,,0.005617049396993226,,,,,,,,,,,
trace_width_histogram,prefix,event,,,,,,,10,,,,,,,,,,,,,,,,,,,4,,0.00027534555867613853,,,,,,,,,,,
trace_microphase_summary,prefix,event,,,,,1,7520,6711,4,1555,0,,,,,,,,,,,,,,,,,5664,,,,,,,,,,,,
trace_microphase_summary,prefix,event,,,,,2,4528,4207,4,626,0,,,,,,,,,,,,,,,,,4027,,,,,,,,,,,,
trace_microphase_summary,prefix,event,,,,,3,8658,8009,4,1264,0,,,,,,,,,,,,,,,,,4062,,,,,,,,,,,,
trace_microphase_summary,prefix,event,,,,,4,1536,1491,3,87,0,,,,,,,,,,,,,,,,,497,,,,,,,,,,,,
trace_microphase_summary,prefix,event,,,,,5,13975,12721,3,2425,0,,,,,,,,,,,,,,,,,3086,,,,,,,,,,,,
trace_microphase_summary,prefix,event,,,,,7,3504,3179,3,625,0,,,,,,,,,,,,,,,,,3028,,,,,,,,,,,,
trace_summary,prefix,decision,,,,,,3504,,3,,0,,,,,,,,,NO_GO_ON_PREFIX_512_CANARY,,,,1.0865116279069766,0.1569634703196347,0.0730593607305936,,3021,,,,,,,,,,,,
trace_width_histogram,prefix,decision,,,,,,,2954,,,,,,,,,,,,,,,,,,,1,,0.915968992248062,,,,,,,,,,,
trace_width_histogram,prefix,decision,,,,,,,263,,,,,,,,,,,,,,,,,,,2,,0.08155038759689923,,,,,,,,,,,
trace_width_histogram,prefix,decision,,,,,,,8,,,,,,,,,,,,,,,,,,,3,,0.00248062015503876,,,,,,,,,,,
trace_microphase_summary,prefix,decision,,,,,5,3504,3225,3,550,0,,,,,,,,,,,,,,,,,3021,,,,,,,,,,,,
throughput_pair,,,0,sequential,,,,,,,,,35.09330790000968,35.09330790000968,1.0,7991918,227733.39072996867,,,,,,,,,,,,,,,,,,,,,,,,
throughput_pair,,,0,parallel,,,,,,,,,20.62584439999773,39.67718399997102,1.923663498594772,7991918,387471.07003293786,,,,,,,,,,,,,,,,,,,,,,,,
throughput_pair,,,1,parallel,,,,,,,,,20.352517399995122,39.09839329999522,1.9210593231088255,7991918,392674.66736089933,,,,,,,,,,,,,,,,,,,,,,,,
throughput_pair,,,1,sequential,,,,,,,,,34.61143069999525,34.61143069999525,1.0,7991918,230904.00594162944,,,,,,,,,,,,,,,,,,,,,,,,
throughput_run,,,0,sequential,A,,,,,,,,,,,3995959,,17.48202820000006,True,True,PASS,,,,,,,,,,,,,,,,,,,,
throughput_run,,,0,sequential,B,,,,,,,,,,,3995959,,17.611279700009618,True,True,PASS,,,,,,,,,,,,,,,,,,,,
throughput_run,,,0,parallel,A,,,,,,,,,,,3995959,,19.84744229997159,True,True,PASS,,,,,,,,,,,,,,,,,,,,
throughput_run,,,0,parallel,B,,,,,,,,,,,3995959,,19.82974169999943,True,True,PASS,,,,,,,,,,,,,,,,,,,,
throughput_run,,,1,parallel,A,,,,,,,,,,,3995959,,19.5578600000008,True,True,PASS,,,,,,,,,,,,,,,,,,,,
throughput_run,,,1,parallel,B,,,,,,,,,,,3995959,,19.540533299994422,True,True,PASS,,,,,,,,,,,,,,,,,,,,
throughput_run,,,1,sequential,B,,,,,,,,,,,3995959,,17.637633100006497,True,True,PASS,,,,,,,,,,,,,,,,,,,,
throughput_run,,,1,sequential,A,,,,,,,,,,,3995959,,16.973797599988757,True,True,PASS,,,,,,,,,,,,,,,,,,,,
throughput_mode_summary,,,,parallel,,,,,,,,,,,,15983836,390055.5146155888,,,,GO_BATCH_THROUGHPUT_ONLY,19.693800850000116,0.1223678831367554,False,,,,,,,,,,,,,,,,,
throughput_mode_summary,,,,sequential,,,,,,,,,,,,15983836,229307.73891459467,,,,GO_BATCH_THROUGHPUT_ONLY,17.54665395000484,0.0,False,,,,,,,,,,,,,,,,,
