sample_id,window_name,context,window_size,task_id,segment_id,current_node,goal_node,candidate_next_nodes,teacher_next_node,time_slack,local_node_time_window_pressure,teacher_static_remaining_hops,teacher_second_best_gap,teacher_downstream_pressure_2hop,teacher_downstream_pressure_3hop,teacher_goal_direction_score,teacher_historical_risk
g4d_move_0035223,g4d_offset64_static512,static_fault,512,502,502:storage_in,6,47,"[8, 12]",12,12444.8,0,6,0,0,0,10,1
g4d_move_0035231,g4d_offset64_static512,static_fault,512,503,503:storage_in,16,47,"[17, 21]",21,11845.67387,0,5,5.2,0,0,17.6,0
g4d_move_0035239,g4d_offset64_static512,static_fault,512,504,504:storage_in,16,47,"[17, 21]",21,5544.4,0,5,5.2,0,0,17.6,0
g4d_move_0035246,g4d_offset64_static512,static_fault,512,505,505:storage_in,19,47,"[18, 25]",18,12143.95909,0,5,0,0,0,2.8,1
g4d_move_0035273,g4d_offset64_static512,static_fault,512,508,508:storage_in,19,47,"[18, 25]",25,12139.15389,0,9,27.2,0,0,-13.2,0
g4d_move_0035287,g4d_offset64_static512,static_fault,512,509,509:storage_in,11,47,"[13, 14]",13,7326.55389,0,5,0,0,0,11.2,1
g4d_move_0035296,g4d_offset64_static512,static_fault,512,510,510:storage_in,11,47,"[13, 14]",13,13628.89806,0,5,0,0,0,11.2,1
g4d_move_0035304,g4d_offset64_static512,static_fault,512,511,511:storage_in,16,47,"[17, 21]",21,10038.4,0,5,5.2,0,0,17.6,0
g4d_move_0035312,g4d_offset64_static512,static_fault,512,512,512:storage_in,16,47,"[17, 21]",21,10936.40006,0,5,5.2,0,0,17.6,0
g4d_move_0035341,g4d_offset64_static512,static_fault,512,515,515:storage_in,19,47,"[18, 25]",25,6434.88793,0,9,27.2,0,0,-13.2,0
g4d_move_0035365,g4d_offset64_static512,static_fault,512,517,517:storage_in,19,47,"[18, 25]",18,8232.4,0,5,0,0,1,2.8,1
g4d_move_0035377,g4d_offset64_static512,static_fault,512,518,518:storage_in,16,47,"[17, 21]",21,9732.3937,0,5,5.2,0,0,17.6,0
g4d_move_0035384,g4d_offset64_static512,static_fault,512,519,519:storage_in,6,47,"[8, 12]",8,6730.36017,0,7,3.2,0,0,-0.4,0
g4d_move_0035386,g4d_offset64_static512,static_fault,512,519,519:storage_in,11,47,"[13, 14]",14,6722.36017,0,5,22,0,0,-9.2,0
g4d_move_0035393,g4d_offset64_static512,static_fault,512,520,520:storage_in,16,47,"[17, 21]",21,9730.76024,0,5,5.2,0,0,17.6,0
g4d_move_0035427,g4d_offset64_static512,static_fault,512,525,525:storage_in,19,47,"[18, 25]",25,9726.78455,0,9,27.2,0,0,-13.2,0
g4d_move_0035441,g4d_offset64_static512,static_fault,512,526,526:storage_in,11,47,"[13, 14]",13,6713.98884,0,5,0,0,0,11.2,1
