sample_id,source_failure_sample_id,state_kind,scenario,context,task_id,segment_id,current_node,goal_node,candidate_next_nodes,teacher_next_node,predicted_next_node_from_g4b,original_teacher_next_node,current_time,task_entry_time,deadline_or_std,time_slack,candidate_shortest_time_to_goal,candidate_travel_time,candidate_service_time,candidate_node_type,candidate_fault_status,local_node_time_window_pressure,local_queue_or_occupancy_summary,source_retry_age_seconds,label_type,relabel_status,relabel_route_path,teacher_query_scope,split,edge_capacity_primary
g4c_relabel_teacher_state_000005,g4a_move_000735,teacher_state_failure_relabel,legacy_offset64_merge32,merge_window,76,76:storage_in,11,47,"[13, 14]",13,13,14,12507.12141,12491.92141,24600,12092.87859,"{""13"": 21.2, ""14"": 41.6}","{""13"": 11.2, ""14"": 12.8}","{""13"": 1.0, ""14"": 1.0}","{""13"": 5, ""14"": 5}","{""13"": false, ""14"": false}",0,"{""out_degree"": 2, ""source"": ""g4c_relabel_query""}",0,MOVE_TO_NEXT_CIE,cie_astar_relabelled,"[11, 13, 23, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity,train,False
g4c_relabel_learner_state_000005,g4a_move_000735,learner_visited_after_wrong_next,legacy_offset64_merge32,merge_window,76,76:storage_in,13,47,[23],23,13,14,12519.32141,12491.92141,24600,12080.67859,"{""23"": 18.0}","{""23"": 3.2}","{""23"": 1.0}","{""23"": 5}","{""23"": false}",0,"{""out_degree"": 1, ""source"": ""g4c_relabel_query""}",0,MOVE_TO_NEXT_CIE,cie_astar_relabelled,"[13, 23, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity,train,False
g4c_relabel_teacher_state_000006,g4a_move_000775,teacher_state_failure_relabel,legacy_offset64_merge32,merge_window,81,81:storage_in,19,47,"[18, 25]",18,18,25,13054.44528,13051.84528,26400,13345.55472,"{""18"": 35.2, ""25"": 51.2}","{""18"": 2.8, ""25"": 14.0}","{""18"": 1.0, ""25"": 1.0}","{""18"": 5, ""25"": 5}","{""18"": false, ""25"": false}",0,"{""out_degree"": 2, ""source"": ""g4c_relabel_query""}",0,MOVE_TO_NEXT_CIE,cie_astar_relabelled,"[19, 18, 22, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity,train,False
g4c_relabel_learner_state_000006,g4a_move_000775,learner_visited_after_wrong_next,legacy_offset64_merge32,merge_window,81,81:storage_in,18,47,[22],22,18,25,13058.24528,13051.84528,26400,13341.75472,"{""22"": 26.8}","{""22"": 8.4}","{""22"": 1.0}","{""22"": 4}","{""22"": false}",0,"{""out_degree"": 1, ""source"": ""g4c_relabel_query""}",0,MOVE_TO_NEXT_CIE,cie_astar_relabelled,"[18, 22, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity,train,False
g4c_relabel_teacher_state_000007,g4a_move_000853,teacher_state_failure_relabel,legacy_offset64_merge32,merge_window,90,90:storage_in,6,47,"[8, 12]",12,12,8,13074.2,13067.93782,25200,12125.8,"{""12"": 25.2, ""8"": 35.6}","{""12"": 10.0, ""8"": 2.8}","{""12"": 1.0, ""8"": 1.0}","{""12"": 5, ""8"": 5}","{""12"": false, ""8"": false}",0,"{""out_degree"": 2, ""source"": ""g4c_relabel_query""}",0,MOVE_TO_NEXT_CIE,cie_astar_relabelled,"[6, 12, 13, 23, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity,train,False
g4c_relabel_learner_state_000007,g4a_move_000853,learner_visited_after_wrong_next,legacy_offset64_merge32,merge_window,90,90:storage_in,12,47,[13],13,12,8,13085.2,13067.93782,25200,12114.8,"{""13"": 21.2}","{""13"": 4.0}","{""13"": 1.0}","{""13"": 5}","{""13"": false}",0,"{""out_degree"": 1, ""source"": ""g4c_relabel_query""}",0,MOVE_TO_NEXT_CIE,cie_astar_relabelled,"[12, 13, 23, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity,train,False
g4c_relabel_teacher_state_000008,g4a_move_000855,teacher_state_failure_relabel,legacy_offset64_merge32,merge_window,90,90:storage_in,11,47,"[13, 14]",13,13,14,13082.2,13067.93782,25200,12117.8,"{""13"": 21.2, ""14"": 41.6}","{""13"": 11.2, ""14"": 12.8}","{""13"": 1.0, ""14"": 1.0}","{""13"": 5, ""14"": 5}","{""13"": false, ""14"": false}",0,"{""out_degree"": 2, ""source"": ""g4c_relabel_query""}",0,MOVE_TO_NEXT_CIE,cie_astar_relabelled,"[11, 13, 23, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity,train,False
g4c_relabel_learner_state_000008,g4a_move_000855,learner_visited_after_wrong_next,legacy_offset64_merge32,merge_window,90,90:storage_in,13,47,[23],23,13,14,13094.4,13067.93782,25200,12105.6,"{""23"": 18.0}","{""23"": 3.2}","{""23"": 1.0}","{""23"": 5}","{""23"": false}",0,"{""out_degree"": 1, ""source"": ""g4c_relabel_query""}",0,MOVE_TO_NEXT_CIE,cie_astar_relabelled,"[13, 23, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity,train,False
g4c_relabel_teacher_state_000009,g4a_move_001004,teacher_state_failure_relabel,legacy_offset64_repair32,repair_window,75,75:storage_in,16,47,"[17, 21]",17,17,21,12493.37417,12490.77417,23400,10906.62583,"{""17"": 36.8, ""21"": 22.8}","{""17"": 3.6, ""21"": 22.8}","{""17"": 1.0, ""21"": 1.0}","{""17"": 5, ""21"": 5}","{""17"": false, ""21"": false}",0,"{""out_degree"": 2, ""source"": ""g4c_relabel_query""}",0,MOVE_TO_NEXT_CIE,cie_astar_relabelled,"[16, 17, 18, 22, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity,train,False
g4c_relabel_learner_state_000009,g4a_move_001004,learner_visited_after_wrong_next,legacy_offset64_repair32,repair_window,75,75:storage_in,17,47,[18],18,17,21,12497.97417,12490.77417,23400,10902.02583,"{""18"": 35.2}","{""18"": 1.6}","{""18"": 1.0}","{""18"": 5}","{""18"": false}",0,"{""out_degree"": 1, ""source"": ""g4c_relabel_query""}",0,MOVE_TO_NEXT_CIE,cie_astar_relabelled,"[17, 18, 22, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity,train,False
g4c_relabel_teacher_state_000010,g4a_move_001014,teacher_state_failure_relabel,legacy_offset64_repair32,repair_window,76,76:storage_in,11,47,"[13, 14]",13,13,14,12507.12141,12491.92141,24600,12092.87859,"{""13"": 21.2, ""14"": 41.6}","{""13"": 11.2, ""14"": 12.8}","{""13"": 1.0, ""14"": 1.0}","{""13"": 5, ""14"": 5}","{""13"": false, ""14"": false}",0,"{""out_degree"": 2, ""source"": ""g4c_relabel_query""}",0,MOVE_TO_NEXT_CIE,cie_astar_relabelled,"[11, 13, 23, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity,train,False
g4c_relabel_learner_state_000010,g4a_move_001014,learner_visited_after_wrong_next,legacy_offset64_repair32,repair_window,76,76:storage_in,13,47,[23],23,13,14,12519.32141,12491.92141,24600,12080.67859,"{""23"": 18.0}","{""23"": 3.2}","{""23"": 1.0}","{""23"": 5}","{""23"": false}",0,"{""out_degree"": 1, ""source"": ""g4c_relabel_query""}",0,MOVE_TO_NEXT_CIE,cie_astar_relabelled,"[13, 23, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity,train,False
g4c_relabel_teacher_state_000011,g4a_move_001054,teacher_state_failure_relabel,legacy_offset64_repair32,repair_window,81,81:storage_in,19,47,"[18, 25]",18,18,25,13054.44528,13051.84528,26400,13345.55472,"{""18"": 35.2, ""25"": 51.2}","{""18"": 2.8, ""25"": 14.0}","{""18"": 1.0, ""25"": 1.0}","{""18"": 5, ""25"": 5}","{""18"": false, ""25"": false}",0,"{""out_degree"": 2, ""source"": ""g4c_relabel_query""}",0,MOVE_TO_NEXT_CIE,cie_astar_relabelled,"[19, 18, 22, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity,train,False
g4c_relabel_learner_state_000011,g4a_move_001054,learner_visited_after_wrong_next,legacy_offset64_repair32,repair_window,81,81:storage_in,18,47,[22],22,18,25,13058.24528,13051.84528,26400,13341.75472,"{""22"": 26.8}","{""22"": 8.4}","{""22"": 1.0}","{""22"": 4}","{""22"": false}",0,"{""out_degree"": 1, ""source"": ""g4c_relabel_query""}",0,MOVE_TO_NEXT_CIE,cie_astar_relabelled,"[18, 22, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity,train,False
g4c_relabel_teacher_state_000012,g4a_move_001132,teacher_state_failure_relabel,legacy_offset64_repair32,repair_window,90,90:storage_in,6,47,"[8, 12]",12,12,8,13074.2,13067.93782,25200,12125.8,"{""12"": 25.2, ""8"": 35.6}","{""12"": 10.0, ""8"": 2.8}","{""12"": 1.0, ""8"": 1.0}","{""12"": 5, ""8"": 5}","{""12"": false, ""8"": false}",0,"{""out_degree"": 2, ""source"": ""g4c_relabel_query""}",0,MOVE_TO_NEXT_CIE,cie_astar_relabelled,"[6, 12, 13, 23, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity,train,False
g4c_relabel_learner_state_000012,g4a_move_001132,learner_visited_after_wrong_next,legacy_offset64_repair32,repair_window,90,90:storage_in,12,47,[13],13,12,8,13085.2,13067.93782,25200,12114.8,"{""13"": 21.2}","{""13"": 4.0}","{""13"": 1.0}","{""13"": 5}","{""13"": false}",0,"{""out_degree"": 1, ""source"": ""g4c_relabel_query""}",0,MOVE_TO_NEXT_CIE,cie_astar_relabelled,"[12, 13, 23, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity,train,False
g4c_relabel_teacher_state_000013,g4a_move_001134,teacher_state_failure_relabel,legacy_offset64_repair32,repair_window,90,90:storage_in,11,47,"[13, 14]",13,13,14,13082.2,13067.93782,25200,12117.8,"{""13"": 21.2, ""14"": 41.6}","{""13"": 11.2, ""14"": 12.8}","{""13"": 1.0, ""14"": 1.0}","{""13"": 5, ""14"": 5}","{""13"": false, ""14"": false}",0,"{""out_degree"": 2, ""source"": ""g4c_relabel_query""}",0,MOVE_TO_NEXT_CIE,cie_astar_relabelled,"[11, 13, 23, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity,train,False
g4c_relabel_learner_state_000013,g4a_move_001134,learner_visited_after_wrong_next,legacy_offset64_repair32,repair_window,90,90:storage_in,13,47,[23],23,13,14,13094.4,13067.93782,25200,12105.6,"{""23"": 18.0}","{""23"": 3.2}","{""23"": 1.0}","{""23"": 5}","{""23"": false}",0,"{""out_degree"": 1, ""source"": ""g4c_relabel_query""}",0,MOVE_TO_NEXT_CIE,cie_astar_relabelled,"[13, 23, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity,train,False
