scenario,family,seed,task_count,node_count,edge_count,spacing,fault_edges,fault_windows,node_capacities,merge_groups,merge_capacity,merge_headway_seconds,python_planned,cpp_planned,python_unplanned,cpp_unplanned,python_active_steps,cpp_active_steps,python_ticks,cpp_ticks,python_peak_active_bags,cpp_peak_active_bags,python_holds,cpp_holds,python_conflicts,cpp_conflicts,python_mean_travel_time,cpp_mean_travel_time,mean_travel_abs_diff,python_makespan,cpp_makespan,makespan_abs_diff,python_elapsed_seconds,cpp_elapsed_seconds,cpp_speedup,parity_pass,first_mismatch_field,python_value,cpp_value,notes,layers,source_mode,goal_mode,branch_probability,shortcut_probability,source_histogram,goal_histogram
random_topo_seed233_shortcut_dense,rolling_horizon_sipp,233,48,22,69,0.42,none,"6->10@[3.000,12.000);12->18@[8.000,20.000)",6:2;10:2;14:2,5->18:118;6->10:110;7->10:110;8->10:110;9->10:110;10->18:118;11->18:118;12->18:118;13->18:118,1,0.25,48,48,0,0,48,48,0,0,0,0,0,0,0,0,23.174859450206828,23.174859450206828,0.0,57.75673202170577,57.75673202170577,0.0,0.03319129999727011,0.055455599911510944,0.598520258553376,True,none,,,random DAG-like synthetic topology; layers=5-5-4-5-3; source_mode=skewed; goal_mode=alternating; sources=0:37;1:5;2:2;3:1;4:3; goals=19:16;20:16;21:16,5-5-4-5-3,skewed,alternating,0.6,0.3,0:37;1:5;2:2;3:1;4:3,19:16;20:16;21:16
random_topo_seed233_shortcut_dense,periodic_replanning_sipp,233,48,22,69,0.42,none,"6->10@[3.000,12.000);12->18@[8.000,20.000)",6:2;10:2;14:2,5->18:118;6->10:110;7->10:110;8->10:110;9->10:110;10->18:118;11->18:118;12->18:118;13->18:118,1,0.25,48,48,0,0,186,186,30,30,42,42,0,0,0,0,27.481014319580797,27.481014319580797,0.0,63.58091533417103,63.58091533417103,0.0,0.043093199958093464,0.09120510006323457,0.4724867351520471,True,none,,,random DAG-like synthetic topology; layers=5-5-4-5-3; source_mode=skewed; goal_mode=alternating; sources=0:37;1:5;2:2;3:1;4:3; goals=19:16;20:16;21:16,5-5-4-5-3,skewed,alternating,0.6,0.3,0:37;1:5;2:2;3:1;4:3,19:16;20:16;21:16
random_topo_seed233_shortcut_dense,pibt_active_bag_replay,233,48,22,69,0.42,none,"6->10@[3.000,12.000);12->18@[8.000,20.000)",6:2;10:2;14:2,5->18:118;6->10:110;7->10:110;8->10:110;9->10:110;10->18:118;11->18:118;12->18:118;13->18:118,1,0.25,48,48,0,0,191,191,46,46,13,13,9,9,0,0,49.23216399353708,49.232163993537085,7.105427357601002e-15,93.45797589138103,93.45797589138103,0.0,0.021341000101529062,0.028816800098866224,0.7405749433771693,True,none,,,random DAG-like synthetic topology; layers=5-5-4-5-3; source_mode=skewed; goal_mode=alternating; sources=0:37;1:5;2:2;3:1;4:3; goals=19:16;20:16;21:16,5-5-4-5-3,skewed,alternating,0.6,0.3,0:37;1:5;2:2;3:1;4:3,19:16;20:16;21:16
random_topo_seed233_shortcut_dense,edge_score_event,233,48,22,69,0.42,none,"6->10@[3.000,12.000);12->18@[8.000,20.000)",6:2;10:2;14:2,5->18:118;6->10:110;7->10:110;8->10:110;9->10:110;10->18:118;11->18:118;12->18:118;13->18:118,1,0.25,25,25,23,23,149,149,0,0,0,0,0,0,0,0,13.74296115531216,13.742961155312159,1.7763568394002505e-15,35.43765512558388,35.43765512558388,0.0,0.06239380000624806,0.027179700089618564,2.295602961052529,True,none,,,random DAG-like synthetic topology; layers=5-5-4-5-3; source_mode=skewed; goal_mode=alternating; sources=0:37;1:5;2:2;3:1;4:3; goals=19:16;20:16;21:16,5-5-4-5-3,skewed,alternating,0.6,0.3,0:37;1:5;2:2;3:1;4:3,19:16;20:16;21:16
random_topo_seed233_shortcut_dense,fallback_event,233,48,22,69,0.42,none,"6->10@[3.000,12.000);12->18@[8.000,20.000)",6:2;10:2;14:2,5->18:118;6->10:110;7->10:110;8->10:110;9->10:110;10->18:118;11->18:118;12->18:118;13->18:118,1,0.25,26,26,22,22,145,145,0,0,0,0,0,0,0,0,14.389352671559573,14.389352671559571,1.7763568394002505e-15,37.460790050599066,37.460790050599066,0.0,0.023540299967862666,0.021245600073598325,1.1080082410623902,True,none,,,random DAG-like synthetic topology; layers=5-5-4-5-3; source_mode=skewed; goal_mode=alternating; sources=0:37;1:5;2:2;3:1;4:3; goals=19:16;20:16;21:16,5-5-4-5-3,skewed,alternating,0.6,0.3,0:37;1:5;2:2;3:1;4:3,19:16;20:16;21:16
random_topo_seed239_sparse_repair,rolling_horizon_sipp,239,34,14,22,0.75,none,"3->8@[4.000,18.000)",none,none,1,0.0,34,34,0,0,34,34,0,0,0,0,0,0,0,0,42.501752797976415,42.50175279797642,7.105427357601002e-15,93.34283442569074,93.34283442569074,0.0,0.008586200070567429,0.016521599958650768,0.519695434586023,True,none,,,random DAG-like synthetic topology; layers=3-3-3-3-2; source_mode=burst; goal_mode=skewed; sources=0:12;1:12;2:10; goals=12:25;13:9,3-3-3-3-2,burst,skewed,0.22,0.05,0:12;1:12;2:10,12:25;13:9
random_topo_seed239_sparse_repair,periodic_replanning_sipp,239,34,14,22,0.75,none,"3->8@[4.000,18.000)",none,none,1,0.0,34,34,0,0,133,133,37,37,34,34,0,0,0,0,51.93211074554982,51.932110745549814,7.105427357601002e-15,119.96030287203693,119.96030287203693,0.0,0.012567900004796684,0.026801500003784895,0.46892524683401493,True,none,,,random DAG-like synthetic topology; layers=3-3-3-3-2; source_mode=burst; goal_mode=skewed; sources=0:12;1:12;2:10; goals=12:25;13:9,3-3-3-3-2,burst,skewed,0.22,0.05,0:12;1:12;2:10,12:25;13:9
random_topo_seed239_sparse_repair,pibt_active_bag_replay,239,34,14,22,0.75,none,"3->8@[4.000,18.000)",none,none,1,0.0,34,34,0,0,245,245,80,80,9,9,116,116,0,0,82.12042958072905,82.12042958072905,0.0,163.04635011332857,163.04635011332857,0.0,0.01674799993634224,0.026836700038984418,0.62407076548209,True,none,,,random DAG-like synthetic topology; layers=3-3-3-3-2; source_mode=burst; goal_mode=skewed; sources=0:12;1:12;2:10; goals=12:25;13:9,3-3-3-3-2,burst,skewed,0.22,0.05,0:12;1:12;2:10,12:25;13:9
random_topo_seed239_sparse_repair,edge_score_event,239,34,14,22,0.75,none,"3->8@[4.000,18.000)",none,none,1,0.0,8,8,26,26,99,99,0,0,0,0,0,0,0,0,19.38323119729885,19.383231197298855,3.552713678800501e-15,32.1346992745447,32.1346992745447,0.0,0.02701140008866787,0.012161799939349294,2.221003488247899,True,none,,,random DAG-like synthetic topology; layers=3-3-3-3-2; source_mode=burst; goal_mode=skewed; sources=0:12;1:12;2:10; goals=12:25;13:9,3-3-3-3-2,burst,skewed,0.22,0.05,0:12;1:12;2:10,12:25;13:9
random_topo_seed239_sparse_repair,fallback_event,239,34,14,22,0.75,none,"3->8@[4.000,18.000)",none,none,1,0.0,8,8,26,26,87,87,0,0,0,0,0,0,0,0,18.46667917721614,18.466679177216143,3.552713678800501e-15,28.134699274544698,28.134699274544698,0.0,0.008095999946817756,0.007856399985030293,1.0304974240420548,True,none,,,random DAG-like synthetic topology; layers=3-3-3-3-2; source_mode=burst; goal_mode=skewed; sources=0:12;1:12;2:10; goals=12:25;13:9,3-3-3-3-2,burst,skewed,0.22,0.05,0:12;1:12;2:10,12:25;13:9
