fixture,start,goal,python_path,cpp_path,path_length,strict_parity_pass,notes
map2_start_end,2,49,"[2, 9, 7, 8, 11, 14, 46, 36, 38, 37, 49]","[2, 9, 7, 8, 11, 14, 46, 36, 38, 37, 49]",11,True,all map2 start/end A* cases
map2_start_end,2,50,"[2, 9, 7, 8, 11, 14, 46, 36, 44, 50]","[2, 9, 7, 8, 11, 14, 46, 36, 44, 50]",10,True,all map2 start/end A* cases
map2_start_end,2,51,"[2, 9, 7, 8, 11, 14, 46, 35, 51]","[2, 9, 7, 8, 11, 14, 46, 35, 51]",9,True,all map2 start/end A* cases
map2_start_end,3,47,"[3, 16, 17, 18, 22, 24, 27, 28, 47]","[3, 16, 17, 18, 22, 24, 27, 28, 47]",9,True,all map2 start/end A* cases
map2_start_end,3,48,"[3, 16, 17, 18, 22, 24, 27, 45, 48]","[3, 16, 17, 18, 22, 24, 27, 45, 48]",9,True,all map2 start/end A* cases
map2_start_end,3,49,"[3, 16, 17, 18, 22, 24, 27, 28, 29, 30, 31, 32, 37, 49]","[3, 16, 17, 18, 22, 24, 27, 28, 29, 30, 31, 32, 37, 49]",14,True,all map2 start/end A* cases
map2_start_end,3,50,"[3, 16, 17, 18, 22, 26, 43, 15, 14, 46, 36, 44, 50]","[3, 16, 17, 18, 22, 26, 43, 15, 14, 46, 36, 44, 50]",13,True,all map2 start/end A* cases
map2_start_end,3,51,"[3, 16, 17, 18, 22, 26, 43, 15, 14, 46, 35, 51]","[3, 16, 17, 18, 22, 26, 43, 15, 14, 46, 35, 51]",12,True,all map2 start/end A* cases
map2_start_end,4,47,"[4, 17, 18, 22, 24, 27, 28, 47]","[4, 17, 18, 22, 24, 27, 28, 47]",8,True,all map2 start/end A* cases
map2_start_end,4,48,"[4, 17, 18, 22, 24, 27, 45, 48]","[4, 17, 18, 22, 24, 27, 45, 48]",8,True,all map2 start/end A* cases
map2_start_end,4,49,"[4, 17, 18, 22, 24, 27, 28, 29, 30, 31, 32, 37, 49]","[4, 17, 18, 22, 24, 27, 28, 29, 30, 31, 32, 37, 49]",13,True,all map2 start/end A* cases
map2_start_end,4,50,"[4, 17, 18, 22, 26, 43, 15, 14, 46, 36, 44, 50]","[4, 17, 18, 22, 26, 43, 15, 14, 46, 36, 44, 50]",12,True,all map2 start/end A* cases
map2_start_end,4,51,"[4, 17, 18, 22, 26, 43, 15, 14, 46, 35, 51]","[4, 17, 18, 22, 26, 43, 15, 14, 46, 35, 51]",11,True,all map2 start/end A* cases
map2_start_end,5,47,"[5, 19, 18, 22, 24, 27, 28, 47]","[5, 19, 18, 22, 24, 27, 28, 47]",8,True,all map2 start/end A* cases
map2_start_end,5,48,"[5, 19, 18, 22, 24, 27, 45, 48]","[5, 19, 18, 22, 24, 27, 45, 48]",8,True,all map2 start/end A* cases
map2_start_end,5,49,"[5, 19, 18, 22, 24, 27, 28, 29, 30, 31, 32, 37, 49]","[5, 19, 18, 22, 24, 27, 28, 29, 30, 31, 32, 37, 49]",13,True,all map2 start/end A* cases
map2_start_end,5,50,"[5, 19, 25, 26, 43, 15, 14, 46, 36, 44, 50]","[5, 19, 25, 26, 43, 15, 14, 46, 36, 44, 50]",11,True,all map2 start/end A* cases
map2_start_end,5,51,"[5, 19, 25, 26, 43, 15, 14, 46, 35, 51]","[5, 19, 25, 26, 43, 15, 14, 46, 35, 51]",10,True,all map2 start/end A* cases
map2_start_end,52,47,"[52, 29, 30, 31, 32, 33, 34, 12, 13, 23, 24, 27, 28, 47]","[52, 29, 30, 31, 32, 33, 34, 12, 13, 23, 24, 27, 28, 47]",14,True,all map2 start/end A* cases
map2_start_end,52,48,"[52, 40, 41, 45, 48]","[52, 40, 41, 45, 48]",5,True,all map2 start/end A* cases
map2_start_end,52,49,"[52, 29, 30, 31, 32, 37, 49]","[52, 29, 30, 31, 32, 37, 49]",7,True,all map2 start/end A* cases
map2_start_end,52,50,"[52, 29, 30, 31, 32, 33, 44, 50]","[52, 29, 30, 31, 32, 33, 44, 50]",8,True,all map2 start/end A* cases
map2_start_end,52,51,"[52, 29, 30, 31, 32, 33, 34, 35, 51]","[52, 29, 30, 31, 32, 33, 34, 35, 51]",9,True,all map2 start/end A* cases
map2_start_end,53,47,"[53, 20, 21, 23, 24, 27, 28, 47]","[53, 20, 21, 23, 24, 27, 28, 47]",8,True,all map2 start/end A* cases
map2_start_end,53,48,"[53, 20, 21, 23, 24, 27, 45, 48]","[53, 20, 21, 23, 24, 27, 45, 48]",8,True,all map2 start/end A* cases
map2_start_end,53,49,"[53, 20, 10, 15, 14, 46, 36, 38, 37, 49]","[53, 20, 10, 15, 14, 46, 36, 38, 37, 49]",10,True,all map2 start/end A* cases
map2_start_end,53,50,"[53, 20, 10, 15, 14, 46, 36, 44, 50]","[53, 20, 10, 15, 14, 46, 36, 44, 50]",9,True,all map2 start/end A* cases
map2_start_end,53,51,"[53, 20, 10, 15, 14, 46, 35, 51]","[53, 20, 10, 15, 14, 46, 35, 51]",8,True,all map2 start/end A* cases
legacy_example1_ragged_heuristic,0,9,"[0, 1, 3, 5, 8, 9]","[0, 1, 3, 5, 8, 9]",6,True,Java-compatible ragged heuristic fixture
legacy_example1_ragged_heuristic,1,9,"[1, 3, 5, 8, 9]","[1, 3, 5, 8, 9]",5,True,Java-compatible ragged heuristic fixture
legacy_example1_ragged_heuristic,2,9,"[2, 4, 6, 7, 9]","[2, 4, 6, 7, 9]",5,True,Java-compatible ragged heuristic fixture
legacy_example1_ragged_heuristic,3,9,"[3, 5, 8, 9]","[3, 5, 8, 9]",4,True,Java-compatible ragged heuristic fixture
legacy_example1_ragged_heuristic,4,9,"[4, 6, 7, 9]","[4, 6, 7, 9]",4,True,Java-compatible ragged heuristic fixture
legacy_example1_ragged_heuristic,5,9,"[5, 8, 9]","[5, 8, 9]",3,True,Java-compatible ragged heuristic fixture
legacy_example1_ragged_heuristic,6,9,"[6, 7, 9]","[6, 7, 9]",3,True,Java-compatible ragged heuristic fixture
legacy_example1_ragged_heuristic,7,9,"[7, 9]","[7, 9]",2,True,Java-compatible ragged heuristic fixture
legacy_example1_ragged_heuristic,8,9,"[8, 9]","[8, 9]",2,True,Java-compatible ragged heuristic fixture
legacy_example1_ragged_heuristic,10,9,"[10, 2, 4, 6, 7, 9]","[10, 2, 4, 6, 7, 9]",6,True,Java-compatible ragged heuristic fixture
