map,scale,arm,full_reference_arm,metric,metric_label,preferred_direction,comparison_status,arm_value,full_s4_value,delta_arm_minus_full_s4,binary_sha256_match,base_full_s4_request_sha256_match,workload_sha256_match,population_contract_match
map2,2,H_PLUS_Q_PLUS_I,FULL_S4,missed_bag_count,missed raw bags,lower,COMPLETE,128,137,-9.0,True,True,True,True
map2,2,H_PLUS_Q_PLUS_I,FULL_S4,missed_bag_rate,missed rate,lower,COMPLETE,0.0022451413737458736,0.0024030028765873457,-0.00015786150284147205,True,True,True,True
map2,2,H_PLUS_Q_PLUS_I,FULL_S4,tardiness_sum_seconds,fixed-horizon tardiness sum (s),lower,COMPLETE,73552.19001999972,80310.00100999969,-6757.810989999969,True,True,True,True
map2,2,H_PLUS_Q_PLUS_I,FULL_S4,tardiness_mean_seconds,fixed-horizon tardiness mean (s),lower,COMPLETE,1.2901176948712503,1.4086508280712777,-0.11853313320002745,True,True,True,True
map2,2,H_PLUS_Q_PLUS_I,FULL_S4,tardiness_p95_seconds,fixed-horizon tardiness P95 (s),lower,COMPLETE,0.0,0.0,0.0,True,True,True,True
map2,2,H_PLUS_Q_PLUS_I,FULL_S4,tardiness_p99_seconds,fixed-horizon tardiness P99 (s),lower,COMPLETE,0.0,0.0,0.0,True,True,True,True
map2,2,H_PLUS_Q_PLUS_I,FULL_S4,backlog_area_seconds,raw-bag backlog area (bag-s),lower,COMPLETE,144773009.5859792,144729150.0641583,43859.521820902824,True,True,True,True
map2,2,H_PLUS_Q_PLUS_I,FULL_S4,backlog_peak,raw-bag peak backlog,lower,COMPLETE,4549,4539,10.0,True,True,True,True
map2,2,H_PLUS_Q_PLUS_I,FULL_S4,backlog_end,raw-bag end backlog,lower,COMPLETE,0,0,0.0,True,True,True,True
map2,2,FULL_MINUS_WC,FULL_S4,completed_raw_bag_count,completed raw bags,higher,MISSING_OR_INVALID_ARM,NA,57012,NA,NA,NA,NA,NA
map2,2,FULL_MINUS_WC,FULL_S4,completion_rate,completion rate,higher,MISSING_OR_INVALID_ARM,NA,1.0,NA,NA,NA,NA,NA
map2,2,FULL_MINUS_WC,FULL_S4,on_time_raw_bag_count,on-time raw bags,higher,MISSING_OR_INVALID_ARM,NA,56875,NA,NA,NA,NA,NA
map2,2,FULL_MINUS_WC,FULL_S4,on_time_rate,on-time rate,higher,MISSING_OR_INVALID_ARM,NA,0.9975969971234127,NA,NA,NA,NA,NA
map2,2,FULL_MINUS_WC,FULL_S4,missed_bag_count,missed raw bags,lower,MISSING_OR_INVALID_ARM,NA,137,NA,NA,NA,NA,NA
map2,2,FULL_MINUS_WC,FULL_S4,missed_bag_rate,missed rate,lower,MISSING_OR_INVALID_ARM,NA,0.0024030028765873457,NA,NA,NA,NA,NA
map2,2,FULL_MINUS_WC,FULL_S4,tardiness_sum_seconds,fixed-horizon tardiness sum (s),lower,MISSING_OR_INVALID_ARM,NA,80310.00100999969,NA,NA,NA,NA,NA
map2,2,FULL_MINUS_WC,FULL_S4,tardiness_mean_seconds,fixed-horizon tardiness mean (s),lower,MISSING_OR_INVALID_ARM,NA,1.4086508280712777,NA,NA,NA,NA,NA
map2,2,FULL_MINUS_WC,FULL_S4,tardiness_p95_seconds,fixed-horizon tardiness P95 (s),lower,MISSING_OR_INVALID_ARM,NA,0.0,NA,NA,NA,NA,NA
map2,2,FULL_MINUS_WC,FULL_S4,tardiness_p99_seconds,fixed-horizon tardiness P99 (s),lower,MISSING_OR_INVALID_ARM,NA,0.0,NA,NA,NA,NA,NA
map2,2,FULL_MINUS_WC,FULL_S4,backlog_area_seconds,raw-bag backlog area (bag-s),lower,MISSING_OR_INVALID_ARM,NA,144729150.0641583,NA,NA,NA,NA,NA
map2,2,FULL_MINUS_WC,FULL_S4,backlog_peak,raw-bag peak backlog,lower,MISSING_OR_INVALID_ARM,NA,4539,NA,NA,NA,NA,NA
map2,2,FULL_MINUS_WC,FULL_S4,backlog_end,raw-bag end backlog,lower,MISSING_OR_INVALID_ARM,NA,0,NA,NA,NA,NA,NA
nanning,2,FULL_S4,FULL_S4,completed_raw_bag_count,completed raw bags,higher,SELF_REFERENCE,57012,57012,0.0,True,True,True,True
nanning,2,FULL_S4,FULL_S4,completion_rate,completion rate,higher,SELF_REFERENCE,1.0,1.0,0.0,True,True,True,True
nanning,2,FULL_S4,FULL_S4,on_time_raw_bag_count,on-time raw bags,higher,SELF_REFERENCE,20963,20963,0.0,True,True,True,True
nanning,2,FULL_S4,FULL_S4,on_time_rate,on-time rate,higher,SELF_REFERENCE,0.3676945204518347,0.3676945204518347,0.0,True,True,True,True
nanning,2,FULL_S4,FULL_S4,missed_bag_count,missed raw bags,lower,SELF_REFERENCE,36049,36049,0.0,True,True,True,True
nanning,2,FULL_S4,FULL_S4,missed_bag_rate,missed rate,lower,SELF_REFERENCE,0.6323054795481653,0.6323054795481653,0.0,True,True,True,True
nanning,2,FULL_S4,FULL_S4,tardiness_sum_seconds,fixed-horizon tardiness sum (s),lower,SELF_REFERENCE,537025170.3447227,537025170.3447227,0.0,True,True,True,True
nanning,2,FULL_S4,FULL_S4,tardiness_mean_seconds,fixed-horizon tardiness mean (s),lower,SELF_REFERENCE,9419.511161592696,9419.511161592696,0.0,True,True,True,True
nanning,2,FULL_S4,FULL_S4,tardiness_p95_seconds,fixed-horizon tardiness P95 (s),lower,SELF_REFERENCE,32344.402479000004,32344.402479000004,0.0,True,True,True,True
nanning,2,FULL_S4,FULL_S4,tardiness_p99_seconds,fixed-horizon tardiness P99 (s),lower,SELF_REFERENCE,44561.11580450032,44561.11580450032,0.0,True,True,True,True
nanning,2,FULL_S4,FULL_S4,backlog_area_seconds,raw-bag backlog area (bag-s),lower,SELF_REFERENCE,777998374.6485779,777998374.6485779,0.0,True,True,True,True
nanning,2,FULL_S4,FULL_S4,backlog_peak,raw-bag peak backlog,lower,SELF_REFERENCE,15268,15268,0.0,True,True,True,True
nanning,2,FULL_S4,FULL_S4,backlog_end,raw-bag end backlog,lower,SELF_REFERENCE,0,0,0.0,True,True,True,True
nanning,2,H_ONLY_SERVICE_AWARE,FULL_S4,completed_raw_bag_count,completed raw bags,higher,COMPLETE,57012,57012,0.0,True,True,True,True
nanning,2,H_ONLY_SERVICE_AWARE,FULL_S4,completion_rate,completion rate,higher,COMPLETE,1.0,1.0,0.0,True,True,True,True
nanning,2,H_ONLY_SERVICE_AWARE,FULL_S4,on_time_raw_bag_count,on-time raw bags,higher,COMPLETE,20334,20963,-629.0,True,True,True,True
nanning,2,H_ONLY_SERVICE_AWARE,FULL_S4,on_time_rate,on-time rate,higher,COMPLETE,0.3566617554199116,0.3676945204518347,-0.01103276503192313,True,True,True,True
nanning,2,H_ONLY_SERVICE_AWARE,FULL_S4,missed_bag_count,missed raw bags,lower,COMPLETE,36678,36049,629.0,True,True,True,True
nanning,2,H_ONLY_SERVICE_AWARE,FULL_S4,missed_bag_rate,missed rate,lower,COMPLETE,0.6433382445800884,0.6323054795481653,0.011032765031923075,True,True,True,True
nanning,2,H_ONLY_SERVICE_AWARE,FULL_S4,tardiness_sum_seconds,fixed-horizon tardiness sum (s),lower,COMPLETE,536049213.24784446,537025170.3447227,-975957.0968782902,True,True,True,True
nanning,2,H_ONLY_SERVICE_AWARE,FULL_S4,tardiness_mean_seconds,fixed-horizon tardiness mean (s),lower,COMPLETE,9402.392711145802,9419.511161592696,-17.118450446894713,True,True,True,True
nanning,2,H_ONLY_SERVICE_AWARE,FULL_S4,tardiness_p95_seconds,fixed-horizon tardiness P95 (s),lower,COMPLETE,30137.39375299999,32344.402479000004,-2207.0087260000146,True,True,True,True
nanning,2,H_ONLY_SERVICE_AWARE,FULL_S4,tardiness_p99_seconds,fixed-horizon tardiness P99 (s),lower,COMPLETE,42428.05032000058,44561.11580450032,-2133.0654844997407,True,True,True,True
nanning,2,H_ONLY_SERVICE_AWARE,FULL_S4,backlog_area_seconds,raw-bag backlog area (bag-s),lower,COMPLETE,782179082.166447,777998374.6485779,4180707.517869115,True,True,True,True
nanning,2,H_ONLY_SERVICE_AWARE,FULL_S4,backlog_peak,raw-bag peak backlog,lower,COMPLETE,15324,15268,56.0,True,True,True,True
nanning,2,H_ONLY_SERVICE_AWARE,FULL_S4,backlog_end,raw-bag end backlog,lower,COMPLETE,0,0,0.0,True,True,True,True
nanning,2,FULL_MINUS_Q,FULL_S4,completed_raw_bag_count,completed raw bags,higher,MISSING_OR_INVALID_ARM,55925,57012,NA,NA,NA,NA,NA
nanning,2,FULL_MINUS_Q,FULL_S4,completion_rate,completion rate,higher,MISSING_OR_INVALID_ARM,0.9809338384901424,1.0,NA,NA,NA,NA,NA
nanning,2,FULL_MINUS_Q,FULL_S4,on_time_raw_bag_count,on-time raw bags,higher,MISSING_OR_INVALID_ARM,21044,20963,NA,NA,NA,NA,NA
nanning,2,FULL_MINUS_Q,FULL_S4,on_time_rate,on-time rate,higher,MISSING_OR_INVALID_ARM,0.3691152739774083,0.3676945204518347,NA,NA,NA,NA,NA
nanning,2,FULL_MINUS_Q,FULL_S4,missed_bag_count,missed raw bags,lower,MISSING_OR_INVALID_ARM,35968,36049,NA,NA,NA,NA,NA
nanning,2,FULL_MINUS_Q,FULL_S4,missed_bag_rate,missed rate,lower,MISSING_OR_INVALID_ARM,0.6308847260225917,0.6323054795481653,NA,NA,NA,NA,NA
nanning,2,FULL_MINUS_Q,FULL_S4,tardiness_sum_seconds,fixed-horizon tardiness sum (s),lower,MISSING_OR_INVALID_ARM,585249518.2340215,537025170.3447227,NA,NA,NA,NA,NA
nanning,2,FULL_MINUS_Q,FULL_S4,tardiness_mean_seconds,fixed-horizon tardiness mean (s),lower,MISSING_OR_INVALID_ARM,10265.374276187847,9419.511161592696,NA,NA,NA,NA,NA
nanning,2,FULL_MINUS_Q,FULL_S4,tardiness_p95_seconds,fixed-horizon tardiness P95 (s),lower,MISSING_OR_INVALID_ARM,30817.44554900001,32344.402479000004,NA,NA,NA,NA,NA
nanning,2,FULL_MINUS_Q,FULL_S4,tardiness_p99_seconds,fixed-horizon tardiness P99 (s),lower,MISSING_OR_INVALID_ARM,45159.0,44561.11580450032,NA,NA,NA,NA,NA
nanning,2,FULL_MINUS_Q,FULL_S4,backlog_area_seconds,raw-bag backlog area (bag-s),lower,MISSING_OR_INVALID_ARM,825376651.2362287,777998374.6485779,NA,NA,NA,NA,NA
nanning,2,FULL_MINUS_Q,FULL_S4,backlog_peak,raw-bag peak backlog,lower,MISSING_OR_INVALID_ARM,15835,15268,NA,NA,NA,NA,NA
nanning,2,FULL_MINUS_Q,FULL_S4,backlog_end,raw-bag end backlog,lower,MISSING_OR_INVALID_ARM,1087,0,NA,NA,NA,NA,NA
nanning,2,FULL_MINUS_I,FULL_S4,completed_raw_bag_count,completed raw bags,higher,COMPLETE,57012,57012,0.0,True,True,True,True
nanning,2,FULL_MINUS_I,FULL_S4,completion_rate,completion rate,higher,COMPLETE,1.0,1.0,0.0,True,True,True,True
nanning,2,FULL_MINUS_I,FULL_S4,on_time_raw_bag_count,on-time raw bags,higher,COMPLETE,20466,20963,-497.0,True,True,True,True
nanning,2,FULL_MINUS_I,FULL_S4,on_time_rate,on-time rate,higher,COMPLETE,0.35897705746158703,0.3676945204518347,-0.00871746299024767,True,True,True,True
nanning,2,FULL_MINUS_I,FULL_S4,missed_bag_count,missed raw bags,lower,COMPLETE,36546,36049,497.0,True,True,True,True
nanning,2,FULL_MINUS_I,FULL_S4,missed_bag_rate,missed rate,lower,COMPLETE,0.641022942538413,0.6323054795481653,0.00871746299024767,True,True,True,True
nanning,2,FULL_MINUS_I,FULL_S4,tardiness_sum_seconds,fixed-horizon tardiness sum (s),lower,COMPLETE,530083486.2355843,537025170.3447227,-6941684.109138429,True,True,True,True
nanning,2,FULL_MINUS_I,FULL_S4,tardiness_mean_seconds,fixed-horizon tardiness mean (s),lower,COMPLETE,9297.752863179407,9419.511161592696,-121.7582984132896,True,True,True,True
nanning,2,FULL_MINUS_I,FULL_S4,tardiness_p95_seconds,fixed-horizon tardiness P95 (s),lower,COMPLETE,30813.902394500044,32344.402479000004,-1530.5000844999595,True,True,True,True
nanning,2,FULL_MINUS_I,FULL_S4,tardiness_p99_seconds,fixed-horizon tardiness P99 (s),lower,COMPLETE,42305.675990000585,44561.11580450032,-2255.439814499732,True,True,True,True
nanning,2,FULL_MINUS_I,FULL_S4,backlog_area_seconds,raw-bag backlog area (bag-s),lower,COMPLETE,774529781.847835,777998374.6485779,-3468592.800742984,True,True,True,True
nanning,2,FULL_MINUS_I,FULL_S4,backlog_peak,raw-bag peak backlog,lower,COMPLETE,15284,15268,16.0,True,True,True,True
nanning,2,FULL_MINUS_I,FULL_S4,backlog_end,raw-bag end backlog,lower,COMPLETE,0,0,0.0,True,True,True,True
nanning,2,FULL_MINUS_WS,FULL_S4,completed_raw_bag_count,completed raw bags,higher,MISSING_OR_INVALID_ARM,56059,57012,NA,NA,NA,NA,NA
nanning,2,FULL_MINUS_WS,FULL_S4,completion_rate,completion rate,higher,MISSING_OR_INVALID_ARM,0.9832842208657826,1.0,NA,NA,NA,NA,NA
nanning,2,FULL_MINUS_WS,FULL_S4,on_time_raw_bag_count,on-time raw bags,higher,MISSING_OR_INVALID_ARM,20990,20963,NA,NA,NA,NA,NA
nanning,2,FULL_MINUS_WS,FULL_S4,on_time_rate,on-time rate,higher,MISSING_OR_INVALID_ARM,0.36816810496035923,0.3676945204518347,NA,NA,NA,NA,NA
nanning,2,FULL_MINUS_WS,FULL_S4,missed_bag_count,missed raw bags,lower,MISSING_OR_INVALID_ARM,36022,36049,NA,NA,NA,NA,NA
nanning,2,FULL_MINUS_WS,FULL_S4,missed_bag_rate,missed rate,lower,MISSING_OR_INVALID_ARM,0.6318318950396408,0.6323054795481653,NA,NA,NA,NA,NA
nanning,2,FULL_MINUS_WS,FULL_S4,tardiness_sum_seconds,fixed-horizon tardiness sum (s),lower,MISSING_OR_INVALID_ARM,580513804.8453429,537025170.3447227,NA,NA,NA,NA,NA
nanning,2,FULL_MINUS_WS,FULL_S4,tardiness_mean_seconds,fixed-horizon tardiness mean (s),lower,MISSING_OR_INVALID_ARM,10182.309072569686,9419.511161592696,NA,NA,NA,NA,NA
nanning,2,FULL_MINUS_WS,FULL_S4,tardiness_p95_seconds,fixed-horizon tardiness P95 (s),lower,MISSING_OR_INVALID_ARM,31295.58094850002,32344.402479000004,NA,NA,NA,NA,NA
nanning,2,FULL_MINUS_WS,FULL_S4,tardiness_p99_seconds,fixed-horizon tardiness P99 (s),lower,MISSING_OR_INVALID_ARM,45159.0,44561.11580450032,NA,NA,NA,NA,NA
nanning,2,FULL_MINUS_WS,FULL_S4,backlog_area_seconds,raw-bag backlog area (bag-s),lower,MISSING_OR_INVALID_ARM,821479954.933493,777998374.6485779,NA,NA,NA,NA,NA
nanning,2,FULL_MINUS_WS,FULL_S4,backlog_peak,raw-bag peak backlog,lower,MISSING_OR_INVALID_ARM,15949,15268,NA,NA,NA,NA,NA
nanning,2,FULL_MINUS_WS,FULL_S4,backlog_end,raw-bag end backlog,lower,MISSING_OR_INVALID_ARM,953,0,NA,NA,NA,NA,NA
nanning,2,H_PLUS_Q_PLUS_I,FULL_S4,completed_raw_bag_count,completed raw bags,higher,MISSING_OR_INVALID_ARM,56059,57012,NA,NA,NA,NA,NA
nanning,2,H_PLUS_Q_PLUS_I,FULL_S4,completion_rate,completion rate,higher,MISSING_OR_INVALID_ARM,0.9832842208657826,1.0,NA,NA,NA,NA,NA
nanning,2,H_PLUS_Q_PLUS_I,FULL_S4,on_time_raw_bag_count,on-time raw bags,higher,MISSING_OR_INVALID_ARM,20990,20963,NA,NA,NA,NA,NA
nanning,2,H_PLUS_Q_PLUS_I,FULL_S4,on_time_rate,on-time rate,higher,MISSING_OR_INVALID_ARM,0.36816810496035923,0.3676945204518347,NA,NA,NA,NA,NA
nanning,2,H_PLUS_Q_PLUS_I,FULL_S4,missed_bag_count,missed raw bags,lower,MISSING_OR_INVALID_ARM,36022,36049,NA,NA,NA,NA,NA
nanning,2,H_PLUS_Q_PLUS_I,FULL_S4,missed_bag_rate,missed rate,lower,MISSING_OR_INVALID_ARM,0.6318318950396408,0.6323054795481653,NA,NA,NA,NA,NA
nanning,2,H_PLUS_Q_PLUS_I,FULL_S4,tardiness_sum_seconds,fixed-horizon tardiness sum (s),lower,MISSING_OR_INVALID_ARM,580513804.8453429,537025170.3447227,NA,NA,NA,NA,NA
nanning,2,H_PLUS_Q_PLUS_I,FULL_S4,tardiness_mean_seconds,fixed-horizon tardiness mean (s),lower,MISSING_OR_INVALID_ARM,10182.309072569686,9419.511161592696,NA,NA,NA,NA,NA
