case_id,scenario,task_id,segment_id,current_node,goal_node,candidate_next_nodes,selected_next,decision_source,model_margin,fallback_reason,wait,pressure,path_history,tth_delta,failure_reason,why_hard
g4irsf10-000011,paper_main_2_5_repeat_1,10,10:storage_in,5,47,"[19, 18, 22, 24]",19,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 2, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[5, 19, 18, 22, 24, 27, 28, 47]",-133.000004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000012,paper_main_2_5_repeat_1,11,11:storage_in,1,47,"[7, 8, 11, 13]",7,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 1, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[1, 7, 8, 11, 13, 23, 24, 27, 28, 47]",-128.600004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000013,paper_main_2_5_repeat_1,12,12:storage_in,0,47,"[6, 12, 13, 23]",6,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 1, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[0, 6, 12, 13, 23, 24, 27, 28, 47]",-133.200004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000014,paper_main_2_5_repeat_1,13,13:storage_in,4,47,"[17, 18, 22, 24]",17,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 1, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[4, 17, 18, 22, 24, 27, 28, 47]",-132.200004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000015,paper_main_2_5_repeat_1,14,14:storage_in,5,47,"[19, 18, 22, 24]",19,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 2, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[5, 19, 18, 22, 24, 27, 28, 47]",-133.000004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000016,paper_main_2_5_repeat_1,15,15:storage_in,3,47,"[16, 17, 18, 22]",16,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 2, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[3, 16, 17, 18, 22, 24, 27, 28, 47]",-129.600004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000017,paper_main_2_5_repeat_1,16,16:storage_in,3,47,"[16, 17, 18, 22]",16,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 2, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[3, 16, 17, 18, 22, 24, 27, 28, 47]",-129.600004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000018,paper_main_2_5_repeat_1,17,17:storage_in,2,47,"[9, 7, 8, 11]",9,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 2, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[2, 9, 7, 8, 11, 13, 23, 24, 27, 28, 47]",-126.000004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000019,paper_main_2_5_repeat_1,18,18:storage_in,0,47,"[6, 12, 13, 23]",6,fallback,,risk_gated_or_node_window_fallback,1.600001,"{""fallback_calls"": 1, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 1.6000009999988833}","[0, 6, 12, 13, 23, 24, 27, 28, 47]",-131.600003,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000020,paper_main_2_5_repeat_1,19,19:storage_in,1,47,"[7, 8, 11, 13]",7,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 1, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[1, 7, 8, 11, 13, 23, 24, 27, 28, 47]",-128.600004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000021,paper_main_2_5_repeat_1,20,20:storage_in,3,47,"[16, 17, 18, 22]",16,fallback,,risk_gated_or_node_window_fallback,0.000001,"{""fallback_calls"": 2, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 1.0000021575251594e-06}","[3, 16, 17, 18, 22, 24, 27, 28, 47]",-129.600003,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000022,paper_main_2_5_repeat_1,21,21:storage_in,2,47,"[9, 7, 8, 11]",9,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 2, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[2, 9, 7, 8, 11, 13, 23, 24, 27, 28, 47]",-126.000004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000023,paper_main_2_5_repeat_1,22,22:storage_in,4,47,"[17, 18, 22, 24]",17,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 1, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[4, 17, 18, 22, 24, 27, 28, 47]",-132.200004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000024,paper_main_2_5_repeat_1,23,23:storage_in,5,47,"[19, 18, 22, 24]",19,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 2, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[5, 19, 18, 22, 24, 27, 28, 47]",-133.000004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000025,paper_main_2_5_repeat_1,24,24:storage_in,3,47,"[16, 17, 18, 22]",16,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 2, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[3, 16, 17, 18, 22, 24, 27, 28, 47]",-129.600004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000026,paper_main_2_5_repeat_1,25,25:storage_in,4,47,"[17, 18, 22, 24]",17,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 1, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[4, 17, 18, 22, 24, 27, 28, 47]",-132.200004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000027,paper_main_2_5_repeat_1,26,26:storage_in,4,47,"[17, 18, 22, 24]",17,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 1, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[4, 17, 18, 22, 24, 27, 28, 47]",-132.200004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000028,paper_main_2_5_repeat_1,27,27:storage_in,5,47,"[19, 18, 22, 24]",19,fallback,,risk_gated_or_node_window_fallback,0.800001,"{""fallback_calls"": 2, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.8000010000014299}","[5, 19, 18, 22, 24, 27, 28, 47]",-132.200003,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000029,paper_main_2_5_repeat_1,28,28:storage_in,3,47,"[16, 17, 18, 22]",16,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 2, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[3, 16, 17, 18, 22, 24, 27, 28, 47]",-129.600004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000030,paper_main_2_5_repeat_1,29,29:storage_in,0,47,"[6, 12, 13, 23]",6,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 1, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[0, 6, 12, 13, 23, 24, 27, 28, 47]",-133.200004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000031,paper_main_2_5_repeat_1,30,30:storage_in,5,47,"[19, 18, 22, 24]",19,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 2, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[5, 19, 18, 22, 24, 27, 28, 47]",-133.000004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000032,paper_main_2_5_repeat_1,31,31:storage_in,1,47,"[7, 8, 11, 13]",7,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 1, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[1, 7, 8, 11, 13, 23, 24, 27, 28, 47]",-128.600004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000033,paper_main_2_5_repeat_1,32,32:storage_in,2,47,"[9, 7, 8, 11]",9,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 2, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[2, 9, 7, 8, 11, 13, 23, 24, 27, 28, 47]",-126.000004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000034,paper_main_2_5_repeat_1,33,33:storage_in,0,47,"[6, 12, 13, 23]",6,fallback,,risk_gated_or_node_window_fallback,0.600001,"{""fallback_calls"": 1, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.6000010000007023}","[0, 6, 12, 13, 23, 24, 27, 28, 47]",-132.600003,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000035,paper_main_2_5_repeat_1,34,34:storage_in,3,47,"[16, 17, 18, 22]",16,fallback,,risk_gated_or_node_window_fallback,0.600001,"{""fallback_calls"": 2, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.6000010000025213}","[3, 16, 17, 18, 22, 24, 27, 28, 47]",-129.000003,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000036,paper_main_2_5_repeat_1,35,35:storage_in,4,47,"[17, 18, 22, 24]",17,fallback,,risk_gated_or_node_window_fallback,1.200002,"{""fallback_calls"": 1, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 1.2000020000032237}","[4, 17, 18, 22, 24, 27, 28, 47]",-131.000002,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000037,paper_main_2_5_repeat_1,36,36:storage_in,1,47,"[7, 8, 11, 13]",7,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 1, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[1, 7, 8, 11, 13, 23, 24, 27, 28, 47]",-128.600004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000038,paper_main_2_5_repeat_1,37,37:storage_in,5,47,"[19, 18, 22, 24]",19,fallback,,risk_gated_or_node_window_fallback,0.000003,"{""fallback_calls"": 2, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 3.0000046535860747e-06}","[5, 19, 18, 22, 24, 27, 28, 47]",-133.000001,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000039,paper_main_2_5_repeat_1,38,38:storage_in,2,47,"[9, 7, 8, 11]",9,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 2, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[2, 9, 7, 8, 11, 13, 23, 24, 27, 28, 47]",-126.000004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000040,paper_main_2_5_repeat_1,39,39:storage_in,3,47,"[16, 17, 18, 22]",16,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 2, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[3, 16, 17, 18, 22, 24, 27, 28, 47]",-129.600004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000041,paper_main_2_5_repeat_1,40,40:storage_in,0,47,"[6, 12, 13, 23]",6,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 1, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[0, 6, 12, 13, 23, 24, 27, 28, 47]",-133.200004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000042,paper_main_2_5_repeat_1,41,41:storage_in,1,47,"[7, 8, 11, 13]",7,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 1, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[1, 7, 8, 11, 13, 23, 24, 27, 28, 47]",-128.600004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000043,paper_main_2_5_repeat_1,42,42:storage_in,4,47,"[17, 18, 22, 24]",17,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 1, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[4, 17, 18, 22, 24, 27, 28, 47]",-132.200004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000044,paper_main_2_5_repeat_1,43,43:storage_in,5,47,"[19, 18, 22, 24]",19,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 2, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[5, 19, 18, 22, 24, 27, 28, 47]",-133.000004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000045,paper_main_2_5_repeat_1,44,44:storage_in,3,47,"[16, 17, 18, 22]",16,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 2, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[3, 16, 17, 18, 22, 24, 27, 28, 47]",-129.600004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000046,paper_main_2_5_repeat_1,45,45:storage_in,1,47,"[7, 8, 11, 13]",7,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 1, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[1, 7, 8, 11, 13, 23, 24, 27, 28, 47]",-128.600004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000047,paper_main_2_5_repeat_1,46,46:storage_in,4,47,"[17, 18, 22, 24]",17,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 1, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[4, 17, 18, 22, 24, 27, 28, 47]",-132.200004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000048,paper_main_2_5_repeat_1,47,47:storage_in,2,47,"[9, 7, 8, 11]",9,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 2, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[2, 9, 7, 8, 11, 13, 23, 24, 27, 28, 47]",-126.000004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000049,paper_main_2_5_repeat_1,48,48:storage_in,4,47,"[17, 18, 22, 24]",17,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 1, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[4, 17, 18, 22, 24, 27, 28, 47]",-132.200004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000050,paper_main_2_5_repeat_1,49,49:storage_in,0,47,"[6, 12, 13, 23]",6,fallback,,risk_gated_or_node_window_fallback,1.000001,"{""fallback_calls"": 1, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 1.0000009999985195}","[0, 6, 12, 13, 23, 24, 27, 28, 47]",-132.200003,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000051,paper_main_2_5_repeat_1,50,50:storage_in,1,47,"[7, 8, 11, 13]",7,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 1, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[1, 7, 8, 11, 13, 23, 24, 27, 28, 47]",-128.600004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000052,paper_main_2_5_repeat_1,51,51:storage_in,5,47,"[19, 18, 22, 24]",19,fallback,,risk_gated_or_node_window_fallback,1.000001,"{""fallback_calls"": 2, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 1.0000010000039765}","[5, 19, 18, 22, 24, 27, 28, 47]",-132.000003,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000053,paper_main_2_5_repeat_1,52,52:storage_in,2,47,"[9, 7, 8, 11]",9,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 2, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[2, 9, 7, 8, 11, 13, 23, 24, 27, 28, 47]",-126.000004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000054,paper_main_2_5_repeat_1,53,53:storage_in,3,47,"[16, 17, 18, 22]",16,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 2, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[3, 16, 17, 18, 22, 24, 27, 28, 47]",-129.600004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000055,paper_main_2_5_repeat_1,54,54:storage_in,0,47,"[6, 12, 13, 23]",6,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 1, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[0, 6, 12, 13, 23, 24, 27, 28, 47]",-133.200004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000056,paper_main_2_5_repeat_1,55,55:storage_in,0,47,"[6, 12, 13, 23]",6,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 1, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[0, 6, 12, 13, 23, 24, 27, 28, 47]",-133.200004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000057,paper_main_2_5_repeat_1,56,56:storage_in,4,47,"[17, 18, 22, 24]",17,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 1, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[4, 17, 18, 22, 24, 27, 28, 47]",-132.200004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000058,paper_main_2_5_repeat_1,57,57:storage_in,5,47,"[19, 18, 22, 24]",19,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 2, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[5, 19, 18, 22, 24, 27, 28, 47]",-133.000004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000059,paper_main_2_5_repeat_1,58,58:storage_in,3,47,"[16, 17, 18, 22]",16,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 2, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[3, 16, 17, 18, 22, 24, 27, 28, 47]",-129.600004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000060,paper_main_2_5_repeat_1,59,59:storage_in,1,47,"[7, 8, 11, 13]",7,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 1, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[1, 7, 8, 11, 13, 23, 24, 27, 28, 47]",-128.600004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000061,paper_main_2_5_repeat_1,60,60:storage_in,4,47,"[17, 18, 22, 24]",17,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 1, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[4, 17, 18, 22, 24, 27, 28, 47]",-132.200004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000062,paper_main_2_5_repeat_1,61,61:storage_in,5,47,"[19, 18, 22, 24]",19,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 2, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[5, 19, 18, 22, 24, 27, 28, 47]",-133.000004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000063,paper_main_2_5_repeat_1,62,62:storage_in,5,47,"[19, 18, 22, 24]",19,fallback,,risk_gated_or_node_window_fallback,0.000001,"{""fallback_calls"": 2, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 1.0000003385357559e-06}","[5, 19, 18, 22, 24, 27, 28, 47]",-133.000003,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000064,paper_main_2_5_repeat_1,63,63:storage_in,2,47,"[9, 7, 8, 11]",9,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 2, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[2, 9, 7, 8, 11, 13, 23, 24, 27, 28, 47]",-126.000004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000065,paper_main_2_5_repeat_1,64,64:storage_in,3,47,"[16, 17, 18, 22]",16,fallback,,risk_gated_or_node_window_fallback,0.600001,"{""fallback_calls"": 2, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.6000010000025213}","[3, 16, 17, 18, 22, 24, 27, 28, 47]",-129.000003,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000066,paper_main_2_5_repeat_1,65,65:storage_in,0,47,"[6, 12, 13, 23]",6,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 1, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[0, 6, 12, 13, 23, 24, 27, 28, 47]",-133.200004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000067,paper_main_2_5_repeat_1,66,66:storage_in,4,47,"[17, 18, 22, 24]",17,fallback,,risk_gated_or_node_window_fallback,1.200002,"{""fallback_calls"": 1, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 1.2000020000032237}","[4, 17, 18, 22, 24, 27, 28, 47]",-131.000002,,"[""model_vs_fallback_disagreement""]"
