case_id,case_group,case_role,comparison_reference_case_id,status,standard_speed_mps,actual_speed_mps,deviation_percent,fault_line_ids,seed_edges,mapping_evidence,protocol_fidelity,paper_reported,exact_fresh_status,completed_segments,completed_raw_bags,tth_min_minutes,tth_mean_minutes,tth_p95_minutes,tth_p99_minutes,tth_max_minutes,completed_raw_bag_rate,finish_le_std_rate,finish_le_std_minus_2700_rate,strict_s4_safety_pass,admission_safety_pass,safety_admission_mode,business_failed_raw_bags,business_failure_is_safety_failure,topology_reachable_raw_bag_upper_bound,primary_success_topology_saturated,secondary_metrics_censored_by_event_limit,admitted_claim_scope,topology_saturation_safety_pass,wall_seconds,reference_tth_mean_minutes,tth_mean_delta_vs_reference_minutes
t5_4_std_2p5_dev_10,speed_deviation,degraded_actual_dual_speed_reconstruction,t5_2_speed_2p5,COMPLETE,2.5,2.25,10,[],[],NOT_APPLICABLE,RECONSTRUCTION_STANDARD_HEURISTIC_ACTUAL_EDGE_TIME_NOT_THE_ORIGINAL_DEVIATION_SIMULATOR,"{""dynamic"": 3.99, ""improvement"": 4.77, ""static"": 4.19}",EXACT_G24_LIFECYCLE_ALIGNED,43603,28506,3.4592925925925857,3.8807008208798996,4.559325925925805,4.648214814814734,7.137103703703724,1.0,1.0,0.427348628358942,True,,,,,,,,,,26.112908600014634,3.512828910872565,0.36787191000733444
t5_4_std_2p5_dev_20,speed_deviation,degraded_actual_dual_speed_reconstruction,t5_2_speed_2p5,COMPLETE,2.5,2.0,20,[],[],NOT_APPLICABLE,RECONSTRUCTION_STANDARD_HEURISTIC_ACTUAL_EDGE_TIME_NOT_THE_ORIGINAL_DEVIATION_SIMULATOR,"{""dynamic"": 4.25, ""improvement"": 4.71, ""static"": 4.46}",EXACT_G24_LIFECYCLE_ALIGNED,43603,28506,3.8666999999998857,4.332290983184783,5.075066666666923,5.125066666666923,5.891733333333347,1.0,1.0,0.4241212376341823,True,True,G24_STRICT_S4,0,False,,,,,,26.376751800009515,3.512828910872565,0.8194620723122177
t5_4_std_2p5_dev_30,speed_deviation,degraded_actual_dual_speed_reconstruction,t5_2_speed_2p5,COMPLETE,2.5,1.75,30,[],[],NOT_APPLICABLE,RECONSTRUCTION_STANDARD_HEURISTIC_ACTUAL_EDGE_TIME_NOT_THE_ORIGINAL_DEVIATION_SIMULATOR,"{""dynamic"": 4.49, ""improvement"": 4.87, ""static"": 4.72}",EXACT_G24_LIFECYCLE_ALIGNED,43603,28506,4.390509523809305,4.937226201501379,5.790542857142888,5.873876190475979,8.057209523809494,1.0,1.0,0.42008699922823267,True,True,G24_STRICT_S4,0,False,,,,,,25.990077800001018,3.512828910872565,1.4243972906288138
t5_4_std_3_dev_10,speed_deviation,degraded_actual_dual_speed_reconstruction,t5_2_speed_3,COMPLETE,3.0,2.7,10,[],[],NOT_APPLICABLE,RECONSTRUCTION_STANDARD_HEURISTIC_ACTUAL_EDGE_TIME_NOT_THE_ORIGINAL_DEVIATION_SIMULATOR,"{""dynamic"": 3.39, ""improvement"": 4.78, ""static"": 3.56}",EXACT_G24_LIFECYCLE_ALIGNED,43603,28506,2.911144444444411,3.2646913636980677,3.8272271604935666,3.9151438271601857,5.327844444444296,1.0,1.0,0.4312425454290325,True,True,G24_STRICT_S4,0,False,,,,,,23.696951899997657,2.9528191663352903,0.3118721973627774
t5_4_std_3_dev_20,speed_deviation,degraded_actual_dual_speed_reconstruction,t5_2_speed_3,COMPLETE,3.0,2.4000000000000004,20,[],[],NOT_APPLICABLE,RECONSTRUCTION_STANDARD_HEURISTIC_ACTUAL_EDGE_TIME_NOT_THE_ORIGINAL_DEVIATION_SIMULATOR,"{""dynamic"": 3.51, ""improvement"": 5.65, ""static"": 3.72}",EXACT_G24_LIFECYCLE_ALIGNED,43603,28506,3.2555888888885725,3.6486565923742913,4.27645555555561,4.332011111110478,5.623677777778236,1.0,1.0,0.428295797375991,True,True,G24_STRICT_S4,0,False,,,,,,23.953242200019304,2.9528191663352903,0.695837426039001
t5_4_std_3_dev_30,speed_deviation,degraded_actual_dual_speed_reconstruction,t5_2_speed_3,COMPLETE,3.0,2.0999999999999996,30,[],[],NOT_APPLICABLE,RECONSTRUCTION_STANDARD_HEURISTIC_ACTUAL_EDGE_TIME_NOT_THE_ORIGINAL_DEVIATION_SIMULATOR,"{""dynamic"": 3.64, ""improvement"": 5.94, ""static"": 3.87}",EXACT_G24_LIFECYCLE_ALIGNED,43603,28506,3.6920968253968263,4.143253705875425,4.858796825396894,4.908796825396894,6.169907936508147,1.0,1.0,0.4251385673191609,True,True,G24_STRICT_S4,0,False,,,,,,24.005858200020157,2.9528191663352903,1.190434539540135
t5_5_fault_single_1,all_day_line_interruption,all_day_seed_edge_fault_reconstruction,t5_2_speed_2p5,COMPLETE_FIXED_HORIZON,2.5,2.5,0,[1],"[[6, 12]]",CONTAINS_RECONSTRUCTION,SEED_EDGE_ALL_DAY_RECONSTRUCTION_NOT_A_CLAIM_OF_EXACT_AFFECTED_CONVEYOR_CASCADE,"{""affected_conveyor_count"": 1, ""success_rate"": 1.0}",EXACT_G24_LIFECYCLE_ALIGNED,43603,28506,3.1333666666666127,3.5166126756940055,4.120066666666389,4.24673333333385,6.7333999999999525,1.0,1.0,0.4293482073949344,False,True,TABLE_5_5_FIXED_HORIZON_SAFETY,0,False,28506,False,False,FULL_CASE_OUTCOME,False,25.765875800017966,3.512828910872565,0.003783764821440272
t5_5_fault_single_2,all_day_line_interruption,all_day_seed_edge_fault_reconstruction,t5_2_speed_2p5,COMPLETE_FIXED_HORIZON,2.5,2.5,0,[2],"[[8, 11]]",STRONG,SEED_EDGE_ALL_DAY_RECONSTRUCTION_NOT_A_CLAIM_OF_EXACT_AFFECTED_CONVEYOR_CASCADE,"{""affected_conveyor_count"": 7, ""success_rate"": 0.88}",EXACT_G24_LIFECYCLE_ALIGNED,40381,25284,3.133366666666431,3.5443488042503843,4.163400000000305,4.373399999999795,4.734233333333153,0.8869711639654809,0.8869711639654809,0.37613134077036414,False,True,TABLE_5_5_FIXED_HORIZON_SAFETY,3222,False,,,,,,123.25635599999805,3.512828910872565,0.03151989337781913
t5_5_fault_single_3,all_day_line_interruption,all_day_seed_edge_fault_reconstruction,t5_2_speed_2p5,COMPLETE_FIXED_HORIZON,2.5,2.5,0,[3],"[[13, 23]]",STRONG,SEED_EDGE_ALL_DAY_RECONSTRUCTION_NOT_A_CLAIM_OF_EXACT_AFFECTED_CONVEYOR_CASCADE,"{""affected_conveyor_count"": 5, ""success_rate"": 1.0}",EXACT_G24_LIFECYCLE_ALIGNED,37829,22732,3.1333666666666127,3.531487576983999,4.306399999999909,4.363399999999698,5.125866666666722,0.7974461516873641,0.7974461516873641,0.33108819195958744,False,True,TABLE_5_5_FIXED_HORIZON_SAFETY,5774,False,28506,False,False,FULL_CASE_OUTCOME,False,239.11555790001876,3.512828910872565,0.018658666111433853
t5_5_fault_single_4,all_day_line_interruption,all_day_seed_edge_fault_reconstruction,t5_2_speed_2p5,COMPLETE_FIXED_HORIZON,2.5,2.5,0,[4],"[[24, 27]]",STRONG,SEED_EDGE_ALL_DAY_RECONSTRUCTION_NOT_A_CLAIM_OF_EXACT_AFFECTED_CONVEYOR_CASCADE,"{""affected_conveyor_count"": 15, ""success_rate"": 0.95}",EXACT_G24_LIFECYCLE_ALIGNED,19682,4585,3.1333666666666127,3.8545503017084286,4.510066666666595,4.615838666666575,5.125866666666722,0.1608433312285133,0.1608433312285133,0.06212727145162422,False,True,TABLE_5_5_FIXED_HORIZON_SAFETY,23921,False,28506,False,False,FULL_CASE_OUTCOME,False,1301.6687740999914,3.512828910872565,0.3417213908358634
t5_5_fault_single_5,all_day_line_interruption,all_day_seed_edge_fault_reconstruction,t5_2_speed_2p5,COMPLETE_FIXED_HORIZON,2.5,2.5,0,[5],"[[14, 46]]",STRONG,SEED_EDGE_ALL_DAY_RECONSTRUCTION_NOT_A_CLAIM_OF_EXACT_AFFECTED_CONVEYOR_CASCADE,"{""affected_conveyor_count"": 24, ""success_rate"": 0.97}",EXACT_G24_LIFECYCLE_ALIGNED,37652,22555,3.133366666666431,3.530133469297278,4.120066666666389,4.200066666666521,8.273399999999917,0.7912369325755981,0.7912369325755981,0.32210762646460395,False,True,TABLE_5_5_FIXED_HORIZON_SAFETY,5951,False,28506,False,False,FULL_CASE_OUTCOME,False,283.34889930000645,3.512828910872565,0.0173045584247129
t5_5_fault_single_6,all_day_line_interruption,all_day_seed_edge_fault_reconstruction,t5_2_speed_2p5,COMPLETE_FIXED_HORIZON,2.5,2.5,0,[6],"[[43, 15]]",CONTAINS_RECONSTRUCTION,SEED_EDGE_ALL_DAY_RECONSTRUCTION_NOT_A_CLAIM_OF_EXACT_AFFECTED_CONVEYOR_CASCADE,"{""affected_conveyor_count"": 7, ""success_rate"": 0.96}",EXACT_G24_LIFECYCLE_ALIGNED,43566,28469,3.133366666666431,3.516514385237744,4.120066666666571,4.346733333333192,6.790066666666584,0.9987020276433032,0.9987020276433032,0.42808531537220235,False,True,TABLE_5_5_FIXED_HORIZON_SAFETY,37,False,28506,False,False,FULL_CASE_OUTCOME,False,42.05551070001093,3.512828910872565,0.0036854743651786315
t5_5_fault_single_7,all_day_line_interruption,all_day_seed_edge_fault_reconstruction,t5_2_speed_2p5,COMPLETE_FIXED_HORIZON,2.5,2.5,0,[7],"[[33, 44]]",CONTAINS_RECONSTRUCTION,SEED_EDGE_ALL_DAY_RECONSTRUCTION_NOT_A_CLAIM_OF_EXACT_AFFECTED_CONVEYOR_CASCADE,"{""affected_conveyor_count"": 1, ""success_rate"": 1.0}",EXACT_G24_LIFECYCLE_ALIGNED,43158,28061,3.1333666666665523,10.724923129373497,51.8142333333332,83.73340000000053,158.62756666666647,0.9843892513856732,0.780923314389953,0.42622605767206906,False,True,TABLE_5_5_FIXED_HORIZON_SAFETY,445,False,28506,False,False,FULL_CASE_OUTCOME,False,128.00467140000546,3.512828910872565,7.212094218500932
t5_5_fault_single_8,all_day_line_interruption,all_day_seed_edge_fault_reconstruction,t5_2_speed_2p5,COMPLETE_FIXED_HORIZON,2.5,2.5,0,[8],"[[31, 32]]",STRONG,SEED_EDGE_ALL_DAY_RECONSTRUCTION_NOT_A_CLAIM_OF_EXACT_AFFECTED_CONVEYOR_CASCADE,"{""affected_conveyor_count"": 7, ""success_rate"": 0.99}",EXACT_G24_LIFECYCLE_ALIGNED,43603,28506,3.140033333333243,3.96813542529061,4.416733333333226,4.7200666666665105,7.440066666666583,1.0,1.0,0.4265768610117168,False,True,TABLE_5_5_FIXED_HORIZON_SAFETY,0,False,28506,False,False,FULL_CASE_OUTCOME,False,31.14387109997915,3.512828910872565,0.4553065144180448
t5_5_fault_pair_1_7,all_day_line_interruption,all_day_seed_edge_fault_reconstruction,t5_2_speed_2p5,COMPLETE_FIXED_HORIZON,2.5,2.5,0,"[1, 7]","[[6, 12], [33, 44]]",CONTAINS_RECONSTRUCTION,SEED_EDGE_ALL_DAY_RECONSTRUCTION_NOT_A_CLAIM_OF_EXACT_AFFECTED_CONVEYOR_CASCADE,"{""affected_conveyor_count"": 2, ""success_rate"": 1.0}",EXACT_G24_LIFECYCLE_ALIGNED,43159,28062,3.1333666666665523,10.698265822108791,52.29960833333307,83.28103333333343,163.11006666666643,0.984424331719638,0.7834841787693819,0.42640145934189294,False,True,TABLE_5_5_FIXED_HORIZON_SAFETY,444,False,28506,False,False,FULL_CASE_OUTCOME,False,123.05324589999509,3.512828910872565,7.185436911236225
t5_5_fault_pair_2_4,all_day_line_interruption,all_day_seed_edge_fault_reconstruction,t5_2_speed_2p5,COMPLETE_FIXED_HORIZON,2.5,2.5,0,"[2, 4]","[[8, 11], [24, 27]]",STRONG,SEED_EDGE_ALL_DAY_RECONSTRUCTION_NOT_A_CLAIM_OF_EXACT_AFFECTED_CONVEYOR_CASCADE,"{""affected_conveyor_count"": 22, ""success_rate"": 0.76}",EXACT_G24_LIFECYCLE_ALIGNED,19058,3961,3.146699999999934,3.8365137928132262,4.510066666666595,4.583399999999983,4.676733333333292,0.13895320283449097,0.13895320283449097,0.05479548165298534,False,True,TABLE_5_5_FIXED_HORIZON_SAFETY,24545,False,22113,False,False,FULL_CASE_OUTCOME,False,1319.0158638999856,3.512828910872565,0.32368488194066103
t5_5_fault_pair_3_5,all_day_line_interruption,all_day_seed_edge_fault_reconstruction,t5_2_speed_2p5,COMPLETE_FIXED_HORIZON,2.5,2.5,0,"[3, 5]","[[13, 23], [14, 46]]",STRONG,SEED_EDGE_ALL_DAY_RECONSTRUCTION_NOT_A_CLAIM_OF_EXACT_AFFECTED_CONVEYOR_CASCADE,"{""affected_conveyor_count"": 36, ""success_rate"": 0.66}",EXACT_G24_LIFECYCLE_ALIGNED,33948,18851,3.136699999999837,3.4780783831096698,4.120066666666389,4.161733333333541,4.734233333333153,0.6612993755700555,0.6612993755700555,0.26769802848523117,False,True,TABLE_5_5_FIXED_HORIZON_SAFETY,9655,False,18914,False,False,FULL_CASE_OUTCOME,False,465.49989330000244,3.512828910872565,-0.034750527762895445
t5_5_fault_pair_4_5,all_day_line_interruption,all_day_seed_edge_fault_reconstruction,t5_2_speed_2p5,COMPLETE_TOPOLOGY_SATURATED,2.5,2.5,0,"[4, 5]","[[24, 27], [14, 46]]",STRONG,SEED_EDGE_ALL_DAY_RECONSTRUCTION_NOT_A_CLAIM_OF_EXACT_AFFECTED_CONVEYOR_CASCADE,"{""affected_conveyor_count"": 54, ""success_rate"": 0.0}",EXACT_G24_LIFECYCLE_ALIGNED,14304,0,,,,,,0.0,0.0,0.0,False,True,TABLE_5_5_TOPOLOGY_SATURATION_EVIDENCE,28506,False,0,True,True,TABLE_5_5_PRIMARY_SUCCESS_RATE_ONLY,True,872.7745467999775,3.512828910872565,
t5_5_fault_triple_2_4_6,all_day_line_interruption,all_day_seed_edge_fault_reconstruction,t5_2_speed_2p5,COMPLETE_FIXED_HORIZON,2.5,2.5,0,"[2, 4, 6]","[[8, 11], [24, 27], [43, 15]]",CONTAINS_RECONSTRUCTION,SEED_EDGE_ALL_DAY_RECONSTRUCTION_NOT_A_CLAIM_OF_EXACT_AFFECTED_CONVEYOR_CASCADE,"{""affected_conveyor_count"": 36, ""success_rate"": 0.26}",EXACT_G24_LIFECYCLE_ALIGNED,18913,3816,3.146699999999934,3.8271877009084196,4.3600666666672625,4.510066666666595,4.55673333333325,0.133866554409598,0.133866554409598,0.05465516031712622,False,True,TABLE_5_5_FIXED_HORIZON_SAFETY,24690,False,7453,False,False,FULL_CASE_OUTCOME,False,1151.073097800021,3.512828910872565,0.31435879003585443
t5_5_fault_triple_3_5_8,all_day_line_interruption,all_day_seed_edge_fault_reconstruction,t5_2_speed_2p5,COMPLETE_FIXED_HORIZON,2.5,2.5,0,"[3, 5, 8]","[[13, 23], [14, 46], [31, 32]]",STRONG,SEED_EDGE_ALL_DAY_RECONSTRUCTION_NOT_A_CLAIM_OF_EXACT_AFFECTED_CONVEYOR_CASCADE,"{""affected_conveyor_count"": 51, ""success_rate"": 0.05}",EXACT_G24_LIFECYCLE_ALIGNED,1164,80,3.6200333333333523,3.8244633333333136,4.1203999999999645,4.133566666666607,4.146733333333274,0.0028064267171823477,0.0028064267171823477,0.0016838560303094085,False,True,TABLE_5_5_FIXED_HORIZON_SAFETY,28426,False,6306,False,False,FULL_CASE_OUTCOME,False,1926.121313199983,3.512828910872565,0.31163442246074835
t5_5_fault_triple_4_6_7,all_day_line_interruption,all_day_seed_edge_fault_reconstruction,t5_2_speed_2p5,COMPLETE_FIXED_HORIZON,2.5,2.5,0,"[4, 6, 7]","[[24, 27], [43, 15], [33, 44]]",CONTAINS_RECONSTRUCTION,SEED_EDGE_ALL_DAY_RECONSTRUCTION_NOT_A_CLAIM_OF_EXACT_AFFECTED_CONVEYOR_CASCADE,"{""affected_conveyor_count"": 30, ""success_rate"": 0.26}",EXACT_G24_LIFECYCLE_ALIGNED,4675,2012,3.1333666666666127,3.421762392312768,3.4500333333332796,4.510066666666595,6.5075333333333525,0.07058163193713604,0.07058163193713604,0.061951869781800326,False,True,TABLE_5_5_FIXED_HORIZON_SAFETY,26494,False,9235,False,False,FULL_CASE_OUTCOME,False,1667.1562418999965,3.512828910872565,-0.09106651855979742
