scenario,family,task_offset,max_tasks,fault_edges,fault_windows,node_capacities,merge_groups,merge_capacity,merge_headway_seconds,python_planned,cpp_planned,python_unplanned,cpp_unplanned,python_decisions,cpp_decisions,python_replans,cpp_replans,python_ticks,cpp_ticks,python_peak_active_bags,cpp_peak_active_bags,python_holds,cpp_holds,python_conflicts,cpp_conflicts,python_mean_travel_time,cpp_mean_travel_time,mean_travel_abs_diff,python_makespan,cpp_makespan,makespan_abs_diff,python_elapsed_seconds,cpp_elapsed_seconds,cpp_speedup,parity_pass,first_mismatch_field,python_value,cpp_value,notes
legacy_first32,periodic_replanning_sipp,0,32,none,none,none,none,1,0.0,32,32,0,0,248,248,248,248,155,155,10,10,0,0,0,0,88.70399615625013,88.70399615625013,0.0,11406.84541,11406.84541,0.0,0.10237290000077337,0.30408509995322675,0.3366587182881371,True,none,,,"single local timing pass; matched scenario row, not final paper-grade timing"
legacy_first32,pibt_active_bag_replay,0,32,none,none,none,none,1,0.0,0,0,32,32,41032,41032,0,0,2048,2048,32,32,27120,27120,0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.002044999971986,9.024438899941742,0.8867083138014977,True,none,,,"single local timing pass; matched scenario row, not final paper-grade timing"
legacy_first32,edge_score_event,0,32,none,none,none,none,1,0.0,24,24,8,8,330,330,0,0,0,0,0,0,0,0,0,0,58.1416666666662,58.1416666666662,0.0,11360.14959,11360.14959,0.0,0.1719485999783501,0.07308889995329082,2.3525952653308217,True,none,,,"single local timing pass; matched scenario row, not final paper-grade timing"
legacy_first32,fallback_event,0,32,none,none,none,none,1,0.0,25,25,7,7,346,346,0,0,0,0,0,0,0,0,0,0,59.76799999999974,59.76799999999974,0.0,11356.14959,11356.14959,0.0,0.06856980000156909,0.06393990002106875,1.0724101848607013,True,none,,,"single local timing pass; matched scenario row, not final paper-grade timing"
legacy_offset32_static16,rolling_horizon_sipp,32,16,16->17,none,none,none,1,0.0,16,16,0,0,16,16,0,0,0,0,0,0,0,0,0,0,73.44885312499866,73.44885312499866,0.0,11953.548899999996,11953.548899999996,0.0,0.007767500006593764,0.028686299920082092,0.2707738547053278,True,none,,,"single local timing pass; matched scenario row, not final paper-grade timing"
legacy_offset32_static16,periodic_replanning_sipp,32,16,16->17,none,none,none,1,0.0,16,16,0,0,129,129,129,129,60,60,9,9,0,0,0,0,100.7617250000003,100.7617250000003,0.0,11985.2066,11985.2066,0.0,0.043872399954125285,0.14968830009456724,0.29309171075099666,True,none,,,"single local timing pass; matched scenario row, not final paper-grade timing"
legacy_offset32_static16,pibt_active_bag_replay,32,16,16->17,none,none,none,1,0.0,0,0,16,16,22378,22378,0,0,2048,2048,16,16,10154,10154,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.889082600013353,5.805620500002988,0.8421292091019102,True,none,,,"single local timing pass; matched scenario row, not final paper-grade timing"
legacy_offset32_static16,edge_score_event,32,16,16->17,none,none,none,1,0.0,12,12,4,4,205,205,0,0,0,0,0,0,0,0,0,0,63.96666666666609,63.96666666666609,0.0,11958.34881,11958.34881,0.0,0.12190929998178035,0.041088499943725765,2.9669932012301645,True,none,,,"single local timing pass; matched scenario row, not final paper-grade timing"
legacy_offset32_static16,fallback_event,32,16,16->17,none,none,none,1,0.0,12,12,4,4,193,193,0,0,0,0,0,0,0,0,0,0,63.0,63.0,0.0,11959.18781,11959.18781,0.0,0.04224820004310459,0.036240399931557477,1.1657763193257598,True,none,,,"single local timing pass; matched scenario row, not final paper-grade timing"
legacy_offset64_repair32,rolling_horizon_sipp,64,32,none,"28->47@[0.000,12000.000)",none,none,1,0.0,32,32,0,0,32,32,0,0,0,0,0,0,0,0,0,0,93.62435937499686,93.62435937499686,0.0,13214.288279999993,13214.288279999993,0.0,0.020676199928857386,0.06453380000311881,0.3203933431451137,True,none,,,"single local timing pass; matched scenario row, not final paper-grade timing"
legacy_offset64_repair32,periodic_replanning_sipp,64,32,none,"28->47@[0.000,12000.000)",none,none,1,0.0,32,32,0,0,265,265,265,265,91,91,18,18,0,0,0,0,132.5658068749994,132.5658068749994,0.0,13277.64994,13277.64994,0.0,0.1164353999774903,0.3708378999726847,0.31397923455522414,True,none,,,"single local timing pass; matched scenario row, not final paper-grade timing"
legacy_offset64_repair32,pibt_active_bag_replay,64,32,none,"28->47@[0.000,12000.000)",none,none,1,0.0,0,0,32,32,50808,50808,0,0,2048,2048,32,32,34627,34627,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.86917680001352,11.121921599959023,0.8873625579279286,True,none,,,"single local timing pass; matched scenario row, not final paper-grade timing"
legacy_offset64_repair32,edge_score_event,64,32,none,"28->47@[0.000,12000.000)",none,none,1,0.0,15,15,17,17,323,323,0,0,0,0,0,0,0,0,0,0,64.80000000000013,64.80000000000013,0.0,13167.521159999998,13167.521159999998,0.0,0.16593979997560382,0.06565739994402975,2.5273586848864062,True,none,,,"single local timing pass; matched scenario row, not final paper-grade timing"
legacy_offset64_repair32,fallback_event,64,32,none,"28->47@[0.000,12000.000)",none,none,1,0.0,13,13,19,19,321,321,0,0,0,0,0,0,0,0,0,0,61.76923076923077,61.76923076923077,0.0,13163.04086,13163.04086,0.0,0.06706399994436651,0.05951520008966327,1.126838183242777,True,none,,,"single local timing pass; matched scenario row, not final paper-grade timing"
legacy_offset64_merge32,rolling_horizon_sipp,64,32,none,none,none,13->23:9;18->22:9,1,0.0,32,32,0,0,32,32,0,0,0,0,0,0,0,0,0,0,96.42640781249696,96.42640781249696,0.0,13214.288279999993,13214.288279999993,0.0,0.024322899989783764,0.0676378000061959,0.3596051318575661,True,none,,,"single local timing pass; matched scenario row, not final paper-grade timing"
legacy_offset64_merge32,periodic_replanning_sipp,64,32,none,none,none,13->23:9;18->22:9,1,0.0,32,32,0,0,260,260,260,260,89,89,18,18,0,0,0,0,127.5658068749994,127.5658068749994,0.0,13267.64994,13267.64994,0.0,0.13228979997802526,0.3963187000481412,0.33379651266002813,True,none,,,"single local timing pass; matched scenario row, not final paper-grade timing"
legacy_offset64_merge32,pibt_active_bag_replay,64,32,none,none,none,13->23:9;18->22:9,1,0.0,0,0,32,32,51876,51876,0,0,2048,2048,32,32,35707,35707,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.129096199991181,11.519796699984,0.8792773400250414,True,none,,,"single local timing pass; matched scenario row, not final paper-grade timing"
legacy_offset64_merge32,edge_score_event,64,32,none,none,none,13->23:9;18->22:9,1,0.0,14,14,18,18,332,332,0,0,0,0,0,0,0,0,0,0,65.45714285714283,65.45714285714283,0.0,13167.521159999998,13167.521159999998,0.0,0.20003269996959716,0.06692050001583993,2.9891094645474836,True,none,,,"single local timing pass; matched scenario row, not final paper-grade timing"
legacy_offset64_merge32,fallback_event,64,32,none,none,none,13->23:9;18->22:9,1,0.0,13,13,19,19,334,334,0,0,0,0,0,0,0,0,0,0,62.95384615384557,62.95384615384557,0.0,13163.04086,13163.04086,0.0,0.06990489992313087,0.057737400056794286,1.2107386175056,True,none,,,"single local timing pass; matched scenario row, not final paper-grade timing"
