source,release_time_block,row_count,mean_delta_total_seconds,mean_delta_source_wait_seconds,mean_delta_route_wait_inclusive_seconds,mean_coordination_residual_delta_seconds,mean_delta_network_seconds,s4_slower_fraction
node_3,21,236,1.9620914534614835,0.0,2.511430889890138,-0.5493394364286545,1.9620914534614835,0.690677966101695
node_3,22,2,0.001999500011152122,0.0,0.0,0.001999500011152122,0.001999500011152122,1.0
node_3,3,56,-4.902332500026107,10.441964285714286,-9.651868214312865,-5.692428571427529,-15.344296785740394,0.2857142857142857
node_3,4,238,74.80283331086947,88.46428571428571,-0.21069610089710164,-13.450756302519139,-13.66145240341624,0.38235294117647056
node_3,5,728,39.55686396835454,59.77438186813187,-1.502792625055178,-18.714725274722145,-20.217517899777324,0.3324175824175824
node_3,6,952,197.63724021103067,193.56512605042016,25.897076345481025,-21.82496218487042,4.072114160610607,0.5588235294117647
node_3,7,542,5.665129529368481,49.76060885608856,-33.45311032303232,-10.642369003687763,-44.09547932672008,0.23616236162361623
node_3,8,424,38.95060602120306,4.348466981132075,39.958063568374754,-5.355924528303775,34.60213904007098,0.5094339622641509
node_3,9,449,15.860694020026843,12.443207126948774,10.52078310689718,-7.103296213819112,3.4174868930780686,0.5434298440979956
node_4,10,673,14.351102563130476,15.359212481426448,5.282567644864282,-6.290677563160253,-1.0081099182959716,0.512630014858841
node_4,11,541,7.714173903859296,0.0,13.225911426974472,-5.511737523115175,7.714173903859296,0.3900184842883549
node_4,12,516,5.937737209274646,0.046511627906976744,13.99497751936184,-8.103751937994168,5.89122558136767,0.4011627906976744
node_4,13,464,-6.452263314674226,0.08405172413793104,-0.05619434914631021,-6.4801206896658465,-6.536315038812157,0.3017241379310345
node_4,14,491,-4.430118468451956,0.06008146639511202,4.236912081455967,-8.727112016303035,-4.490199934847068,0.3014256619144603
node_4,15,467,-2.5095484475351855,3.2339400428265526,2.235492246264676,-7.978980736626414,-5.743488490361738,0.2826552462526767
node_4,16,522,1.7714239003932957,8.272988505747126,0.8056001551918334,-7.307164760545664,-6.501564605353831,0.3716475095785441
node_4,17,536,19.63896736575586,24.48134328358209,3.5288703825504557,-8.371246300376683,-4.842375917826228,0.47947761194029853
node_4,18,700,19.59901013316621,28.377857142857142,1.2139474160182517,-9.992794425709185,-8.778847009690933,0.45714285714285713
node_4,19,636,2.32567321715291,1.9547955974842768,2.839519309909222,-2.468641690240589,0.37087761966863325,0.47327044025157233
node_4,2,8,-4.746057375017017,0.0,-4.750057375017832,0.004000000000814907,-4.746057375017017,0.625
node_4,20,584,0.08244332031401976,0.018835616438356163,1.1333750206466067,-1.0697673167709432,0.06360770387566358,0.4623287671232877
node_4,21,238,1.247024088300495,0.0,1.548940247955437,-0.30191615965494206,1.247024088300495,0.5294117647058824
node_4,22,4,-2.248000999992655,0.0,-0.5500004999994417,-1.6980004999932135,-2.248000999992655,0.5
node_4,3,60,2.4697565999768205,17.0125,-6.91007673335768,-7.6326666666655,-14.542743400023179,0.3333333333333333
node_4,4,236,66.25518522453008,92.30190677966101,-10.475162233099173,-15.571559322031767,-26.04672155513094,0.2838983050847458
node_4,5,729,31.987580857293423,60.63511659807956,-6.960106385508239,-21.687429355277896,-28.647535740786136,0.2551440329218107
node_4,6,952,197.23962534024696,187.81512605042016,34.88456861755411,-25.460069327727165,9.424499289826981,0.5399159663865546
node_4,7,541,-0.822668758004763,55.93207024029575,-42.05940073582631,-14.695338262474205,-56.75473899830051,0.18853974121996303
node_4,8,424,19.4677190141295,4.0790094339622645,23.867266183942338,-8.478556603775102,15.388709580167236,0.35141509433962265
node_4,9,452,6.224238402638194,14.15320796460177,0.19796849114432127,-8.126938053107898,-7.9289695619635765,0.41814159292035397
node_5,10,670,6.645318446248299,13.763805970149253,-0.3146785686684033,-6.803808955232552,-7.118487523900955,0.41044776119402987
node_5,11,543,3.2818485266796156,0.0,8.435388121531712,-5.153539594852097,3.2818485266796156,0.285451197053407
node_5,12,513,-0.5012456530480405,0.030214424951267055,7.5608362183045585,-8.092296296303866,-0.5314600779993075,0.3157894736842105
node_5,13,466,-12.8156565429369,0.11212446351931331,-5.710673710310211,-7.217107296146001,-12.927781006456213,0.17167381974248927
node_5,14,488,-11.41528107174164,0.0584016393442623,-2.8134777930449597,-8.660204918040943,-11.473682711085903,0.20081967213114754
node_5,15,470,-13.149660504269729,0.20053191489361702,-5.005588159580456,-8.34460425958289,-13.350192419163346,0.14893617021276595
node_5,16,524,-3.8529842328170236,7.487118320610687,-3.6024307747948323,-7.737671778632879,-11.34010255342771,0.26908396946564883
node_5,17,534,18.67876942143867,28.02949438202247,0.04208406750843365,-9.392809028092234,-9.3507249605838,0.3913857677902622
node_5,18,702,16.918071430497676,30.32905982905983,-3.9233413017030285,-9.487647096859126,-13.410988398562154,0.4031339031339031
node_5,19,634,-1.3194952600805023,1.221608832807571,2.064801703632437,-4.60590579652051,-2.5411040928880735,0.3659305993690852
node_5,2,8,-0.4460026250003466,0.0,-0.4500026250011615,0.004000000000814907,-0.4460026250003466,0.75
node_5,20,586,-4.054345656872741,0.023464163822525596,-2.2103418053458643,-1.8674680153494017,-4.077809820695267,0.3430034129692833
node_5,21,236,-3.2915279151799286,0.0,-1.743866474509621,-1.5476614406703078,-3.2915279151799286,0.3389830508474576
node_5,22,4,0.001999500011152122,0.0,0.0,0.001999500011152122,0.001999500011152122,1.0
node_5,3,56,-14.351437071454061,0.0,-9.45186564288367,-4.899571428570392,-14.351437071454061,0.19642857142857142
node_5,4,238,15.900962575591361,50.1186974789916,-19.792155071469463,-14.425579831930772,-34.217734903400235,0.18907563025210083
node_5,5,728,30.94168314143279,71.68406593406593,-17.57621246296642,-23.166170329666723,-40.742382792633144,0.22115384615384615
node_5,6,952,218.57018611019305,201.1528361344538,43.12171552195407,-25.704365546214706,17.417349975739356,0.4884453781512605
node_5,7,544,17.624623389559428,56.78125,-24.412560433972438,-14.744066176468136,-39.156626610440576,0.26286764705882354
node_5,8,424,12.39470236318845,4.160966981132075,17.64628255186905,-9.412547169812672,8.233735382056375,0.3018867924528302
node_5,9,452,0.21429126325825257,12.39546460176991,-3.716191037617603,-8.464982300894055,-12.181173338511659,0.32079646017699115
node_53,10,470,47.34233622550994,25.857978723404255,22.954638353181956,-1.4702808510762748,21.48435750210568,0.7446808510638298
node_53,11,412,16.0365842960868,0.0,16.04883672328381,-0.01225242719701076,16.0365842960868,0.6868932038834952
node_53,12,460,15.560461576066961,0.37771739130434784,16.53550070651434,-1.352756521751729,15.182744184762614,0.6826086956521739
node_53,13,412,9.848513271826995,0.3586165048543689,9.968178320383142,-0.47828155341051665,9.489896766972626,0.6383495145631068
node_53,14,422,7.115133324624406,0.0,7.976744699044709,-0.8616113744203038,7.115133324624406,0.6018957345971564
node_53,15,470,7.7310887680627545,0.25585106382978723,8.048471746798926,-0.5732340425659594,7.475237704232967,0.6553191489361702
node_53,16,448,15.568405049115427,0.8443080357142857,15.808668450912478,-1.084571437511337,14.72409701340114,0.6629464285714286
node_53,17,534,62.76156347204335,44.142322097378276,21.971968016988342,-3.352726642323272,18.61924137466507,0.8595505617977528
node_53,18,558,73.51823108624585,51.29256272401434,28.083926797701974,-5.858258435470467,22.22566836223151,0.8870967741935484
node_53,19,384,6.668049317875405,3.4674479166666665,6.8510185209837955,-3.6504171197750566,3.2006014012087385,0.6458333333333334
node_53,20,296,3.703807811071513,0.018581081081081082,5.02547044281154,-1.3402437128211082,3.6852267299904318,0.652027027027027
node_53,21,114,1.4340036932091542,0.0,1.467512947579324,-0.03350925437016964,1.4340036932091542,0.7543859649122807
node_53,22,8,-0.047513499899650924,0.0,-0.0500129999127239,0.002499500013072975,-0.047513499899650924,0.75
node_53,3,32,-6.425719906259133,0.0,-5.65471990625997,-0.7709999999991624,-6.425719906259133,0.71875
node_53,4,396,-2.8439592449772317,0.0,-1.0242117702306692,-1.8197474747465627,-2.8439592449772317,0.3787878787878788
node_53,5,967,208.85476015501686,172.45010341261633,43.95528755935815,-7.550630816957727,36.404656742400434,0.594622543950362
node_53,6,835,926.8885824404844,501.3865269461078,431.81952615305755,-6.317470658680195,425.50205549437766,0.9413173652694611
node_53,7,446,434.7933728338357,149.98150224215246,289.4850096051354,-4.673139013452681,284.81187059168246,0.7376681614349776
node_53,8,366,21.35782557375701,0.6700819672131147,21.54354688523676,-0.8558032786928638,20.687743606543897,0.6338797814207651
node_53,9,478,49.833966531363,31.305962343096233,21.497351468613466,-2.9693472803467036,18.52800418826676,0.7761506276150628
