scenario,context,segment_id,task_id,event,legacy_path,executed_path,path_matches_legacy_astar,inserted_wait_count,finish_time,unplanned_reason,constraint_variant
legacy_first16_buffer2,buffer_capacity,14:storage_in,14,planned,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,True,0,10718.88828,,cie_node_window_primary
legacy_first16_buffer2,buffer_capacity,15:storage_in,15,planned,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,True,0,10724.8454,,cie_node_window_primary
legacy_first32,no_fault,0:storage_in,0,planned,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,True,0,8316.845453,,cie_node_window_primary
legacy_first32,no_fault,1:storage_in,1,planned,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,True,0,8914.245453,,cie_node_window_primary
legacy_first32,no_fault,2:storage_in,2,planned,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,True,0,8921.416298999999,,cie_node_window_primary
legacy_first32,no_fault,3:storage_in,3,planned,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,True,0,8929.000872,,cie_node_window_primary
legacy_first32,no_fault,4:storage_in,4,planned,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,True,0,9511.482986,,cie_node_window_primary
legacy_first32,no_fault,5:storage_in,5,planned,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,True,0,9517.015484,,cie_node_window_primary
legacy_first32,no_fault,6:storage_in,6,planned,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,True,0,10108.221619999998,,cie_node_window_primary
legacy_first32,no_fault,7:storage_in,7,planned,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,True,0,10122.28213,,cie_node_window_primary
legacy_first32,no_fault,8:storage_in,8,planned,0 6 12 13 23 24 27 28 47,0 6 12 13 23 24 27 28 47,True,0,10129.506480000002,,cie_node_window_primary
legacy_first32,no_fault,9:storage_in,9,planned,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,True,0,10131.73414,,cie_node_window_primary
legacy_first32,no_fault,10:storage_in,10,planned,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,True,0,10133.572939999998,,cie_node_window_primary
legacy_first32,no_fault,11:storage_in,11,planned,1 7 8 11 13 23 24 27 28 47,1 7 8 11 13 23 24 27 28 47,True,0,10139.439820000001,,cie_node_window_primary
legacy_first32,no_fault,12:storage_in,12,planned,0 6 12 13 23 24 27 28 47,0 6 12 13 23 24 27 28 47,True,0,10690.568600000002,,cie_node_window_primary
legacy_first32,no_fault,13:storage_in,13,planned,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,True,0,10711.57885,,cie_node_window_primary
legacy_first32,no_fault,14:storage_in,14,planned,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,True,0,10718.88828,,cie_node_window_primary
legacy_first32,no_fault,15:storage_in,15,planned,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,True,0,10724.8454,,cie_node_window_primary
legacy_first32,no_fault,16:storage_in,16,planned,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,True,0,10730.05953,,cie_node_window_primary
legacy_first32,no_fault,17:storage_in,17,planned,2 9 7 8 11 13 23 24 27 28 47,2 9 7 8 11 13 23 24 27 28 47,True,0,10734.077820000002,,cie_node_window_primary
legacy_first32,no_fault,18:storage_in,18,unplanned,,,False,,,legacy_astar_no_path,cie_node_window_primary
legacy_first32,no_fault,19:storage_in,19,planned,1 7 8 11 13 23 24 27 28 47,1 7 8 11 13 23 24 27 28 47,True,0,10736.811150000001,,cie_node_window_primary
legacy_first32,no_fault,20:storage_in,20,planned,3 16 21 23 24 27 28 47,3 16 21 23 24 27 28 47,True,0,10741.303269999999,,cie_node_window_primary
legacy_first32,no_fault,21:storage_in,21,planned,2 9 7 8 11 14 46 36 38 39 47,2 9 7 8 11 14 46 36 38 39 47,True,0,10764.03977,,cie_node_window_primary
legacy_first32,no_fault,22:storage_in,22,planned,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,True,0,10859.17765,,cie_node_window_primary
legacy_first32,no_fault,23:storage_in,23,planned,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,True,0,11297.445409999998,,cie_node_window_primary
legacy_first32,no_fault,24:storage_in,24,planned,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,True,0,11303.48296,,cie_node_window_primary
legacy_first32,no_fault,25:storage_in,25,planned,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,True,0,11314.21636,,cie_node_window_primary
legacy_first32,no_fault,26:storage_in,26,planned,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,True,0,11315.734339999999,,cie_node_window_primary
legacy_first32,no_fault,27:storage_in,27,planned,5 19 25 26 43 15 14 46 36 38 39 47,5 19 25 26 43 15 14 46 36 38 39 47,True,0,11347.312030000001,,cie_node_window_primary
legacy_first32,no_fault,28:storage_in,28,planned,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,True,0,11322.14959,,cie_node_window_primary
legacy_first32,no_fault,29:storage_in,29,planned,0 6 12 13 23 24 27 28 47,0 6 12 13 23 24 27 28 47,True,0,11318.839820000001,,cie_node_window_primary
legacy_first32,no_fault,30:storage_in,30,planned,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,True,0,11320.26746,,cie_node_window_primary
legacy_first32,no_fault,31:storage_in,31,planned,1 7 8 11 13 23 24 27 28 47,1 7 8 11 13 23 24 27 28 47,True,0,11326.144480000003,,cie_node_window_primary
legacy_offset32_static16,static_fault,32:storage_in,32,planned,2 9 7 8 11 13 23 24 27 28 47,2 9 7 8 11 13 23 24 27 28 47,True,0,11331.373150000003,,cie_node_window_primary
legacy_offset32_static16,static_fault,33:storage_in,33,planned,0 6 12 13 23 24 27 28 47,0 6 12 13 23 24 27 28 47,True,0,11326.83983,,cie_node_window_primary
legacy_offset32_static16,static_fault,34:storage_in,34,planned,3 16 21 23 24 27 28 47,3 16 21 23 24 27 28 47,True,0,11335.839609999999,,cie_node_window_primary
legacy_offset32_static16,static_fault,35:storage_in,35,planned,4 17 18 22 26 43 15 14 46 36 38 39 47,4 17 18 22 26 43 15 14 46 36 38 39 47,True,0,11364.73412,,cie_node_window_primary
legacy_offset32_static16,static_fault,36:storage_in,36,planned,1 7 8 11 14 46 36 38 39 47,1 7 8 11 14 46 36 38 39 47,True,0,11358.587809999999,,cie_node_window_primary
legacy_offset32_static16,static_fault,37:storage_in,37,planned,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,True,0,11333.60084,,cie_node_window_primary
legacy_offset32_static16,static_fault,38:storage_in,38,planned,2 9 7 8 11 13 23 24 27 28 47,2 9 7 8 11 13 23 24 27 28 47,True,0,11341.854490000002,,cie_node_window_primary
legacy_offset32_static16,static_fault,39:storage_in,39,planned,3 16 21 23 24 27 28 47,3 16 21 23 24 27 28 47,True,0,11343.97424,,cie_node_window_primary
legacy_offset32_static16,static_fault,40:storage_in,40,planned,0 6 12 13 23 24 27 28 47,0 6 12 13 23 24 27 28 47,True,0,11337.544440000001,,cie_node_window_primary
legacy_offset32_static16,static_fault,41:storage_in,41,planned,1 7 8 11 13 23 24 27 28 47,1 7 8 11 13 23 24 27 28 47,True,0,11895.206600000001,,cie_node_window_primary
legacy_offset32_static16,static_fault,42:storage_in,42,planned,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,True,0,11901.015529999999,,cie_node_window_primary
legacy_offset32_static16,static_fault,43:storage_in,43,planned,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,True,0,11910.749619999999,,cie_node_window_primary
legacy_offset32_static16,static_fault,44:storage_in,44,planned,3 16 21 23 24 27 28 47,3 16 21 23 24 27 28 47,True,0,11921.148899999998,,cie_node_window_primary
legacy_offset32_static16,static_fault,45:storage_in,45,planned,1 7 8 11 14 46 36 38 39 47,1 7 8 11 14 46 36 38 39 47,True,0,11942.811149999998,,cie_node_window_primary
legacy_offset32_static16,static_fault,46:storage_in,46,planned,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,True,0,11922.34881,,cie_node_window_primary
legacy_offset32_static16,static_fault,47:storage_in,47,planned,2 9 7 8 11 13 23 24 27 28 47,2 9 7 8 11 13 23 24 27 28 47,True,0,11931.187810000003,,cie_node_window_primary
legacy_offset64_repair32,repair_window,64:storage_in,64,planned,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,True,0,12523.63977,,cie_node_window_primary
legacy_offset64_repair32,repair_window,65:storage_in,65,planned,0 6 12 13 23 24 27 28 47,0 6 12 13 23 24 27 28 47,True,0,12521.337770000002,,cie_node_window_primary
legacy_offset64_repair32,repair_window,66:storage_in,66,unplanned,,,False,,,legacy_astar_no_path,cie_node_window_primary
legacy_offset64_repair32,repair_window,67:storage_in,67,planned,1 7 8 11 13 23 24 27 28 47,1 7 8 11 13 23 24 27 28 47,True,0,12528.587820000002,,cie_node_window_primary
legacy_offset64_repair32,repair_window,68:storage_in,68,planned,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,True,0,12525.703179999999,,cie_node_window_primary
legacy_offset64_repair32,repair_window,69:storage_in,69,planned,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,True,0,12531.66742,,cie_node_window_primary
legacy_offset64_repair32,repair_window,70:storage_in,70,planned,2 9 7 8 11 13 23 24 27 28 47,2 9 7 8 11 13 23 24 27 28 47,True,0,12536.706480000003,,cie_node_window_primary
legacy_offset64_repair32,repair_window,71:storage_in,71,unplanned,,,False,,,legacy_astar_no_path,cie_node_window_primary
legacy_offset64_repair32,repair_window,72:storage_in,72,unplanned,,,False,,,legacy_astar_no_path,cie_node_window_primary
legacy_offset64_repair32,repair_window,73:storage_in,73,planned,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,True,0,12533.572989999999,,cie_node_window_primary
legacy_offset64_repair32,repair_window,74:storage_in,74,planned,1 7 8 11 13 23 24 27 28 47,1 7 8 11 13 23 24 27 28 47,True,0,12539.439820000001,,cie_node_window_primary
legacy_offset64_repair32,repair_window,75:storage_in,75,planned,3 16 21 23 24 27 28 47,3 16 21 23 24 27 28 47,True,0,12543.97417,,cie_node_window_primary
legacy_offset64_repair32,repair_window,76:storage_in,76,planned,2 9 7 8 11 14 46 36 38 39 47,2 9 7 8 11 14 46 36 38 39 47,True,0,12566.52141,,cie_node_window_primary
legacy_offset64_repair32,repair_window,77:storage_in,77,planned,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,True,0,12669.00081,,cie_node_window_primary
legacy_offset64_repair32,repair_window,78:storage_in,78,planned,2 9 7 8 11 13 23 24 27 28 47,2 9 7 8 11 13 23 24 27 28 47,True,0,13100.249940000002,,cie_node_window_primary
legacy_offset64_repair32,repair_window,79:storage_in,79,planned,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,True,0,13095.682149999999,,cie_node_window_primary
legacy_offset64_repair32,repair_window,80:storage_in,80,unplanned,,,False,,,legacy_astar_no_path,cie_node_window_primary
legacy_offset64_repair32,repair_window,81:storage_in,81,planned,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,True,0,13097.445279999998,,cie_node_window_primary
legacy_offset64_repair32,repair_window,82:storage_in,82,planned,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,True,0,13103.45944,,cie_node_window_primary
legacy_offset64_repair32,repair_window,83:storage_in,83,planned,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,True,0,13106.28828,,cie_node_window_primary
legacy_offset64_repair32,repair_window,84:storage_in,84,unplanned,,,False,,,legacy_astar_no_path,cie_node_window_primary
legacy_offset64_repair32,repair_window,85:storage_in,85,planned,1 7 8 11 13 23 24 27 28 47,1 7 8 11 13 23 24 27 28 47,True,0,13110.106490000002,,cie_node_window_primary
legacy_offset64_repair32,repair_window,86:storage_in,86,planned,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,True,0,13108.112169999999,,cie_node_window_primary
legacy_offset64_repair32,repair_window,87:storage_in,87,planned,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,True,0,13114.17869,,cie_node_window_primary
legacy_offset64_repair32,repair_window,88:storage_in,88,planned,2 9 7 8 11 13 23 24 27 28 47,2 9 7 8 11 13 23 24 27 28 47,True,0,13118.039830000002,,cie_node_window_primary
legacy_offset64_repair32,repair_window,89:storage_in,89,unplanned,,,False,,,legacy_astar_no_path,cie_node_window_primary
legacy_offset64_repair32,repair_window,90:storage_in,90,unplanned,,,False,,,legacy_astar_no_path,cie_node_window_primary
legacy_offset64_repair32,repair_window,91:storage_in,91,planned,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,True,0,13115.8367,,cie_node_window_primary
legacy_offset64_repair32,repair_window,92:storage_in,92,planned,1 7 8 11 13 23 24 27 28 47,1 7 8 11 13 23 24 27 28 47,True,0,13121.495160000002,,cie_node_window_primary
legacy_offset64_repair32,repair_window,93:storage_in,93,planned,2 9 7 8 11 13 23 24 27 28 47,2 9 7 8 11 13 23 24 27 28 47,True,0,13128.521160000002,,cie_node_window_primary
legacy_offset64_repair32,repair_window,94:storage_in,94,planned,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,True,0,13123.04086,,cie_node_window_primary
legacy_offset64_repair32,repair_window,95:storage_in,95,unplanned,,,False,,,legacy_astar_no_path,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,64:storage_in,64,planned,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,True,0,12523.63977,,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,65:storage_in,65,planned,0 6 12 13 23 24 27 28 47,0 6 12 13 23 24 27 28 47,True,0,12521.337770000002,,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,66:storage_in,66,unplanned,,,False,,,legacy_astar_no_path,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,67:storage_in,67,planned,1 7 8 11 13 23 24 27 28 47,1 7 8 11 13 23 24 27 28 47,True,0,12528.587820000002,,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,68:storage_in,68,planned,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,True,0,12525.703179999999,,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,69:storage_in,69,planned,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,True,0,12531.66742,,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,70:storage_in,70,planned,2 9 7 8 11 13 23 24 27 28 47,2 9 7 8 11 13 23 24 27 28 47,True,0,12536.706480000003,,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,71:storage_in,71,unplanned,,,False,,,legacy_astar_no_path,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,72:storage_in,72,unplanned,,,False,,,legacy_astar_no_path,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,73:storage_in,73,planned,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,True,0,12533.572989999999,,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,74:storage_in,74,planned,1 7 8 11 13 23 24 27 28 47,1 7 8 11 13 23 24 27 28 47,True,0,12539.439820000001,,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,75:storage_in,75,planned,3 16 21 23 24 27 28 47,3 16 21 23 24 27 28 47,True,0,12543.97417,,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,76:storage_in,76,planned,2 9 7 8 11 14 46 36 38 39 47,2 9 7 8 11 14 46 36 38 39 47,True,0,12566.52141,,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,77:storage_in,77,planned,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,True,0,12669.00081,,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,78:storage_in,78,planned,2 9 7 8 11 13 23 24 27 28 47,2 9 7 8 11 13 23 24 27 28 47,True,0,13100.249940000002,,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,79:storage_in,79,planned,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,True,0,13095.682149999999,,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,80:storage_in,80,unplanned,,,False,,,legacy_astar_no_path,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,81:storage_in,81,planned,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,True,0,13097.445279999998,,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,82:storage_in,82,planned,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,True,0,13103.45944,,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,83:storage_in,83,planned,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,True,0,13106.28828,,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,84:storage_in,84,unplanned,,,False,,,legacy_astar_no_path,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,85:storage_in,85,planned,1 7 8 11 13 23 24 27 28 47,1 7 8 11 13 23 24 27 28 47,True,0,13110.106490000002,,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,86:storage_in,86,planned,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,True,0,13108.112169999999,,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,87:storage_in,87,planned,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,True,0,13114.17869,,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,88:storage_in,88,planned,2 9 7 8 11 13 23 24 27 28 47,2 9 7 8 11 13 23 24 27 28 47,True,0,13118.039830000002,,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,89:storage_in,89,unplanned,,,False,,,legacy_astar_no_path,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,90:storage_in,90,unplanned,,,False,,,legacy_astar_no_path,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,91:storage_in,91,planned,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,True,0,13115.8367,,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,92:storage_in,92,planned,1 7 8 11 13 23 24 27 28 47,1 7 8 11 13 23 24 27 28 47,True,0,13121.495160000002,,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,93:storage_in,93,planned,2 9 7 8 11 13 23 24 27 28 47,2 9 7 8 11 13 23 24 27 28 47,True,0,13128.521160000002,,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,94:storage_in,94,planned,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,True,0,13123.04086,,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,95:storage_in,95,unplanned,,,False,,,legacy_astar_no_path,cie_node_window_primary
