source_file,schema,case_id,map,scale,speed_mps,release,coordination,arm,arm_label,family,variant,s4_ablation,status,binary_sha256,raw_bag_population,segment_population,completed_segment_count,failed_segment_count,wall_seconds,cpu_seconds,event_count,decision_count,event_limit_reached,time_limit_reached,loop_count,reservation_conflicts,runtime_full_astar_calls,scorer_runtime_global_scan_count
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\literature\g31\same_hca\map2_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_map2_1x_speed_2p5,map2,1,2.5,same_hca,G31_BASE_COORDINATION_UNCHANGED,g31,G31_S4,,,,COMPLETE,d08504ea570511048a112626b7c6b510b8e6808eac242af748520d41383fee04,28506,43603,43603,0,25.90344600006938,25.171875,3878847,336711,False,False,0,0,0,0
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_ablations\same_hca\a0_h_only\map2_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_map2_1x_speed_2p5,map2,1,2.5,same_hca,g31,g31,G31_S4,,a0_h_only,a0_h_only,COMPLETE,884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,28506,43603,43603,0,25.495373100042343,25.15625,3887176,336773,False,False,0,0,0,0
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_ablations\same_hca\a1_h_q\map2_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_map2_1x_speed_2p5,map2,1,2.5,same_hca,g31,g31,G31_S4,,a1_h_q,a1_h_q,COMPLETE,884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,28506,43603,43603,0,25.53252199990675,25.109375,3886014,336685,False,False,0,0,0,0
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_ablations\same_hca\a2_h_q_i\map2_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_map2_1x_speed_2p5,map2,1,2.5,same_hca,g31,g31,G31_S4,,a2_h_q_i,a2_h_q_i,COMPLETE,884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,28506,43603,43603,0,25.398365099914372,25.078125,3879900,336791,False,False,0,0,0,0
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_ablations\same_hca\a4_full\map2_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_map2_1x_speed_2p5,map2,1,2.5,same_hca,g31,g31,G31_S4,,a4_full,none,COMPLETE,884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,28506,43603,43603,0,23.265476000029594,22.625,3878847,336711,False,False,0,0,0,0
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_ablations\same_hca\b1_full_minus_q\map2_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_map2_1x_speed_2p5,map2,1,2.5,same_hca,g31,g31,G31_S4,,b1_full_minus_q,b1_full_minus_q,COMPLETE,884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,28506,43603,43603,0,25.628470200113952,25.296875,3879997,336794,False,False,0,0,0,0
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_ablations\same_hca\b2_full_minus_i\map2_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_map2_1x_speed_2p5,map2,1,2.5,same_hca,g31,g31,G31_S4,,b2_full_minus_i,b2_full_minus_i,COMPLETE,884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,28506,43603,43603,0,25.48875609994866,25.296875,3886014,336685,False,False,0,0,0,0
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_ablations\same_hca\b5_full_minus_strict_descent\map2_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_map2_1x_speed_2p5,map2,1,2.5,same_hca,g31,g31,G31_S4,,b5_full_minus_strict_descent,b5_full_minus_strict_descent,COMPLETE,884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,28506,43603,43603,0,25.46445279987529,25.109375,3878847,336711,False,False,0,0,0,0
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_ablations\same_hca\f1_service_rate_normalized\map2_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_map2_1x_speed_2p5,map2,1,2.5,same_hca,g31,g31,G31_S4,,f1_service_rate_normalized,f1_service_rate_normalized,COMPLETE,884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,28506,43603,43603,0,25.432360699865967,25.078125,3878847,336711,False,False,0,0,0,0
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_baselines\p1_neutral_fifo_final\g31\same_hca\map2_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_map2_1x_speed_2p5,map2,1,2.5,same_hca,neutral_fifo,g31,G31_S4,,,none,COMPLETE,17d73f94863e1de71e3ba8f1b41d01c25c3173614ae3edfbb071119265ceb279,28506,43603,43603,0,23.777772299945354,23.53125,3878593,336708,False,False,0,0,0,0
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_ablations\same_hca\c_fifo\map2_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_map2_1x_speed_2p5,map2,1,2.5,same_hca,neutral_fifo,g31,G31_S4,,c_fifo,none,COMPLETE,884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,28506,43603,43603,0,25.261575900018215,25.015625,3878593,336708,False,False,0,0,0,0
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\g31\map2_2x.json,czr005.g4irsf31.map2_final_policy_case.v1,t5_2_map2_2x_speed_2p5,map2,2,2.5,,"{""event_hotpath_policy"":""E2"",""merge_grant_rule"":""M3"",""merge_grant_timing_mode"":""jit_fair_aging_deadline"",""queue_discipline"":""fifo""}",g31,,,,,COMPLETE_G31_MAP2_FIXED_HORIZON_CAPACITY_EVIDENCE,,57012,87206,,,45.6061289999634,44.265625,8276538,672387,False,False,,,,
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\literature\g31\canonical\map2_2x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_map2_2x_speed_2p5,map2,2,2.5,canonical,G31_BASE_COORDINATION_UNCHANGED,g31,G31_S4,,,,COMPLETE,d08504ea570511048a112626b7c6b510b8e6808eac242af748520d41383fee04,57012,87206,87206,0,75.54569729999639,73.515625,8276538,672387,False,False,0,0,0,0
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_baselines\p1_neutral_fifo\g31\canonical\map2_2x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_map2_2x_speed_2p5,map2,2,2.5,canonical,neutral_fifo,g31,G31_S4,,,none,COMPLETE,884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,57012,87206,87206,0,70.47239580005407,69.40625,8275574,672380,False,False,0,0,0,0
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_baselines\p1_neutral_fifo_final\g31\canonical\map2_2x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_map2_2x_speed_2p5,map2,2,2.5,canonical,neutral_fifo,g31,G31_S4,,,none,COMPLETE,17d73f94863e1de71e3ba8f1b41d01c25c3173614ae3edfbb071119265ceb279,57012,87206,87206,0,62.908944099908695,61.640625,8275574,672380,False,False,0,0,0,0
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\g31\nanning_1x.json,czr005.g4irsf31.nanning_s4_case.v1,t5_2_nanning_1x_speed_2p5,nanning,1,2.5,,"{""event_hotpath_policy"":""E2"",""merge_grant_rule"":""M3"",""merge_grant_timing_mode"":""jit_fair_aging_deadline"",""queue_discipline"":""fifo""}",g31,,,,,COMPLETE_G31_FIXED_HORIZON_CAPACITY_EVIDENCE,,28506,43603,,,51.03884880011901,49.90625,7087605,588936,False,False,,,,
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\literature\g31\canonical\nanning_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_nanning_1x_speed_2p5,nanning,1,2.5,canonical,G31_BASE_COORDINATION_UNCHANGED,g31,G31_S4,,,,COMPLETE,d08504ea570511048a112626b7c6b510b8e6808eac242af748520d41383fee04,28506,43603,43603,0,63.56560399988666,61.125,7087605,588936,False,False,0,0,0,0
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_baselines\p1_neutral_fifo\g31\canonical\nanning_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_nanning_1x_speed_2p5,nanning,1,2.5,canonical,neutral_fifo,g31,G31_S4,,,none,COMPLETE,884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,28506,43603,43603,0,60.6202014000155,59.671875,7087585,588935,False,False,0,0,0,0
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_baselines\p1_neutral_fifo_final\g31\canonical\nanning_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_nanning_1x_speed_2p5,nanning,1,2.5,canonical,neutral_fifo,g31,G31_S4,,,none,COMPLETE,17d73f94863e1de71e3ba8f1b41d01c25c3173614ae3edfbb071119265ceb279,28506,43603,43603,0,56.40400620014407,55.375,7087585,588935,False,False,0,0,0,0
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\g31\same_hca\nanning_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_nanning_1x_speed_2p5,nanning,1,2.5,same_hca,G31_BASE_COORDINATION_UNCHANGED,g31,,,,,COMPLETE,639a6af52c3fe707ae929f148b485694c4a3577140e96cf06c41a338b09b9a31,28506,43603,43603,0,38.459528899984434,37.515625,6654023,587000,False,False,0,0,0,0
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\literature\g31\same_hca\nanning_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_nanning_1x_speed_2p5,nanning,1,2.5,same_hca,G31_BASE_COORDINATION_UNCHANGED,g31,G31_S4,,,,COMPLETE,d08504ea570511048a112626b7c6b510b8e6808eac242af748520d41383fee04,28506,43603,43603,0,52.79065169999376,50.71875,6654023,587000,False,False,0,0,0,0
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_ablations\same_hca\a0_h_only\nanning_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_nanning_1x_speed_2p5,nanning,1,2.5,same_hca,g31,g31,G31_S4,,a0_h_only,a0_h_only,COMPLETE,884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,28506,43603,43603,0,47.547456400003284,46.96875,6336627,552825,False,False,0,0,0,0
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_ablations\same_hca\a1_h_q\nanning_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_nanning_1x_speed_2p5,nanning,1,2.5,same_hca,g31,g31,G31_S4,,a1_h_q,a1_h_q,COMPLETE,884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,28506,43603,43603,0,47.35147040011361,46.734375,6359314,554696,False,False,0,0,0,0
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_ablations\same_hca\a2_h_q_i\nanning_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_nanning_1x_speed_2p5,nanning,1,2.5,same_hca,g31,g31,G31_S4,,a2_h_q_i,a2_h_q_i,COMPLETE,884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,28506,43603,43603,0,49.10368929989636,48.5,6669030,587567,False,False,0,0,0,0
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_ablations\same_hca\a4_full\nanning_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_nanning_1x_speed_2p5,nanning,1,2.5,same_hca,g31,g31,G31_S4,,a4_full,none,COMPLETE,884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,28506,43603,43603,0,47.52039399999194,46.6875,6654023,587000,False,False,0,0,0,0
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_ablations\same_hca\b1_full_minus_q\nanning_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_nanning_1x_speed_2p5,nanning,1,2.5,same_hca,g31,g31,G31_S4,,b1_full_minus_q,b1_full_minus_q,COMPLETE,884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,28506,43603,43603,0,48.34154669987038,47.5,6638937,586134,False,False,0,0,0,0
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_ablations\same_hca\b2_full_minus_i\nanning_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_nanning_1x_speed_2p5,nanning,1,2.5,same_hca,g31,g31,G31_S4,,b2_full_minus_i,b2_full_minus_i,COMPLETE,884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,28506,43603,43603,0,47.53775770007633,47.046875,6349148,554691,False,False,0,0,0,0
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_ablations\same_hca\b5_full_minus_strict_descent\nanning_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_nanning_1x_speed_2p5,nanning,1,2.5,same_hca,g31,g31,G31_S4,,b5_full_minus_strict_descent,b5_full_minus_strict_descent,COMPLETE,884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,28506,43603,43603,0,48.74991029989906,47.859375,6654023,587000,False,False,0,0,0,0
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_ablations\same_hca\f1_service_rate_normalized\nanning_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_nanning_1x_speed_2p5,nanning,1,2.5,same_hca,g31,g31,G31_S4,,f1_service_rate_normalized,f1_service_rate_normalized,COMPLETE,884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,28506,43603,43603,0,49.45090750022791,48.796875,6739557,595620,False,False,0,0,0,0
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_baselines\p1_neutral_fifo_final\g31\same_hca\nanning_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_nanning_1x_speed_2p5,nanning,1,2.5,same_hca,neutral_fifo,g31,G31_S4,,,none,COMPLETE,17d73f94863e1de71e3ba8f1b41d01c25c3173614ae3edfbb071119265ceb279,28506,43603,43603,0,45.12005109991878,44.1875,6654023,587000,False,False,0,0,0,0
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_ablations\same_hca\c_fifo\nanning_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_nanning_1x_speed_2p5,nanning,1,2.5,same_hca,neutral_fifo,g31,G31_S4,,c_fifo,none,COMPLETE,884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,28506,43603,43603,0,48.871123699937016,48.140625,6654023,587000,False,False,0,0,0,0
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\g31\nanning_2x.json,czr005.g4irsf31.nanning_s4_case.v1,t5_2_nanning_2x_speed_2p5,nanning,2,2.5,,"{""event_hotpath_policy"":""E2"",""merge_grant_rule"":""M3"",""merge_grant_timing_mode"":""jit_fair_aging_deadline"",""queue_discipline"":""fifo""}",g31,,,,,COMPLETE_G31_FIXED_HORIZON_CAPACITY_EVIDENCE,,57012,87206,,,537.5173814999871,515.734375,15449370,1184109,False,False,,,,
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\literature\g31\canonical\nanning_2x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_nanning_2x_speed_2p5,nanning,2,2.5,canonical,G31_BASE_COORDINATION_UNCHANGED,g31,G31_S4,,,,COMPLETE,d08504ea570511048a112626b7c6b510b8e6808eac242af748520d41383fee04,57012,87206,87206,0,1075.4496452999301,1047.609375,15449370,1184109,False,False,0,0,0,0
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_baselines\p1_neutral_fifo\g31\canonical\nanning_2x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_nanning_2x_speed_2p5,nanning,2,2.5,canonical,neutral_fifo,g31,G31_S4,,,none,COMPLETE,884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,57012,87206,87206,0,1010.0204922999255,982.40625,15449360,1184108,False,False,0,0,0,0
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_baselines\p1_neutral_fifo_final\g31\canonical\nanning_2x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_nanning_2x_speed_2p5,nanning,2,2.5,canonical,neutral_fifo,g31,G31_S4,,,none,COMPLETE,17d73f94863e1de71e3ba8f1b41d01c25c3173614ae3edfbb071119265ceb279,57012,87206,87206,0,915.1517074999865,897.375,15449360,1184108,False,False,0,0,0,0
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\s5\canonical\map2_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_map2_1x_speed_2p5,map2,1,2.5,canonical,G31_BASE_COORDINATION_UNCHANGED,s5,,,,,COMPLETE,639a6af52c3fe707ae929f148b485694c4a3577140e96cf06c41a338b09b9a31,28506,43603,43603,0,24.41007119999267,23.15625,3991195,336026,False,False,0,0,645958,435373
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\s5\same_hca\map2_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_map2_1x_speed_2p5,map2,1,2.5,same_hca,G31_BASE_COORDINATION_UNCHANGED,s5,,,,,COMPLETE,639a6af52c3fe707ae929f148b485694c4a3577140e96cf06c41a338b09b9a31,28506,43603,43603,0,29.43699639989063,28.90625,3878857,336161,False,False,0,0,536247,372840
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\s5\canonical\map2_2x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_map2_2x_speed_2p5,map2,2,2.5,canonical,G31_BASE_COORDINATION_UNCHANGED,s5,,,,,COMPLETE,639a6af52c3fe707ae929f148b485694c4a3577140e96cf06c41a338b09b9a31,57012,87206,87206,0,68.25730860000476,66.890625,8307939,676799,False,False,0,0,1555001,1061763
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\s5\canonical\nanning_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_nanning_1x_speed_2p5,nanning,1,2.5,canonical,G31_BASE_COORDINATION_UNCHANGED,s5,,,,,COMPLETE,639a6af52c3fe707ae929f148b485694c4a3577140e96cf06c41a338b09b9a31,28506,43603,43372,231,435.3928095998708,424.546875,12954197,1041560,False,False,0,0,3986636,2176110
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\s5\same_hca\nanning_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_nanning_1x_speed_2p5,nanning,1,2.5,same_hca,G31_BASE_COORDINATION_UNCHANGED,s5,,,,,COMPLETE,639a6af52c3fe707ae929f148b485694c4a3577140e96cf06c41a338b09b9a31,28506,43603,43603,0,59.017794399987906,57.59375,6338487,553527,False,False,0,0,1355194,706545
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\s5\canonical\nanning_2x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_nanning_2x_speed_2p5,nanning,2,2.5,canonical,G31_BASE_COORDINATION_UNCHANGED,s5,,,,,COMPLETE,639a6af52c3fe707ae929f148b485694c4a3577140e96cf06c41a338b09b9a31,57012,87206,76996,10210,13386.45957769989,13034.015625,24063054,1833121,False,True,0,0,8403557,4593068
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\ssp_time\canonical\map2_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_map2_1x_speed_2p5,map2,1,2.5,canonical,G31_BASE_COORDINATION_UNCHANGED,ssp_time,SSP_TIME_ADAPTATION_NOT_FENG_DHA,,,,COMPLETE,639a6af52c3fe707ae929f148b485694c4a3577140e96cf06c41a338b09b9a31,28506,43603,43603,0,19.820645000087097,19.1875,4007127,336773,False,False,0,0,0,0
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\ssp_time\same_hca\map2_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_map2_1x_speed_2p5,map2,1,2.5,same_hca,G31_BASE_COORDINATION_UNCHANGED,ssp_time,SSP_TIME_ADAPTATION_NOT_FENG_DHA,,,,COMPLETE,639a6af52c3fe707ae929f148b485694c4a3577140e96cf06c41a338b09b9a31,28506,43603,43603,0,20.965776400174946,20.703125,3887164,336773,False,False,0,0,0,0
