case_id,category,workload_mode,scale,execution_status,protocol_manifest_sha256,map_sha256,workload_segment_count,raw_bag_count,junction_count,peak_active_bag_count,runtime_thread_count,peak_working_set_bytes,cpp_internal_accounted_bytes,peak_junction_local_state_accounted_bytes,sum_final_junction_local_state_accounted_bytes,max_junction_service_utilization,bottleneck_node,bottleneck_score,decision_latency_us_p50,decision_latency_us_p95,decision_latency_us_p99,event_throughput_per_second,wall_seconds,blocker
frontier_synchronized_replica_worst_case_3p5x,capacity_frontier,synchronized_replica_worst_case,3.5,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,152519,99713,53,145150,1,1180864512,85637332,164220,565596,0.605340638903886,46,40995.322595673286,7.2,18.5,26.6,5031.588598484131,3023.4063137999983,
frontier_synchronized_replica_worst_case_3p75x,capacity_frontier,synchronized_replica_worst_case,3.75,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,163402,106864,53,155966,1,1259765760,88553460,165464,608612,0.6112930824305182,46,41306.32459349103,7.5,19.0,28.6,4360.736504842071,3638.906027099998,
frontier_synchronized_replica_worst_case_4p0x,capacity_frontier,synchronized_replica_worst_case,4.0,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,174412,114024,53,166886,1,1342062592,91503720,171296,652232,0.6161560742309524,18,42759.61615607423,7.7,19.6,31.800000000000004,3685.892092932056,4485.861901700002,
frontier_empirical_interarrival_jitter_2p0x,capacity_frontier,empirical_interarrival_jitter,2.0,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,87206,57012,53,80665,1,689033216,43252340,127744,309004,0.34738373088129315,46,31876.266161935775,5.5,18.3,30.0,13893.026641881086,768.9786435999995,
frontier_empirical_interarrival_jitter_2p25x,capacity_frontier,empirical_interarrival_jitter,2.25,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,97876,64038,53,91144,1,767795200,56065692,137128,351116,0.3944950190515579,46,34222.280915122545,6.1,19.9,36.2,10225.580455482977,1121.3244902000006,
frontier_empirical_interarrival_jitter_2p5x,capacity_frontier,empirical_interarrival_jitter,2.5,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,108733,71149,53,101867,1,848539648,58974652,145848,393828,0.4437079288962701,46,36402.294638604195,5.7,18.1,26.7,9087.74845314226,1351.0775987000015,
frontier_empirical_interarrival_jitter_2p75x,capacity_frontier,empirical_interarrival_jitter,2.75,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,119876,78411,53,112954,1,932511744,61960056,152576,437480,0.49275415657385363,46,38084.30413694493,6.1,18.2,25.9,7676.881897704347,1702.5818998000032,
frontier_empirical_interarrival_jitter_3p0x,capacity_frontier,empirical_interarrival_jitter,3.0,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,130809,85518,53,123766,1,1013800960,64889460,157084,480572,0.5403696956502503,46,39211.31123547323,6.4,18.1,25.4,6450.758325159585,2140.914254299998,
frontier_empirical_interarrival_jitter_3p25x,capacity_frontier,empirical_interarrival_jitter,3.25,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,141479,92544,53,134258,1,1097199616,82679568,161976,522392,0.586427876105788,46,40434.31896435474,6.9,18.5,26.299999999999997,6044.175439473593,2404.0238326000035,
frontier_empirical_interarrival_jitter_3p5x,capacity_frontier,empirical_interarrival_jitter,3.5,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,152336,99655,53,144976,1,1177948160,85588652,163824,565228,0.6050312571436979,46,40896.32189257098,7.1,18.4,26.699999999999996,5069.427862621124,3000.8930693,
frontier_empirical_interarrival_jitter_3p75x,capacity_frontier,empirical_interarrival_jitter,3.75,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,163479,106917,53,156039,1,1261391872,88574272,165088,609096,0.6110182454463887,46,41212.32393572339,7.5,19.1,28.8,4338.013896648827,3663.6279813,
frontier_empirical_interarrival_jitter_4p0x,capacity_frontier,empirical_interarrival_jitter,4.0,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,174412,114024,53,166856,1,1341104128,91503456,171276,651968,0.6161203103340726,18,42754.61612031033,7.9,19.6,31.9,3676.0233658411953,4503.815921500005,
frontier_peak_hour_only_scaling_2p0x,capacity_frontier,peak_hour_only_scaling,2.0,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,50502,32905,53,44274,1,409399296,26781924,83352,164612,0.18620466371821429,46,20778.186204663718,4.7,15.8,27.300000000000004,26366.95491868523,283.1860407999993,
frontier_peak_hour_only_scaling_2p25x,capacity_frontier,peak_hour_only_scaling,2.25,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,52238,34004,53,45879,1,422662144,27246568,86196,170952,0.19212146985335732,46,21489.190398416165,4.8,14.8,27.1,25446.280654962415,301.02678309999465,
frontier_peak_hour_only_scaling_2p5x,capacity_frontier,peak_hour_only_scaling,2.5,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,53978,35107,53,47451,1,435871744,27712212,89060,177236,0.1984421689700079,46,22205.196946006723,4.8,17.1,30.9,23415.80762271068,335.21506509999745,
frontier_peak_hour_only_scaling_2p75x,capacity_frontier,peak_hour_only_scaling,2.75,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,55684,36207,53,49042,1,448495616,28168876,92056,183516,0.20643740685775097,46,22954.206437406858,5.2,17.2,31.9,22192.379665690405,361.9338302000033,
frontier_peak_hour_only_scaling_3p0x,capacity_frontier,peak_hour_only_scaling,3.0,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,57401,37304,53,50576,1,462000128,28628480,94924,189832,0.21118080872818062,46,23671.209247405684,5.3,18.3,34.4,20479.01654069848,401.368776299998,
frontier_peak_hour_only_scaling_3p25x,capacity_frontier,peak_hour_only_scaling,3.25,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,59137,38403,53,52215,1,474451968,29093372,97832,196420,0.21714032503816544,46,24398.215154443988,4.5,13.6,24.2,23938.34080677885,350.90066999999544,
frontier_peak_hour_only_scaling_3p5x,capacity_frontier,peak_hour_only_scaling,3.5,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,60877,39506,53,53817,1,487682048,29559124,100852,202812,0.2235582656796876,46,25153.220795763365,5.0,14.8,25.3,21063.700398636272,407.3732280999975,
frontier_peak_hour_only_scaling_3p75x,capacity_frontier,peak_hour_only_scaling,3.75,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,62583,40606,53,55437,1,500244480,36651876,103432,209012,0.22954556528249287,46,25798.226045024356,5.2,15.3,26.2,19390.666995622316,451.49676239999826,
frontier_peak_hour_only_scaling_4p0x,capacity_frontier,peak_hour_only_scaling,4.0,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,64300,41703,53,57048,1,513376256,37111616,106496,215464,0.236088530741707,46,26564.231272049685,5.2,14.7,24.3,18781.331982117004,475.12476230000175,
frontier_source_balanced_scaling_2p0x,capacity_frontier,source_balanced_scaling,2.0,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,87206,57012,53,80682,1,685293568,43252332,127900,308996,0.3473551869364915,46,31915.26642771965,5.4,18.1,29.799999999999997,13907.50504352583,770.9823179000014,
frontier_source_balanced_scaling_2p25x,capacity_frontier,source_balanced_scaling,2.25,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,98169,64179,53,91418,1,767344640,56144128,137088,352200,0.39627224841396,46,34212.280942164216,6.2,19.9,36.3,10240.895251106629,1125.3088193000003,
frontier_source_balanced_scaling_2p5x,capacity_frontier,source_balanced_scaling,2.5,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,108942,71206,53,102078,1,847101952,59030460,146128,394460,0.44487390277269834,46,36472.29519620468,5.8,18.1,26.9,9055.68287640543,1359.6498967999942,
frontier_source_balanced_scaling_2p75x,capacity_frontier,source_balanced_scaling,2.75,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,119929,78396,53,112973,1,928063488,61974436,152248,437868,0.49321164417550184,46,38002.3037126711,6.3,18.8,26.5,7726.918908143951,1693.3121901999984,
frontier_source_balanced_scaling_3p0x,capacity_frontier,source_balanced_scaling,3.0,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,130809,85518,53,123773,1,1009016832,64889528,157088,480640,0.5406465254658966,46,39212.311318082866,6.4,18.2,25.5,6504.032215753621,2126.6909878000006,
frontier_source_balanced_scaling_3p25x,capacity_frontier,source_balanced_scaling,3.25,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,141772,92685,53,134506,1,1093545984,82758176,162132,523648,0.5882870122059409,46,40473.31928764399,6.8,18.6,26.4,6044.686781727277,2410.1645731000026,
frontier_source_balanced_scaling_3p5x,capacity_frontier,source_balanced_scaling,3.5,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,152545,99712,53,145176,1,1173417984,85644320,163900,565720,0.6057108059430745,46,40915.32210577397,7.3,18.7,27.1,5055.4466634660275,3013.7043348000007,
frontier_source_balanced_scaling_3p75x,capacity_frontier,source_balanced_scaling,3.75,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,163532,106902,53,156085,1,1255686144,88588432,165200,609264,0.6112488414523464,46,41240.32420062706,7.6,19.1,28.7,4359.505822553552,3644.529253599998,
frontier_source_balanced_scaling_4p0x,capacity_frontier,source_balanced_scaling,4.0,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,174412,114024,53,166856,1,1335111680,91503500,171304,652012,0.6161536439528085,18,42761.616153643954,7.9,19.6,31.9,3688.4802994423735,4492.344481699998,
frontier_ebs_storage_release_wave_2p0x,capacity_frontier,ebs_storage_release_wave,2.0,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,87206,57012,53,80707,1,685146112,43252480,127676,309144,0.3470799713860818,46,31859.266243039885,5.5,18.7,30.3,13930.743888962006,768.7521962999963,
frontier_ebs_storage_release_wave_2p25x,capacity_frontier,ebs_storage_release_wave,2.25,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,98035,64130,53,91346,1,768184320,56108468,136916,351916,0.39610123205291453,46,34169.280838356986,6.3,20.0,36.3,10253.406074573026,1121.3529688000053,
frontier_ebs_storage_release_wave_2p5x,capacity_frontier,ebs_storage_release_wave,2.5,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,109216,71447,53,102402,1,848470016,59104268,146412,395932,0.44563645889845876,46,36543.29580967782,5.6,17.8,26.6,9057.568312005544,1361.4667658000035,
frontier_ebs_storage_release_wave_2p75x,capacity_frontier,ebs_storage_release_wave,2.75,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,120101,78528,53,113194,1,931135488,62020440,152588,438464,0.49322945717001293,46,38087.305557540865,6.2,18.4,26.1,7668.987761861476,1707.867060699995,
frontier_ebs_storage_release_wave_3p0x,capacity_frontier,ebs_storage_release_wave,3.0,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,130809,85518,53,123793,1,1008799744,64889672,157460,480784,0.5405258130703169,46,39305.31210346679,6.4,18.2,25.4,6449.538772335201,2144.381967100002,
frontier_ebs_storage_release_wave_3p25x,capacity_frontier,ebs_storage_release_wave,3.25,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,141638,92636,53,134469,1,1097588736,82722672,162140,523520,0.5882944380163214,46,40475.31949451434,7.0,18.8,26.8,6045.9749960602085,2406.709697500002,
frontier_ebs_storage_release_wave_3p5x,capacity_frontier,ebs_storage_release_wave,3.5,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,152819,99953,53,145498,1,1175465984,85718040,164000,567104,0.6058065359417536,46,40940.322455913105,7.2,18.8,27.1,5049.145165946217,3017.1350722999996,
frontier_ebs_storage_release_wave_3p75x,capacity_frontier,ebs_storage_release_wave,3.75,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,163704,107034,53,156290,1,1260466176,88634596,165096,610020,0.6114739100257445,46,41214.32422627401,7.5,19.1,28.699999999999996,4355.117845638234,3649.7329010999965,
frontier_ebs_storage_release_wave_4p0x,capacity_frontier,ebs_storage_release_wave,4.0,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,174412,114024,53,166930,1,1334906880,91503488,171304,652000,0.6163039510528765,18,42761.61630395105,7.8,19.4,31.5,3692.894698098551,4479.307219199996,
frontier_flight_bank_windows_2p0x,capacity_frontier,flight_bank_windows,2.0,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,87206,57012,53,80773,1,677277696,43253096,126336,309760,0.3686574236382449,46,31524.263881474635,5.5,17.6,28.1,13979.256079121982,777.8447557999971,
frontier_flight_bank_windows_2p25x,capacity_frontier,flight_bank_windows,2.25,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,98160,64175,53,91542,1,760819712,56142460,135660,352908,0.4143709441693873,46,33855.278562009546,6.2,19.5,34.6,10100.486790340448,1153.095500800002,
frontier_flight_bank_windows_2p5x,capacity_frontier,flight_bank_windows,2.5,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,109137,71368,53,102383,1,838774784,59083288,144916,395808,0.46171357941070246,46,36169.293126400065,5.9,18.1,26.6,8522.122781552545,1457.2448241999955,
frontier_flight_bank_windows_2p75x,capacity_frontier,flight_bank_windows,2.75,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,119909,78403,53,113060,1,920678400,61969060,150928,437772,0.5072585708338959,46,37672.30262055038,6.2,18.4,26.1,7306.860145202096,1801.5754955000011,
frontier_flight_bank_windows_3p0x,capacity_frontier,flight_bank_windows,3.0,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,130809,85518,53,123839,1,998260736,64889804,155936,480916,0.5535619432428596,46,38924.310567920314,6.4,18.6,26.0,6149.9620519874015,2258.573347999998,
frontier_flight_bank_windows_3p25x,capacity_frontier,flight_bank_windows,3.25,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,141763,92681,53,134688,1,1086152704,82756052,160940,523876,0.5990791559941532,46,40175.3184561898,6.9,18.7,26.7,5697.108341857884,2563.7933493999953,
frontier_flight_bank_windows_3p5x,capacity_frontier,flight_bank_windows,3.5,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,152740,99874,53,145562,1,1161801728,85697260,162612,567156,0.6085840099315508,46,40593.3211426414,7.1,18.8,27.0,4738.957331011671,3224.5231070999944,
frontier_flight_bank_windows_3p75x,capacity_frontier,flight_bank_windows,3.75,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,163512,106909,53,156168,1,1244364800,88583268,164100,609356,0.6142102603951503,46,40965.323550981266,7.6,19.0,28.7,4084.5595669848376,3899.3892272999947,
frontier_flight_bank_windows_4p0x,capacity_frontier,flight_bank_windows,4.0,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,174412,114024,53,166975,1,1320005632,91503564,171688,652052,0.6184524816543586,18,42857.618452481656,7.5,18.8,30.4,3752.176865675119,4417.164727200005,
frontier_rolling_multiday_carryover_2p0x,capacity_frontier,rolling_multiday_carryover,2.0,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,87206,57012,53,75121,1,690298880,43233904,146020,290568,0.20881481250697104,46,36445.208814812504,4.9,17.5,28.3,16621.90244754489,751.1846894999981,
frontier_rolling_multiday_carryover_2p25x,capacity_frontier,rolling_multiday_carryover,2.25,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,97918,64016,53,80363,1,772796416,56032812,162300,307148,0.17272408404452697,46,40515.17251567624,5.4,20.1,38.3,12893.539184617832,1153.6829899000004,
frontier_rolling_multiday_carryover_2p5x,capacity_frontier,rolling_multiday_carryover,2.5,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,108785,71105,53,91086,1,854945792,58945232,182276,350680,0.19259192270910092,46,45509.19259192271,4.7,17.7,29.8,13084.991377588802,1219.5226662999994,
frontier_rolling_multiday_carryover_2p75x,capacity_frontier,rolling_multiday_carryover,2.75,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,119637,78243,53,101860,1,935370752,61853672,200572,394192,0.21142264693020552,46,50083.21142264693,5.0,17.2,27.8,12854.329518119426,1326.4394068000038,
frontier_rolling_multiday_carryover_3p0x,capacity_frontier,rolling_multiday_carryover,3.0,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,130809,85518,53,113006,1,1020510208,64847708,220112,438820,0.23142957116954224,46,54968.23142957117,5.0,17.1,27.4,12088.963877160408,1503.5335407999955,
