policy,window_name,window_size,teacher_planned,planned,node_window_conflicts,runtime_interface_decisions,model_inference_count,model_selected_decision_count,rule_fallback_calls,bounded_astar_emergency_calls,full_cie_astar_fallback_calls,zero_full_astar_task_count,route_exact_count,deviated_but_success_count,failed_count,mean_transport_time,mean_wait_seconds,nonprogress_steps,loop_count,window_stable
model_plus_static_distance_fallback,g4d_offset512_512_high_density,512,512,512,0,4178,4178,3407,771,0,0,512,329,183,0,62.40378029,2.37799904,366,0,True
model_plus_static_distance_fallback,g4d_offset64_repair512,512,512,512,0,3968,3968,3255,713,0,0,512,390,122,0,48.57626649,0.91923524,221,0,True
model_plus_static_distance_fallback,g4d_offset64_static512,512,512,512,0,3892,3892,3331,561,0,0,512,398,114,0,49.35313699,1.07266824,211,0,True
model_plus_node_window_aware_fallback,g4d_first1024_no_fault,1024,1024,1024,0,8141,8141,6660,1481,0,0,1024,736,288,0,55.26176539,1.36703883,533,0,True
model_plus_node_window_aware_fallback,g4d_first144_no_fault,144,144,144,0,1138,1138,925,213,0,0,144,112,32,0,48.06159088,0.24770199,42,0,True
model_plus_node_window_aware_fallback,g4d_first256_no_fault,256,256,256,0,2012,2012,1641,371,0,0,256,202,54,0,48.10350846,0.33944596,83,0,True
model_plus_node_window_aware_fallback,g4d_first512_no_fault,512,512,512,0,3967,3967,3253,714,0,0,512,408,104,0,48.1244682,0.47954632,171,0,True
model_plus_node_window_aware_fallback,g4d_offset2048_1024_high_density,1024,977,977,0,7950,7950,6151,1799,0,0,977,517,460,0,124.77620237,0.97620237,618,0,True
model_plus_node_window_aware_fallback,g4d_offset512_512_high_density,512,512,512,0,4174,4174,3407,767,0,0,512,333,179,0,62.21987541,2.07534416,345,0,True
model_plus_node_window_aware_fallback,g4d_offset64_repair512,512,512,512,0,3968,3968,3255,713,0,0,512,390,122,0,48.57626649,0.91923524,221,0,True
model_plus_node_window_aware_fallback,g4d_offset64_static512,512,512,512,0,3892,3892,3331,561,0,0,512,398,114,0,49.35313699,1.07266824,211,0,True
model_plus_pibt_lite_fallback,g4d_first1024_no_fault,1024,1024,1024,0,8139,8139,6660,1479,0,0,1024,736,288,0,55.26416095,1.36630939,532,0,True
model_plus_pibt_lite_fallback,g4d_first144_no_fault,144,144,144,0,1138,1138,925,213,0,0,144,112,32,0,48.06159088,0.24770199,42,0,True
model_plus_pibt_lite_fallback,g4d_first256_no_fault,256,256,256,0,2012,2012,1641,371,0,0,256,202,54,0,48.10350846,0.33944596,83,0,True
model_plus_pibt_lite_fallback,g4d_first512_no_fault,512,512,512,0,3967,3967,3253,714,0,0,512,408,104,0,48.1244682,0.47954632,171,0,True
model_plus_pibt_lite_fallback,g4d_offset2048_1024_high_density,1024,977,977,0,7947,7947,6151,1796,0,0,977,518,459,0,124.76305021,0.94769709,610,0,True
model_plus_pibt_lite_fallback,g4d_offset512_512_high_density,512,512,512,0,4172,4172,3407,765,0,0,512,333,179,0,62.22466654,2.07388529,344,0,True
model_plus_pibt_lite_fallback,g4d_offset64_repair512,512,512,512,0,3968,3968,3255,713,0,0,512,390,122,0,48.57626649,0.91923524,221,0,True
model_plus_pibt_lite_fallback,g4d_offset64_static512,512,512,512,0,3892,3892,3331,561,0,0,512,398,114,0,49.35313699,1.07266824,211,0,True
model_plus_local_window_k3_fallback,g4d_first1024_no_fault,1024,1024,1024,0,8042,8042,6705,1337,0,0,1024,674,350,0,56.4679226,1.4694851,539,0,True
model_plus_local_window_k3_fallback,g4d_first144_no_fault,144,144,144,0,1110,1110,925,185,0,0,144,98,46,0,49.05867572,0.42812017,49,0,True
model_plus_local_window_k3_fallback,g4d_first256_no_fault,256,256,256,0,1968,1968,1641,327,0,0,256,182,74,0,49.06299389,0.57705639,86,0,True
model_plus_local_window_k3_fallback,g4d_first512_no_fault,512,512,512,0,3890,3890,3253,637,0,0,512,374,138,0,48.88957162,0.61300913,178,0,True
model_plus_local_window_k3_fallback,g4d_offset2048_1024_high_density,1024,977,977,0,9940,9940,7841,2099,0,0,977,364,613,0,145.78140322,2.69010332,759,0,True
model_plus_local_window_k3_fallback,g4d_offset512_512_high_density,512,512,512,0,4152,4152,3452,700,0,0,512,301,211,0,63.85913322,2.13882072,350,0,True
model_plus_local_window_k3_fallback,g4d_offset64_repair512,512,512,512,0,3892,3892,3255,637,0,0,512,361,151,0,49.36433457,1.08386582,228,0,True
model_plus_local_window_k3_fallback,g4d_offset64_static512,512,512,512,0,3892,3892,3331,561,0,0,512,398,114,0,49.35313699,1.07266824,211,0,True
model_plus_static_traffic_map_fallback,g4d_first1024_no_fault,1024,1024,1024,0,8431,8431,7034,1397,0,0,1024,705,319,0,58.36960864,0.7283977,359,0,True
model_plus_static_traffic_map_fallback,g4d_first144_no_fault,144,144,144,0,1148,1148,960,188,0,0,144,105,39,0,50.51831757,0.18498424,32,0,True
model_plus_static_traffic_map_fallback,g4d_first256_no_fault,256,256,256,0,2026,2026,1691,335,0,0,256,187,69,0,50.21086225,0.34992475,65,0,True
model_plus_static_traffic_map_fallback,g4d_first512_no_fault,512,512,512,0,4025,4025,3369,656,0,0,512,393,119,0,50.18245732,0.32347295,124,0,True
model_plus_static_traffic_map_fallback,g4d_offset2048_1024_high_density,1024,977,977,0,12534,12534,9940,2594,0,0,977,342,635,0,163.49686155,2.06247056,2249,1508,True
model_plus_static_traffic_map_fallback,g4d_offset512_512_high_density,512,512,512,0,4375,4375,3629,746,0,0,512,312,200,0,66.19486593,1.28588155,257,0,True
model_plus_static_traffic_map_fallback,g4d_offset64_repair512,512,512,512,0,4044,4044,3391,653,0,0,512,378,134,0,50.54563139,0.44094389,155,0,True
model_plus_static_traffic_map_fallback,g4d_offset64_static512,512,512,512,0,4021,4021,3467,554,0,0,512,410,102,0,50.68293224,0.34972912,127,0,True
model_plus_local_window_k3_bounded_emergency,g4d_first1024_no_fault,1024,1024,1024,0,8042,8042,6705,1337,0,0,1024,674,350,0,56.4679226,1.4694851,539,0,True
model_plus_local_window_k3_bounded_emergency,g4d_first144_no_fault,144,144,144,0,1110,1110,925,185,0,0,144,98,46,0,49.05867572,0.42812017,49,0,True
model_plus_local_window_k3_bounded_emergency,g4d_first256_no_fault,256,256,256,0,1968,1968,1641,327,0,0,256,182,74,0,49.06299389,0.57705639,86,0,True
model_plus_local_window_k3_bounded_emergency,g4d_first512_no_fault,512,512,512,0,3890,3890,3253,637,0,0,512,374,138,0,48.88957162,0.61300913,178,0,True
model_plus_local_window_k3_bounded_emergency,g4d_offset2048_1024_high_density,1024,977,977,0,9940,9940,7841,2099,0,0,977,364,613,0,145.78140322,2.69010332,759,0,True
model_plus_local_window_k3_bounded_emergency,g4d_offset512_512_high_density,512,512,512,0,4152,4152,3452,700,0,0,512,301,211,0,63.85913322,2.13882072,350,0,True
model_plus_local_window_k3_bounded_emergency,g4d_offset64_repair512,512,512,512,0,3892,3892,3255,637,0,0,512,361,151,0,49.36433457,1.08386582,228,0,True
model_plus_local_window_k3_bounded_emergency,g4d_offset64_static512,512,512,512,0,3892,3892,3331,561,0,0,512,398,114,0,49.35313699,1.07266824,211,0,True
