scenario,segment_id,task_id,g3f_edge,legacy_node_window_planned,legacy_node_window_contains_edge,legacy_node_window_path,sipp_full_route_planned,sipp_full_route_contains_edge,sipp_full_route_path,alignment_note
legacy_offset64_repair32,82:storage_in,82,18->22,True,True,4 17 18 22 24 27 28 47,True,True,4 17 18 22 24 27 28 47,sipp_preserves_blocked_legacy_edge_with_full_route_timing
legacy_offset64_repair32,84:storage_in,84,18->22,False,False,,True,True,4 17 18 22 24 27 28 47,sipp_preserves_blocked_legacy_edge_with_full_route_timing
legacy_offset64_repair32,87:storage_in,87,18->22,True,True,3 16 17 18 22 24 27 28 47,True,False,3 16 21 23 24 27 28 47,legacy_path_uses_edge_but_sipp_reroutes_or_delays_elsewhere
legacy_offset64_repair32,94:storage_in,94,18->22,True,True,5 19 18 22 24 27 28 47,True,False,5 19 25 26 43 15 14 46 36 38 39 47,legacy_path_uses_edge_but_sipp_reroutes_or_delays_elsewhere
legacy_offset64_repair32,81:storage_in,81,27->28,True,True,5 19 18 22 24 27 28 47,True,True,5 19 18 22 24 27 28 47,sipp_preserves_blocked_legacy_edge_with_full_route_timing
legacy_offset64_repair32,81:storage_in,81,27->28,True,True,5 19 18 22 24 27 28 47,True,True,5 19 18 22 24 27 28 47,sipp_preserves_blocked_legacy_edge_with_full_route_timing
legacy_offset64_repair32,91:storage_in,91,27->28,True,True,4 17 18 22 24 27 28 47,True,True,4 17 18 22 24 27 28 47,sipp_preserves_blocked_legacy_edge_with_full_route_timing
legacy_offset64_merge32,68:storage_in,68,18->22,True,True,5 19 18 22 24 27 28 47,True,True,5 19 18 22 24 27 28 47,sipp_preserves_blocked_legacy_edge_with_full_route_timing
legacy_offset64_merge32,73:storage_in,73,18->22,True,True,5 19 18 22 24 27 28 47,True,True,5 19 18 22 24 27 28 47,sipp_preserves_blocked_legacy_edge_with_full_route_timing
legacy_offset64_merge32,74:storage_in,74,27->28,True,True,1 7 8 11 13 23 24 27 28 47,True,False,1 7 8 11 14 46 36 38 39 47,legacy_path_uses_edge_but_sipp_reroutes_or_delays_elsewhere
legacy_offset64_merge32,82:storage_in,82,18->22,True,True,4 17 18 22 24 27 28 47,True,True,4 17 18 22 24 27 28 47,sipp_preserves_blocked_legacy_edge_with_full_route_timing
legacy_offset64_merge32,84:storage_in,84,18->22,False,False,,True,True,4 17 18 22 24 27 28 47,sipp_preserves_blocked_legacy_edge_with_full_route_timing
legacy_offset64_merge32,87:storage_in,87,18->22,True,True,3 16 17 18 22 24 27 28 47,True,False,3 16 21 23 24 27 28 47,legacy_path_uses_edge_but_sipp_reroutes_or_delays_elsewhere
