scenario,context,segment_id,task_id,current,legacy_next,edge,ready_time,occupancy_start,occupancy_end,release_time_from_blocker,wait_needed_if_nonoccupying,g3f_local_label,g3f_terminal_reason,local_hold_model,route_window_counterfactual,sipp_full_route_planned,sipp_path,sipp_uses_same_next_after_current,legacy_node_window_planned,legacy_node_window_path,required_semantics
legacy_offset64_repair32,repair_window,68:storage_in,68,18,22,18->22,12486.50318,12484.4,12492.8,12492.8,6.29681999999957,ABSTAIN_NO_TEACHER,edge_capacity,fails_current_node_capacity,wait_or_delay_upstream_before_current_node,True,5 19 18 22 24 27 28 47,True,True,5 19 18 22 24 27 28 47,backpressure_or_non_node_occupying_wait
legacy_offset64_repair32,repair_window,73:storage_in,73,18,22,18->22,12494.37299,12492.8,12501.2,12501.2,6.827010000000882,ABSTAIN_NO_TEACHER,edge_capacity,fails_current_node_capacity,wait_or_delay_upstream_before_current_node,True,5 19 18 22 24 27 28 47,True,True,5 19 18 22 24 27 28 47,backpressure_or_non_node_occupying_wait
legacy_offset64_repair32,repair_window,66:storage_in,66,27,28,27->28,12518.23977,12516.3,12527.1,12527.1,8.860230000000229,ABSTAIN_NO_TEACHER,edge_capacity,fails_current_node_capacity,wait_or_delay_upstream_before_current_node,True,4 17 18 22 26 43 15 14 46 36 38 39 47,False,False,,backpressure_or_non_node_occupying_wait
legacy_offset64_repair32,repair_window,82:storage_in,82,18,22,18->22,13066.259440000002,13064.9,13073.3,13073.3,7.04055999999764,ABSTAIN_NO_TEACHER,edge_capacity,fails_current_node_capacity,wait_or_delay_upstream_before_current_node,True,4 17 18 22 24 27 28 47,True,True,4 17 18 22 24 27 28 47,backpressure_or_non_node_occupying_wait
legacy_offset64_repair32,repair_window,84:storage_in,84,18,22,18->22,13067.859440000002,13064.9,13073.3,13073.3,5.4405599999972765,ABSTAIN_NO_TEACHER,edge_capacity,fails_current_node_capacity,wait_or_delay_upstream_before_current_node,True,4 17 18 22 24 27 28 47,True,False,,backpressure_or_non_node_occupying_wait
legacy_offset64_repair32,repair_window,87:storage_in,87,18,22,18->22,13074.978690000002,13073.3,13081.7,13081.7,6.721309999998994,ABSTAIN_NO_TEACHER,edge_capacity,fails_current_node_capacity,wait_or_delay_upstream_before_current_node,True,3 16 21 23 24 27 28 47,False,True,3 16 17 18 22 24 27 28 47,backpressure_or_non_node_occupying_wait
legacy_offset64_repair32,repair_window,94:storage_in,94,18,22,18->22,13083.84086,13081.7,13090.1,13090.1,6.259140000000116,ABSTAIN_NO_TEACHER,edge_capacity,fails_current_node_capacity,wait_or_delay_upstream_before_current_node,True,5 19 25 26 43 15 14 46 36 38 39 47,False,True,5 19 18 22 24 27 28 47,backpressure_or_non_node_occupying_wait
legacy_offset64_repair32,repair_window,81:storage_in,81,27,28,27->28,13092.28215,13090.7,13101.5,13101.5,9.217850000000908,LEGACY_NEXT_GLOBALLY_UNSAFE,,fails_current_node_capacity,wait_or_delay_upstream_before_current_node,True,5 19 18 22 24 27 28 47,True,True,5 19 18 22 24 27 28 47,backpressure_or_non_node_occupying_wait
legacy_offset64_repair32,repair_window,81:storage_in,81,27,28,27->28,13093.28215,13090.7,13101.5,13101.5,8.217850000000908,ABSTAIN_NO_TEACHER,edge_capacity,fails_current_node_capacity,wait_or_delay_upstream_before_current_node,True,5 19 18 22 24 27 28 47,True,True,5 19 18 22 24 27 28 47,backpressure_or_non_node_occupying_wait
legacy_offset64_repair32,repair_window,91:storage_in,91,27,28,27->28,13113.482149999998,13112.3,13123.1,13123.1,9.617850000002363,ABSTAIN_NO_TEACHER,edge_capacity,fails_current_node_capacity,wait_or_delay_upstream_before_current_node,True,4 17 18 22 24 27 28 47,True,True,4 17 18 22 24 27 28 47,backpressure_or_non_node_occupying_wait
legacy_offset64_merge32,merge_group,68:storage_in,68,18,22,18->22,12486.50318,12484.4,12492.8,12492.8,6.29681999999957,ABSTAIN_NO_TEACHER,edge_capacity+merge_group,fails_current_node_capacity,wait_or_delay_upstream_before_current_node,True,5 19 18 22 24 27 28 47,True,True,5 19 18 22 24 27 28 47,backpressure_or_non_node_occupying_wait
legacy_offset64_merge32,merge_group,73:storage_in,73,18,22,18->22,12494.37299,12492.8,12501.2,12501.2,6.827010000000882,ABSTAIN_NO_TEACHER,edge_capacity+merge_group,fails_current_node_capacity,wait_or_delay_upstream_before_current_node,True,5 19 18 22 24 27 28 47,True,True,5 19 18 22 24 27 28 47,backpressure_or_non_node_occupying_wait
legacy_offset64_merge32,merge_group,74:storage_in,74,27,28,27->28,12527.43977,12518.6,12529.4,12529.4,1.9602299999987736,ABSTAIN_NO_TEACHER,edge_capacity,fails_current_node_capacity,wait_or_delay_upstream_before_current_node,True,1 7 8 11 14 46 36 38 39 47,False,True,1 7 8 11 13 23 24 27 28 47,backpressure_or_non_node_occupying_wait
legacy_offset64_merge32,merge_group,82:storage_in,82,18,22,18->22,13066.259440000002,13064.9,13073.3,13073.3,7.04055999999764,ABSTAIN_NO_TEACHER,edge_capacity+merge_group,fails_current_node_capacity,wait_or_delay_upstream_before_current_node,True,4 17 18 22 24 27 28 47,True,True,4 17 18 22 24 27 28 47,backpressure_or_non_node_occupying_wait
legacy_offset64_merge32,merge_group,84:storage_in,84,18,22,18->22,13067.859440000002,13064.9,13073.3,13073.3,5.4405599999972765,ABSTAIN_NO_TEACHER,edge_capacity+merge_group,fails_current_node_capacity,wait_or_delay_upstream_before_current_node,True,4 17 18 22 24 27 28 47,True,False,,backpressure_or_non_node_occupying_wait
legacy_offset64_merge32,merge_group,87:storage_in,87,18,22,18->22,13074.978690000002,13073.3,13081.7,13081.7,6.721309999998994,ABSTAIN_NO_TEACHER,edge_capacity+merge_group,fails_current_node_capacity,wait_or_delay_upstream_before_current_node,True,3 16 21 23 24 27 28 47,False,True,3 16 17 18 22 24 27 28 47,backpressure_or_non_node_occupying_wait
