window_name,context,window_size,task_id,segment_id,start,goal,entry_time,attempt_time,failure_reason,taxonomy_label,model_training_use
g4d_offset2048_1024_high_density,real_inputdata_window,1024,930,930:storage_out,52,48,20700,20761,max_retry_delay_exceeded,CIE_NO_PATH_AFTER_RETRY,boundary_only_not_positive_training_label
g4d_offset2048_1024_high_density,real_inputdata_window,1024,943,943:storage_out,52,48,20700,20761,max_retry_delay_exceeded,CIE_NO_PATH_AFTER_RETRY,boundary_only_not_positive_training_label
g4d_offset2048_1024_high_density,real_inputdata_window,1024,989,989:storage_out,52,50,20700,20761,max_retry_delay_exceeded,CIE_NO_PATH_AFTER_RETRY,boundary_only_not_positive_training_label
g4d_offset2048_1024_high_density,real_inputdata_window,1024,1042,1042:storage_out,52,50,20700,20761,max_retry_delay_exceeded,CIE_NO_PATH_AFTER_RETRY,boundary_only_not_positive_training_label
g4d_offset2048_1024_high_density,real_inputdata_window,1024,1117,1117:storage_out,52,50,20700,20761,max_retry_delay_exceeded,CIE_NO_PATH_AFTER_RETRY,boundary_only_not_positive_training_label
g4d_offset2048_1024_high_density,real_inputdata_window,1024,1126,1126:storage_out,52,48,20700,20761,max_retry_delay_exceeded,CIE_NO_PATH_AFTER_RETRY,boundary_only_not_positive_training_label
g4d_offset2048_1024_high_density,real_inputdata_window,1024,1132,1132:storage_out,52,50,20700,20761,max_retry_delay_exceeded,CIE_NO_PATH_AFTER_RETRY,boundary_only_not_positive_training_label
g4d_offset2048_1024_high_density,real_inputdata_window,1024,1140,1140:storage_out,52,50,20700,20761,max_retry_delay_exceeded,CIE_NO_PATH_AFTER_RETRY,boundary_only_not_positive_training_label
g4d_offset2048_1024_high_density,real_inputdata_window,1024,1148,1148:storage_out,52,48,20700,20761,max_retry_delay_exceeded,CIE_NO_PATH_AFTER_RETRY,boundary_only_not_positive_training_label
g4d_offset2048_1024_high_density,real_inputdata_window,1024,1149,1149:storage_out,52,50,20700,20761,max_retry_delay_exceeded,CIE_NO_PATH_AFTER_RETRY,boundary_only_not_positive_training_label
g4d_offset2048_1024_high_density,real_inputdata_window,1024,1158,1158:storage_out,52,50,20700,20761,max_retry_delay_exceeded,CIE_NO_PATH_AFTER_RETRY,boundary_only_not_positive_training_label
g4d_offset2048_1024_high_density,real_inputdata_window,1024,1164,1164:storage_out,52,50,20700,20761,max_retry_delay_exceeded,CIE_NO_PATH_AFTER_RETRY,boundary_only_not_positive_training_label
g4d_offset2048_1024_high_density,real_inputdata_window,1024,1165,1165:storage_out,52,50,20700,20761,max_retry_delay_exceeded,CIE_NO_PATH_AFTER_RETRY,boundary_only_not_positive_training_label
g4d_offset2048_1024_high_density,real_inputdata_window,1024,1171,1171:storage_out,52,50,20700,20761,max_retry_delay_exceeded,CIE_NO_PATH_AFTER_RETRY,boundary_only_not_positive_training_label
g4d_offset2048_1024_high_density,real_inputdata_window,1024,1173,1173:storage_out,52,50,20700,20761,max_retry_delay_exceeded,CIE_NO_PATH_AFTER_RETRY,boundary_only_not_positive_training_label
g4d_offset2048_1024_high_density,real_inputdata_window,1024,1215,1215:storage_out,52,50,20700,20761,max_retry_delay_exceeded,CIE_NO_PATH_AFTER_RETRY,boundary_only_not_positive_training_label
g4d_offset2048_1024_high_density,real_inputdata_window,1024,1218,1218:storage_out,52,50,20700,20761,max_retry_delay_exceeded,CIE_NO_PATH_AFTER_RETRY,boundary_only_not_positive_training_label
g4d_offset2048_1024_high_density,real_inputdata_window,1024,1221,1221:storage_out,52,50,20700,20761,max_retry_delay_exceeded,CIE_NO_PATH_AFTER_RETRY,boundary_only_not_positive_training_label
g4d_offset2048_1024_high_density,real_inputdata_window,1024,1226,1226:storage_out,52,50,20700,20761,max_retry_delay_exceeded,CIE_NO_PATH_AFTER_RETRY,boundary_only_not_positive_training_label
g4d_offset2048_1024_high_density,real_inputdata_window,1024,1231,1231:storage_out,52,50,20700,20761,max_retry_delay_exceeded,CIE_NO_PATH_AFTER_RETRY,boundary_only_not_positive_training_label
