case_id,case_group,execution_class,protocol_status,primary_capacity_eligible,full_completion_eligible,repeats_expected,repeats_complete,speed_mps,fault_line_ids,seed_edges,fault_schedule,status_echo_pass,fixed_horizon_pass,cohort_pass,release_repeat_match,comparison_eligible_by_repeat,released_segment_count_by_repeat,planned_segment_count_by_repeat,completed_segment_count_by_repeat,canonical_complete_raw_bag_count_by_repeat,canonical_success_rate_by_repeat,wall_seconds_by_repeat,timing_scope,secondary_timing_censored,processed_attempt_mean_minutes_by_repeat,full_population_processed_attempt_minutes_by_repeat,secondary_censored_processed_attempt_mean_minutes_by_repeat,secondary_censored_processed_attempt_minutes_by_repeat
t5_5_fault_single_7,all_day_line_interruption,PRIMARY_MEASURABLE,FIXED_HORIZON_CAPACITY,True,False,1,1,2.5,[7],"[[33, 44]]",8260:33:44:fault,True,True,True,,[false],[87206],[87206],[87126],[56932],[0.9985967866414088],[605.0047961000237],CENSORED_COMPLETED_SURVIVORS_SECONDARY,True,[null],[null],[4.111789210520153],"[{""max"": 5.983333333333333, ""mean"": 4.111789210520153, ""min"": 3.1333333333333333, ""p50"": 4.283333333333333, ""p95"": 5.016666666666667, ""p99"": 5.5}]"
t5_5_fault_single_8,all_day_line_interruption,PRIMARY_MEASURABLE,FIXED_HORIZON_CAPACITY,True,False,1,1,2.5,[8],"[[31, 32]]",8260:31:32:fault,True,True,True,,[false],[85820],[85820],[85543],[55349],[0.9708307023082859],[751.5681481999927],CENSORED_COMPLETED_SURVIVORS_SECONDARY,True,[null],[null],[4.26602051190049],"[{""max"": 6.0, ""mean"": 4.26602051190049, ""min"": 3.1333333333333333, ""p50"": 4.283333333333333, ""p95"": 4.8, ""p99"": 5.4}]"
t5_5_fault_pair_1_7,all_day_line_interruption,PRIMARY_MEASURABLE,FIXED_HORIZON_CAPACITY,True,False,1,1,2.5,"[1, 7]","[[6, 12], [33, 44]]",8260:6:12:fault;8260:33:44:fault,True,True,True,,[false],[87206],[87206],[87132],[56938],[0.9987020276433032],[827.77964600001],CENSORED_COMPLETED_SURVIVORS_SECONDARY,True,[null],[null],[4.1137655578582555],"[{""max"": 5.983333333333333, ""mean"": 4.1137655578582555, ""min"": 3.1333333333333333, ""p50"": 4.283333333333333, ""p95"": 5.016666666666667, ""p99"": 5.5}]"
t5_5_fault_pair_2_4,all_day_line_interruption,PRIMARY_MEASURABLE,FIXED_HORIZON_CAPACITY,True,False,1,1,2.5,"[2, 4]","[[8, 11], [24, 27]]",8260:8:11:fault;8260:24:27:fault,True,True,True,,[false],[69989],[69986],[69760],[39566],[0.6939942468252298],[623.2436022000038],CENSORED_COMPLETED_SURVIVORS_SECONDARY,True,[null],[null],[3.9918516722892217],"[{""max"": 6.0, ""mean"": 3.9918516722892217, ""min"": 2.433333333333333, ""p50"": 3.75, ""p95"": 5.066666666666666, ""p99"": 5.983333333333333}]"
t5_5_fault_pair_3_5,all_day_line_interruption,PRIMARY_MEASURABLE,FIXED_HORIZON_CAPACITY,True,False,1,1,2.5,"[3, 5]","[[13, 23], [14, 46]]",8260:13:23:fault;8260:14:46:fault,True,True,True,,[false],[68025],[68022],[67945],[37751],[0.6621588437521925],[375.38546820002375],CENSORED_COMPLETED_SURVIVORS_SECONDARY,True,[null],[null],[3.5279520282035914],"[{""max"": 4.283333333333333, ""mean"": 3.5279520282035914, ""min"": 2.433333333333333, ""p50"": 3.6166666666666667, ""p95"": 4.133333333333334, ""p99"": 4.283333333333333}]"
t5_5_fault_pair_4_5,all_day_line_interruption,PRIMARY_MEASURABLE,FIXED_HORIZON_CAPACITY,True,False,1,1,2.5,"[4, 5]","[[24, 27], [14, 46]]",8260:24:27:fault;8260:14:46:fault,True,True,True,,[false],[30201],[30194],[30194],[0],[0.0],[264.6875924000051],CENSORED_COMPLETED_SURVIVORS_SECONDARY,True,[null],[null],[3.0913997195260654],"[{""max"": 3.5, ""mean"": 3.0913997195260654, ""min"": 2.433333333333333, ""p50"": 3.0833333333333335, ""p95"": 3.5, ""p99"": 3.5}]"
t5_5_fault_pair_5_7,all_day_line_interruption,ARCHIVED_ONLY_PROBE,ARCHIVED_ONLY_NOT_EXECUTED,False,,1,0,2.5,"[5, 7]","[[33, 44], [46, 36]]",8260:33:44:fault;8260:46:36:fault,,,,,,,,,,,,,,,,,
t5_5_fault_triple_2_4_6,all_day_line_interruption,PRIMARY_MEASURABLE,FIXED_HORIZON_CAPACITY,True,False,1,1,2.5,"[2, 4, 6]","[[8, 11], [24, 27], [43, 15]]",8260:8:11:fault;8260:24:27:fault;8260:43:15:fault,True,True,True,,[false],[45105],[45100],[45100],[14906],[0.2614537290395005],[369.93221870000707],CENSORED_COMPLETED_SURVIVORS_SECONDARY,True,[null],[null],[3.532627914367434],"[{""max"": 4.8, ""mean"": 3.532627914367434, ""min"": 2.433333333333333, ""p50"": 3.316666666666667, ""p95"": 4.733333333333333, ""p99"": 4.8}]"
t5_5_fault_triple_3_5_8,all_day_line_interruption,PRIMARY_MEASURABLE,FIXED_HORIZON_CAPACITY,True,False,1,1,2.5,"[3, 5, 8]","[[13, 23], [14, 46], [31, 32]]",8260:13:23:fault;8260:14:46:fault;8260:31:32:fault,True,True,True,,[false],[974],[966],[966],[0],[0.0],[232.6689491000143],CENSORED_COMPLETED_SURVIVORS_SECONDARY,True,[null],[null],[0.7870120898100174],"[{""max"": 0.8166666666666667, ""mean"": 0.7870120898100174, ""min"": 0.7666666666666667, ""p50"": 0.7833333333333333, ""p95"": 0.8166666666666667, ""p99"": 0.8166666666666667}]"
t5_5_fault_triple_4_6_7,all_day_line_interruption,PRIMARY_MEASURABLE,FIXED_HORIZON_CAPACITY,True,False,1,1,2.5,"[4, 6, 7]","[[24, 27], [43, 15], [33, 44]]",8260:24:27:fault;8260:43:15:fault;8260:33:44:fault,True,True,True,,[false],[27990],[27986],[27986],[11252],[0.1973619588858486],[540.4123299000203],CENSORED_COMPLETED_SURVIVORS_SECONDARY,True,[null],[null],[2.091753260713774],"[{""max"": 4.533333333333333, ""mean"": 2.091753260713774, ""min"": 1.2, ""p50"": 1.25, ""p95"": 3.4, ""p99"": 3.65}]"
