task_id,segment_id,start_node,entry_time,java_release_time,output_start_time,output_tth,finish_time_if_reconstructable,tth_if_entry_denominator,tth_if_release_denominator,closest_denominator,confidence
37,37:storage_out,52,21900,21908,21913,199,22112,212,204,java_release_time_tth,medium
38,38:storage_in,2,11289.25449,11289,11289,53,11342,52.74551,53,java_release_time_tth,high
38,38:storage_out,52,22200,22205,22469,210,22679,479,474,java_release_time_tth,medium
39,39:storage_in,3,11290.77424,11290,11290,54,11344,53.22576,54,java_release_time_tth,high
39,39:storage_out,52,22200,22206,22471,250,22721,521,515,java_release_time_tth,medium
40,40:storage_in,0,11292.14444,11292,11292,46,11338,45.85556,46,java_release_time_tth,high
40,40:storage_out,52,20700,20705,20710,185,20895,195,190,java_release_time_tth,medium
41,41:storage_in,1,11845.2066,11845,11845,51,11896,50.7934,51,java_release_time_tth,high
41,41:storage_out,52,21300,21304,21306,146,21452,152,148,java_release_time_tth,medium
42,42:storage_in,4,11854.61553,11854,11854,47,11901,46.38447,47,java_release_time_tth,high
42,42:storage_out,52,21600,21601,21602,146,21748,148,147,java_release_time_tth,medium
43,43:storage_in,5,11865.14962,11865,11865,46,11911,45.85038,46,java_release_time_tth,high
43,43:storage_out,52,21300,21305,21307,171,21478,178,173,java_release_time_tth,medium
44,44:storage_in,3,11867.9489,11867,11867,54,11921,53.0511,54,java_release_time_tth,high
44,44:storage_out,52,19500,19513,19513,171,19684,184,171,java_release_time_tth,high
45,45:storage_in,1,11870.81115,11870,11870,72,11942,71.18885,72,java_release_time_tth,high
45,45:storage_out,52,22200,22207,22472,210,22682,482,475,java_release_time_tth,medium
46,46:storage_in,4,11875.94881,11875,11875,47,11922,46.05119,47,java_release_time_tth,high
46,46:storage_out,52,20400,20402,20404,146,20550,150,148,java_release_time_tth,medium
47,47:storage_in,2,11878.58781,11878,11878,53,11931,52.41219,53,java_release_time_tth,high
47,47:storage_out,52,21900,21909,21914,185,22099,199,190,java_release_time_tth,medium
48,48:storage_in,4,11880.10319,11880,11880,47,11927,46.89681,47,java_release_time_tth,high
48,48:storage_out,52,22500,22500,22987,250,23237,737,737,ambiguous_equal,tie
49,49:storage_in,0,11881.27115,11881,11882,46,11928,46.72885,47,original_entry_time_tth,medium
49,49:storage_out,52,21300,21306,21309,185,21494,194,188,java_release_time_tth,medium
50,50:storage_in,1,11883.9211,11883,11883,51,11934,50.0789,51,java_release_time_tth,high
50,50:storage_out,52,21300,21307,21310,210,21520,220,213,java_release_time_tth,medium
51,51:storage_in,5,11885.33418,11885,11885,79,11964,78.66582,79,java_release_time_tth,high
51,51:storage_out,52,21900,21910,21915,199,22114,214,204,java_release_time_tth,medium
52,52:storage_in,2,11886.60449,11886,11886,53,11939,52.39551,53,java_release_time_tth,high
52,52:storage_out,52,22500,22501,22990,213,23203,703,702,java_release_time_tth,medium
53,53:storage_in,3,11887.97296,11887,11887,54,11941,53.02704,54,java_release_time_tth,high
53,53:storage_out,52,22500,22502,22991,250,23241,741,739,java_release_time_tth,medium
54,54:storage_in,0,11889.47782,11889,11889,46,11935,45.52218,46,java_release_time_tth,high
54,54:storage_out,52,22500,22503,22993,235,23228,728,725,java_release_time_tth,medium
55,55:storage_in,0,11906.2545,11906,11906,46,11952,45.7455,46,java_release_time_tth,high
55,55:storage_out,52,22200,22208,22475,210,22685,485,477,java_release_time_tth,medium
56,56:storage_in,4,12018.0724,12018,12018,47,12065,46.9276,47,java_release_time_tth,high
56,56:storage_out,52,22500,22504,22998,250,23248,748,744,java_release_time_tth,medium
57,57:storage_in,5,12449.14965,12449,12449,46,12495,45.85035,46,java_release_time_tth,high
57,57:storage_out,52,19500,19514,19514,146,19660,160,146,java_release_time_tth,high
58,58:storage_in,3,12459.95495,12459,12459,54,12513,53.04505,54,java_release_time_tth,high
58,58:storage_out,52,21900,21911,21916,146,22062,162,151,java_release_time_tth,medium
59,59:storage_in,1,12462.77315,12462,12462,72,12534,71.22685,72,java_release_time_tth,high
59,59:storage_out,52,21900,21912,21917,210,22127,227,215,java_release_time_tth,medium
60,60:storage_in,4,12467.94879,12467,12467,47,12514,46.05121,47,java_release_time_tth,high
60,60:storage_out,52,19500,19515,19515,171,19686,186,171,java_release_time_tth,high
61,61:storage_in,5,12469.33411,12469,12469,46,12515,45.66589,46,java_release_time_tth,high
61,61:storage_out,52,22200,22209,22478,199,22677,477,468,java_release_time_tth,medium
62,62:storage_in,5,12470.62164,12470,12471,46,12517,46.37836,47,original_entry_time_tth,medium
62,62:storage_out,52,22200,22210,22479,146,22625,425,415,java_release_time_tth,medium
63,63:storage_in,2,12470.81116,12470,12470,53,12523,52.18884,53,java_release_time_tth,high
63,63:storage_out,52,22200,22211,22480,210,22690,490,479,java_release_time_tth,medium
64,64:storage_in,3,12474.63977,12474,12474,54,12528,53.36023,54,java_release_time_tth,high
64,64:storage_out,52,21900,21913,21918,250,22168,268,255,java_release_time_tth,medium
65,65:storage_in,0,12475.93777,12475,12475,46,12521,45.06223,46,java_release_time_tth,high
65,65:storage_out,52,22200,22212,22481,185,22666,466,454,java_release_time_tth,medium
66,66:storage_in,4,12477.43655,12477,12477,80,12557,79.56345,80,java_release_time_tth,high
66,66:storage_out,52,23100,23100,23272,199,23471,371,371,ambiguous_equal,tie
67,67:storage_in,1,12478.58782,12478,12478,72,12550,71.41218,72,java_release_time_tth,high
67,67:storage_out,52,23700,23700,23700,210,23910,210,210,ambiguous_equal,tie
68,68:storage_in,5,12480.10318,12480,12480,46,12526,45.89682,46,java_release_time_tth,high
68,68:storage_out,52,21900,21914,21919,199,22118,218,204,java_release_time_tth,medium
69,69:storage_in,3,12482.66742,12482,12482,54,12536,53.33258,54,java_release_time_tth,high
69,69:storage_out,52,22200,22213,22482,275,22757,557,544,java_release_time_tth,medium
70,70:storage_in,2,12484.10648,12484,12484,53,12537,52.89352,53,java_release_time_tth,high
70,70:storage_out,52,20700,20706,20711,210,20921,221,215,java_release_time_tth,medium
71,71:storage_in,4,12485.3062,12485,12485,47,12532,46.6938,47,java_release_time_tth,high
71,71:storage_out,52,23100,23101,23273,277,23550,450,449,java_release_time_tth,medium
72,72:storage_in,0,12486.60448,12486,12487,46,12533,46.39552,47,original_entry_time_tth,medium
72,72:storage_out,52,20700,20707,20712,185,20897,197,190,java_release_time_tth,medium
73,73:storage_in,5,12487.97299,12487,12487,79,12566,78.02701,79,java_release_time_tth,high
73,73:storage_out,52,19500,19516,19516,250,19766,266,250,java_release_time_tth,high
74,74:storage_in,1,12489.43982,12489,12489,51,12540,50.56018,51,java_release_time_tth,high
74,74:storage_out,52,21900,21915,21920,185,22105,205,190,java_release_time_tth,medium
75,75:storage_in,3,12490.77417,12490,12490,54,12544,53.22583,54,java_release_time_tth,high
75,75:storage_out,52,20700,20708,20713,199,20912,212,204,java_release_time_tth,medium
76,76:storage_in,2,12491.92141,12491,12491,78,12569,77.07859,78,java_release_time_tth,high
76,76:storage_out,52,21900,21916,21921,213,22134,234,218,java_release_time_tth,medium
77,77:storage_in,3,12620.00081,12620,12620,54,12674,53.99919,54,java_release_time_tth,high
77,77:storage_out,52,21900,21917,21922,146,22068,168,151,java_release_time_tth,medium
78,78:storage_in,2,13047.64994,13047,13047,53,13100,52.35006,53,java_release_time_tth,high
78,78:storage_out,52,21300,21308,21311,146,21457,157,149,java_release_time_tth,medium
79,79:storage_in,4,13049.28215,13049,13049,47,13096,46.71785,47,java_release_time_tth,high
79,79:storage_out,52,23700,23701,23701,146,23847,147,146,java_release_time_tth,high
80,80:storage_in,0,13050.16178,13050,13051,46,13097,46.83822,47,original_entry_time_tth,medium
80,80:storage_out,52,23700,23702,23702,210,23912,212,210,java_release_time_tth,high
81,81:storage_in,5,13051.84528,13051,13051,79,13130,78.15472,79,java_release_time_tth,high
81,81:storage_out,52,23700,23703,23704,197,23901,201,198,java_release_time_tth,medium
82,82:storage_in,4,13057.05944,13057,13057,47,13104,46.94056,47,java_release_time_tth,high
82,82:storage_out,52,21900,21918,21923,199,22122,222,204,java_release_time_tth,medium
83,83:storage_in,3,13057.28828,13057,13057,54,13111,53.71172,54,java_release_time_tth,high
83,83:storage_out,52,19500,19517,19517,171,19688,188,171,java_release_time_tth,high
84,84:storage_in,4,13059.8454,13059,13059,47,13106,46.1546,47,java_release_time_tth,high
84,84:storage_out,52,21300,21309,21313,146,21459,159,150,java_release_time_tth,medium
85,85:storage_in,1,13060.10649,13060,13060,72,13132,71.89351,72,java_release_time_tth,high
85,85:storage_out,52,21300,21310,21314,213,21527,227,217,java_release_time_tth,medium
86,86:storage_in,5,13062.51217,13062,13062,46,13108,45.48783,46,java_release_time_tth,high
86,86:storage_out,52,23700,23704,23705,171,23876,176,172,java_release_time_tth,medium
87,87:storage_in,3,13065.17869,13065,13065,49,13114,48.82131,49,java_release_time_tth,high
87,87:storage_out,52,21600,21602,21603,200,21803,203,201,java_release_time_tth,medium
88,88:storage_in,2,13065.43983,13065,13065,53,13118,52.56017,53,java_release_time_tth,high
88,88:storage_out,52,22500,22505,23000,185,23185,685,680,java_release_time_tth,medium
89,89:storage_in,4,13067.84538,13067,13069,47,13116,48.15462,49,original_entry_time_tth,medium
89,89:storage_out,52,20400,20403,20405,200,20605,205,202,java_release_time_tth,medium
90,90:storage_in,0,13067.93782,13067,13067,46,13113,45.06218,46,java_release_time_tth,high
90,90:storage_out,52,22500,22506,23001,213,23214,714,708,java_release_time_tth,medium
91,91:storage_in,4,13069.4367,13069,13071,80,13151,81.5633,82,original_entry_time_tth,medium
91,91:storage_out,52,22500,22507,23003,199,23202,702,695,java_release_time_tth,medium
92,92:storage_in,1,13071.49516,13071,13071,51,13122,50.50484,51,java_release_time_tth,high
92,92:storage_out,52,24300,24300,24595,210,24805,505,505,ambiguous_equal,tie
93,93:storage_in,2,13075.92116,13075,13075,53,13128,52.07884,53,java_release_time_tth,high
93,93:storage_out,52,24000,24010,24336,210,24546,546,536,java_release_time_tth,medium
94,94:storage_in,5,13077.44086,13077,13077,46,13123,45.55914,46,java_release_time_tth,high
94,94:storage_out,52,22500,22508,23005,199,23204,704,696,java_release_time_tth,medium
95,95:storage_in,0,13078.60448,13078,13079,46,13125,46.39552,47,original_entry_time_tth,medium
95,95:storage_out,52,21900,21919,21925,185,22110,210,191,java_release_time_tth,medium
96,96:storage_in,3,13080.00075,13080,13080,54,13134,53.99925,54,java_release_time_tth,high
96,96:storage_out,52,22500,22509,23007,250,23257,757,748,java_release_time_tth,medium
97,97:storage_in,1,13081.47782,13081,13081,51,13132,50.52218,51,java_release_time_tth,high
97,97:storage_out,52,21300,21311,21315,185,21500,200,189,java_release_time_tth,medium
98,98:storage_in,4,13082.76976,13082,13082,80,13162,79.23024,80,java_release_time_tth,high
98,98:storage_out,52,23700,23705,23706,250,23956,256,251,java_release_time_tth,medium
99,99:storage_in,2,13084.10644,13084,13084,53,13137,52.89356,53,java_release_time_tth,high
99,99:storage_out,52,23700,23706,23707,213,23920,220,214,java_release_time_tth,medium
100,100:storage_in,5,13085.43651,13085,13085,79,13164,78.56349,79,java_release_time_tth,high
100,100:storage_out,52,24000,24011,24337,250,24587,587,576,java_release_time_tth,medium
101,101:storage_in,0,13086.77314,13086,13089,46,13135,48.22686,49,original_entry_time_tth,medium
101,101:storage_out,52,23700,23707,23709,210,23919,219,212,java_release_time_tth,medium
102,102:storage_in,3,13088.10757,13088,13088,54,13142,53.89243,54,java_release_time_tth,high
102,102:storage_out,52,21900,21920,21926,199,22125,225,205,java_release_time_tth,medium
103,103:storage_in,1,13092.14448,13092,13093,51,13144,51.85552,52,original_entry_time_tth,medium
103,103:storage_out,52,22200,22214,22484,210,22694,494,480,java_release_time_tth,medium
104,104:storage_in,1,13103.4345,13103,13103,51,13154,50.5655,51,java_release_time_tth,high
104,104:storage_out,52,21900,21921,21928,185,22113,213,192,java_release_time_tth,medium
105,105:storage_in,2,13222.07221,13222,13222,53,13275,52.92779,53,java_release_time_tth,high
105,105:storage_out,52,24000,24012,24338,235,24573,573,561,java_release_time_tth,medium
106,106:storage_in,53,13377.99227,13377,13377,47,13424,46.00773,47,java_release_time_tth,high
106,106:storage_out,52,19500,19518,19518,250,19768,268,250,java_release_time_tth,high
107,107:storage_in,53,13383.08134,13383,13383,47,13430,46.91866,47,java_release_time_tth,high
107,107:storage_out,52,19500,19519,19519,199,19718,218,199,java_release_time_tth,high
108,108:storage_in,53,13422.30902,13422,13422,47,13469,46.69098,47,java_release_time_tth,high
108,108:storage_out,52,19500,19520,19520,146,19666,166,146,java_release_time_tth,high
109,109:storage_in,53,13427.39919,13427,13427,47,13474,46.60081,47,java_release_time_tth,high
109,109:storage_out,52,19500,19521,19521,171,19692,192,171,java_release_time_tth,high
110,110:storage_in,53,13432.28805,13432,13432,47,13479,46.71195,47,java_release_time_tth,high
110,110:storage_out,52,19500,19522,19522,146,19668,168,146,java_release_time_tth,high
111,111:storage_in,53,13437.40844,13437,13437,47,13484,46.59156,47,java_release_time_tth,high
111,111:storage_out,52,19500,19523,19523,171,19694,194,171,java_release_time_tth,high
112,112:storage_in,53,13442.70899,13442,13442,47,13489,46.29101,47,java_release_time_tth,high
112,112:storage_out,52,19500,19524,19524,146,19670,170,146,java_release_time_tth,high
113,113:storage_in,53,13447.79917,13447,13447,47,13494,46.20083,47,java_release_time_tth,high
113,113:storage_out,52,19500,19525,19525,171,19696,196,171,java_release_time_tth,high
114,114:storage_in,53,13470.8578,13470,13470,47,13517,46.1422,47,java_release_time_tth,high
114,114:storage_out,52,19500,19526,19527,146,19673,173,147,java_release_time_tth,medium
115,115:storage_in,53,13481.52445,13481,13481,47,13528,46.47555,47,java_release_time_tth,high
115,115:storage_out,52,19500,19527,19528,199,19727,227,200,java_release_time_tth,medium
116,116:storage_in,53,13529.56247,13529,13529,47,13576,46.43753,47,java_release_time_tth,high
116,116:storage_out,52,19500,19528,19530,171,19701,201,173,java_release_time_tth,medium
117,117:storage_in,53,13628.33719,13628,13628,47,13675,46.66281,47,java_release_time_tth,high
117,117:storage_out,52,19500,19529,19531,146,19677,177,148,java_release_time_tth,medium
118,118:storage_in,5,13641.17885,13641,13641,46,13687,45.82115,46,java_release_time_tth,high
118,118:storage_out,52,21900,21922,21931,200,22131,231,209,java_release_time_tth,medium
119,119:storage_in,3,13649.14966,13649,13649,54,13703,53.85034,54,java_release_time_tth,high
119,119:storage_out,52,22200,22215,22486,197,22683,483,468,java_release_time_tth,medium
120,120:storage_in,4,13651.81616,13651,13651,47,13698,46.18384,47,java_release_time_tth,high
120,120:storage_out,52,24600,24600,25055,200,25255,655,655,ambiguous_equal,tie
121,121:storage_in,5,13654.48299,13654,13654,46,13700,45.51701,46,java_release_time_tth,high
121,121:storage_out,52,19500,19530,19532,171,19703,203,173,java_release_time_tth,medium
122,122:storage_in,3,13657.14959,13657,13657,54,13711,53.85041,54,java_release_time_tth,high
122,122:storage_out,52,19500,19531,19534,171,19705,205,174,java_release_time_tth,medium
123,123:storage_in,0,13659.92115,13659,13659,46,13705,45.07885,46,java_release_time_tth,high
123,123:storage_out,52,24300,24301,24599,185,24784,484,483,java_release_time_tth,medium
124,124:storage_in,4,13659.95491,13659,13659,80,13739,79.04509,80,java_release_time_tth,high
124,124:storage_out,52,24600,24601,25057,171,25228,628,627,java_release_time_tth,medium
125,125:storage_in,4,13661.3341,13661,13661,47,13708,46.6659,47,java_release_time_tth,high
125,125:storage_out,52,24300,24302,24604,199,24803,503,501,java_release_time_tth,medium
126,126:storage_in,5,13662.48291,13662,13663,46,13709,46.51709,47,original_entry_time_tth,medium
126,126:storage_out,52,24300,24303,24607,222,24829,529,526,java_release_time_tth,medium
127,127:storage_in,1,13662.81116,13662,13662,51,13713,50.18884,51,java_release_time_tth,high
127,127:storage_out,52,23700,23708,23711,185,23896,196,188,java_release_time_tth,medium
128,128:storage_in,5,13663.97291,13663,13665,79,13744,80.02709,81,original_entry_time_tth,medium
128,128:storage_out,52,19500,19532,19536,199,19735,235,203,java_release_time_tth,medium
129,129:storage_in,3,13665.17873,13665,13665,54,13719,53.82127,54,java_release_time_tth,high
129,129:storage_out,52,19500,19533,19538,171,19709,209,176,java_release_time_tth,medium
130,130:storage_in,3,13666.66751,13666,13667,54,13721,54.33249,55,original_entry_time_tth,medium
130,130:storage_out,52,23100,23102,23274,199,23473,373,371,java_release_time_tth,medium
131,131:storage_in,4,13667.8455,13667,13667,47,13714,46.1545,47,java_release_time_tth,high
131,131:storage_out,52,21900,21923,21935,171,22106,206,183,java_release_time_tth,medium
132,132:storage_in,4,13669.33407,13669,13669,47,13716,46.66593,47,java_release_time_tth,high
132,132:storage_out,52,20700,20709,20715,199,20914,214,205,java_release_time_tth,medium
133,133:storage_in,2,13670.6045,13670,13670,53,13723,52.3955,53,java_release_time_tth,high
133,133:storage_out,52,20700,20710,20716,185,20901,201,191,java_release_time_tth,medium
134,134:storage_in,5,13671.97288,13671,13671,46,13717,45.02712,46,java_release_time_tth,high
134,134:storage_out,52,23100,23103,23276,250,23526,426,423,java_release_time_tth,medium
135,135:storage_in,0,13673.43982,13673,13675,72,13747,73.56018,74,original_entry_time_tth,medium
135,135:storage_out,52,21900,21924,21936,210,22146,246,222,java_release_time_tth,medium
136,136:storage_in,3,13674.7743,13674,13674,54,13728,53.2257,54,java_release_time_tth,high
136,136:storage_out,52,22200,22216,22487,199,22686,486,470,java_release_time_tth,medium
137,137:storage_in,1,13676.14449,13676,13676,51,13727,50.85551,51,java_release_time_tth,high
137,137:storage_out,52,21900,21925,21937,213,22150,250,225,java_release_time_tth,medium
138,138:storage_in,4,13677.44083,13677,13677,80,13757,79.55917,80,java_release_time_tth,high
138,138:storage_out,52,21900,21926,21939,199,22138,238,212,java_release_time_tth,medium
139,139:storage_in,2,13678.59716,13678,13678,53,13731,52.40284,53,java_release_time_tth,high
139,139:storage_out,52,24300,24304,24609,210,24819,519,515,java_release_time_tth,medium
140,140:storage_in,0,13681.25482,13681,13683,46,13729,47.74518,48,original_entry_time_tth,medium
140,140:storage_out,52,20700,20711,20717,213,20930,230,219,java_release_time_tth,medium
141,141:storage_in,5,13682.77417,13682,13682,79,13761,78.22583,79,java_release_time_tth,high
141,141:storage_out,52,24300,24305,24610,277,24887,587,582,java_release_time_tth,medium
142,142:storage_in,3,13685.33416,13685,13685,54,13739,53.66584,54,java_release_time_tth,high
142,142:storage_out,52,22200,22217,22488,250,22738,538,521,java_release_time_tth,medium
143,143:storage_in,1,13686.77316,13686,13686,51,13737,50.22684,51,java_release_time_tth,high
143,143:storage_out,52,22200,22218,22489,235,22724,524,506,java_release_time_tth,medium
144,144:storage_in,2,13689.47781,13689,13689,53,13742,52.52219,53,java_release_time_tth,high
144,144:storage_out,52,22200,22219,22490,185,22675,475,456,java_release_time_tth,medium
145,145:storage_in,2,13692.77095,13692,13692,53,13745,52.22905,53,java_release_time_tth,high
145,145:storage_out,52,23700,23709,23714,210,23924,224,215,java_release_time_tth,medium
146,146:storage_in,0,13706.2545,13706,13706,46,13752,45.7455,46,java_release_time_tth,high
146,146:storage_out,52,22200,22220,22491,210,22701,501,481,java_release_time_tth,medium
147,147:storage_in,4,13840.78001,13840,13840,47,13887,46.21999,47,java_release_time_tth,high
147,147:storage_out,52,21900,21927,21940,250,22190,290,263,java_release_time_tth,medium
148,148:storage_in,0,13846.11616,13846,13846,46,13892,45.88384,46,java_release_time_tth,high
148,148:storage_out,52,21900,21928,21942,210,22152,252,224,java_release_time_tth,medium
149,149:storage_in,53,14022.08807,14022,14022,47,14069,46.91193,47,java_release_time_tth,high
149,149:storage_out,52,20400,20404,20406,146,20552,152,148,java_release_time_tth,medium
150,150:storage_in,53,14027.20845,14027,14027,47,14074,46.79155,47,java_release_time_tth,high
150,150:storage_out,52,20400,20405,20407,171,20578,178,173,java_release_time_tth,medium
151,151:storage_in,53,14068.02247,14068,14068,47,14115,46.97753,47,java_release_time_tth,high
151,151:storage_out,52,20400,20406,20408,146,20554,154,148,java_release_time_tth,medium
152,152:storage_in,53,14184.65194,14184,14184,47,14231,46.34806,47,java_release_time_tth,high
152,152:storage_out,52,19500,19534,19540,171,19711,211,177,java_release_time_tth,medium
153,153:storage_in,5,14235.8454,14235,14235,46,14281,45.1546,46,java_release_time_tth,high
153,153:storage_out,52,21600,21603,21604,197,21801,201,198,java_release_time_tth,medium
154,154:storage_in,3,14238.48303,14238,14238,54,14292,53.51697,54,java_release_time_tth,high
154,154:storage_out,52,24900,24900,25275,197,25472,572,572,ambiguous_equal,tie
155,155:storage_in,4,14243.94872,14243,14243,47,14290,46.05128,47,java_release_time_tth,high
155,155:storage_out,52,19500,19535,19542,171,19713,213,178,java_release_time_tth,medium
156,156:storage_in,5,14246.48303,14246,14246,79,14325,78.51697,79,java_release_time_tth,high
156,156:storage_out,52,19500,19536,19543,146,19689,189,153,java_release_time_tth,medium
157,157:storage_in,0,14255.6666,14255,14255,46,14301,45.3334,46,java_release_time_tth,high
157,157:storage_out,52,21300,21312,21316,171,21487,187,175,java_release_time_tth,medium
158,158:storage_in,3,14257.17872,14257,14257,54,14311,53.82128,54,java_release_time_tth,high
158,158:storage_out,52,19500,19537,19544,171,19715,215,178,java_release_time_tth,medium
