table_id,case_id,metric,s4_value,baseline_value,unit,comparison,measurement_status,evidence,verdict
5.2,t5_2_speed_2p5,completed_raw_bags,57012,56917,raw_bags,fresh_hca_2x_fixed_population,MEASURED,EXACT_RELEASE_FIXED_POPULATION_CAPACITY,S4_WIN
5.2,t5_2_speed_2p5,min,3.133366666666431,,minutes,fresh_hca_2x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,EXACT_RELEASE_FIXED_POPULATION_CAPACITY,NOT_APPLICABLE_BASELINE_INCOMPLETE
5.2,t5_2_speed_2p5,min,3.133366666666431,3.1333333333333333,minutes,fresh_hca_censored_survivors_secondary,CENSORED_SECONDARY,does_not_drive_verdict,NOT_MEASURED
5.2,t5_2_speed_2p5,mean,3.544535598353571,,minutes,fresh_hca_2x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,EXACT_RELEASE_FIXED_POPULATION_CAPACITY,NOT_APPLICABLE_BASELINE_INCOMPLETE
5.2,t5_2_speed_2p5,mean,3.544535598353571,4.104975666321135,minutes,fresh_hca_censored_survivors_secondary,CENSORED_SECONDARY,does_not_drive_verdict,NOT_MEASURED
5.2,t5_2_speed_2p5,p95,4.146733333333153,,minutes,fresh_hca_2x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,EXACT_RELEASE_FIXED_POPULATION_CAPACITY,NOT_APPLICABLE_BASELINE_INCOMPLETE
5.2,t5_2_speed_2p5,p95,4.146733333333153,5.033333333333333,minutes,fresh_hca_censored_survivors_secondary,CENSORED_SECONDARY,does_not_drive_verdict,NOT_MEASURED
5.2,t5_2_speed_2p5,p99,5.02933333333316,,minutes,fresh_hca_2x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,EXACT_RELEASE_FIXED_POPULATION_CAPACITY,NOT_APPLICABLE_BASELINE_INCOMPLETE
5.2,t5_2_speed_2p5,p99,5.02933333333316,5.516666666666667,minutes,fresh_hca_censored_survivors_secondary,CENSORED_SECONDARY,does_not_drive_verdict,NOT_MEASURED
5.2,t5_2_speed_2p5,max,6.896733333333274,,minutes,fresh_hca_2x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,EXACT_RELEASE_FIXED_POPULATION_CAPACITY,NOT_APPLICABLE_BASELINE_INCOMPLETE
5.2,t5_2_speed_2p5,max,6.896733333333274,5.983333333333333,minutes,fresh_hca_censored_survivors_secondary,CENSORED_SECONDARY,does_not_drive_verdict,NOT_MEASURED
5.2,t5_2_speed_3,completed_raw_bags,57012,56829,raw_bags,fresh_hca_2x_fixed_population,MEASURED,EXACT_RELEASE_FIXED_POPULATION_CAPACITY,S4_WIN
5.2,t5_2_speed_3,min,2.633366666666431,,minutes,fresh_hca_2x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,EXACT_RELEASE_FIXED_POPULATION_CAPACITY,NOT_APPLICABLE_BASELINE_INCOMPLETE
5.2,t5_2_speed_3,min,2.633366666666431,2.6333333333333333,minutes,fresh_hca_censored_survivors_secondary,CENSORED_SECONDARY,does_not_drive_verdict,NOT_MEASURED
5.2,t5_2_speed_3,mean,2.9702021052097547,,minutes,fresh_hca_2x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,EXACT_RELEASE_FIXED_POPULATION_CAPACITY,NOT_APPLICABLE_BASELINE_INCOMPLETE
5.2,t5_2_speed_3,mean,2.9702021052097547,3.467984948999044,minutes,fresh_hca_censored_survivors_secondary,CENSORED_SECONDARY,does_not_drive_verdict,NOT_MEASURED
5.2,t5_2_speed_3,p95,3.461177777777751,,minutes,fresh_hca_2x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,EXACT_RELEASE_FIXED_POPULATION_CAPACITY,NOT_APPLICABLE_BASELINE_INCOMPLETE
5.2,t5_2_speed_3,p95,3.461177777777751,4.266666666666667,minutes,fresh_hca_censored_survivors_secondary,CENSORED_SECONDARY,does_not_drive_verdict,NOT_MEASURED
5.2,t5_2_speed_3,p99,3.9772333333330825,,minutes,fresh_hca_2x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,EXACT_RELEASE_FIXED_POPULATION_CAPACITY,NOT_APPLICABLE_BASELINE_INCOMPLETE
5.2,t5_2_speed_3,p99,3.9772333333330825,4.945333333333353,minutes,fresh_hca_censored_survivors_secondary,CENSORED_SECONDARY,does_not_drive_verdict,NOT_MEASURED
5.2,t5_2_speed_3,max,5.522288888888761,,minutes,fresh_hca_2x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,EXACT_RELEASE_FIXED_POPULATION_CAPACITY,NOT_APPLICABLE_BASELINE_INCOMPLETE
5.2,t5_2_speed_3,max,5.522288888888761,5.066666666666666,minutes,fresh_hca_censored_survivors_secondary,CENSORED_SECONDARY,does_not_drive_verdict,NOT_MEASURED
5.3,t5_2_speed_2p5,min,3.133366666666431,3.56,minutes,archived_paper_dispersed_1x,MEASURED,DESCRIPTIVE_2X_VS_ARCHIVED_1X_AT_PAPER_PRECISION,S4_WIN
5.3,t5_2_speed_2p5,mean,3.544535598353571,4.43,minutes,archived_paper_dispersed_1x,MEASURED,DESCRIPTIVE_2X_VS_ARCHIVED_1X_AT_PAPER_PRECISION,S4_WIN
5.3,t5_2_speed_2p5,max,6.896733333333274,8.62,minutes,archived_paper_dispersed_1x,MEASURED,DESCRIPTIVE_2X_VS_ARCHIVED_1X_AT_PAPER_PRECISION,S4_WIN
5.4,t5_4_bias_std_1p5_dev_10,mean,5.975958455680467,6.45,minutes,archived_paper_dynamic_1x,MEASURED,OBSERVATION_BIAS_RECONSTRUCTION_DESCRIPTIVE_UNPAIRED,S4_WIN
5.4,t5_4_bias_std_1p5_dev_20,mean,6.027200128500989,6.67,minutes,archived_paper_dynamic_1x,MEASURED,OBSERVATION_BIAS_RECONSTRUCTION_DESCRIPTIVE_UNPAIRED,S4_WIN
5.4,t5_4_bias_std_1p5_dev_30,mean,6.111290461982009,6.91,minutes,archived_paper_dynamic_1x,MEASURED,OBSERVATION_BIAS_RECONSTRUCTION_DESCRIPTIVE_UNPAIRED,S4_WIN
5.4,t5_4_bias_std_2_dev_10,mean,4.460772926569618,4.92,minutes,archived_paper_dynamic_1x,MEASURED,OBSERVATION_BIAS_RECONSTRUCTION_DESCRIPTIVE_UNPAIRED,S4_WIN
5.4,t5_4_bias_std_2_dev_20,mean,4.5655927782676,5.16,minutes,archived_paper_dynamic_1x,MEASURED,OBSERVATION_BIAS_RECONSTRUCTION_DESCRIPTIVE_UNPAIRED,S4_WIN
5.4,t5_4_bias_std_2_dev_30,mean,4.6659363249160295,5.42,minutes,archived_paper_dynamic_1x,MEASURED,OBSERVATION_BIAS_RECONSTRUCTION_DESCRIPTIVE_UNPAIRED,S4_WIN
5.4,t5_4_bias_std_2p5_dev_10,mean,3.715189374437249,3.99,minutes,archived_paper_dynamic_1x,MEASURED,OBSERVATION_BIAS_RECONSTRUCTION_DESCRIPTIVE_UNPAIRED,S4_WIN
5.4,t5_4_bias_std_2p5_dev_20,mean,3.7852269104856835,4.25,minutes,archived_paper_dynamic_1x,MEASURED,OBSERVATION_BIAS_RECONSTRUCTION_DESCRIPTIVE_UNPAIRED,S4_WIN
5.4,t5_4_bias_std_2p5_dev_30,mean,3.880505780500015,4.49,minutes,archived_paper_dynamic_1x,MEASURED,OBSERVATION_BIAS_RECONSTRUCTION_DESCRIPTIVE_UNPAIRED,S4_WIN
5.4,t5_4_bias_std_3_dev_10,mean,3.1046236007120904,3.39,minutes,archived_paper_dynamic_1x,MEASURED,OBSERVATION_BIAS_RECONSTRUCTION_DESCRIPTIVE_UNPAIRED,S4_WIN
5.4,t5_4_bias_std_3_dev_20,mean,3.205477067467163,3.51,minutes,archived_paper_dynamic_1x,MEASURED,OBSERVATION_BIAS_RECONSTRUCTION_DESCRIPTIVE_UNPAIRED,S4_WIN
5.4,t5_4_bias_std_3_dev_30,mean,3.304665632131355,3.64,minutes,archived_paper_dynamic_1x,MEASURED,OBSERVATION_BIAS_RECONSTRUCTION_DESCRIPTIVE_UNPAIRED,S4_WIN
5.5,t5_5_fault_single_1,completed_raw_bags,57012,56894,raw_bags,fresh_hca_2x_fixed_population,MEASURED,same 57012 population and fixed horizon; fault releases are not paired segment by segment,S4_WIN
5.5,t5_5_fault_single_2,completed_raw_bags,50626,50583,raw_bags,fresh_hca_2x_fixed_population,MEASURED,same 57012 population and fixed horizon; fault releases are not paired segment by segment,S4_WIN
5.5,t5_5_fault_single_3,completed_raw_bags,57012,57006,raw_bags,fresh_hca_2x_fixed_population,MEASURED,same 57012 population and fixed horizon; fault releases are not paired segment by segment,S4_WIN
5.5,t5_5_fault_single_4,completed_raw_bags,57012,42592,raw_bags,fresh_hca_2x_fixed_population,MEASURED,same 57012 population and fixed horizon; fault releases are not paired segment by segment,S4_WIN
5.5,t5_5_fault_single_5,completed_raw_bags,57012,50520,raw_bags,fresh_hca_2x_fixed_population,MEASURED,same 57012 population and fixed horizon; fault releases are not paired segment by segment,S4_WIN
5.5,t5_5_fault_single_6,completed_raw_bags,57012,56817,raw_bags,fresh_hca_2x_fixed_population,MEASURED,same 57012 population and fixed horizon; fault releases are not paired segment by segment,S4_WIN
5.5,t5_5_fault_single_7,completed_raw_bags,57012,56932,raw_bags,fresh_hca_2x_fixed_population,MEASURED,same 57012 population and fixed horizon; fault releases are not paired segment by segment,S4_WIN
5.5,t5_5_fault_single_8,completed_raw_bags,57012,55349,raw_bags,fresh_hca_2x_fixed_population,MEASURED,same 57012 population and fixed horizon; fault releases are not paired segment by segment,S4_WIN
5.5,t5_5_fault_pair_1_7,completed_raw_bags,57012,56938,raw_bags,fresh_hca_2x_fixed_population,MEASURED,same 57012 population and fixed horizon; fault releases are not paired segment by segment,S4_WIN
5.5,t5_5_fault_pair_2_4,completed_raw_bags,44226,39566,raw_bags,fresh_hca_2x_fixed_population,MEASURED,same 57012 population and fixed horizon; fault releases are not paired segment by segment,S4_WIN
5.5,t5_5_fault_pair_3_5,completed_raw_bags,37828,37751,raw_bags,fresh_hca_2x_fixed_population,MEASURED,same 57012 population and fixed horizon; fault releases are not paired segment by segment,S4_WIN
5.5,t5_5_fault_pair_4_5,completed_raw_bags,0,0,raw_bags,fresh_hca_2x_fixed_population,MEASURED,same 57012 population and fixed horizon; fault releases are not paired segment by segment,TOPOLOGY_CEILING_TIE
5.5,t5_5_fault_pair_5_7,completed_raw_bags,,,raw_bags,fresh_hca_2x_fixed_population,NOT_MEASURED,archived-only pair_5_7 source protocol remains unresolved,NOT_MEASURED
5.5,t5_5_fault_triple_2_4_6,completed_raw_bags,14906,14906,raw_bags,fresh_hca_2x_fixed_population,MEASURED,same 57012 population and fixed horizon; fault releases are not paired segment by segment,TOPOLOGY_CEILING_TIE
5.5,t5_5_fault_triple_3_5_8,completed_raw_bags,12612,0,raw_bags,fresh_hca_2x_fixed_population,MEASURED,same 57012 population and fixed horizon; fault releases are not paired segment by segment,S4_WIN
5.5,t5_5_fault_triple_4_6_7,completed_raw_bags,18470,11252,raw_bags,fresh_hca_2x_fixed_population,MEASURED,same 57012 population and fixed horizon; fault releases are not paired segment by segment,S4_WIN
