table_id,case_id,metric,s4_value,baseline_value,comparison,measurement_status,verdict
5.2,t5_2_speed_3,max,,,fresh_hca_3x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,NOT_APPLICABLE_BASELINE_INCOMPLETE
5.3,t5_2_speed_2p5,min,3.1333666666666735,3.56,archived_paper_dispersed_1x,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,S4_WIN
5.3,t5_2_speed_2p5,min,3.1333666666666735,3.13,archived_paper_hca_1x,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,PAPER_PRECISION_TIE
5.3,t5_2_speed_2p5,min_improvement_percent,11.984082397003554,12.1,archived_paper_reported_improvement_1x,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.3,t5_2_speed_2p5,mean,7.388506196843367,4.43,archived_paper_dispersed_1x,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.3,t5_2_speed_2p5,mean,7.388506196843367,3.96,archived_paper_hca_1x,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.3,t5_2_speed_2p5,mean_improvement_percent,-66.7834355946584,10.6,archived_paper_reported_improvement_1x,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.3,t5_2_speed_2p5,max,47.13745049999986,8.62,archived_paper_dispersed_1x,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.3,t5_2_speed_2p5,max,47.13745049999986,5.98,archived_paper_hca_1x,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.3,t5_2_speed_2p5,max_improvement_percent,-446.8381728538267,30.6,archived_paper_reported_improvement_1x,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.4,t5_4_bias_std_1p5_dev_10,completed_raw_bags,85518,,3x_capacity_diagnostic,MEASURED,NOT_MEASURED
5.4,t5_4_bias_std_1p5_dev_10,mean,12.324061480027353,6.45,archived_dynamic_1x_unpaired,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.4,t5_4_bias_std_1p5_dev_10,mean,12.324061480027353,6.59,archived_static_1x_unpaired,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.4,t5_4_bias_std_1p5_dev_10,improvement_percent,-87.01155508387487,2.12,archived_paper_reported_improvement_1x_unpaired,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.4,t5_4_bias_std_1p5_dev_20,completed_raw_bags,85518,,3x_capacity_diagnostic,MEASURED,NOT_MEASURED
5.4,t5_4_bias_std_1p5_dev_20,mean,12.369896458075575,6.67,archived_dynamic_1x_unpaired,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.4,t5_4_bias_std_1p5_dev_20,mean,12.369896458075575,6.86,archived_static_1x_unpaired,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.4,t5_4_bias_std_1p5_dev_20,improvement_percent,-80.31919035095589,2.77,archived_paper_reported_improvement_1x_unpaired,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.4,t5_4_bias_std_1p5_dev_30,completed_raw_bags,85518,,3x_capacity_diagnostic,MEASURED,NOT_MEASURED
5.4,t5_4_bias_std_1p5_dev_30,mean,12.346520254936836,6.91,archived_dynamic_1x_unpaired,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.4,t5_4_bias_std_1p5_dev_30,mean,12.346520254936836,7.11,archived_static_1x_unpaired,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.4,t5_4_bias_std_1p5_dev_30,improvement_percent,-73.65007390909754,2.81,archived_paper_reported_improvement_1x_unpaired,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.4,t5_4_bias_std_2_dev_10,completed_raw_bags,85518,,3x_capacity_diagnostic,MEASURED,NOT_MEASURED
5.4,t5_4_bias_std_2_dev_10,mean,11.0361962351503,4.92,archived_dynamic_1x_unpaired,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.4,t5_4_bias_std_2_dev_10,mean,11.0361962351503,5.07,archived_static_1x_unpaired,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.4,t5_4_bias_std_2_dev_10,improvement_percent,-117.67645434221497,2.96,archived_paper_reported_improvement_1x_unpaired,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.4,t5_4_bias_std_2_dev_20,completed_raw_bags,85518,,3x_capacity_diagnostic,MEASURED,NOT_MEASURED
5.4,t5_4_bias_std_2_dev_20,mean,10.974282954209775,5.16,archived_dynamic_1x_unpaired,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.4,t5_4_bias_std_2_dev_20,mean,10.974282954209775,5.36,archived_static_1x_unpaired,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.4,t5_4_bias_std_2_dev_20,improvement_percent,-104.74408496660025,3.73,archived_paper_reported_improvement_1x_unpaired,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.4,t5_4_bias_std_2_dev_30,completed_raw_bags,85518,,3x_capacity_diagnostic,MEASURED,NOT_MEASURED
5.4,t5_4_bias_std_2_dev_30,mean,10.886149689619398,5.42,archived_dynamic_1x_unpaired,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.4,t5_4_bias_std_2_dev_30,mean,10.886149689619398,5.62,archived_static_1x_unpaired,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.4,t5_4_bias_std_2_dev_30,improvement_percent,-93.70373113201775,3.56,archived_paper_reported_improvement_1x_unpaired,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.4,t5_4_bias_std_2p5_dev_10,completed_raw_bags,85518,,3x_capacity_diagnostic,MEASURED,NOT_MEASURED
5.4,t5_4_bias_std_2p5_dev_10,mean,9.310537733046184,3.99,archived_dynamic_1x_unpaired,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.4,t5_4_bias_std_2p5_dev_10,mean,9.310537733046184,4.19,archived_static_1x_unpaired,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.4,t5_4_bias_std_2p5_dev_10,improvement_percent,-122.20853778153182,4.77,archived_paper_reported_improvement_1x_unpaired,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.4,t5_4_bias_std_2p5_dev_20,completed_raw_bags,85518,,3x_capacity_diagnostic,MEASURED,NOT_MEASURED
5.4,t5_4_bias_std_2p5_dev_20,mean,9.09197224212891,4.25,archived_dynamic_1x_unpaired,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.4,t5_4_bias_std_2p5_dev_20,mean,9.09197224212891,4.46,archived_static_1x_unpaired,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.4,t5_4_bias_std_2p5_dev_20,improvement_percent,-103.85587986836123,4.71,archived_paper_reported_improvement_1x_unpaired,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.4,t5_4_bias_std_2p5_dev_30,completed_raw_bags,85518,,3x_capacity_diagnostic,MEASURED,NOT_MEASURED
5.4,t5_4_bias_std_2p5_dev_30,mean,8.83437183345007,4.49,archived_dynamic_1x_unpaired,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.4,t5_4_bias_std_2p5_dev_30,mean,8.83437183345007,4.72,archived_static_1x_unpaired,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.4,t5_4_bias_std_2p5_dev_30,improvement_percent,-87.16889477648456,4.87,archived_paper_reported_improvement_1x_unpaired,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.4,t5_4_bias_std_3_dev_10,completed_raw_bags,85518,,3x_capacity_diagnostic,MEASURED,NOT_MEASURED
5.4,t5_4_bias_std_3_dev_10,mean,7.997503481351587,3.39,archived_dynamic_1x_unpaired,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.4,t5_4_bias_std_3_dev_10,mean,7.997503481351587,3.56,archived_static_1x_unpaired,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.4,t5_4_bias_std_3_dev_10,improvement_percent,-124.6489741952693,4.78,archived_paper_reported_improvement_1x_unpaired,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.4,t5_4_bias_std_3_dev_20,completed_raw_bags,85518,,3x_capacity_diagnostic,MEASURED,NOT_MEASURED
5.4,t5_4_bias_std_3_dev_20,mean,7.693312465995277,3.51,archived_dynamic_1x_unpaired,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.4,t5_4_bias_std_3_dev_20,mean,7.693312465995277,3.72,archived_static_1x_unpaired,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.4,t5_4_bias_std_3_dev_20,improvement_percent,-106.80947489234613,5.65,archived_paper_reported_improvement_1x_unpaired,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.4,t5_4_bias_std_3_dev_30,completed_raw_bags,85518,,3x_capacity_diagnostic,MEASURED,NOT_MEASURED
5.4,t5_4_bias_std_3_dev_30,mean,7.475694281606278,3.64,archived_dynamic_1x_unpaired,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.4,t5_4_bias_std_3_dev_30,mean,7.475694281606278,3.87,archived_static_1x_unpaired,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.4,t5_4_bias_std_3_dev_30,improvement_percent,-93.17039487354722,5.94,archived_paper_reported_improvement_1x_unpaired,OWN_SOURCE_FULL_POPULATION_DESCRIPTIVE,BASELINE_WIN
5.5,t5_5_fault_single_1,completed_raw_bags,85518,73369,fresh_hca_3x_fixed_population,MEASURED,S4_WIN
5.5,t5_5_fault_single_1,success_rate,1.0,1.0,archived_paper_success_rate_1x,MEASURED,100_PERCENT_CEILING_TIE
5.5,t5_5_fault_single_2,completed_raw_bags,75939,67435,fresh_hca_3x_fixed_population,MEASURED,S4_WIN
5.5,t5_5_fault_single_2,success_rate,0.8879884936504595,0.88,archived_paper_success_rate_1x,MEASURED,S4_WIN
5.5,t5_5_fault_single_3,completed_raw_bags,85518,66674,fresh_hca_3x_fixed_population,MEASURED,S4_WIN
5.5,t5_5_fault_single_3,success_rate,1.0,1.0,archived_paper_success_rate_1x,MEASURED,100_PERCENT_CEILING_TIE
5.5,t5_5_fault_single_4,completed_raw_bags,72029,38070,fresh_hca_3x_fixed_population,MEASURED,S4_WIN
5.5,t5_5_fault_single_4,success_rate,0.8422671250496971,0.95,archived_paper_success_rate_1x,MEASURED,BASELINE_WIN
5.5,t5_5_fault_single_5,completed_raw_bags,75370,44042,fresh_hca_3x_fixed_population,MEASURED,S4_WIN
5.5,t5_5_fault_single_5,success_rate,0.8813349236418064,0.97,archived_paper_success_rate_1x,MEASURED,BASELINE_WIN
5.5,t5_5_fault_single_6,completed_raw_bags,85518,66401,fresh_hca_3x_fixed_population,MEASURED,S4_WIN
5.5,t5_5_fault_single_6,success_rate,1.0,0.96,archived_paper_success_rate_1x,MEASURED,S4_WIN
5.5,t5_5_fault_single_7,completed_raw_bags,85518,60556,fresh_hca_3x_fixed_population,MEASURED,S4_WIN
5.5,t5_5_fault_single_7,success_rate,1.0,1.0,archived_paper_success_rate_1x,MEASURED,100_PERCENT_CEILING_TIE
5.5,t5_5_fault_single_8,completed_raw_bags,85518,50702,fresh_hca_3x_fixed_population,MEASURED,S4_WIN
5.5,t5_5_fault_single_8,success_rate,1.0,0.99,archived_paper_success_rate_1x,MEASURED,S4_WIN
5.5,t5_5_fault_pair_1_7,completed_raw_bags,85518,61391,fresh_hca_3x_fixed_population,MEASURED,S4_WIN
5.5,t5_5_fault_pair_1_7,success_rate,1.0,1.0,archived_paper_success_rate_1x,MEASURED,100_PERCENT_CEILING_TIE
5.5,t5_5_fault_pair_2_4,completed_raw_bags,66339,37110,fresh_hca_3x_fixed_population,MEASURED,S4_WIN
5.5,t5_5_fault_pair_2_4,success_rate,0.7757314249631656,0.76,archived_paper_success_rate_1x,MEASURED,S4_WIN
5.5,t5_5_fault_pair_3_5,completed_raw_bags,56742,44363,fresh_hca_3x_fixed_population,MEASURED,S4_WIN
5.5,t5_5_fault_pair_3_5,success_rate,0.6635094366098365,0.66,archived_paper_success_rate_1x,MEASURED,S4_WIN
5.5,t5_5_fault_pair_4_5,completed_raw_bags,0,0,fresh_hca_3x_fixed_population,MEASURED,TOPOLOGY_CEILING_TIE
5.5,t5_5_fault_pair_4_5,success_rate,0.0,0.0,archived_paper_success_rate_1x,MEASURED,UNRESOLVED_TIE
5.5,t5_5_fault_pair_5_7,completed_raw_bags,,,fresh_hca_3x_fixed_population,NOT_MEASURED,NOT_MEASURED
5.5,t5_5_fault_pair_5_7,success_rate,,,archived_paper_success_rate_1x,NOT_MEASURED,NOT_MEASURED
5.5,t5_5_fault_triple_2_4_6,completed_raw_bags,22359,21564,fresh_hca_3x_fixed_population,MEASURED,S4_WIN
5.5,t5_5_fault_triple_2_4_6,success_rate,0.2614537290395005,0.26,archived_paper_success_rate_1x,MEASURED,S4_WIN
5.5,t5_5_fault_triple_3_5_8,completed_raw_bags,18918,0,fresh_hca_3x_fixed_population,MEASURED,S4_WIN
5.5,t5_5_fault_triple_3_5_8,success_rate,0.22121658598189856,0.05,archived_paper_success_rate_1x,MEASURED,S4_WIN
5.5,t5_5_fault_triple_4_6_7,completed_raw_bags,27705,16869,fresh_hca_3x_fixed_population,MEASURED,S4_WIN
5.5,t5_5_fault_triple_4_6_7,success_rate,0.32396688416473723,0.26,archived_paper_success_rate_1x,MEASURED,S4_WIN
