regression_scope,case,run_id,status,policy,reservation_semantics,complete_bags,processed_segment_count,planned_segments,failed_segments,mean_tht,gap_vs_original_min,source_retry_count,node_window_conflicts,runtime_full_astar_calls,bag_success_rate,reference_bag_success_rate,paper_success_rate,paper_dynamic,paper_static,material_regression,note
fault_16,paper_fault_arc_7,source_queue_plus_open_end_fault_paper_fault_arc_7,PASS,model_plus_pibt_lite,reservation_open_end_boundary,28506,43603,43603,0,3.58152693,-0.38559578,0,0,0,1,1,1,,,False,paper_success=1.0
fault_16,paper_fault_arc_8,source_queue_plus_open_end_fault_paper_fault_arc_8,PASS,model_plus_pibt_lite,reservation_open_end_boundary,28506,43603,43603,0,3.5500663,-0.41705641,0,0,0,1,1,0.99,,,False,paper_success=0.99
fault_16,paper_fault_arcs_1_7,source_queue_plus_open_end_fault_paper_fault_arcs_1_7,PARTIAL,model_plus_pibt_lite,reservation_open_end_boundary,25306,43603,40403,3200,3.53790432,-0.42921839,0,0,0,0.88774293,0.88774293,1,,,False,paper_success=1.0
fault_16,paper_fault_arcs_2_4,source_queue_plus_open_end_fault_paper_fault_arcs_2_4,PARTIAL,model_plus_pibt_lite,reservation_open_end_boundary,20426,43603,35523,8080,3.51624204,-0.45088067,0,0,0,0.7165509,0.7165509,0.76,,,False,paper_success=0.76
fault_16,paper_fault_arcs_3_5,source_queue_plus_open_end_fault_paper_fault_arcs_3_5,PARTIAL,model_plus_pibt_lite,reservation_open_end_boundary,20420,43603,35517,8086,3.52148188,-0.44564083,0,0,0,0.71634042,0.71634042,0.66,,,False,paper_success=0.66
fault_16,paper_fault_arcs_4_5,source_queue_plus_open_end_fault_paper_fault_arcs_4_5,PARTIAL,model_plus_pibt_lite,reservation_open_end_boundary,18732,43603,33829,9774,3.53243274,-0.43468997,0,0,0,0.65712482,0.65712482,0,,,False,paper_success=0.0
fault_16,paper_fault_arcs_5_7,source_queue_plus_open_end_fault_paper_fault_arcs_5_7,PARTIAL,model_plus_pibt_lite,reservation_open_end_boundary,23619,43603,38716,4887,3.57843657,-0.38868614,0,0,0,0.82856241,0.82856241,0.48,,,False,paper_success=0.48
fault_16,paper_fault_arcs_2_4_6,source_queue_plus_open_end_fault_paper_fault_arcs_2_4_6,PARTIAL,model_plus_pibt_lite,reservation_open_end_boundary,15540,43603,30637,12966,3.52526727,-0.44185544,0,0,0,0.54514839,0.54514839,0.26,,,False,paper_success=0.26
fault_16,paper_fault_arcs_3_5_8,source_queue_plus_open_end_fault_paper_fault_arcs_3_5_8,PARTIAL,model_plus_pibt_lite,reservation_open_end_boundary,20420,43603,35517,8086,3.52794238,-0.43918033,0,0,0,0.71634042,0.71634042,0.05,,,False,paper_success=0.05
fault_16,paper_fault_arcs_4_6_7,source_queue_plus_open_end_fault_paper_fault_arcs_4_6_7,PARTIAL,model_plus_pibt_lite,reservation_open_end_boundary,18733,43603,33830,9773,3.5773165,-0.38980621,0,0,0,0.6571599,0.6571599,0.26,,,False,paper_success=0.26
dynamic_static_diagnostic,1.5:10,source_queue_plus_open_end_dynamic_1.5_10,PASS,model_plus_pibt_lite,reservation_open_end_boundary,28506,43603,43603,0,6.37944472,2.41232201,0,0,0,,,,6.45,6.59,False,dynamic/static diagnostic effective-speed replay only
dynamic_static_diagnostic,1.5:20,source_queue_plus_open_end_dynamic_1.5_20,PASS,model_plus_pibt_lite,reservation_open_end_boundary,28506,43603,43603,0,7.14332665,3.17620394,0,0,0,,,,6.67,6.86,False,dynamic/static diagnostic effective-speed replay only
dynamic_static_diagnostic,1.5:30,source_queue_plus_open_end_dynamic_1.5_30,PASS,model_plus_pibt_lite,reservation_open_end_boundary,28506,43603,43603,0,8.14910473,4.18198202,0,0,0,,,,6.91,7.11,False,dynamic/static diagnostic effective-speed replay only
dynamic_static_diagnostic,2.0:10,source_queue_plus_open_end_dynamic_2.0_10,PASS,model_plus_pibt_lite,reservation_open_end_boundary,28506,43603,43603,0,4.83627008,0.86914737,0,0,0,,,,4.92,5.07,False,dynamic/static diagnostic effective-speed replay only
dynamic_static_diagnostic,2.0:20,source_queue_plus_open_end_dynamic_2.0_20,PASS,model_plus_pibt_lite,reservation_open_end_boundary,28506,43603,43603,0,5.41459437,1.44747166,0,0,0,,,,5.16,5.36,False,dynamic/static diagnostic effective-speed replay only
dynamic_static_diagnostic,2.0:30,source_queue_plus_open_end_dynamic_2.0_30,PASS,model_plus_pibt_lite,reservation_open_end_boundary,28506,43603,43603,0,6.15738992,2.19026721,0,0,0,,,,5.42,5.62,False,dynamic/static diagnostic effective-speed replay only
dynamic_static_diagnostic,2.5:10,source_queue_plus_open_end_dynamic_2.5_10,PASS,model_plus_pibt_lite,reservation_open_end_boundary,28506,43603,43603,0,3.91539163,-0.05173108,0,0,0,,,,3.99,4.19,False,dynamic/static diagnostic effective-speed replay only
dynamic_static_diagnostic,2.5:20,source_queue_plus_open_end_dynamic_2.5_20,PASS,model_plus_pibt_lite,reservation_open_end_boundary,28506,43603,43603,0,4.36419993,0.39707722,0,0,0,,,,4.25,4.46,False,dynamic/static diagnostic effective-speed replay only
dynamic_static_diagnostic,2.5:30,source_queue_plus_open_end_dynamic_2.5_30,PASS,model_plus_pibt_lite,reservation_open_end_boundary,28506,43603,43603,0,4.96916739,1.00204468,0,0,0,,,,4.49,4.72,False,dynamic/static diagnostic effective-speed replay only
dynamic_static_diagnostic,3.0:10,source_queue_plus_open_end_dynamic_3.0_10,PASS,model_plus_pibt_lite,reservation_open_end_boundary,28506,43603,43603,0,3.30066726,-0.66645545,0,0,0,,,,3.39,3.56,False,dynamic/static diagnostic effective-speed replay only
dynamic_static_diagnostic,3.0:20,source_queue_plus_open_end_dynamic_3.0_20,PASS,model_plus_pibt_lite,reservation_open_end_boundary,28506,43603,43603,0,3.68479428,-0.28232843,0,0,0,,,,3.51,3.72,False,dynamic/static diagnostic effective-speed replay only
dynamic_static_diagnostic,3.0:30,source_queue_plus_open_end_dynamic_3.0_30,PASS,model_plus_pibt_lite,reservation_open_end_boundary,28506,43603,43603,0,4.18124007,0.21411736,0,0,0,,,,3.64,3.87,False,dynamic/static diagnostic effective-speed replay only
