scenario,event_variant,edge,blocked_count,mean_wait_needed,max_wait_needed,max_queue_length,release_audit_rows
legacy_offset32_static16,edge_release_wait_scheduler,18->22,1,6.53327999999965,6.53327999999965,2,1
legacy_offset32_static16,edge_release_wait_scheduler,22->24,2,1.3329549999998562,2.0,2,2
legacy_offset32_static16,edge_release_wait_scheduler,24->27,3,0.366269999997409,0.5377499999976862,2,3
legacy_offset32_static16,edge_release_wait_scheduler,27->28,15,4.962911249999024,9.400219999999536,2,15
legacy_offset32_static16,fifo_edge_queue_scheduler,11->13,3,5.575780000001032,9.918660000003001,2,3
legacy_offset32_static16,fifo_edge_queue_scheduler,16->21,1,14.665369999998802,14.665369999998802,2,1
legacy_offset32_static16,fifo_edge_queue_scheduler,18->22,1,6.53327999999965,6.53327999999965,2,1
legacy_offset32_static16,fifo_edge_queue_scheduler,22->24,2,1.3329549999998562,2.0,2,2
legacy_offset32_static16,fifo_edge_queue_scheduler,24->27,3,0.366269999997409,0.5377499999976862,2,3
legacy_offset32_static16,fifo_edge_queue_scheduler,27->28,15,4.962911249999024,9.400219999999536,2,15
legacy_offset32_static16,g3d_reroute_anchor,11->13,3,2.5091133333341227,5.985340000001088,2,3
legacy_offset32_static16,g3d_reroute_anchor,16->21,15,7.665369999998802,14.665369999998802,2,15
legacy_offset32_static16,g3d_reroute_anchor,18->22,7,3.5332799999996496,6.53327999999965,2,7
legacy_offset32_static16,g3d_reroute_anchor,22->24,2,1.099594999999681,1.5332799999996496,2,2
legacy_offset32_static16,g3d_reroute_anchor,24->27,1,0.4000899999991816,0.4000899999991816,2,1
legacy_offset32_static16,g3d_reroute_anchor,27->28,28,3.2950266666654593,8.137749999996231,2,28
legacy_offset32_static16,g3d_reroute_anchor,46->36,6,2.8618099999985134,5.361809999998513,2,6
legacy_offset32_static16,hybrid_executable_teacher,11->13,3,5.575780000001032,9.918660000003001,2,3
legacy_offset32_static16,hybrid_executable_teacher,16->21,1,14.665369999998802,14.665369999998802,2,1
legacy_offset32_static16,hybrid_executable_teacher,18->22,1,6.53327999999965,6.53327999999965,2,1
legacy_offset32_static16,hybrid_executable_teacher,22->24,2,1.3329549999998562,2.0,2,2
legacy_offset32_static16,hybrid_executable_teacher,24->27,3,0.366269999997409,0.5377499999976862,2,3
legacy_offset32_static16,hybrid_executable_teacher,27->28,15,4.962911249999024,9.400219999999536,2,15
legacy_offset64_merge32,capacity_wait_budget_10s,11->13,6,3.6030200000009245,6.5850700000009965,2,6
legacy_offset64_merge32,capacity_wait_budget_10s,13->23,26,4.281056666664274,6.63220999999794,3,26
legacy_offset64_merge32,capacity_wait_budget_10s,17->18,1,0.5333100000007107,0.5333100000007107,2,1
legacy_offset64_merge32,capacity_wait_budget_10s,18->22,12,6.278495714284353,8.303459999997358,4,12
legacy_offset64_merge32,capacity_wait_budget_10s,22->24,7,3.657142857142649,6.0,2,7
legacy_offset64_merge32,capacity_wait_budget_10s,24->27,1,0.4000000000014552,0.4000000000014552,2,1
legacy_offset64_merge32,capacity_wait_budget_10s,27->28,10,5.837032222219932,9.599999999998545,2,10
legacy_offset64_merge32,capacity_wait_budget_10s,4->17,2,1.4113600000009683,2.0086800000008225,2,2
legacy_offset64_merge32,capacity_wait_budget_10s,46->36,1,0.598969999995461,0.598969999995461,2,1
legacy_offset64_merge32,capacity_wait_budget_10s,8->11,1,0.46666000000186614,0.46666000000186614,2,1
legacy_offset64_merge32,capacity_wait_budget_30s,11->13,6,3.6030200000009245,6.5850700000009965,2,6
legacy_offset64_merge32,capacity_wait_budget_30s,13->23,26,4.281056666664274,6.63220999999794,3,26
legacy_offset64_merge32,capacity_wait_budget_30s,17->18,1,0.5333100000007107,0.5333100000007107,2,1
legacy_offset64_merge32,capacity_wait_budget_30s,18->22,12,6.278495714284353,8.303459999997358,4,12
legacy_offset64_merge32,capacity_wait_budget_30s,22->24,7,3.657142857142649,6.0,2,7
legacy_offset64_merge32,capacity_wait_budget_30s,24->27,1,0.4000000000014552,0.4000000000014552,2,1
legacy_offset64_merge32,capacity_wait_budget_30s,27->28,10,5.837032222219932,9.599999999998545,2,10
legacy_offset64_merge32,capacity_wait_budget_30s,4->17,2,1.4113600000009683,2.0086800000008225,2,2
legacy_offset64_merge32,capacity_wait_budget_30s,46->36,1,0.598969999995461,0.598969999995461,2,1
legacy_offset64_merge32,capacity_wait_budget_30s,8->11,1,0.46666000000186614,0.46666000000186614,2,1
legacy_offset64_merge32,capacity_wait_budget_5s,11->13,6,3.6030200000009245,6.5850700000009965,2,6
legacy_offset64_merge32,capacity_wait_budget_5s,13->23,26,4.281056666664274,6.63220999999794,3,26
legacy_offset64_merge32,capacity_wait_budget_5s,17->18,1,0.5333100000007107,0.5333100000007107,2,1
legacy_offset64_merge32,capacity_wait_budget_5s,18->22,12,6.278495714284353,8.303459999997358,4,12
legacy_offset64_merge32,capacity_wait_budget_5s,22->24,7,3.657142857142649,6.0,2,7
legacy_offset64_merge32,capacity_wait_budget_5s,24->27,1,0.4000000000014552,0.4000000000014552,2,1
legacy_offset64_merge32,capacity_wait_budget_5s,27->28,9,5.441661249997651,9.599999999998545,2,9
legacy_offset64_merge32,capacity_wait_budget_5s,4->17,2,1.4113600000009683,2.0086800000008225,2,2
legacy_offset64_merge32,capacity_wait_budget_5s,46->36,1,0.598969999995461,0.598969999995461,2,1
legacy_offset64_merge32,capacity_wait_budget_5s,8->11,1,0.46666000000186614,0.46666000000186614,2,1
legacy_offset64_merge32,capacity_wait_budget_60s,11->13,6,3.6030200000009245,6.5850700000009965,2,6
legacy_offset64_merge32,capacity_wait_budget_60s,13->23,26,4.281056666664274,6.63220999999794,3,26
legacy_offset64_merge32,capacity_wait_budget_60s,17->18,1,0.5333100000007107,0.5333100000007107,2,1
legacy_offset64_merge32,capacity_wait_budget_60s,18->22,12,6.278495714284353,8.303459999997358,4,12
legacy_offset64_merge32,capacity_wait_budget_60s,22->24,7,3.657142857142649,6.0,2,7
legacy_offset64_merge32,capacity_wait_budget_60s,24->27,1,0.4000000000014552,0.4000000000014552,2,1
legacy_offset64_merge32,capacity_wait_budget_60s,27->28,10,5.837032222219932,9.599999999998545,2,10
legacy_offset64_merge32,capacity_wait_budget_60s,4->17,2,1.4113600000009683,2.0086800000008225,2,2
legacy_offset64_merge32,capacity_wait_budget_60s,46->36,1,0.598969999995461,0.598969999995461,2,1
legacy_offset64_merge32,capacity_wait_budget_60s,8->11,1,0.46666000000186614,0.46666000000186614,2,1
legacy_offset64_merge32,edge_release_wait_scheduler,11->13,10,3.6030200000009245,6.5850700000009965,2,10
legacy_offset64_merge32,edge_release_wait_scheduler,13->23,26,4.281056666664274,6.63220999999794,3,26
legacy_offset64_merge32,edge_release_wait_scheduler,17->18,1,0.5333100000007107,0.5333100000007107,2,1
legacy_offset64_merge32,edge_release_wait_scheduler,18->22,12,6.278495714284353,8.303459999997358,4,12
legacy_offset64_merge32,edge_release_wait_scheduler,22->24,7,3.657142857142649,6.0,2,7
legacy_offset64_merge32,edge_release_wait_scheduler,24->27,1,0.4000000000014552,0.4000000000014552,2,1
legacy_offset64_merge32,edge_release_wait_scheduler,27->28,10,5.837032222219932,9.599999999998545,2,10
legacy_offset64_merge32,edge_release_wait_scheduler,4->17,2,1.4113600000009683,2.0086800000008225,2,2
legacy_offset64_merge32,edge_release_wait_scheduler,8->11,1,0.46666000000186614,0.46666000000186614,2,1
legacy_offset64_merge32,fifo_edge_queue_scheduler,11->13,10,3.6030200000009245,6.5850700000009965,2,10
legacy_offset64_merge32,fifo_edge_queue_scheduler,13->23,26,4.281056666664274,6.63220999999794,3,26
legacy_offset64_merge32,fifo_edge_queue_scheduler,17->18,1,0.5333100000007107,0.5333100000007107,2,1
