table_id,case_id,metric,observed,reference,unit,comparison,evidence,exact,verdict,improvement_percent
5.4,t5_4_bias_std_3_dev_20,mean,3.17938341240009,3.51,minutes,archived_dynamic,DESCRIPTIVE_UNPAIRED,false,G28_WIN,9.419275999997426
5.4,t5_4_bias_std_3_dev_20,mean,3.17938341240009,3.72,minutes,archived_static,DESCRIPTIVE_UNPAIRED,false,G28_WIN,14.532703967739517
5.4,t5_4_bias_std_3_dev_20,improvement,14.532703967739517,5.65,percent,paper_reported_improvement,DESCRIPTIVE_UNPAIRED,false,G28_WIN,14.532703967739517
5.4,t5_4_bias_std_3_dev_30,mean,3.2821831348998325,3.64,minutes,archived_dynamic,DESCRIPTIVE_UNPAIRED,false,G28_WIN,9.830133656598012
5.4,t5_4_bias_std_3_dev_30,mean,3.2821831348998325,3.87,minutes,archived_static,DESCRIPTIVE_UNPAIRED,false,G28_WIN,15.189066281658079
5.4,t5_4_bias_std_3_dev_30,improvement,15.189066281658079,5.94,percent,paper_reported_improvement,DESCRIPTIVE_UNPAIRED,false,G28_WIN,15.189066281658079
5.5,single_1,completed_raw_bags,28506,28506,raw_bags,fresh_hca,PROTOCOL_CONTROLLED_RECONSTRUCTION,false,TIE,
5.5,single_1,completed_raw_bags,28506,28506,raw_bags,archived_paper,ARCHIVED,false,TIE,
5.5,single_2,completed_raw_bags,25313,25313,raw_bags,fresh_hca,PROTOCOL_CONTROLLED_RECONSTRUCTION,false,TIE,
5.5,single_2,completed_raw_bags,25313,25085,raw_bags,archived_paper,ARCHIVED,false,G28_WIN,
5.5,single_3,completed_raw_bags,28506,28506,raw_bags,fresh_hca,PROTOCOL_CONTROLLED_RECONSTRUCTION,false,TIE,
5.5,single_3,completed_raw_bags,28506,28506,raw_bags,archived_paper,ARCHIVED,false,TIE,
5.5,single_4,completed_raw_bags,28506,28471,raw_bags,fresh_hca,PROTOCOL_CONTROLLED_RECONSTRUCTION,false,G28_WIN,
5.5,single_4,completed_raw_bags,28506,27081,raw_bags,archived_paper,ARCHIVED,false,G28_WIN,
5.5,single_5,completed_raw_bags,28506,28484,raw_bags,fresh_hca,PROTOCOL_CONTROLLED_RECONSTRUCTION,false,G28_WIN,
5.5,single_5,completed_raw_bags,28506,27651,raw_bags,archived_paper,ARCHIVED,false,G28_WIN,
5.5,single_6,completed_raw_bags,28506,28506,raw_bags,fresh_hca,PROTOCOL_CONTROLLED_RECONSTRUCTION,false,TIE,
5.5,single_6,completed_raw_bags,28506,27366,raw_bags,archived_paper,ARCHIVED,false,G28_WIN,
5.5,single_7,completed_raw_bags,28506,28506,raw_bags,fresh_hca,PROTOCOL_CONTROLLED_RECONSTRUCTION,false,TIE,
5.5,single_7,completed_raw_bags,28506,28506,raw_bags,archived_paper,ARCHIVED,false,TIE,
5.5,single_8,completed_raw_bags,28506,28497,raw_bags,fresh_hca,PROTOCOL_CONTROLLED_RECONSTRUCTION,false,G28_WIN,
5.5,single_8,completed_raw_bags,28506,28221,raw_bags,archived_paper,ARCHIVED,false,G28_WIN,
5.5,pair_1_7,completed_raw_bags,28506,28506,raw_bags,fresh_hca,PROTOCOL_CONTROLLED_RECONSTRUCTION,false,TIE,
5.5,pair_1_7,completed_raw_bags,28506,28506,raw_bags,archived_paper,ARCHIVED,false,TIE,
5.5,pair_2_4,completed_raw_bags,22113,22083,raw_bags,fresh_hca,PROTOCOL_CONTROLLED_RECONSTRUCTION,false,G28_WIN,
5.5,pair_2_4,completed_raw_bags,22113,21665,raw_bags,archived_paper,ARCHIVED,false,G28_WIN,
5.5,pair_3_5,completed_raw_bags,18914,18914,raw_bags,fresh_hca,PROTOCOL_CONTROLLED_RECONSTRUCTION,false,TIE,
5.5,pair_3_5,completed_raw_bags,18914,18814,raw_bags,archived_paper,ARCHIVED,false,G28_WIN,
5.5,pair_4_5,completed_raw_bags,0,0,raw_bags,fresh_hca,PROTOCOL_CONTROLLED_RECONSTRUCTION,false,TIE,
5.5,pair_4_5,completed_raw_bags,0,0,raw_bags,archived_paper,ARCHIVED,false,TIE,
5.5,pair_5_7,completed_raw_bags,,,raw_bags,fresh_hca,PROTOCOL_CONTROLLED_RECONSTRUCTION,false,NOT_MEASURED,
5.5,pair_5_7,completed_raw_bags,,13683,raw_bags,archived_paper,ARCHIVED,false,NOT_MEASURED,
5.5,triple_2_4_6,completed_raw_bags,7453,7453,raw_bags,fresh_hca,PROTOCOL_CONTROLLED_RECONSTRUCTION,false,TIE,
5.5,triple_2_4_6,completed_raw_bags,7453,7412,raw_bags,archived_paper,ARCHIVED,false,G28_WIN,
5.5,triple_3_5_8,completed_raw_bags,6306,0,raw_bags,fresh_hca,PROTOCOL_CONTROLLED_RECONSTRUCTION,false,G28_WIN,
5.5,triple_3_5_8,completed_raw_bags,6306,1425,raw_bags,archived_paper,ARCHIVED,false,G28_WIN,
5.5,triple_4_6_7,completed_raw_bags,9235,5635,raw_bags,fresh_hca,PROTOCOL_CONTROLLED_RECONSTRUCTION,false,G28_WIN,
5.5,triple_4_6_7,completed_raw_bags,9235,7412,raw_bags,archived_paper,ARCHIVED,false,G28_WIN,
