start,end,directed_edge,length,speed,travel_time,start_node_type,start_node_role,end_node_type,end_node_role,start_out_degree,end_in_degree,is_split_exit,is_merge_entry,reverse_edge_exists,reverse_directed_edge,current_undirected_corridor_key,current_corridor_directed_member_count,current_corridor_directed_members,current_cross_direction_calendar_share,direction_aliasing_audit,weak_projection_bridge,start_weak_projection_articulation,end_weak_projection_articulation,start_scc_id,start_scc_size,end_scc_id,end_scc_size,weak_component_id
15,14,15->14,4.0,2.5,1.6,5,declared_merge,5,declared_merge,1,2,False,True,False,,14<->15,1,15->14,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,False,SCC012,24,SCC012,24,WCC000
16,17,16->17,9.0,2.5,3.6,4,declared_split,5,declared_merge,2,2,True,True,False,,16<->17,1,16->17,False,NO_REVERSE_EDGE_TO_ALIAS,False,True,True,SCC013,1,SCC014,1,WCC000
16,21,16->21,57.0,2.5,22.8,4,declared_split,5,declared_merge,2,2,True,True,False,,16<->21,1,16->21,False,NO_REVERSE_EDGE_TO_ALIAS,False,True,False,SCC013,1,SCC018,1,WCC000
17,18,17->18,4.0,2.5,1.6,5,declared_merge,5,declared_merge,1,2,False,True,False,,17<->18,1,17->18,False,NO_REVERSE_EDGE_TO_ALIAS,False,True,False,SCC014,1,SCC015,1,WCC000
18,22,18->22,21.0,2.5,8.4,5,declared_merge,4,declared_split,1,1,False,False,False,,18<->22,1,18->22,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,False,SCC015,1,SCC019,1,WCC000
19,18,19->18,7.0,2.5,2.8,4,declared_split,5,declared_merge,2,2,True,True,False,,18<->19,1,19->18,False,NO_REVERSE_EDGE_TO_ALIAS,False,True,False,SCC016,1,SCC015,1,WCC000
19,25,19->25,35.0,2.5,14.0,4,declared_split,5,declared_merge,2,2,True,True,False,,19<->25,1,19->25,False,NO_REVERSE_EDGE_TO_ALIAS,False,True,False,SCC016,1,SCC012,24,WCC000
20,10,20->10,7.0,2.5,2.8,4,declared_split,5,declared_merge,2,2,True,True,False,,10<->20,1,20->10,False,NO_REVERSE_EDGE_TO_ALIAS,False,True,False,SCC017,1,SCC010,1,WCC000
20,21,20->21,35.0,2.5,14.0,4,declared_split,5,declared_merge,2,2,True,True,False,,20<->21,1,20->21,False,NO_REVERSE_EDGE_TO_ALIAS,False,True,False,SCC017,1,SCC018,1,WCC000
21,23,21->23,12.0,2.5,4.8,5,declared_merge,5,declared_merge,1,2,False,True,False,,21<->23,1,21->23,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,False,SCC018,1,SCC012,24,WCC000
22,24,22->24,26.0,2.5,10.4,4,declared_split,5,declared_merge,2,2,True,True,False,,22<->24,1,22->24,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,False,SCC019,1,SCC012,24,WCC000
22,26,22->26,17.0,2.5,6.8,4,declared_split,5,declared_merge,2,2,True,True,False,,22<->26,1,22->26,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,False,SCC019,1,SCC012,24,WCC000
23,24,23->24,4.0,2.5,1.6,5,declared_merge,5,declared_merge,1,2,False,True,False,,23<->24,1,23->24,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,False,SCC012,24,SCC012,24,WCC000
24,27,24->27,4.0,2.5,1.6,5,declared_merge,4,declared_split,1,1,False,False,False,,24<->27,1,24->27,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,False,SCC012,24,SCC012,24,WCC000
25,26,25->26,8.0,2.5,3.2,5,declared_merge,5,declared_merge,1,2,False,True,False,,25<->26,1,25->26,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,False,SCC012,24,SCC012,24,WCC000
26,43,26->43,4.0,2.5,1.6,5,declared_merge,5,declared_merge,1,2,False,True,False,,26<->43,1,26->43,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,False,SCC012,24,SCC012,24,WCC000
27,28,27->28,27.0,2.5,10.8,4,declared_split,4,declared_split,2,1,True,False,False,,27<->28,1,27->28,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,False,SCC012,24,SCC012,24,WCC000
27,45,27->45,16.0,2.5,6.4,4,declared_split,5,declared_merge,2,2,True,True,False,,27<->45,1,27->45,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,True,SCC012,24,SCC023,1,WCC000
28,29,28->29,13.0,2.5,5.2,4,declared_split,5,declared_merge,2,2,True,True,False,,28<->29,1,28->29,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,False,SCC012,24,SCC012,24,WCC000
28,47,28->47,10.0,2.5,4.0,4,declared_split,2,goal,2,2,True,True,False,,28<->47,1,28->47,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,False,SCC012,24,SCC024,1,WCC000
29,30,29->30,6.0,2.5,2.4,5,declared_merge,5,declared_merge,1,2,False,True,False,,29<->30,1,29->30,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,False,SCC012,24,SCC012,24,WCC000
30,31,30->31,4.0,2.5,1.6,5,declared_merge,4,declared_split,1,1,False,False,False,,30<->31,1,30->31,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,False,SCC012,24,SCC012,24,WCC000
31,32,31->32,4.0,2.5,1.6,4,declared_split,4,declared_split,2,1,True,False,False,,31<->32,1,31->32,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,False,SCC012,24,SCC012,24,WCC000
31,43,31->43,40.0,2.5,16.0,4,declared_split,5,declared_merge,2,2,True,True,False,,31<->43,1,31->43,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,False,SCC012,24,SCC012,24,WCC000
32,33,32->33,28.0,2.5,11.2,4,declared_split,4,declared_split,2,1,True,False,False,,32<->33,1,32->33,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,False,SCC012,24,SCC012,24,WCC000
32,37,32->37,37.0,2.5,14.8,4,declared_split,5,declared_merge,2,2,True,True,False,,32<->37,1,32->37,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,True,SCC012,24,SCC021,1,WCC000
33,34,33->34,22.0,2.5,8.8,4,declared_split,4,declared_split,2,1,True,False,False,,33<->34,1,33->34,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,False,SCC012,24,SCC012,24,WCC000
33,44,33->44,24.0,2.5,9.6,4,declared_split,5,declared_merge,2,2,True,True,False,,33<->44,1,33->44,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,True,SCC012,24,SCC022,1,WCC000
34,12,34->12,29.0,2.5,11.6,4,declared_split,5,declared_merge,2,2,True,True,False,,12<->34,1,34->12,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,False,SCC012,24,SCC012,24,WCC000
34,35,34->35,19.0,2.5,7.6,4,declared_split,5,declared_merge,2,2,True,True,False,,34<->35,1,34->35,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,True,SCC012,24,SCC020,1,WCC000
35,51,35->51,10.0,2.5,4.0,5,declared_merge,2,goal,1,1,False,False,False,,35<->51,1,35->51,False,NO_REVERSE_EDGE_TO_ALIAS,True,True,False,SCC020,1,SCC028,1,WCC000
36,38,36->38,32.0,2.5,12.8,4,declared_split,4,declared_split,2,1,True,False,False,,36<->38,1,36->38,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,False,SCC012,24,SCC012,24,WCC000
36,44,36->44,19.0,2.5,7.6,4,declared_split,5,declared_merge,2,2,True,True,False,,36<->44,1,36->44,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,True,SCC012,24,SCC022,1,WCC000
37,49,37->49,290.0,2.5,116.0,5,declared_merge,2,goal,1,1,False,False,False,,37<->49,1,37->49,False,NO_REVERSE_EDGE_TO_ALIAS,True,True,False,SCC021,1,SCC026,1,WCC000
38,37,38->37,32.0,2.5,12.8,4,declared_split,5,declared_merge,2,2,True,True,False,,37<->38,1,38->37,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,True,SCC012,24,SCC021,1,WCC000
38,39,38->39,21.0,2.5,8.4,4,declared_split,4,declared_split,2,1,True,False,False,,38<->39,1,38->39,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,False,SCC012,24,SCC012,24,WCC000
39,40,39->40,14.0,2.5,5.6,4,declared_split,5,declared_merge,2,2,True,True,False,,39<->40,1,39->40,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,False,SCC012,24,SCC012,24,WCC000
39,47,39->47,10.0,2.5,4.0,4,declared_split,2,goal,2,2,True,True,False,,39<->47,1,39->47,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,False,SCC012,24,SCC024,1,WCC000
40,41,40->41,4.0,2.5,1.6,5,declared_merge,4,declared_split,1,1,False,False,False,,40<->41,1,40->41,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,False,SCC012,24,SCC012,24,WCC000
41,42,41->42,26.0,2.5,10.4,4,declared_split,4,declared_split,2,1,True,False,False,,41<->42,1,41->42,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,False,SCC012,24,SCC012,24,WCC000
41,45,41->45,24.0,2.5,9.6,4,declared_split,5,declared_merge,2,2,True,True,False,,41<->45,1,41->45,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,True,SCC012,24,SCC023,1,WCC000
42,25,42->25,10.0,2.5,4.0,4,declared_split,5,declared_merge,2,2,True,True,False,,25<->42,1,42->25,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,False,SCC012,24,SCC012,24,WCC000
42,30,42->30,33.0,2.5,13.2,4,declared_split,5,declared_merge,2,2,True,True,False,,30<->42,1,42->30,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,False,SCC012,24,SCC012,24,WCC000
43,15,43->15,8.0,2.5,3.2,5,declared_merge,5,declared_merge,1,2,False,True,False,,15<->43,1,43->15,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,False,SCC012,24,SCC012,24,WCC000
44,50,44->50,370.0,2.5,148.0,5,declared_merge,2,goal,1,1,False,False,False,,44<->50,1,44->50,False,NO_REVERSE_EDGE_TO_ALIAS,True,True,False,SCC022,1,SCC027,1,WCC000
45,48,45->48,450.0,2.5,180.0,5,declared_merge,2,goal,1,1,False,False,False,,45<->48,1,45->48,False,NO_REVERSE_EDGE_TO_ALIAS,True,True,False,SCC023,1,SCC025,1,WCC000
46,35,46->35,27.0,2.5,10.8,4,declared_split,5,declared_merge,2,2,True,True,False,,35<->46,1,46->35,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,True,SCC012,24,SCC020,1,WCC000
46,36,46->36,37.0,2.5,14.8,4,declared_split,4,declared_split,2,1,True,False,False,,36<->46,1,46->36,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,False,SCC012,24,SCC012,24,WCC000
52,29,52->29,10.0,2.5,4.0,1,source,5,declared_merge,2,2,True,True,False,,29<->52,1,52->29,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,False,SCC029,1,SCC012,24,WCC000
52,40,52->40,10.0,2.5,4.0,1,source,5,declared_merge,2,2,True,True,False,,40<->52,1,52->40,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,False,SCC029,1,SCC012,24,WCC000
53,20,53->20,10.0,2.5,4.0,1,source,4,declared_split,1,1,False,False,False,,20<->53,1,53->20,False,NO_REVERSE_EDGE_TO_ALIAS,True,False,True,SCC030,1,SCC017,1,WCC000
