execution,runtime_bag_id,task_id,segment_id,release_time,finish_time,deadline,completed,failed,failure_reason,tth_seconds,deadline_miss,decision_count,retry_count,junction_queue_wait_seconds,merge_grant_wait_seconds
off,4303,2339,2339:storage_out,24000.0,24222.402,26700.0,True,False,,222.40199999999822,False,7,3,23.75,0.75
off,4304,2340,2340:storage_in,20295.61682,20446.477899999994,29700.0,True,False,,150.86107999999513,False,9,5,100.85907999999836,1.8499999999985448
off,4305,2340,2340:storage_out,27000.0,27195.902,29700.0,True,False,,195.90199999999822,False,7,3,7.5,0.75
off,4306,2341,2341:storage_in,20296.51661,20409.811039999997,29100.0,True,False,,113.2944299999981,False,8,11,67.89242999999988,56.892220000001544
off,4307,2341,2341:storage_out,26400.0,26584.902,29100.0,True,False,,184.90199999999822,False,6,3,27.25,0.75
off,4308,2342,2342:direct,20298.55131,20503.553309999992,24900.0,True,False,,205.00199999999313,False,9,4,1.0,1.0
off,4309,2343,2343:storage_in,20298.80001,20435.572619999995,29100.0,True,False,,136.77260999999635,False,9,49,86.77060999999958,25.928390000000945
off,4310,2343,2343:storage_out,26400.0,26585.902,29100.0,True,False,,185.90199999999822,False,6,3,27.25,0.75
off,4311,2344,2344:storage_in,20300.1371,20349.389099999997,28800.0,True,False,,49.25199999999677,False,8,1,0.25,0.25
off,4312,2344,2344:storage_out,26100.0,26292.902,28800.0,True,False,,192.90199999999822,False,6,3,27.25,0.75
off,4313,2345,2345:storage_in,20300.22912,20352.668819999995,28800.0,True,False,,52.439699999995355,False,7,4,5.637699999999313,0.8499999999985448
off,4314,2345,2345:storage_out,26100.0,26332.902,28800.0,True,False,,232.90199999999822,False,7,3,27.25,0.75
off,4315,2346,2346:direct,20301.52504,20502.527039999997,24900.0,True,False,,201.00199999999677,False,8,0,0.0,0.0
off,4316,2347,2347:storage_in,20302.33893,20410.911039999995,29100.0,True,False,,108.5721099999937,False,7,4,61.77010999999766,0.8499999999985448
off,4317,2347,2347:storage_out,26400.0,26638.951999999997,29100.0,True,False,,238.9519999999975,False,4,0,26.5,0.0
off,4318,2348,2348:direct,20302.54349,20519.74549,24600.0,True,False,,217.20200000000114,False,7,0,0.0,0.0
off,4319,2349,2349:direct,20303.64999,20523.139259999993,24000.0,True,False,,219.48926999999094,False,15,14,24.28726999999708,3.349999999998545
off,4320,2350,2350:direct,20304.91816,20506.320159999996,24900.0,True,False,,201.4019999999946,False,8,0,0.0,0.0
off,4321,2351,2351:storage_in,20305.05945,20354.061449999997,26700.0,True,False,,49.00199999999677,False,8,0,0.0,0.0
off,4322,2351,2351:storage_out,24000.0,24236.451999999997,26700.0,True,False,,236.4519999999975,False,4,0,23.0,0.0
off,4323,2352,2352:direct,20307.72612,20528.69474,24600.0,True,False,,220.96861999999965,False,7,13,2.9666199999992386,2.9666199999992386
off,4324,2353,2353:direct,20307.85149,20511.853489999994,24900.0,True,False,,204.00199999999313,False,9,0,0.0,0.0
off,4325,2354,2354:storage_in,20308.19274,20360.194739999995,27600.0,True,False,,52.00199999999677,False,7,15,5.599999999998545,3.599999999998545
off,4326,2354,2354:storage_out,24900.0,25086.902,27600.0,True,False,,186.90199999999822,False,6,0,26.75,0.0
off,4327,2355,2355:direct,20309.20661,20519.539259999994,24000.0,True,False,,210.332649999993,False,13,93,22.33064999999624,22.33064999999624
off,4328,2356,2356:direct,20310.33946,20527.54146,23400.0,True,False,,217.20200000000114,False,7,0,0.0,0.0
off,4329,2357,2357:direct,20313.05956,20533.66156,24600.0,True,False,,220.60199999999895,False,8,0,0.0,0.0
off,4330,2358,2358:storage_in,20313.44145,20359.043449999997,27600.0,True,False,,45.60199999999895,False,7,0,0.0,0.0
off,4331,2358,2358:storage_out,24900.0,25087.902,27600.0,True,False,,187.90199999999822,False,6,3,26.75,0.75
off,4332,2359,2359:direct,20314.50199,20515.903989999995,24600.0,True,False,,201.4019999999946,False,8,0,0.0,0.0
off,4333,2360,2360:direct,20315.50271,20521.004709999994,24600.0,True,False,,205.50199999999313,False,9,6,1.5,1.5
off,4334,2361,2361:storage_in,20315.72626,20363.128259999998,25200.0,True,False,,47.401999999998225,False,7,4,1.0,1.0
off,4335,2361,2361:storage_out,22500.0,22828.701999999997,25200.0,True,False,,328.7019999999975,False,4,3,24.0,0.75
off,4336,2362,2362:storage_in,20316.01124,20365.013239999997,26700.0,True,False,,49.00199999999677,False,8,0,0.0,0.0
off,4337,2362,2362:storage_out,24000.0,24237.451999999997,26700.0,True,False,,237.4519999999975,False,4,3,23.75,0.75
off,4338,2363,2363:storage_in,20316.24035,20368.59411,26400.0,True,False,,52.35375999999815,False,8,13,3.351760000001377,2.580870000001596
off,4339,2363,2363:storage_out,23700.0,23989.902,26400.0,True,False,,289.9019999999982,False,6,3,26.75,0.75
off,4340,2364,2364:direct,20317.16861,20529.48925999999,24000.0,True,False,,212.32064999999056,False,15,7,17.118649999996705,1.75
off,4341,2365,2365:direct,20318.87238,20519.874379999997,24600.0,True,False,,201.00199999999677,False,8,0,0.0,0.0
off,4342,2366,2366:storage_in,20318.91316,20370.694109999997,27300.0,True,False,,51.780949999996665,False,7,12,5.37894999999844,2.7630999999964843
off,4343,2366,2366:storage_out,24600.0,24772.402,27300.0,True,False,,172.40199999999822,False,6,3,20.25,0.75
off,4344,2367,2367:storage_in,20320.89574,20366.49774,29400.0,True,False,,45.60199999999895,False,7,0,0.0,0.0
off,4345,2367,2367:storage_out,26700.0,26876.402,29400.0,True,False,,176.40199999999822,False,6,3,23.25,0.75
off,4346,2368,2368:storage_in,20321.19211,20369.59411,26700.0,True,False,,48.401999999998225,False,7,6,2.0,1.5
off,4347,2368,2368:storage_out,24000.0,24238.451999999997,26700.0,True,False,,238.4519999999975,False,4,3,24.0,0.75
off,4348,2369,2369:storage_in,20321.45829,20367.49774,27300.0,True,False,,46.039450000000215,False,7,1,0.4374500000012631,0.0
off,4349,2369,2369:storage_out,24600.0,24773.402,27300.0,True,False,,173.40199999999822,False,6,3,21.0,0.75
off,4350,2370,2370:direct,20321.64233,20523.294329999993,24600.0,True,False,,201.6519999999946,False,8,1,0.25,0.25
off,4351,2371,2371:direct,20322.3166,20528.48925999999,24000.0,True,False,,206.1726599999929,False,13,22,18.170659999996133,5.303219999997964
off,4352,2372,2372:storage_in,20323.67302,20374.425019999995,26400.0,True,False,,50.75199999999677,False,8,7,1.75,1.75
off,4353,2372,2372:storage_out,23700.0,23990.902,26400.0,True,False,,290.9019999999982,False,6,3,26.75,0.75
off,4354,2373,2373:direct,20324.82153,20526.223529999996,24600.0,True,False,,201.4019999999946,False,8,0,0.0,0.0
off,4355,2374,2374:storage_in,20325.98404,20390.429549999997,27000.0,True,False,,64.44550999999774,False,10,13,11.843510000002425,2.9402900000059162
off,4356,2374,2374:storage_out,24300.0,24544.402,27000.0,True,False,,244.40199999999822,False,7,0,23.75,0.0
off,4357,2375,2375:direct,20326.22909,20515.981089999997,24000.0,True,False,,189.75199999999677,False,12,3,0.75,0.75
off,4358,2376,2376:direct,20326.678,20543.88,24600.0,True,False,,217.20200000000114,False,7,0,0.0,0.0
off,4359,2377,2377:storage_in,20326.77454,20375.776539999995,27300.0,True,False,,49.00199999999677,False,8,0,0.0,0.0
off,4360,2377,2377:storage_out,24600.0,24774.402,27300.0,True,False,,174.40199999999822,False,6,3,21.75,0.75
off,4361,2378,2378:storage_in,20327.47063,20388.056059999995,25200.0,True,False,,60.58542999999554,False,7,5,13.783429999999498,0.916800000002695
off,4362,2378,2378:storage_out,22500.0,22829.701999999997,25200.0,True,False,,329.7019999999975,False,4,3,24.25,0.75
off,4363,2379,2379:storage_in,20328.87404,20403.644989999997,28500.0,True,False,,74.77094999999827,False,8,17,29.36895000000004,4.029590000001917
off,4364,2379,2379:storage_out,25800.0,26025.652,28500.0,True,False,,225.65199999999822,False,7,3,23.25,0.75
off,4365,2380,2380:storage_in,20329.21,20378.211999999996,26700.0,True,False,,49.00199999999677,False,8,0,0.0,0.0
off,4366,2380,2380:storage_out,24000.0,24239.451999999997,26700.0,True,False,,239.4519999999975,False,4,3,24.75,0.75
off,4367,2381,2381:direct,20329.48784,20530.876039999996,24000.0,True,False,,201.38819999999396,False,8,1,0.38619999999718857,0.0
off,4368,2382,2382:storage_in,20330.13726,20389.23925999999,27000.0,True,False,,59.101999999991676,False,7,4,12.299999999995634,0.9331999999958498
off,4369,2382,2382:storage_out,24300.0,24558.951999999997,27000.0,True,False,,258.9519999999975,False,4,2,23.5,0.5
off,4370,2383,2383:storage_in,20331.32672,20408.811039999997,28500.0,True,False,,77.48431999999593,False,9,18,27.482319999999163,4.316050000001269
off,4371,2383,2383:storage_out,25800.0,26026.652,28500.0,True,False,,226.65199999999822,False,7,3,23.25,0.75
off,4372,2384,2384:storage_in,20331.94515,20379.347149999998,26700.0,True,False,,47.401999999998225,False,7,4,1.0,1.0
off,4373,2384,2384:storage_out,24000.0,24240.451999999997,26700.0,True,False,,240.4519999999975,False,4,3,25.0,0.75
off,4374,2385,2385:storage_in,20334.00071,20392.779549999996,27000.0,True,False,,58.7788399999954,False,10,13,6.176840000000084,3.053349999998318
off,4375,2385,2385:storage_out,24300.0,24545.402,27000.0,True,False,,245.40199999999822,False,7,0,22.75,0.0
off,4376,2386,2386:direct,20335.45406,20536.856059999995,24600.0,True,False,,201.4019999999946,False,8,0,0.0,0.0
off,4377,2387,2387:direct,20336.87404,20537.876039999996,24600.0,True,False,,201.00199999999677,False,8,0,0.0,0.0
off,4378,2388,2388:storage_in,20336.89561,20382.49761,29400.0,True,False,,45.60199999999895,False,7,0,0.0,0.0
off,4379,2388,2388:storage_out,26700.0,26877.402,29400.0,True,False,,177.40199999999822,False,6,3,24.0,0.75
off,4380,2389,2389:storage_in,20337.20988,20383.49761,32400.0,True,False,,46.28773000000001,False,7,1,0.6857300000010582,0.0
off,4381,2389,2389:storage_out,29700.0,29899.201999999997,32400.0,True,False,,199.2019999999975,False,4,2,0.5,0.5
off,4382,2390,2390:storage_in,20337.5737,20384.7257,26400.0,True,False,,47.151999999998225,False,7,3,0.75,0.75
off,4383,2390,2390:storage_out,23700.0,23991.902,26400.0,True,False,,291.9019999999982,False,6,3,26.75,0.75
off,4384,2391,2391:direct,20338.53999,20545.041989999994,24600.0,True,False,,206.50199999999313,False,9,7,2.5,2.5
off,4385,2392,2392:direct,20338.66522,20544.041989999994,24000.0,True,False,,205.3767699999953,False,9,3,1.3747700000021723,0.5
off,4386,2393,2393:direct,20339.50271,20540.904709999995,24600.0,True,False,,201.4019999999946,False,8,0,0.0,0.0
off,4387,2394,2394:direct,20341.93567,20542.937669999996,24600.0,True,False,,201.00199999999677,False,8,0,0.0,0.0
off,4388,2395,2395:storage_in,20342.0007,20398.265399999997,27000.0,True,False,,56.26469999999608,False,10,12,3.6627000000007683,2.6627000000007683
off,4389,2395,2395:storage_out,24300.0,24546.402,27000.0,True,False,,246.40199999999822,False,7,3,22.75,0.75
off,4390,2396,2396:storage_in,20342.67367,20391.675669999997,28800.0,True,False,,49.00199999999677,False,8,0,0.0,0.0
off,4391,2396,2396:storage_out,26100.0,26346.951999999997,28800.0,True,False,,246.9519999999975,False,4,0,27.25,0.0
off,4392,2397,2397:storage_in,20344.52755,20400.365399999995,27900.0,True,False,,55.83784999999625,False,8,14,10.435849999998027,7.335849999999482
off,4393,2397,2397:storage_out,25200.0,25403.402,27900.0,True,False,,203.40199999999822,False,7,3,14.25,0.75
off,4394,2398,2398:storage_in,20345.00632,20394.008319999997,27300.0,True,False,,49.00199999999677,False,8,0,0.0,0.0
off,4395,2398,2398:storage_out,24600.0,24775.402,27300.0,True,False,,175.40199999999822,False,6,3,22.5,0.75
off,4396,2399,2399:storage_in,20345.32994,20397.191989999996,26700.0,True,False,,51.86204999999609,False,9,8,1.860049999999319,1.860049999999319
off,4397,2399,2399:storage_out,24000.0,24226.902,26700.0,True,False,,226.90199999999822,False,7,0,24.25,0.0
off,4398,2400,2400:storage_in,20347.5134,20399.272649999995,27000.0,True,False,,51.75924999999552,False,9,4,1.7572499999987485,0.7572499999987485
off,4399,2400,2400:storage_out,24300.0,24547.402,27000.0,True,False,,247.40199999999822,False,7,3,23.5,0.75
off,4400,2401,2401:direct,20347.72615,20566.75893,24900.0,True,False,,219.03278000000137,False,7,5,1.0307800000009593,1.0307800000009593
off,4401,2402,2402:storage_in,20348.00693,20396.158929999998,34200.0,True,False,,48.151999999998225,False,7,3,1.75,0.75
off,4402,2402,2402:storage_out,31500.0,31698.201999999997,34200.0,True,False,,198.2019999999975,False,4,0,0.0,0.0
off,4403,2403,2403:storage_in,20350.04299,20402.644989999997,27000.0,True,False,,52.601999999995314,False,10,0,0.0,0.0
off,4404,2403,2403:storage_out,24300.0,24548.402,27000.0,True,False,,248.40199999999822,False,7,3,23.75,0.75
off,4405,2404,2404:storage_in,20352.22065,20443.277899999997,29100.0,True,False,,91.05724999999802,False,7,20,44.25525000000198,7.455280000001949
off,4406,2404,2404:storage_out,26400.0,26625.902,29100.0,True,False,,225.90199999999822,False,7,2,27.0,0.5
off,4407,2405,2405:storage_in,20355.20904,20444.377899999996,29400.0,True,False,,89.16885999999431,False,10,4,36.566859999999,0.8499999999985448
off,4408,2405,2405:storage_out,26700.0,26917.402,29400.0,True,False,,217.40199999999822,False,7,3,24.75,0.75
off,4409,2406,2406:storage_in,20356.01122,20401.61322,27600.0,True,False,,45.60199999999895,False,7,0,0.0,0.0
off,4410,2406,2406:storage_out,24900.0,25140.951999999997,27600.0,True,False,,240.9519999999975,False,4,0,26.0,0.0
off,4411,2407,2407:storage_in,20358.18278,20404.744989999996,26400.0,True,False,,46.56220999999641,False,8,5,1.1602099999981874,1.1602099999981874
off,4412,2407,2407:storage_out,23700.0,24031.902,26400.0,True,False,,331.9019999999982,False,7,3,26.75,0.75
off,4413,2408,2408:direct,20361.00617,20578.20817,24900.0,True,False,,217.20200000000114,False,7,0,0.0,0.0
off,4414,2409,2409:storage_in,20361.47024,20407.60817,27600.0,True,False,,46.13793000000078,False,7,1,0.5359300000018266,0.0
off,4415,2409,2409:storage_out,24900.0,25088.902,27600.0,True,False,,188.90199999999822,False,6,2,25.75,0.5
off,4416,2410,2410:storage_in,20361.57704,20451.827899999993,29700.0,True,False,,90.25085999999283,False,9,21,40.24885999999606,5.099999999998545
off,4417,2410,2410:storage_out,27000.0,27196.902,29700.0,True,False,,196.90199999999822,False,7,3,8.25,0.75
off,4418,2411,2411:direct,20364.00705,20584.60905,24600.0,True,False,,220.60199999999895,False,8,0,0.0,0.0
off,4419,2412,2412:storage_in,20364.24657,20414.009049999997,26400.0,True,False,,49.762479999997595,False,8,1,0.7604800000008254,0.0
off,4420,2412,2412:storage_out,23700.0,23993.902,26400.0,True,False,,293.9019999999982,False,6,3,26.75,0.75
