task_id,raw_bag_id,source_raw_bag_id,segment_count,complete,raw_entry_seconds,deadline_seconds,final_completion_seconds,raw_entry_to_final_seconds,table53_scheduled_interval_seconds,diagnostic_first_admission_to_completion_seconds,on_time
19,19,19,2,true,10691.811150000,24900.000000000,22435.600000000,11743.788850000,462.388850000,458.200000000,true
20,20,20,2,true,10693.103270000,24600.000000000,22182.000000000,11488.896730000,511.296730000,507.200000000,true
21,21,21,2,true,10693.439770000,24600.000000000,22189.400000000,11495.960230000,433.360230000,428.800000000,true
22,22,22,2,true,10810.777650000,23100.000000000,20674.600000000,9863.822350000,512.422350000,508.000000000,true
23,23,23,2,true,11253.845410000,24600.000000000,22087.000000000,10833.154590000,323.954590000,319.000000000,true
24,24,24,2,true,11258.482960000,24900.000000000,22494.800000000,11236.317040000,438.517040000,434.000000000,true
25,25,25,2,true,11270.816360000,24600.000000000,22134.600000000,10863.783640000,472.983640000,467.600000000,true
26,26,26,2,true,11272.334340000,23400.000000000,20860.200000000,9587.865660000,298.865660000,293.600000000,true
27,27,27,2,true,11272.512030000,22200.000000000,19796.400000000,8523.887970000,433.287970000,425.200000000,true
28,28,28,2,true,11271.149590000,22200.000000000,19792.200000000,8521.050410000,435.850410000,427.400000000,true
29,29,29,2,true,11276.439820000,24600.000000000,22247.800000000,10971.360180000,591.960180000,586.200000000,true
30,30,30,2,true,11275.667460000,24600.000000000,22082.000000000,10806.332540000,413.932540000,407.800000000,true
31,31,31,2,true,11278.144480000,24600.000000000,22201.400000000,10923.255520000,536.855520000,530.400000000,true
32,32,32,2,true,11276.773150000,24600.000000000,22178.000000000,10901.226850000,421.826850000,415.000000000,true
33,33,33,2,true,11276.439830000,24900.000000000,22510.600000000,11234.160170000,557.960170000,552.600000000,true
34,34,34,2,true,11284.639610000,22200.000000000,19707.000000000,8422.360390000,426.160390000,417.200000000,true
35,35,35,2,true,11290.334120000,24900.000000000,22475.600000000,11185.265880000,413.465880000,408.200000000,true
36,36,36,2,true,11285.587810000,23400.000000000,20881.000000000,9595.412190000,406.212190000,400.600000000,true
37,37,37,2,true,11291.000840000,24600.000000000,22204.600000000,10913.599160000,535.799160000,528.400000000,true
38,38,38,2,true,11294.254490000,24900.000000000,22443.600000000,11149.345510000,387.545510000,381.800000000,true
39,39,39,2,true,11295.774240000,24900.000000000,22496.200000000,11200.425760000,518.225760000,512.200000000,true
40,40,40,2,true,11293.144440000,23400.000000000,20943.200000000,9650.055560000,484.055560000,478.000000000,true
41,41,41,2,true,11846.206600000,24000.000000000,21548.800000000,9702.593400000,483.993400000,478.200000000,true
42,42,42,2,true,11850.615530000,24300.000000000,21924.400000000,10073.784470000,562.384470000,557.800000000,true
43,43,43,2,true,11861.149620000,24000.000000000,21556.200000000,9695.050380000,393.050380000,387.000000000,true
44,44,44,2,true,11868.948900000,22200.000000000,19798.800000000,7929.851100000,442.451100000,433.200000000,true
45,45,45,2,true,11875.811150000,24900.000000000,22450.800000000,10574.988850000,485.788850000,479.200000000,true
46,46,46,2,true,11874.948810000,23100.000000000,20681.400000000,8806.451190000,519.251190000,514.400000000,true
47,47,47,2,true,11874.587810000,24600.000000000,22220.800000000,10346.212190000,464.612190000,457.000000000,true
48,48,48,2,true,11881.103190000,25200.000000000,22815.200000000,10934.096810000,454.896810000,450.800000000,true
49,49,49,2,true,11876.271150000,24000.000000000,21528.600000000,9652.328850000,472.728850000,466.200000000,true
50,50,50,2,true,11879.921100000,24000.000000000,21577.200000000,9697.278900000,511.678900000,504.800000000,true
51,51,51,2,true,11884.334180000,24600.000000000,22213.800000000,10329.465820000,535.465820000,527.400000000,true
52,52,52,2,true,11883.604490000,25200.000000000,22693.400000000,10809.795510000,337.395510000,332.800000000,true
53,53,53,2,true,11887.972960000,25200.000000000,22678.600000000,10790.627040000,399.027040000,394.200000000,true
54,54,54,2,true,11892.477820000,25200.000000000,22670.600000000,10778.122180000,414.722180000,409.400000000,true
55,55,55,2,true,11905.254500000,24900.000000000,22453.600000000,10548.345500000,491.545500000,484.600000000,true
56,56,56,2,true,12017.072400000,25200.000000000,22700.800000000,10683.727600000,338.727600000,333.000000000,true
57,57,57,2,true,12452.149650000,22200.000000000,19808.600000000,7356.450350000,445.450350000,435.800000000,true
58,58,58,2,true,12463.954950000,24600.000000000,22111.600000000,9647.645050000,355.245050000,346.800000000,true
59,59,59,2,true,12466.773150000,24600.000000000,22213.600000000,9746.826850000,540.226850000,531.400000000,true
60,60,60,2,true,12463.948790000,22200.000000000,19806.600000000,7342.651210000,545.251210000,535.200000000,true
61,61,61,2,true,12469.334110000,24900.000000000,22504.400000000,10035.065890000,532.265890000,525.000000000,true
62,62,62,2,true,12470.621640000,24900.000000000,22511.800000000,10041.178360000,451.578360000,443.800000000,true
63,63,63,2,true,12475.811160000,24900.000000000,22538.200000000,10062.388840000,482.188840000,474.000000000,true
64,64,64,2,true,12476.639770000,24600.000000000,22103.400000000,9626.760230000,436.960230000,427.600000000,true
65,65,65,2,true,12478.937770000,24900.000000000,22463.200000000,9984.262230000,507.262230000,498.800000000,true
66,66,66,2,true,12472.436550000,25800.000000000,23305.400000000,10832.963450000,344.963450000,340.800000000,true
67,67,67,2,true,12481.587820000,26400.000000000,23929.400000000,11447.812180000,452.012180000,448.000000000,true
68,68,68,2,true,12482.103180000,24600.000000000,22221.200000000,9739.096820000,546.496820000,536.800000000,true
69,69,69,2,true,12479.667420000,24900.000000000,22499.200000000,10019.532580000,520.532580000,511.600000000,true
70,70,70,2,true,12485.106480000,23400.000000000,20940.400000000,8455.293520000,384.293520000,377.800000000,true
71,71,71,2,true,12484.306200000,25800.000000000,23382.600000000,10898.293800000,420.493800000,416.000000000,true
72,72,72,2,true,12481.604480000,23400.000000000,20889.400000000,8407.795520000,433.595520000,426.600000000,true
73,73,73,2,true,12492.972990000,22200.000000000,19721.400000000,7228.427010000,444.227010000,433.800000000,true
74,74,74,2,true,12494.439820000,24600.000000000,22272.600000000,9778.160180000,598.960180000,588.800000000,true
75,75,75,2,true,12487.774170000,23400.000000000,20879.800000000,8392.025830000,405.425830000,398.200000000,true
76,76,76,2,true,12495.921410000,24600.000000000,22200.000000000,9704.078590000,443.878590000,433.400000000,true
77,77,77,2,true,12624.000810000,24600.000000000,22177.000000000,9552.999190000,420.799190000,409.800000000,true
78,78,78,2,true,13046.649940000,24000.000000000,21560.200000000,8513.550060000,508.750060000,501.400000000,true
79,79,79,2,true,13051.282150000,26400.000000000,23943.200000000,10891.917850000,481.117850000,476.600000000,true
80,80,80,2,true,13046.161780000,26400.000000000,23922.600000000,10876.438220000,469.238220000,464.400000000,true
81,81,81,2,true,13052.845280000,26400.000000000,23913.800000000,10860.954720000,350.754720000,345.400000000,true
82,82,82,2,true,13052.059440000,24600.000000000,22238.000000000,9185.940560000,477.340560000,466.000000000,true
83,83,83,2,true,13053.288280000,22200.000000000,19812.000000000,6758.711720000,455.711720000,444.800000000,true
84,84,84,2,true,13057.845400000,24000.000000000,21573.000000000,8515.154600000,512.754600000,505.000000000,true
85,85,85,2,true,13056.106490000,24000.000000000,21587.600000000,8531.493510000,522.693510000,514.600000000,true
86,86,86,2,true,13065.512170000,26400.000000000,23948.800000000,10883.287830000,385.687830000,380.000000000,true
87,87,87,2,true,13064.178690000,24300.000000000,21930.800000000,8866.621310000,475.621310000,470.800000000,true
88,88,88,2,true,13063.439830000,25200.000000000,22679.400000000,9615.960170000,323.360170000,317.200000000,true
89,89,89,2,true,13072.845380000,23100.000000000,20679.800000000,7606.954620000,518.954620000,513.600000000,true
90,90,90,2,true,13069.937820000,25200.000000000,22706.400000000,9636.462180000,445.262180000,438.800000000,true
91,91,91,2,true,13070.436700000,25200.000000000,22690.200000000,9619.763300000,330.363300000,323.400000000,true
92,92,92,2,true,13075.495160000,27000.000000000,24495.600000000,11420.104840000,422.304840000,418.200000000,true
93,93,93,2,true,13080.921160000,26700.000000000,24303.200000000,11222.278840000,447.078840000,443.000000000,true
94,94,94,2,true,13081.440860000,25200.000000000,22826.600000000,9745.159140000,555.559140000,548.200000000,true
95,95,95,2,true,13073.604480000,24600.000000000,22239.600000000,9165.995520000,581.195520000,569.400000000,true
96,96,96,2,true,13083.000750000,25200.000000000,22712.400000000,9629.399250000,446.199250000,438.400000000,true
97,97,97,2,true,13086.477820000,24000.000000000,21538.000000000,8451.522180000,465.122180000,456.600000000,true
98,98,98,2,true,13087.769760000,26400.000000000,23901.800000000,10814.030240000,341.230240000,335.200000000,true
99,99,99,2,true,13082.106440000,26400.000000000,23943.000000000,10860.893560000,390.493560000,384.000000000,true
100,100,100,2,true,13089.436510000,26700.000000000,24303.200000000,11213.763490000,535.363490000,530.800000000,true
101,101,101,2,true,13085.773140000,26400.000000000,23998.000000000,10912.226860000,538.826860000,532.000000000,true
102,102,102,2,true,13085.107570000,24600.000000000,22235.800000000,9150.692430000,557.692430000,545.600000000,true
103,103,103,2,true,13090.144480000,24900.000000000,22470.400000000,9380.255520000,499.455520000,490.200000000,true
104,104,104,2,true,13105.434500000,24600.000000000,22245.000000000,9139.565500000,481.965500000,469.400000000,true
105,105,105,2,true,13227.072210000,26700.000000000,24157.400000000,10930.327790000,301.327790000,296.400000000,true
106,106,106,2,true,13378.992270000,22200.000000000,19724.200000000,6345.207730000,342.007730000,330.800000000,true
107,107,107,2,true,13381.081340000,22200.000000000,19732.200000000,6351.118660000,351.718660000,340.000000000,true
108,108,108,2,true,13422.309020000,22200.000000000,19814.800000000,6392.490980000,446.890980000,434.800000000,true
109,109,109,2,true,13423.399190000,22200.000000000,19821.400000000,6398.000810000,456.200810000,443.800000000,true
110,110,110,2,true,13437.288050000,22200.000000000,19828.600000000,6391.311950000,641.311950000,628.400000000,true
111,111,111,2,true,13441.408440000,22200.000000000,19831.000000000,6389.591560000,637.191560000,623.800000000,true
112,112,112,2,true,13439.708990000,22200.000000000,19833.400000000,6393.691010000,637.491010000,623.800000000,true
113,113,113,2,true,13449.799170000,22200.000000000,19835.800000000,6386.000830000,639.800830000,625.800000000,true
114,114,114,2,true,13470.857800000,22200.000000000,19834.200000000,6363.342200000,466.342200000,451.800000000,true
115,115,115,2,true,13476.524450000,22200.000000000,19749.000000000,6272.475550000,366.875550000,352.000000000,true
116,116,116,2,true,13524.562470000,22200.000000000,19851.600000000,6327.037530000,661.637530000,646.400000000,true
117,117,117,2,true,13628.337190000,22200.000000000,19846.800000000,6218.462810000,652.462810000,636.800000000,true
118,118,118,2,true,13637.178850000,24600.000000000,22148.000000000,8510.821150000,384.821150000,372.000000000,true
119,119,119,2,true,13653.149660000,24900.000000000,22526.200000000,8873.050340000,472.250340000,462.600000000,true
120,120,120,2,true,13653.816160000,27300.000000000,24795.600000000,11141.783840000,433.783840000,429.600000000,true
121,121,121,2,true,13651.482990000,22200.000000000,19849.200000000,6197.717010000,486.117010000,470.000000000,true
122,122,122,2,true,13657.149590000,22200.000000000,19854.000000000,6196.850410000,498.850410000,482.400000000,true
123,123,123,2,true,13655.921150000,27000.000000000,24498.400000000,10842.478850000,441.478850000,437.000000000,true
124,124,124,2,true,13657.954910000,27300.000000000,24878.600000000,11220.645090000,516.445090000,512.000000000,true
125,125,125,2,true,13664.334100000,27000.000000000,24627.000000000,10962.665900000,466.265900000,461.400000000,true
126,126,126,2,true,13659.482910000,27000.000000000,24578.200000000,10918.717090000,415.117090000,409.800000000,true
127,127,127,2,true,13661.811160000,26400.000000000,23945.000000000,10283.188840000,480.588840000,473.200000000,true
128,128,128,2,true,13661.972910000,22200.000000000,19768.600000000,6106.627090000,494.627090000,477.800000000,true
129,129,129,2,true,13663.178730000,22200.000000000,19853.800000000,6190.621270000,497.421270000,480.200000000,true
130,130,130,2,true,13666.667510000,25800.000000000,23310.200000000,9643.532490000,437.132490000,432.200000000,true
131,131,131,2,true,13669.845500000,24600.000000000,22192.200000000,8522.354500000,526.954500000,513.600000000,true
132,132,132,2,true,13673.334070000,23400.000000000,20877.000000000,7203.665930000,318.065930000,310.400000000,true
133,133,133,2,true,13665.604500000,23400.000000000,20901.400000000,7235.795500000,345.395500000,337.200000000,true
134,134,134,2,true,13666.972880000,25800.000000000,23385.000000000,9718.027120000,508.427120000,503.000000000,true
135,135,135,2,true,13672.439820000,24600.000000000,22257.200000000,8584.760180000,598.160180000,584.400000000,true
136,136,136,2,true,13669.774300000,24900.000000000,22508.800000000,8839.025700000,545.225700000,535.200000000,true
137,137,137,2,true,13675.144490000,24600.000000000,22305.000000000,8629.855510000,630.455510000,616.400000000,true
138,138,138,2,true,13672.440830000,24600.000000000,22139.800000000,8467.359170000,379.359170000,364.800000000,true
139,139,139,2,true,13673.597160000,27000.000000000,24499.000000000,10825.402840000,342.802840000,337.200000000,true
140,140,140,2,true,13680.254820000,23400.000000000,20951.800000000,7271.545180000,490.745180000,482.200000000,true
141,141,141,2,true,13678.774170000,27000.000000000,24465.400000000,10786.625830000,389.625830000,383.600000000,true
142,142,142,2,true,13680.334160000,24900.000000000,22519.200000000,8838.865840000,547.465840000,537.000000000,true
143,143,143,2,true,13690.773160000,24900.000000000,22483.200000000,8792.426840000,518.226840000,507.400000000,true
144,144,144,2,true,13693.477810000,24900.000000000,22560.200000000,8866.722190000,505.322190000,494.000000000,true
145,145,145,2,true,13690.770950000,26400.000000000,23950.800000000,10260.029050000,396.229050000,388.600000000,true
146,146,146,2,true,13704.254500000,24900.000000000,22486.000000000,8781.745500000,523.945500000,512.200000000,true
147,147,147,2,true,13835.780010000,24600.000000000,22253.400000000,8417.619990000,491.219990000,476.400000000,true
148,148,148,2,true,13851.116160000,24600.000000000,22233.600000000,8382.483840000,577.683840000,562.400000000,true
149,149,149,2,true,14023.088070000,23100.000000000,20685.400000000,6662.311930000,595.511930000,589.800000000,true
150,150,150,2,true,14032.208450000,23100.000000000,20689.400000000,6657.191550000,599.591550000,593.400000000,true
151,151,151,2,true,14065.022470000,23100.000000000,20687.000000000,6621.977530000,597.177530000,590.600000000,true
152,152,152,2,true,14179.651940000,22200.000000000,19859.600000000,5679.948060000,661.348060000,643.600000000,true
153,153,153,2,true,14235.845400000,24300.000000000,21933.200000000,7697.354600000,470.154600000,464.800000000,true
154,154,154,2,true,14234.483030000,27600.000000000,25126.400000000,10891.916970000,370.116970000,366.000000000,true
155,155,155,2,true,14243.948720000,22200.000000000,19865.800000000,5621.851280000,604.851280000,586.800000000,true
156,156,156,2,true,14243.483030000,22200.000000000,19868.200000000,5624.716970000,505.716970000,487.200000000,true
157,157,157,2,true,14255.666600000,24000.000000000,21571.200000000,7315.533400000,409.133400000,400.200000000,true
158,158,158,2,true,14258.178720000,22200.000000000,19868.600000000,5610.421280000,512.221280000,493.400000000,true
159,159,159,2,true,14252.254490000,24000.000000000,21599.600000000,7347.345510000,532.545510000,523.200000000,true
160,160,160,2,true,14261.501930000,28200.000000000,25781.000000000,11519.498070000,517.498070000,513.400000000,true
161,161,161,2,true,14261.921160000,27900.000000000,25370.600000000,11108.678840000,314.478840000,310.400000000,true
162,162,162,2,true,14261.948900000,27600.000000000,25143.200000000,10881.251100000,481.051100000,476.600000000,true
163,163,163,2,true,14267.604490000,27900.000000000,25429.200000000,11161.595510000,474.995510000,470.400000000,true
164,164,164,2,true,14260.615440000,26400.000000000,23968.400000000,9707.784560000,405.384560000,397.200000000,true
165,165,165,2,true,14263.972930000,25200.000000000,22695.800000000,8431.827070000,419.427070000,411.400000000,true
166,166,166,2,true,14266.282170000,27600.000000000,25134.800000000,10868.517830000,378.517830000,373.600000000,true
167,167,167,2,true,14271.142780000,26700.000000000,24305.600000000,10034.457220000,540.657220000,535.400000000,true
168,168,168,2,true,14264.769830000,27600.000000000,25082.200000000,10817.430170000,409.030170000,403.800000000,true
169,169,169,2,true,14270.948790000,26400.000000000,23971.200000000,9700.251210000,510.451210000,502.000000000,true
170,170,170,2,true,14266.441480000,26400.000000000,23953.800000000,9687.358520000,398.958520000,390.000000000,true
171,171,171,2,true,14265.334080000,28500.000000000,26101.400000000,11836.065920000,439.465920000,435.400000000,true
172,172,172,2,true,14274.482920000,23100.000000000,20693.800000000,6419.317080000,432.517080000,425.600000000,true
173,173,173,2,true,14267.972920000,26700.000000000,24314.200000000,10046.227080000,547.627080000,542.000000000,true
174,174,174,2,true,14271.708060000,24600.000000000,22266.800000000,7995.091940000,590.291940000,574.600000000,true
175,175,175,2,true,14276.604490000,28500.000000000,26124.000000000,11847.395510000,564.995510000,560.400000000,true
176,176,176,2,true,14283.000970000,25200.000000000,22846.000000000,8562.999030000,483.999030000,475.400000000,true
177,177,177,2,true,14282.254480000,24900.000000000,22498.000000000,8215.745520000,524.345520000,512.200000000,true
178,178,178,2,true,14278.667520000,25200.000000000,22728.400000000,8449.732480000,453.532480000,444.600000000,true
179,179,179,2,true,14287.937810000,26700.000000000,24165.800000000,9877.862190000,309.662190000,303.600000000,true
180,180,180,2,true,14289.436410000,22200.000000000,19779.800000000,5490.363590000,509.563590000,490.200000000,true
181,181,181,2,true,14286.587770000,24000.000000000,21551.000000000,7264.412230000,495.012230000,485.400000000,true
182,182,182,2,true,14284.477820000,24600.000000000,22270.600000000,7986.122180000,597.922180000,581.800000000,true
183,183,183,2,true,14297.144480000,28500.000000000,26016.600000000,11719.455520000,360.455520000,355.600000000,true
184,184,184,2,true,14318.615490000,26400.000000000,23941.800000000,9623.184510000,385.584510000,376.200000000,true
185,185,185,2,true,14324.288240000,24000.000000000,21585.000000000,7260.711760000,522.911760000,512.800000000,true
186,186,186,2,true,14332.439820000,25200.000000000,22701.800000000,8369.360180000,445.960180000,436.600000000,true
187,187,187,2,true,14330.937810000,27600.000000000,25116.600000000,10785.662190000,451.662190000,446.000000000,true
188,188,188,2,true,14335.254490000,27000.000000000,24509.200000000,10173.945510000,353.145510000,346.600000000,true
189,189,189,2,true,14342.106480000,25200.000000000,22728.800000000,8386.693520000,469.693520000,460.000000000,true
190,190,190,2,true,14342.271100000,26400.000000000,24020.000000000,9677.728900000,555.928900000,546.200000000,true
191,191,191,2,true,14419.783550000,26400.000000000,23970.600000000,9550.816450000,418.416450000,408.400000000,true
192,192,192,2,true,14424.470380000,26400.000000000,23929.800000000,9505.329620000,369.129620000,358.600000000,true
193,193,193,2,true,14579.757080000,23400.000000000,20903.400000000,6323.642920000,335.442920000,326.600000000,true
194,194,194,2,true,14582.859010000,23400.000000000,20909.800000000,6326.940990000,342.740990000,333.400000000,true
195,195,195,2,true,14588.192270000,23400.000000000,20891.000000000,6302.807730000,308.807730000,299.200000000,true
196,196,196,2,true,14596.281340000,23400.000000000,20896.600000000,6300.318660000,314.518660000,304.400000000,true
197,197,197,2,true,14597.157080000,23400.000000000,20971.200000000,6374.042920000,581.242920000,570.800000000,true
198,198,198,2,true,14602.259010000,23400.000000000,20974.000000000,6371.740990000,584.740990000,573.800000000,true
199,199,199,2,true,14680.524450000,23400.000000000,20976.800000000,6296.275550000,586.875550000,575.600000000,true
