raw_bag_id,segment_id,start,goal,scheduled_release_seconds
180,1,52,48,19546
181,0,0,47,14287
181,1,52,50,21318
182,0,1,47,14290
182,1,52,50,21944
183,0,2,47,14292
183,1,52,50,26144
184,0,3,47,14318
184,1,52,49,23720
185,0,4,47,14329
185,1,52,49,21319
186,0,0,47,14329
186,1,52,50,23015
187,0,1,47,14331
187,1,52,50,25285
188,0,2,47,14337
188,1,52,50,24612
189,0,0,47,14340
189,1,52,50,23017
190,0,1,47,14345
190,1,52,50,23722
191,0,2,47,14414
191,1,52,50,23723
192,0,4,47,14427
192,1,52,48,23726
193,0,53,47,14577
193,1,52,50,20719
194,0,53,47,14582
194,1,52,50,20721
195,0,53,47,14588
195,1,52,48,20722
196,0,53,47,14593
196,1,52,48,20723
197,0,53,47,14598
197,1,52,50,20724
198,0,53,47,14603
198,1,52,50,20726
199,0,53,47,14681
199,1,52,50,20727
200,0,53,47,14686
200,1,52,48,20729
201,0,53,47,14745
201,1,52,50,20730
202,0,53,47,14792
202,1,52,49,19548
203,0,5,47,14843
203,1,52,49,25058
204,0,3,47,14846
204,1,52,49,21946
205,0,4,47,14849
205,1,52,49,19550
206,0,5,47,14854
206,1,52,49,19551
207,0,2,47,14855
207,1,52,49,27090
208,0,3,47,14857
208,1,52,49,19552
209,0,0,47,14858
209,1,52,50,26146
210,0,5,47,14858
210,1,52,48,20731
211,0,4,47,14859
211,1,52,49,19553
212,0,1,47,14862
212,1,52,50,23728
213,0,3,47,14861
213,1,52,48,19554
214,0,5,47,14862
214,1,52,49,20410
215,0,4,47,14863
215,1,52,48,25871
216,0,2,47,14865
216,1,52,50,24615
217,0,5,47,14866
217,1,52,48,26148
218,0,3,47,14867
218,1,52,49,19556
219,0,0,47,14870
219,1,52,50,22493
220,0,3,47,14869
220,1,52,48,24616
221,0,1,47,14874
221,1,52,50,24619
222,0,4,47,14872
222,1,52,48,25873
223,0,2,47,14873
223,1,52,50,22495
224,0,5,47,14874
224,1,52,48,22496
225,0,5,47,14876
225,1,52,49,19558
226,0,3,47,14877
226,1,52,48,23277
227,0,4,47,14879
227,1,52,48,22498
228,0,5,47,14882
228,1,52,48,23279
229,0,0,47,14885
229,1,52,50,20732
230,0,3,47,14885
230,1,52,48,21947
231,0,1,47,14886
231,1,52,50,21948
232,0,4,47,14888
232,1,52,48,21949
233,0,2,47,14889
233,1,52,50,21951
234,0,0,47,14894
234,1,52,50,20733
235,0,1,47,14894
235,1,52,50,26150
236,0,4,47,14923
236,1,52,49,22500
237,0,5,47,14934
237,1,52,49,24621
238,0,5,47,14941
238,1,52,48,19560
239,0,3,47,14944
239,1,52,48,24626
240,0,0,47,14996
240,1,52,49,25879
241,0,3,47,15006
241,1,52,49,21952
242,0,2,47,15025
242,1,52,50,21953
243,0,4,47,15031
243,1,52,49,25059
244,0,53,47,15177
244,1,52,50,21320
245,0,53,47,15183
245,1,52,50,21322
246,0,53,47,15187
246,1,52,49,21323
247,0,53,47,15193
247,1,52,49,21324
248,0,53,47,15198
248,1,52,50,21326
249,0,53,47,15203
249,1,52,50,21327
250,0,53,47,15222
250,1,52,49,21605
251,0,53,47,15227
251,1,52,49,21606
252,0,53,47,15232
252,1,52,49,21328
253,0,53,47,15237
253,1,52,49,21330
254,0,53,47,15268
254,1,52,49,21332
255,0,53,47,15278
255,1,52,49,21333
256,0,53,47,15286
256,1,52,50,21334
257,0,53,47,15345
257,1,52,50,21336
258,0,53,47,15367
258,1,52,49,21607
259,0,53,47,15392
259,1,52,49,19561
260,0,53,47,15395
260,1,52,49,19562
261,0,5,47,15438
261,1,52,49,21610
262,0,3,47,15441
262,1,52,49,19564
263,0,4,47,15451
263,1,52,49,19566
264,0,1,47,15452
264,1,52,49,25880
265,0,3,47,15454
265,1,52,48,19568
266,0,5,47,15454
266,1,52,49,19570
267,0,0,47,15454
267,1,52,50,27484
268,0,2,47,15455
268,1,52,49,27092
269,0,4,47,15455
269,1,52,48,19571
270,0,1,47,15459
270,1,52,50,26615
271,0,3,47,15459
271,1,52,49,19573
272,0,2,47,15460
272,1,52,50,20734
273,0,0,47,15464
273,1,52,49,21337
274,0,5,47,15461
274,1,52,48,23730
275,0,4,47,15462
275,1,52,49,19575
276,0,0,47,15468
276,1,52,50,22501
277,0,5,47,15465
277,1,52,49,19577
278,0,53,47,15466
278,1,52,48,19578
279,0,3,47,15466
279,1,52,48,23018
280,0,3,47,15468
280,1,52,49,26617
281,0,4,47,15469
281,1,52,48,27094
282,0,1,47,15471
282,1,52,50,26152
283,0,5,47,15472
283,1,52,48,25287
284,0,4,47,15473
284,1,52,49,19579
285,0,2,47,15473
285,1,52,50,21342
286,0,3,47,15474
286,1,52,48,20735
287,0,0,47,15477
287,1,52,50,26618
288,0,4,47,15478
288,1,52,49,19581
289,0,4,47,15480
289,1,52,48,23019
290,0,5,47,15481
290,1,52,49,19583
291,0,1,47,15481
291,1,52,50,23020
292,0,5,47,15483
292,1,52,48,21954
293,0,3,47,15485
293,1,52,48,26620
294,0,2,47,15486
294,1,52,50,27096
295,0,0,47,15489
295,1,52,50,24346
296,0,1,47,15490
296,1,52,50,23732
297,0,1,47,15492
297,1,52,50,23734
298,0,2,47,15498
298,1,52,50,24630
299,0,5,47,15499
299,1,52,49,25289
300,0,3,47,15502
300,1,52,49,26621
301,0,0,47,15503
301,1,52,50,22503
302,0,4,47,15510
302,1,52,49,26622
303,0,5,47,15513
303,1,52,49,23735
304,0,2,47,15513
304,1,52,50,20737
305,0,3,47,15515
305,1,52,49,25293
306,0,4,47,15518
306,1,52,49,23736
307,0,5,47,15521
307,1,52,49,25294
308,0,0,47,15521
308,1,52,50,27097
309,0,1,47,15524
309,1,52,50,23737
310,0,3,47,15526
310,1,52,49,20411
311,0,2,47,15527
311,1,52,50,21344
312,0,4,47,15529
312,1,52,49,20412
313,0,0,47,15531
313,1,52,50,25296
314,0,5,47,15531
314,1,52,49,21346
315,0,1,47,15532
315,1,52,50,23024
316,0,2,47,15534
316,1,52,50,25664
317,0,0,47,15538
317,1,52,50,24348
318,0,1,47,15540
318,1,52,50,26156
319,0,4,47,15541
319,1,52,48,19584
320,0,2,47,15543
320,1,52,50,25666
321,0,5,47,15544
321,1,52,48,24350
322,0,0,47,15548
322,1,52,50,23738
323,0,3,47,15579
323,1,52,49,23740
324,0,1,47,15593
324,1,52,50,24632
325,0,2,47,15598
325,1,52,50,21955
326,0,3,47,15600
326,1,52,48,19585
327,0,4,47,15612
327,1,52,49,19587
328,0,4,47,15627
328,1,52,48,26158
329,0,0,47,15640
329,1,52,50,27099
330,0,5,47,15651
330,1,52,48,23025
331,0,1,47,15707
331,1,52,50,26623
332,0,53,47,15777
332,1,52,50,21957
333,0,53,47,15782
333,1,52,50,21959
334,0,53,47,15788
334,1,52,50,21962
335,0,53,47,15793
335,1,52,50,21964
336,0,53,47,15798
336,1,52,48,21965
337,0,53,47,15803
337,1,52,48,21967
338,0,53,47,15808
338,1,52,48,21970
339,0,53,47,15813
339,1,52,48,21973
340,0,53,47,15818
340,1,52,48,21974
341,0,53,47,15822
341,1,52,49,21975
342,0,53,47,15824
342,1,52,48,21977
343,0,53,47,15827
343,1,52,49,21979
344,0,53,47,15829
344,1,52,50,22504
345,0,53,47,15832
345,1,52,49,22506
346,0,53,47,15834
346,1,52,50,22508
347,0,53,47,15837
347,1,52,49,22510
348,0,53,47,15839
348,1,52,50,22512
349,0,53,47,15842
349,1,52,49,21981
350,0,53,47,15844
350,1,52,50,22513
351,0,53,47,15847
351,1,52,49,21983
352,0,53,47,15849
352,1,52,50,22515
353,0,53,47,15854
353,1,52,50,22517
354,0,53,47,15859
354,1,52,50,22519
355,0,53,47,15864
355,1,52,48,22520
356,0,53,47,15869
356,1,52,48,22521
357,0,53,47,15873
357,1,52,49,22522
358,0,53,47,15875
358,1,52,48,22525
359,0,53,47,15878
359,1,52,50,22526
360,0,53,47,15880
360,1,52,48,22527
361,0,53,47,15883
361,1,52,48,21984
362,0,53,47,15886
362,1,52,50,21986
363,0,53,47,15890
363,1,52,50,21988
364,0,53,47,15895
364,1,52,50,21989
365,0,53,47,15900
365,1,52,50,21990
366,0,53,47,15905
366,1,52,50,22530
367,0,53,47,15910
367,1,52,50,22534
368,0,53,47,15926
368,1,52,49,21991
369,0,53,47,15934
369,1,52,50,22536
370,0,53,47,15940
370,1,52,48,21992
371,0,53,47,15985
371,1,52,49,21993
372,0,53,47,15988
372,1,52,50,22541
373,0,53,47,15990
373,1,52,49,20413
374,0,53,47,15995
374,1,52,49,19589
375,0,53,47,16001
375,1,52,48,21995
376,0,5,47,16038
376,1,52,49,19591
377,0,3,47,16043
377,1,52,49,19593
378,0,53,47,16044
378,1,52,50,21996
379,0,1,47,16044
379,1,52,49,21348
380,0,3,47,16045
380,1,52,48,24633
381,0,4,47,16048
381,1,52,48,19594
382,0,2,47,16050
382,1,52,50,21997
383,0,2,47,16052
383,1,52,49,25882
384,0,0,47,16054
384,1,52,49,27101
385,0,3,47,16054
385,1,52,48,19595
386,0,4,47,16054
386,1,52,49,19596
387,0,5,47,16056
387,1,52,48,19597
388,0,5,47,16058
388,1,52,49,25060
389,0,4,47,16059
389,1,52,49,19599
390,0,0,47,16059
390,1,52,50,27945
391,0,3,47,16061
391,1,52,48,19601
392,0,3,47,16065
392,1,52,49,27485
393,0,53,47,16065
393,1,52,48,22543
394,0,4,47,16069
394,1,52,48,19603
395,0,5,47,16070
395,1,52,49,20415
396,0,4,47,16071
396,1,52,49,21999
397,0,1,47,16070
397,1,52,50,20738
398,0,5,47,16072
398,1,52,48,22544
399,0,5,47,16074
399,1,52,49,24635
400,0,2,47,16073
400,1,52,50,27488
401,0,3,47,16074
401,1,52,48,20739
402,0,0,47,16076
402,1,52,50,20740
403,0,4,47,16077
403,1,52,48,25884
404,0,3,47,16078
404,1,52,49,19605
405,0,1,47,16079
405,1,52,50,20742
406,0,5,47,16079
406,1,52,48,24637
407,0,2,47,16081
407,1,52,50,22001
408,0,3,47,16082
408,1,52,48,20744
409,0,0,47,16086
409,1,52,50,22003
410,0,4,47,16085
410,1,52,48,22006
411,0,1,47,16089
411,1,52,50,22007
412,0,3,47,16099
412,1,52,49,19607
413,0,4,47,16102
413,1,52,49,27490
414,0,2,47,16103
414,1,52,50,24640
415,0,53,47,16106
415,1,52,50,22008
416,0,1,47,16108
416,1,52,50,22545
417,0,5,47,16110
417,1,52,49,27494
418,0,0,47,16113
418,1,52,50,23742
419,0,3,47,16113
419,1,52,49,21611
420,0,1,47,16118
420,1,52,50,26160
421,0,4,47,16118
421,1,52,49,20416
422,0,5,47,16120
422,1,52,48,23281
423,0,5,47,16122
423,1,52,49,20418
424,0,2,47,16121
424,1,52,50,26161
425,0,3,47,16123
425,1,52,49,20419
426,0,53,47,16124
426,1,52,48,22547
427,0,4,47,16126
427,1,52,49,19609
428,0,3,47,16130
428,1,52,48,23283
429,0,5,47,16131
429,1,52,49,19610
430,0,0,47,16131
430,1,52,50,22549
431,0,1,47,16134
431,1,52,50,22550
432,0,4,47,16136
432,1,52,48,26163
433,0,5,47,16138
433,1,52,48,22010
434,0,2,47,16139
434,1,52,50,22552
435,0,3,47,16141
435,1,52,48,25887
436,0,0,47,16142
436,1,52,50,21350
437,0,4,47,16144
437,1,52,48,22553
438,0,1,47,16146
438,1,52,50,27948
439,0,2,47,16148
439,1,52,50,21353
440,0,53,47,16164
440,1,52,50,22555
441,0,3,47,16171
441,1,52,49,22556
442,0,4,47,16174
442,1,52,49,21356
443,0,5,47,16179
443,1,52,49,19612
444,0,3,47,16182
444,1,52,49,27495
445,0,4,47,16185
445,1,52,49,19614
446,0,5,47,16193
446,1,52,49,19616
447,0,3,47,16206
447,1,52,49,19618
448,0,0,47,16209
448,1,52,50,22557
449,0,5,47,16217
449,1,52,48,27949
450,0,53,47,16220
450,1,52,50,22012
451,0,4,47,16228
451,1,52,49,19619
452,0,1,47,16231
452,1,52,50,27497
453,0,5,47,16250
453,1,52,49,25063
454,0,2,47,16254
454,1,52,50,20746
455,0,3,47,16272
455,1,52,49,22014
456,0,3,47,16274
456,1,52,48,22017
457,0,53,47,16281
457,1,52,50,22019
458,0,0,47,16292
458,1,52,50,24642
459,0,4,47,16295
459,1,52,48,27950
460,0,53,47,16377
460,1,52,50,23027
461,0,53,47,16382
461,1,52,50,23029
462,0,53,47,16387
462,1,52,48,23030
463,0,53,47,16393
463,1,52,48,23032
464,0,53,47,16398
464,1,52,48,23034
465,0,53,47,16403
465,1,52,48,23035
466,0,53,47,16408
466,1,52,48,23041
467,0,53,47,16413
467,1,52,48,23043
468,0,53,47,16418
468,1,52,48,19620
469,0,53,47,16422
469,1,52,49,19621
470,0,53,47,16424
470,1,52,49,19622
471,0,53,47,16426
471,1,52,48,19624
472,0,53,47,16428
472,1,52,49,19625
473,0,53,47,16430
473,1,52,49,19626
474,0,53,47,16432
474,1,52,50,23046
475,0,53,47,16434
475,1,52,48,19627
476,0,53,47,16436
476,1,52,49,19628
477,0,53,47,16438
477,1,52,50,23048
478,0,53,47,16440
478,1,52,49,19630
479,0,53,47,16442
479,1,52,49,19632
480,0,53,47,16447
480,1,52,49,19633
481,0,53,47,16473
481,1,52,50,23049
482,0,53,47,16486
482,1,52,48,23051
483,0,53,47,16526
483,1,52,50,23053
484,0,53,47,16529
484,1,52,49,19634
485,0,53,47,16534
485,1,52,49,19636
486,0,53,47,16579
486,1,52,49,19638
487,0,53,47,16588
487,1,52,48,19640
488,0,53,47,16592
488,1,52,49,19642
489,0,53,47,16595
489,1,52,50,20747
490,0,53,47,16597
490,1,52,50,22563
491,0,53,47,16599
491,1,52,48,23054
492,0,53,47,16605
492,1,52,50,22021
493,0,53,47,16608
493,1,52,50,20749
494,0,4,47,16641
494,1,52,49,19644
495,0,5,47,16643
495,1,52,49,19645
496,0,1,47,16644
496,1,52,49,21358
497,0,4,47,16646
497,1,52,48,19647
498,0,1,47,16647
498,1,52,50,21363
499,0,2,47,16647
499,1,52,49,21364
500,0,5,47,16649
500,1,52,48,20750
501,0,53,47,16650
501,1,52,48,23055
502,0,0,47,16650
502,1,52,49,27103
503,0,3,47,16651
503,1,52,48,26164
504,0,3,47,16653
504,1,52,49,19648
505,0,5,47,16653
505,1,52,48,26624
506,0,4,47,16654
506,1,52,49,25300
507,0,4,47,16657
507,1,52,48,24352
508,0,5,47,16658
508,1,52,49,26626
509,0,2,47,16658
509,1,52,50,21367
510,0,1,47,16658
510,1,52,49,28305
511,0,3,47,16658
511,1,52,48,24353
512,0,3,47,16660
512,1,52,49,25303
513,0,2,47,16661
513,1,52,49,25889
514,0,4,47,16662
514,1,52,48,27105
515,0,5,47,16664
515,1,52,49,20420
516,0,4,47,16665
516,1,52,49,22023
517,0,5,47,16667
517,1,52,48,22564
518,0,3,47,16665
518,1,52,49,23744
519,0,0,47,16665
519,1,52,50,20751
520,0,3,47,16667
520,1,52,48,23746
521,0,1,47,16667
521,1,52,50,25667
522,0,53,47,16669
522,1,52,48,20753
523,0,4,47,16669
523,1,52,48,26165
524,0,4,47,16671
524,1,52,49,25891
525,0,5,47,16670
525,1,52,49,23748
526,0,2,47,16670
526,1,52,50,20754
527,0,53,47,16677
527,1,52,48,22027
528,0,5,47,16673
528,1,52,48,19649
529,0,3,47,16673
529,1,52,49,28188
530,0,0,47,16676
530,1,52,50,20758
531,0,3,47,16675
531,1,52,48,19651
532,0,4,47,16677
532,1,52,48,19653
533,0,5,47,16678
533,1,52,49,19655
534,0,1,47,16680
534,1,52,50,27501
535,0,5,47,16680
535,1,52,48,19657
536,0,3,47,16681
536,1,52,49,19659
537,0,2,47,16681
537,1,52,50,26167
538,0,3,47,16683
538,1,52,48,19661
539,0,0,47,16685
539,1,52,50,22029
540,0,2,47,16684
540,1,52,50,26169
541,0,4,47,16685
541,1,52,48,22565
542,0,1,47,16688
542,1,52,50,27107
543,0,2,47,16689
543,1,52,50,22030
544,0,0,47,16690
544,1,52,50,22566
545,0,1,47,16693
545,1,52,50,20759
546,0,2,47,16697
546,1,52,50,20760
547,0,4,47,16699
547,1,52,49,21612
548,0,0,47,16701
548,1,52,50,26171
549,0,5,47,16702
549,1,52,49,19663
550,0,1,47,16703
550,1,52,50,23750
551,0,3,47,16705
551,1,52,49,23751
552,0,4,47,16707
552,1,52,49,21369
553,0,5,47,16710
553,1,52,49,21614
554,0,5,47,16712
554,1,52,48,22032
555,0,3,47,16713
555,1,52,49,21372
556,0,4,47,16715
556,1,52,49,19664
557,0,5,47,16721
557,1,52,49,19665
558,0,0,47,16721
558,1,52,50,23056
559,0,3,47,16722
559,1,52,48,23057
560,0,3,47,16724
560,1,52,49,22034
561,0,1,47,16724
561,1,52,50,25305
562,0,4,47,16725
562,1,52,48,22035
563,0,2,47,16727
563,1,52,50,21374
564,0,5,47,16728
564,1,52,48,22036
565,0,3,47,16730
565,1,52,48,23060
566,0,4,47,16731
566,1,52,49,28190
567,0,0,47,16732
567,1,52,50,24362
568,0,4,47,16733
568,1,52,48,20761
569,0,1,47,16735
569,1,52,50,20762
570,0,5,47,16736
570,1,52,48,20764
571,0,2,47,16737
571,1,52,50,27109
572,0,3,47,16738
572,1,52,48,20766
573,0,0,47,16741
573,1,52,50,26627
574,0,4,47,16741
574,1,52,48,23061
575,0,1,47,16742
575,1,52,50,24645
576,0,5,47,16744
576,1,52,48,25307
577,0,2,47,16747
577,1,52,50,20769
578,0,0,47,16750
578,1,52,50,27111
579,0,5,47,16753
579,1,52,49,20421
580,0,3,47,16758
580,1,52,49,23754
581,0,4,47,16761
581,1,52,49,28307
582,0,5,47,16763
582,1,52,49,19667
583,0,3,47,16766
583,1,52,49,19668
584,0,4,47,16771
584,1,52,49,19669
585,0,1,47,16772
585,1,52,50,25668
586,0,5,47,16774
586,1,52,49,19671
587,0,3,47,16777
587,1,52,49,19672
588,0,2,47,16779
588,1,52,50,23756
589,0,0,47,16782
589,1,52,50,23062
590,0,1,47,16785
590,1,52,50,26628
591,0,4,47,16787
591,1,52,49,19674
592,0,2,47,16788
592,1,52,50,23758
593,0,0,47,16793
593,1,52,50,22567
594,0,1,47,16796
594,1,52,50,22569
595,0,2,47,16798
595,1,52,50,22037
596,0,5,47,16800
596,1,52,49,19675
597,0,0,47,16803
597,1,52,50,24366
598,0,1,47,16806
598,1,52,50,22570
599,0,3,47,16811
599,1,52,49,22571
600,0,2,47,16814
600,1,52,50,26172
601,0,4,47,16817
601,1,52,49,26630
602,0,5,47,16825
602,1,52,49,20422
603,0,3,47,16827
603,1,52,49,26631
604,0,0,47,16831
604,1,52,50,22572
605,0,4,47,16849
605,1,52,48,23761
606,0,4,47,16851
606,1,52,49,20424
607,0,1,47,16861
607,1,52,50,21376
608,0,2,47,16864
608,1,52,50,26634
609,0,0,47,16867
609,1,52,50,23765
610,0,1,47,16878
610,1,52,50,28308
611,0,2,47,16895
611,1,52,50,24369
612,0,2,47,16900
612,1,52,50,20770
613,0,5,47,16910
613,1,52,49,19676
614,0,5,47,16929
614,1,52,49,19678
615,0,0,47,16956
615,1,52,50,22039
616,0,3,47,16977
616,1,52,49,25311
617,0,53,47,16977
617,1,52,48,23284
618,0,53,47,16982
618,1,52,48,23287
619,0,53,47,16987
619,1,52,48,23290
620,0,53,47,16993
620,1,52,48,23291
621,0,4,47,16999
621,1,52,49,20425
622,0,53,47,17022
622,1,52,49,20427
623,0,53,47,17027
623,1,52,49,20429
624,0,53,47,17036
624,1,52,49,20431
625,0,53,47,17073
625,1,52,49,20433
626,0,53,47,17076
626,1,52,48,23293
627,0,53,47,17134
627,1,52,48,23294
628,0,53,47,17179
628,1,52,49,21378
629,0,53,47,17181
629,1,52,49,19679
630,0,53,47,17184
630,1,52,49,19681
631,0,53,47,17187
631,1,52,49,21615
632,0,53,47,17197
632,1,52,50,21379
633,0,53,47,17200
