release_300s_bin,count,historical_dh_seconds_min,historical_dh_seconds_p01,historical_dh_seconds_p05,historical_dh_seconds_median,historical_dh_seconds_mean,historical_dh_seconds_p95,historical_dh_seconds_p99,historical_dh_seconds_max,historical_hca_seconds_min,historical_hca_seconds_p01,historical_hca_seconds_p05,historical_hca_seconds_median,historical_hca_seconds_mean,historical_hca_seconds_p95,historical_hca_seconds_p99,historical_hca_seconds_max,current_dh_seconds_min,current_dh_seconds_p01,current_dh_seconds_p05,current_dh_seconds_median,current_dh_seconds_mean,current_dh_seconds_p95,current_dh_seconds_p99,current_dh_seconds_max,historical_minus_current_seconds_min,historical_minus_current_seconds_p01,historical_minus_current_seconds_p05,historical_minus_current_seconds_median,historical_minus_current_seconds_mean,historical_minus_current_seconds_p95,historical_minus_current_seconds_p99,historical_minus_current_seconds_max,historical_excess_over_current_free_flow_min,historical_excess_over_current_free_flow_p01,historical_excess_over_current_free_flow_p05,historical_excess_over_current_free_flow_median,historical_excess_over_current_free_flow_mean,historical_excess_over_current_free_flow_p95,historical_excess_over_current_free_flow_p99,historical_excess_over_current_free_flow_max,current_excess_over_free_flow_min,current_excess_over_free_flow_p01,current_excess_over_free_flow_p05,current_excess_over_free_flow_median,current_excess_over_free_flow_mean,current_excess_over_free_flow_p95,current_excess_over_free_flow_p99,current_excess_over_free_flow_max,current_source_wait_seconds_min,current_source_wait_seconds_p01,current_source_wait_seconds_p05,current_source_wait_seconds_median,current_source_wait_seconds_mean,current_source_wait_seconds_p95,current_source_wait_seconds_p99,current_source_wait_seconds_max
42,1,65.800000000,65.800000000,65.800000000,65.800000000,65.800000000,65.800000000,65.800000000,65.800000000,54.000000000,54.000000000,54.000000000,54.000000000,54.000000000,54.000000000,54.000000000,54.000000000,65.000000000,65.000000000,65.000000000,65.000000000,65.000000000,65.000000000,65.000000000,65.000000000,0.800000000,0.800000000,0.800000000,0.800000000,0.800000000,0.800000000,0.800000000,0.800000000,0.800000000,0.800000000,0.800000000,0.800000000,0.800000000,0.800000000,0.800000000,0.800000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
43,27,61.100000000,61.100000000,61.100000000,93.700000000,93.307407407,120.690000000,121.718000000,121.900000000,46.000000000,46.000000000,46.000000000,51.000000000,54.851851852,79.700000000,80.000000000,80.000000000,59.600000000,59.600000000,59.660000000,62.600000000,64.792592593,72.880000000,73.592000000,73.800000000,-1.500000000,-0.928000000,0.700000000,29.000000000,28.514814815,54.700000000,55.810000000,56.200000000,0.700000000,0.700000000,0.700000000,29.000000000,28.981481481,55.750000000,56.718000000,56.900000000,-0.000000000,-0.000000000,-0.000000000,0.000000000,0.466666667,2.020000000,2.200000000,2.200000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
44,11,61.400000000,61.400000000,61.400000000,61.400000000,62.536363636,67.550000000,72.390000000,73.600000000,47.000000000,47.000000000,47.000000000,47.000000000,47.545454545,50.000000000,52.400000000,53.000000000,60.800000000,60.800000000,60.800000000,60.800000000,61.872727273,66.700000000,71.420000000,72.600000000,0.600000000,0.600000000,0.600000000,0.600000000,0.663636364,0.850000000,0.970000000,1.000000000,0.600000000,0.600000000,0.600000000,0.600000000,0.663636364,0.850000000,0.970000000,1.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,0.000000000,0.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
45,31,60.300000000,60.540000000,61.300000000,77.100000000,81.474193548,115.300000000,118.140000000,118.200000000,46.000000000,46.000000000,46.000000000,51.000000000,54.290322581,79.500000000,80.000000000,80.000000000,59.600000000,59.600000000,59.600000000,61.400000000,64.277419355,72.800000000,73.280000000,73.400000000,0.400000000,0.490000000,0.700000000,9.100000000,17.196774194,45.650000000,49.620000000,49.800000000,0.700000000,0.700000000,0.700000000,12.700000000,17.874193548,46.850000000,50.140000000,50.200000000,-0.000000000,-0.000000000,-0.000000000,0.400000000,0.677419355,3.000000000,3.420000000,3.600000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
46,5,61.100000000,61.112000000,61.160000000,61.500000000,61.540000000,62.060000000,62.172000000,62.200000000,46.000000000,46.040000000,46.200000000,47.000000000,46.800000000,47.000000000,47.000000000,47.000000000,60.400000000,60.416000000,60.480000000,60.800000000,60.840000000,61.280000000,61.376000000,61.400000000,0.600000000,0.604000000,0.620000000,0.700000000,0.700000000,0.780000000,0.796000000,0.800000000,0.600000000,0.604000000,0.620000000,0.700000000,0.700000000,0.780000000,0.796000000,0.800000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
47,39,60.300000000,60.756000000,62.130000000,83.000000000,87.323076923,115.500000000,139.376000000,150.700000000,46.000000000,46.000000000,46.000000000,53.000000000,58.615384615,80.000000000,80.000000000,80.000000000,59.600000000,59.600000000,59.780000000,65.000000000,65.717948718,73.040000000,76.564000000,77.400000000,0.400000000,0.514000000,0.700000000,16.800000000,21.605128205,46.570000000,71.694000000,84.500000000,0.700000000,0.700000000,0.790000000,19.200000000,23.148717949,48.770000000,73.274000000,85.700000000,-0.000000000,-0.000000000,-0.000000000,0.800000000,1.543589744,5.620000000,7.040000000,7.800000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
48,10,61.400000000,61.400000000,61.400000000,61.400000000,65.410000000,82.125000000,87.705000000,89.100000000,47.000000000,47.000000000,47.000000000,47.000000000,47.600000000,50.300000000,52.460000000,53.000000000,60.800000000,60.800000000,60.800000000,60.800000000,62.000000000,67.380000000,71.556000000,72.600000000,0.600000000,0.600000000,0.600000000,0.600000000,3.410000000,15.905000000,25.661000000,28.100000000,0.600000000,0.600000000,0.600000000,0.600000000,3.470000000,16.235000000,26.207000000,28.700000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,0.060000000,0.330000000,0.546000000,0.600000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
49,40,60.200000000,60.239000000,60.300000000,78.500000000,83.005000000,118.695000000,132.300000000,136.200000000,46.000000000,46.000000000,46.000000000,53.000000000,57.100000000,80.000000000,80.000000000,80.000000000,59.600000000,59.600000000,59.600000000,62.500000000,64.395000000,74.010000000,74.322000000,74.400000000,0.600000000,0.639000000,0.700000000,16.450000000,18.610000000,50.385000000,62.736000000,69.600000000,0.600000000,0.639000000,0.700000000,17.800000000,19.760000000,50.465000000,64.336000000,71.200000000,-0.000000000,-0.000000000,-0.000000000,0.900000000,1.150000000,3.620000000,4.488000000,4.800000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
50,16,61.100000000,61.145000000,61.325000000,61.400000000,62.768750000,69.075000000,76.935000000,78.900000000,47.000000000,47.000000000,47.000000000,47.000000000,49.875000000,60.500000000,76.100000000,80.000000000,60.400000000,60.460000000,60.700000000,60.800000000,61.775000000,66.900000000,71.460000000,72.600000000,0.600000000,0.600000000,0.600000000,0.600000000,0.993750000,2.175000000,5.475000000,6.300000000,0.600000000,0.600000000,0.600000000,0.600000000,0.993750000,2.175000000,5.475000000,6.300000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
51,69,60.300000000,60.844000000,61.440000000,91.600000000,89.855072464,121.660000000,152.852000000,172.300000000,46.000000000,46.000000000,46.000000000,53.000000000,57.130434783,80.000000000,80.000000000,80.000000000,59.600000000,59.600000000,60.280000000,65.200000000,66.255072464,74.840000000,78.328000000,78.600000000,-2.600000000,-1.512000000,0.700000000,25.800000000,23.600000000,50.960000000,90.564000000,111.100000000,0.600000000,0.668000000,0.700000000,28.600000000,25.817391304,53.600000000,92.180000000,111.900000000,-0.000000000,-0.000000000,-0.000000000,0.800000000,2.217391304,7.920000000,9.592000000,10.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
52,39,61.100000000,61.214000000,61.400000000,61.400000000,63.274358974,70.920000000,92.014000000,93.800000000,46.000000000,46.000000000,46.900000000,47.000000000,47.230769231,47.400000000,52.860000000,54.000000000,59.600000000,59.904000000,60.400000000,60.800000000,61.056410256,61.760000000,66.860000000,68.000000000,0.600000000,0.600000000,0.600000000,0.600000000,2.217948718,8.900000000,28.762000000,28.800000000,0.600000000,0.600000000,0.600000000,0.600000000,2.217948718,8.900000000,28.762000000,28.800000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
53,82,60.200000000,60.200000000,61.400000000,83.900000000,83.710975610,118.285000000,131.949000000,145.800000000,46.000000000,46.000000000,46.000000000,53.000000000,56.695121951,80.000000000,80.000000000,80.000000000,59.600000000,59.600000000,59.620000000,62.000000000,64.087804878,72.790000000,74.352000000,75.000000000,-0.600000000,-0.519000000,0.600000000,21.200000000,19.623170732,50.295000000,61.084000000,80.200000000,0.600000000,0.600000000,0.600000000,22.050000000,20.510975610,50.395000000,61.360000000,80.800000000,-0.000000000,-0.000000000,-0.000000000,0.200000000,0.887804878,3.780000000,4.800000000,4.800000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
54,36,60.200000000,60.235000000,61.125000000,61.400000000,64.097222222,78.450000000,89.100000000,89.100000000,46.000000000,46.000000000,46.000000000,47.000000000,48.472222222,54.000000000,66.350000000,73.000000000,59.600000000,59.600000000,60.200000000,60.800000000,61.644444444,66.350000000,70.990000000,72.600000000,0.600000000,0.600000000,0.600000000,0.600000000,2.452777778,14.000000000,28.700000000,28.700000000,0.600000000,0.600000000,0.600000000,0.600000000,2.475000000,14.600000000,28.700000000,28.700000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,0.022222222,0.000000000,0.520000000,0.800000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
55,113,61.100000000,61.136000000,61.400000000,91.600000000,92.431858407,129.120000000,152.056000000,159.600000000,46.000000000,46.000000000,46.000000000,53.000000000,58.707964602,80.000000000,81.760000000,82.000000000,59.600000000,59.800000000,60.520000000,72.600000000,72.350442478,86.760000000,89.976000000,90.400000000,-12.400000000,-11.760000000,-7.360000000,20.600000000,20.081415929,51.960000000,75.552000000,94.000000000,0.600000000,0.600000000,0.600000000,28.700000000,28.791150442,59.920000000,84.056000000,98.800000000,-0.000000000,-0.000000000,-0.000000000,10.000000000,8.709734513,21.160000000,23.600000000,24.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
56,31,60.300000000,60.540000000,61.100000000,68.900000000,76.829032258,119.050000000,134.750000000,140.300000000,46.000000000,46.000000000,46.000000000,47.000000000,50.612903226,66.500000000,79.700000000,80.000000000,59.600000000,59.600000000,59.600000000,60.800000000,63.406451613,72.600000000,72.600000000,72.600000000,0.100000000,0.250000000,0.600000000,1.000000000,13.422580645,56.750000000,73.530000000,80.700000000,0.600000000,0.600000000,0.600000000,1.000000000,13.532258065,56.750000000,73.530000000,80.700000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,0.109677419,0.900000000,1.000000000,1.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
57,127,60.200000000,60.508000000,61.400000000,96.300000000,97.359842520,135.920000000,148.456000000,190.000000000,46.000000000,46.000000000,46.000000000,54.000000000,60.259842520,80.000000000,80.000000000,82.000000000,59.600000000,59.956000000,60.800000000,76.400000000,76.253543307,90.680000000,93.680000000,96.600000000,-18.500000000,-16.784000000,-7.960000000,20.100000000,21.106299213,53.070000000,68.562000000,103.400000000,0.600000000,0.600000000,0.600000000,31.100000000,33.740944882,68.340000000,87.162000000,125.000000000,-0.000000000,-0.000000000,-0.000000000,14.600000000,12.634645669,24.740000000,26.540000000,28.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
58,72,60.200000000,60.839000000,61.400000000,61.450000000,87.462500000,217.690000000,257.694000000,270.900000000,46.000000000,46.000000000,46.000000000,47.000000000,62.319444444,194.000000000,196.000000000,196.000000000,59.600000000,59.600000000,60.040000000,60.800000000,75.263888889,213.990000000,217.600000000,217.600000000,0.600000000,0.600000000,0.600000000,0.700000000,12.198611111,53.025000000,82.382000000,86.500000000,0.600000000,0.600000000,0.600000000,0.700000000,12.487500000,53.025000000,83.774000000,91.300000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,0.288888889,2.230000000,3.522000000,4.800000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
59,160,61.400000000,61.400000000,61.400000000,108.050000000,123.835625000,258.125000000,281.606000000,303.100000000,46.000000000,46.000000000,47.000000000,54.000000000,79.150000000,196.000000000,245.500000000,275.000000000,59.600000000,60.800000000,60.800000000,85.200000000,99.598750000,224.460000000,249.040000000,261.000000000,-4.300000000,-4.064000000,0.100000000,21.050000000,24.236875000,61.355000000,78.946000000,79.900000000,0.600000000,0.600000000,0.600000000,38.450000000,39.570625000,82.395000000,86.320000000,99.100000000,-0.000000000,-0.000000000,-0.000000000,18.100000000,15.333750000,29.820000000,31.902000000,34.200000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
60,118,60.200000000,61.400000000,61.400000000,88.150000000,114.666949153,258.200000000,317.148000000,335.400000000,46.000000000,46.000000000,46.000000000,50.000000000,82.254237288,225.000000000,275.490000000,276.000000000,59.600000000,59.800000000,60.400000000,67.700000000,95.713559322,232.780000000,246.260000000,249.200000000,-11.500000000,-6.264000000,-4.345000000,12.550000000,18.953389831,62.355000000,120.429000000,144.900000000,0.600000000,0.600000000,0.600000000,19.850000000,23.494067797,62.865000000,120.497000000,145.500000000,-0.000000000,-0.000000000,-0.000000000,0.900000000,4.540677966,15.690000000,24.256000000,26.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
61,166,61.100000000,61.295000000,61.400000000,125.550000000,143.687951807,307.125000000,335.195000000,359.300000000,46.000000000,46.000000000,47.000000000,54.000000000,85.650602410,223.250000000,275.350000000,278.000000000,60.200000000,60.400000000,60.800000000,94.400000000,112.310843373,254.250000000,267.730000000,279.400000000,-17.700000000,-14.310000000,-8.400000000,30.400000000,31.377108434,76.175000000,104.660000000,122.400000000,0.600000000,0.600000000,0.600000000,56.700000000,54.254216867,104.950000000,126.345000000,129.000000000,-0.000000000,-0.000000000,-0.000000000,25.300000000,22.877108434,41.200000000,42.800000000,43.200000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
62,158,61.100000000,61.400000000,61.400000000,95.250000000,124.915189873,264.720000000,288.655000000,346.100000000,46.000000000,46.000000000,46.000000000,53.000000000,87.835443038,218.000000000,275.000000000,276.000000000,60.200000000,60.400000000,60.800000000,69.300000000,105.330379747,242.880000000,258.692000000,271.800000000,-12.600000000,-9.675000000,-2.350000000,13.550000000,19.584810127,58.395000000,121.158000000,164.100000000,0.600000000,0.600000000,0.600000000,22.750000000,27.139240506,67.945000000,124.510000000,164.700000000,-0.000000000,-0.000000000,-0.000000000,2.600000000,7.554430380,27.230000000,35.888000000,39.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
63,190,60.200000000,61.367000000,61.400000000,117.200000000,132.870000000,274.060000000,328.522000000,360.100000000,46.000000000,46.000000000,46.000000000,54.000000000,87.210526316,225.000000000,275.110000000,276.000000000,59.600000000,59.778000000,60.800000000,90.500000000,109.366315789,237.170000000,268.014000000,281.400000000,-32.500000000,-25.685000000,-13.355000000,19.650000000,23.503684211,71.465000000,83.606000000,107.500000000,0.600000000,0.600000000,0.600000000,39.100000000,40.670000000,97.885000000,116.650000000,127.700000000,-6.600000000,-0.726000000,-0.000000000,18.700000000,17.166315789,37.910000000,44.266000000,46.600000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
64,180,60.200000000,60.200000000,61.400000000,97.600000000,127.733888889,254.030000000,306.432000000,395.000000000,46.000000000,46.000000000,46.000000000,54.000000000,96.400000000,227.250000000,275.000000000,276.000000000,59.800000000,60.358000000,60.800000000,72.200000000,107.743333333,231.240000000,247.904000000,254.400000000,-15.400000000,-13.747000000,-4.040000000,13.650000000,19.990555556,59.810000000,95.271000000,177.200000000,0.600000000,0.600000000,0.600000000,21.150000000,25.071666667,61.265000000,103.971000000,177.400000000,-0.000000000,-0.000000000,-0.000000000,1.700000000,5.081111111,18.220000000,26.642000000,27.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
65,359,60.200000000,61.400000000,61.490000000,158.000000000,160.576601671,298.050000000,329.108000000,368.100000000,46.000000000,46.000000000,47.000000000,146.000000000,124.103064067,225.700000000,250.000000000,276.000000000,59.600000000,60.800000000,60.800000000,157.400000000,135.612813370,217.480000000,247.156000000,252.200000000,-40.700000000,-29.288000000,-0.320000000,3.800000000,24.963788301,98.350000000,114.584000000,121.600000000,0.300000000,0.300000000,0.400000000,12.600000000,37.396657382,121.860000000,149.356000000,154.200000000,-14.200000000,-12.568000000,-0.000000000,0.800000000,12.432869081,52.220000000,54.968000000,60.800000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
66,202,61.400000000,61.400000000,61.400000000,153.600000000,162.236138614,268.445000000,311.667000000,338.600000000,46.000000000,46.000000000,47.000000000,77.500000000,121.217821782,240.700000000,276.000000000,278.000000000,60.400000000,60.800000000,60.800000000,111.600000000,143.294059406,263.340000000,287.386000000,293.800000000,-46.400000000,-33.360000000,-12.760000000,14.850000000,18.942079208,70.185000000,108.519000000,135.200000000,0.600000000,0.600000000,0.600000000,27.900000000,37.272772277,118.800000000,139.278000000,188.400000000,-0.000000000,-0.000000000,-0.000000000,5.500000000,18.330693069,52.790000000,57.194000000,60.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
67,237,60.300000000,61.400000000,62.060000000,217.700000000,169.581856540,281.720000000,296.460000000,424.200000000,46.000000000,46.000000000,47.000000000,189.000000000,143.270042194,275.000000000,278.000000000,279.000000000,59.600000000,60.800000000,60.800000000,211.600000000,148.616877637,241.760000000,254.424000000,257.000000000,-13.200000000,-10.840000000,-1.660000000,15.500000000,20.964978903,59.020000000,91.516000000,192.400000000,0.600000000,0.600000000,0.700000000,22.000000000,26.549789030,64.040000000,102.144000000,193.000000000,-13.600000000,-13.400000000,-0.000000000,3.000000000,5.584810127,18.040000000,21.584000000,25.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
