map,start,goal,old_status,repaired_status,old_end_tick,repaired_completion_tick,zero_intermediate_nodes,zero_goal,entire_audit_record_identical,old_first_invalid_tick,old_first_invalid_node,sample_raw_bag_id,sample_segment_id
nanning,0,103,FAILED,COMPLETE,886,1087,129,False,False,885,129,2507,0
nanning,0,106,FAILED,COMPLETE,886,1185,129,False,False,885,129,11777,0
nanning,0,108,FAILED,COMPLETE,886,1212,129,False,False,885,129,2846,0
nanning,0,110,FAILED,COMPLETE,886,1307,129,False,False,885,129,6116,0
nanning,0,114,COMPLETE,COMPLETE,474,474,,False,True,,,13064,0
nanning,0,116,COMPLETE,COMPLETE,505,505,,False,True,,,762,0
nanning,0,118,COMPLETE,COMPLETE,541,541,,False,True,,,1275,0
nanning,0,120,COMPLETE,COMPLETE,584,584,,False,True,,,8394,0
nanning,0,122,COMPLETE,COMPLETE,664,664,,False,True,,,10561,0
nanning,0,124,COMPLETE,COMPLETE,696,696,,False,True,,,7331,0
nanning,0,126,COMPLETE,COMPLETE,739,739,,False,True,,,7293,0
nanning,24,16,FAILED,COMPLETE,338,730,55,False,False,337,55,3909,0
nanning,24,17,FAILED,COMPLETE,338,800,55,False,False,337,55,2151,0
nanning,24,18,FAILED,COMPLETE,338,831,55,False,False,337,55,2834,0
nanning,24,19,FAILED,COMPLETE,338,935,55,False,False,337,55,10823,0
nanning,24,20,FAILED,COMPLETE,348,412,56,False,False,347,56,3865,0
nanning,24,21,FAILED,COMPLETE,338,480,55,False,False,337,55,2858,0
nanning,24,22,FAILED,COMPLETE,338,506,55,False,False,337,55,12354,0
nanning,24,23,FAILED,COMPLETE,338,603,55,False,False,337,55,6102,0
nanning,24,41,FAILED,COMPLETE,338,785,55,False,False,337,55,4704,0
nanning,24,42,FAILED,COMPLETE,338,855,55,False,False,337,55,3588,0
nanning,24,43,FAILED,COMPLETE,338,882,55,False,False,337,55,1740,0
nanning,24,44,FAILED,COMPLETE,338,969,55,False,False,337,55,2026,0
nanning,24,45,FAILED,COMPLETE,338,426,55,False,False,337,55,6421,0
nanning,24,46,FAILED,COMPLETE,338,506,55,False,False,337,55,2446,0
nanning,24,47,FAILED,COMPLETE,338,536,55,False,False,337,55,7782,0
nanning,24,48,FAILED,COMPLETE,338,631,55,False,False,337,55,4010,0
nanning,24,53,FAILED,COMPLETE,338,1189,55,True,False,337,55,1,0
nanning,24,60,FAILED,COMPLETE,908,1004,91,False,False,907,91,4085,0
nanning,24,62,FAILED,COMPLETE,903,1032,129,False,False,902,129,4520,0
nanning,24,64,FAILED,COMPLETE,903,1058,129,False,False,902,129,3999,0
nanning,24,67,FAILED,COMPLETE,903,1158,129,False,False,902,129,5579,0
nanning,24,69,FAILED,COMPLETE,903,1184,129,False,False,902,129,4464,0
nanning,24,71,FAILED,COMPLETE,903,1260,129,False,False,902,129,5961,0
nanning,24,73,FAILED,COMPLETE,903,1283,129,False,False,902,129,2103,0
nanning,24,77,COMPLETE,COMPLETE,488,488,,False,True,,,10150,0
nanning,24,79,COMPLETE,COMPLETE,580,580,,False,True,,,2292,0
nanning,24,81,COMPLETE,COMPLETE,601,601,,False,True,,,2887,0
nanning,24,83,COMPLETE,COMPLETE,680,680,,False,True,,,3510,0
nanning,24,85,COMPLETE,COMPLETE,712,712,,False,True,,,1938,0
nanning,24,87,COMPLETE,COMPLETE,755,755,,False,True,,,6076,0
nanning,24,99,FAILED,COMPLETE,903,988,129,False,False,902,129,948,0
nanning,24,101,FAILED,COMPLETE,903,1077,129,False,False,902,129,11666,0
nanning,24,103,FAILED,COMPLETE,903,1104,129,False,False,902,129,2417,0
nanning,24,106,FAILED,COMPLETE,903,1202,129,False,False,902,129,2346,0
nanning,24,108,FAILED,COMPLETE,903,1229,129,False,False,902,129,9256,0
nanning,24,110,FAILED,COMPLETE,903,1324,129,False,False,902,129,2470,0
nanning,24,114,FAILED,COMPLETE,338,945,55,False,False,337,55,2394,0
nanning,24,116,FAILED,COMPLETE,338,976,55,False,False,337,55,782,0
nanning,24,118,FAILED,COMPLETE,338,1012,55,False,False,337,55,1279,0
nanning,24,120,FAILED,COMPLETE,338,1055,55,False,False,337,55,13672,0
nanning,24,122,FAILED,COMPLETE,338,1135,55,False,False,337,55,8433,0
nanning,24,124,FAILED,COMPLETE,338,1167,55,False,False,337,55,5942,0
nanning,24,126,FAILED,COMPLETE,338,1210,55,False,False,337,55,7306,0
nanning,26,16,COMPLETE,COMPLETE,278,278,,False,True,,,3868,0
nanning,26,17,COMPLETE,COMPLETE,348,348,,False,True,,,2104,0
nanning,26,18,COMPLETE,COMPLETE,379,379,,False,True,,,2312,0
nanning,26,19,COMPLETE,COMPLETE,483,483,,False,True,,,10826,0
nanning,26,20,FAILED,COMPLETE,657,721,56,False,False,656,56,4483,0
nanning,26,21,FAILED,COMPLETE,607,749,55,False,False,606,55,2453,0
nanning,26,22,FAILED,COMPLETE,607,775,55,False,False,606,55,12382,0
nanning,26,23,FAILED,COMPLETE,607,872,55,False,False,606,55,6188,0
nanning,26,41,COMPLETE,COMPLETE,280,280,,False,True,,,1522,0
nanning,26,42,COMPLETE,COMPLETE,350,350,,False,True,,,3583,0
nanning,26,43,COMPLETE,COMPLETE,377,377,,False,True,,,1745,0
nanning,26,44,COMPLETE,COMPLETE,464,464,,False,True,,,2460,0
nanning,26,45,FAILED,COMPLETE,607,695,55,False,False,606,55,6105,0
nanning,26,46,FAILED,COMPLETE,607,775,55,False,False,606,55,1537,0
nanning,26,47,FAILED,COMPLETE,607,805,55,False,False,606,55,7464,0
nanning,26,48,FAILED,COMPLETE,607,900,55,False,False,606,55,4385,0
nanning,26,53,COMPLETE,COMPLETE,684,684,,True,True,,,2,0
nanning,26,60,FAILED,COMPLETE,852,1942,129;91,False,False,851,129,4099,0
nanning,26,62,FAILED,COMPLETE,852,981,129,False,False,851,129,4524,0
nanning,26,64,FAILED,COMPLETE,852,1007,129,False,False,851,129,3985,0
nanning,26,67,FAILED,COMPLETE,852,1107,129,False,False,851,129,5963,0
nanning,26,69,FAILED,COMPLETE,852,1133,129,False,False,851,129,3900,0
nanning,26,71,FAILED,COMPLETE,852,1209,129,False,False,851,129,6478,0
nanning,26,73,FAILED,COMPLETE,852,1232,129,False,False,851,129,2101,0
nanning,26,77,FAILED,COMPLETE,852,1426,129,False,False,851,129,10153,0
nanning,26,79,FAILED,COMPLETE,852,1518,129,False,False,851,129,2273,0
nanning,26,81,FAILED,COMPLETE,852,1539,129,False,False,851,129,4443,0
nanning,26,83,FAILED,COMPLETE,852,1618,129,False,False,851,129,3495,0
nanning,26,85,FAILED,COMPLETE,852,1650,129,False,False,851,129,1983,0
nanning,26,87,FAILED,COMPLETE,852,1693,129,False,False,851,129,6094,0
nanning,26,99,FAILED,COMPLETE,852,937,129,False,False,851,129,991,0
nanning,26,101,FAILED,COMPLETE,852,1026,129,False,False,851,129,11700,0
nanning,26,103,FAILED,COMPLETE,852,1053,129,False,False,851,129,2331,0
nanning,26,106,FAILED,COMPLETE,852,1151,129,False,False,851,129,2960,0
nanning,26,108,FAILED,COMPLETE,852,1178,129,False,False,851,129,9491,0
nanning,26,110,FAILED,COMPLETE,852,1273,129,False,False,851,129,2604,0
nanning,26,114,COMPLETE,COMPLETE,440,440,,False,True,,,2386,0
nanning,26,116,COMPLETE,COMPLETE,471,471,,False,True,,,760,0
nanning,26,118,COMPLETE,COMPLETE,507,507,,False,True,,,1272,0
nanning,26,120,COMPLETE,COMPLETE,550,550,,False,True,,,13674,0
nanning,26,122,COMPLETE,COMPLETE,630,630,,False,True,,,8437,0
nanning,26,124,COMPLETE,COMPLETE,662,662,,False,True,,,7345,0
nanning,26,126,COMPLETE,COMPLETE,705,705,,False,True,,,7297,0
nanning,49,16,FAILED,COMPLETE,369,761,55,False,False,368,55,3689,0
nanning,49,17,FAILED,COMPLETE,369,831,55,False,False,368,55,3488,0
nanning,49,18,FAILED,COMPLETE,369,862,55,False,False,368,55,2728,0
nanning,49,19,FAILED,COMPLETE,369,966,55,False,False,368,55,21554,0
nanning,49,20,FAILED,COMPLETE,379,443,56,False,False,378,56,3779,0
nanning,49,21,FAILED,COMPLETE,369,511,55,False,False,368,55,2575,0
nanning,49,22,FAILED,COMPLETE,369,537,55,False,False,368,55,12575,0
nanning,49,23,FAILED,COMPLETE,369,634,55,False,False,368,55,12281,0
nanning,49,41,FAILED,COMPLETE,369,816,55,False,False,368,55,1281,0
nanning,49,42,FAILED,COMPLETE,369,886,55,False,False,368,55,1838,0
nanning,49,43,FAILED,COMPLETE,369,913,55,False,False,368,55,22551,0
nanning,49,44,FAILED,COMPLETE,369,1000,55,False,False,368,55,1761,0
nanning,49,45,FAILED,COMPLETE,369,457,55,False,False,368,55,9466,0
nanning,49,46,FAILED,COMPLETE,369,537,55,False,False,368,55,1283,0
nanning,49,47,FAILED,COMPLETE,369,567,55,False,False,368,55,7292,0
nanning,49,48,FAILED,COMPLETE,369,662,55,False,False,368,55,4140,0
nanning,49,53,FAILED,COMPLETE,369,1220,55,True,False,368,55,8,0
nanning,49,60,FAILED,COMPLETE,939,1035,91,False,False,938,91,7067,0
nanning,49,62,FAILED,COMPLETE,934,1063,129,False,False,933,129,7258,0
nanning,49,64,FAILED,COMPLETE,934,1089,129,False,False,933,129,3534,0
nanning,49,67,FAILED,COMPLETE,934,1189,129,False,False,933,129,6052,0
nanning,49,69,FAILED,COMPLETE,934,1215,129,False,False,933,129,4114,0
nanning,49,71,FAILED,COMPLETE,934,1291,129,False,False,933,129,6240,0
nanning,49,73,FAILED,COMPLETE,934,1314,129,False,False,933,129,5614,0
nanning,49,77,COMPLETE,COMPLETE,519,519,,False,True,,,10032,0
nanning,49,79,COMPLETE,COMPLETE,611,611,,False,True,,,15327,0
nanning,49,81,COMPLETE,COMPLETE,632,632,,False,True,,,2627,0
nanning,49,83,COMPLETE,COMPLETE,711,711,,False,True,,,4608,0
nanning,49,85,COMPLETE,COMPLETE,743,743,,False,True,,,1707,0
nanning,49,87,COMPLETE,COMPLETE,786,786,,False,True,,,6566,0
nanning,49,99,FAILED,COMPLETE,934,1019,129,False,False,933,129,15482,0
nanning,49,101,FAILED,COMPLETE,934,1108,129,False,False,933,129,15578,0
nanning,49,103,FAILED,COMPLETE,934,1135,129,False,False,933,129,2222,0
nanning,49,106,FAILED,COMPLETE,934,1233,129,False,False,933,129,2243,0
nanning,49,108,FAILED,COMPLETE,934,1260,129,False,False,933,129,9221,0
nanning,49,110,FAILED,COMPLETE,934,1355,129,False,False,933,129,2220,0
nanning,49,114,FAILED,COMPLETE,369,976,55,False,False,368,55,2188,0
nanning,49,116,FAILED,COMPLETE,369,1007,55,False,False,368,55,7220,0
nanning,49,118,FAILED,COMPLETE,369,1043,55,False,False,368,55,7540,0
nanning,49,120,FAILED,COMPLETE,369,1086,55,False,False,368,55,28329,0
nanning,49,122,FAILED,COMPLETE,369,1166,55,False,False,368,55,8484,0
nanning,49,124,FAILED,COMPLETE,369,1198,55,False,False,368,55,6618,0
nanning,49,126,FAILED,COMPLETE,369,1241,55,False,False,368,55,10579,0
nanning,53,16,FAILED,COMPLETE,685,1077,55,False,False,684,55,80,1
nanning,53,17,FAILED,COMPLETE,685,1147,55,False,False,684,55,25,1
nanning,53,18,FAILED,COMPLETE,685,1178,55,False,False,684,55,19,1
nanning,53,19,FAILED,COMPLETE,685,1282,55,False,False,684,55,3097,1
nanning,53,20,FAILED,COMPLETE,695,759,56,False,False,694,56,105,1
nanning,53,21,FAILED,COMPLETE,685,827,55,False,False,684,55,54,1
nanning,53,22,FAILED,COMPLETE,685,853,55,False,False,684,55,53,1
nanning,53,23,FAILED,COMPLETE,685,950,55,False,False,684,55,56,1
nanning,53,41,FAILED,COMPLETE,685,1132,55,False,False,684,55,11,1
nanning,53,42,FAILED,COMPLETE,685,1202,55,False,False,684,55,12,1
nanning,53,43,FAILED,COMPLETE,685,1229,55,False,False,684,55,15,1
nanning,53,44,FAILED,COMPLETE,685,1316,55,False,False,684,55,17,1
nanning,53,45,FAILED,COMPLETE,685,773,55,False,False,684,55,9,1
nanning,53,46,FAILED,COMPLETE,685,853,55,False,False,684,55,8,1
nanning,53,47,FAILED,COMPLETE,685,883,55,False,False,684,55,3,1
nanning,53,48,FAILED,COMPLETE,685,978,55,False,False,684,55,92,1
nanning,53,60,FAILED,COMPLETE,1255,1351,91,False,False,1254,91,126,1
nanning,53,62,FAILED,COMPLETE,1250,1379,129,False,False,1249,129,124,1
nanning,53,64,FAILED,COMPLETE,1250,1405,129,False,False,1249,129,71,1
nanning,53,67,FAILED,COMPLETE,1250,1505,129,False,False,1249,129,100,1
nanning,53,69,FAILED,COMPLETE,1250,1531,129,False,False,1249,129,93,1
nanning,53,71,FAILED,COMPLETE,1250,1607,129,False,False,1249,129,125,1
nanning,53,73,FAILED,COMPLETE,1250,1630,129,False,False,1249,129,13,1
nanning,53,77,COMPLETE,COMPLETE,835,835,,False,True,,,30,1
nanning,53,79,COMPLETE,COMPLETE,927,927,,False,True,,,23,1
nanning,53,81,COMPLETE,COMPLETE,948,948,,False,True,,,52,1
nanning,53,83,COMPLETE,COMPLETE,1027,1027,,False,True,,,66,1
nanning,53,85,COMPLETE,COMPLETE,1059,1059,,False,True,,,18,1
nanning,53,87,COMPLETE,COMPLETE,1102,1102,,False,True,,,267,1
nanning,53,99,FAILED,COMPLETE,1250,1335,129,False,False,1249,129,0,1
nanning,53,101,FAILED,COMPLETE,1250,1424,129,False,False,1249,129,20,1
nanning,53,103,FAILED,COMPLETE,1250,1451,129,False,False,1249,129,21,1
nanning,53,106,FAILED,COMPLETE,1250,1549,129,False,False,1249,129,33,1
nanning,53,108,FAILED,COMPLETE,1250,1576,129,False,False,1249,129,48,1
nanning,53,110,FAILED,COMPLETE,1250,1671,129,False,False,1249,129,29,1
nanning,53,114,FAILED,COMPLETE,685,1292,55,False,False,684,55,32,1
nanning,53,116,FAILED,COMPLETE,685,1323,55,False,False,684,55,2,1
nanning,53,118,FAILED,COMPLETE,685,1359,55,False,False,684,55,5,1
nanning,53,120,FAILED,COMPLETE,685,1402,55,False,False,684,55,1530,1
nanning,53,122,FAILED,COMPLETE,685,1482,55,False,False,684,55,1716,1
nanning,53,124,FAILED,COMPLETE,685,1514,55,False,False,684,55,308,1
nanning,53,126,FAILED,COMPLETE,685,1557,55,False,False,684,55,670,1
nanning,57,16,FAILED,COMPLETE,1176,2252,53;55,False,False,1175,53,3648,0
nanning,57,17,FAILED,COMPLETE,1176,2322,53;55,False,False,1175,53,3490,0
nanning,57,18,FAILED,COMPLETE,1176,2353,53;55,False,False,1175,53,2719,0
nanning,57,19,FAILED,COMPLETE,1176,2457,53;55,False,False,1175,53,21559,0
nanning,57,20,FAILED,COMPLETE,1176,1934,53;56,False,False,1175,53,3786,0
nanning,57,21,FAILED,COMPLETE,1176,2002,53;55,False,False,1175,53,2556,0
nanning,57,22,FAILED,COMPLETE,1176,2028,53;55,False,False,1175,53,12681,0
nanning,57,23,FAILED,COMPLETE,1176,2125,53;55,False,False,1175,53,12518,0
nanning,57,41,FAILED,COMPLETE,1176,2307,53;55,False,False,1175,53,1574,0
nanning,57,42,FAILED,COMPLETE,1176,2377,53;55,False,False,1175,53,1834,0
nanning,57,43,FAILED,COMPLETE,1176,2404,53;55,False,False,1175,53,22542,0
nanning,57,44,FAILED,COMPLETE,1176,2491,53;55,False,False,1175,53,1637,0
nanning,57,45,FAILED,COMPLETE,1176,1948,53;55,False,False,1175,53,9409,0
nanning,57,46,FAILED,COMPLETE,1176,2028,53;55,False,False,1175,53,1709,0
nanning,57,47,FAILED,COMPLETE,1176,2058,53;55,False,False,1175,53,7304,0
nanning,57,48,FAILED,COMPLETE,1176,2153,53;55,False,False,1175,53,4108,0
nanning,57,53,COMPLETE,COMPLETE,1175,1175,,True,True,,,11,0
nanning,57,60,COMPLETE,COMPLETE,414,414,,False,True,,,7125,0
nanning,57,62,COMPLETE,COMPLETE,454,454,,False,True,,,7242,0
nanning,57,64,COMPLETE,COMPLETE,480,480,,False,True,,,3537,0
nanning,57,67,COMPLETE,COMPLETE,580,580,,False,True,,,5934,0
nanning,57,69,COMPLETE,COMPLETE,606,606,,False,True,,,4088,0
nanning,57,71,COMPLETE,COMPLETE,682,682,,False,True,,,6242,0
nanning,57,73,COMPLETE,COMPLETE,705,705,,False,True,,,5590,0
nanning,57,77,COMPLETE,COMPLETE,899,899,,False,True,,,10115,0
nanning,57,79,COMPLETE,COMPLETE,991,991,,False,True,,,15313,0
nanning,57,81,COMPLETE,COMPLETE,1012,1012,,False,True,,,2566,0
nanning,57,83,COMPLETE,COMPLETE,1091,1091,,False,True,,,4581,0
nanning,57,85,COMPLETE,COMPLETE,1123,1123,,False,True,,,2031,0
nanning,57,87,COMPLETE,COMPLETE,1166,1166,,False,True,,,6176,0
nanning,57,99,COMPLETE,COMPLETE,410,410,,False,True,,,15484,0
nanning,57,101,COMPLETE,COMPLETE,499,499,,False,True,,,15613,0
nanning,57,103,COMPLETE,COMPLETE,526,526,,False,True,,,2210,0
nanning,57,106,COMPLETE,COMPLETE,624,624,,False,True,,,2245,0
nanning,57,108,COMPLETE,COMPLETE,651,651,,False,True,,,9227,0
nanning,57,110,COMPLETE,COMPLETE,746,746,,False,True,,,2239,0
nanning,57,114,COMPLETE,COMPLETE,931,931,,False,True,,,2207,0
nanning,57,116,COMPLETE,COMPLETE,962,962,,False,True,,,7207,0
nanning,57,118,COMPLETE,COMPLETE,998,998,,False,True,,,7925,0
nanning,57,120,COMPLETE,COMPLETE,1041,1041,,False,True,,,28328,0
nanning,57,122,COMPLETE,COMPLETE,1121,1121,,False,True,,,8254,0
nanning,57,124,COMPLETE,COMPLETE,1153,1153,,False,True,,,6342,0
nanning,57,126,COMPLETE,COMPLETE,1196,1196,,False,True,,,10581,0
nanning,92,16,FAILED,COMPLETE,991,1383,55,False,False,990,55,3671,0
nanning,92,17,FAILED,COMPLETE,991,1453,55,False,False,990,55,2018,0
nanning,92,18,FAILED,COMPLETE,991,1484,55,False,False,990,55,2322,0
nanning,92,19,FAILED,COMPLETE,991,1588,55,False,False,990,55,9023,0
nanning,92,20,FAILED,COMPLETE,1001,1065,56,False,False,1000,56,3773,0
nanning,92,21,FAILED,COMPLETE,991,1133,55,False,False,990,55,2579,0
nanning,92,22,FAILED,COMPLETE,991,1159,55,False,False,990,55,2875,0
nanning,92,23,FAILED,COMPLETE,991,1256,55,False,False,990,55,3454,0
nanning,92,41,FAILED,COMPLETE,991,1438,55,False,False,990,55,1543,0
nanning,92,42,FAILED,COMPLETE,991,1508,55,False,False,990,55,3927,0
nanning,92,43,FAILED,COMPLETE,991,1535,55,False,False,990,55,1949,0
nanning,92,44,FAILED,COMPLETE,991,1622,55,False,False,990,55,1703,0
nanning,92,45,FAILED,COMPLETE,991,1079,55,False,False,990,55,1463,0
nanning,92,46,FAILED,COMPLETE,991,1159,55,False,False,990,55,1510,0
nanning,92,47,FAILED,COMPLETE,991,1189,55,False,False,990,55,5461,0
nanning,92,48,FAILED,COMPLETE,991,1284,55,False,False,990,55,3995,0
nanning,92,53,COMPLETE,COMPLETE,719,719,,True,True,,,16,0
nanning,92,60,FAILED,COMPLETE,884,980,91,False,False,883,91,5632,0
nanning,92,62,FAILED,COMPLETE,879,1008,129,False,False,878,129,4916,0
nanning,92,64,FAILED,COMPLETE,879,1034,129,False,False,878,129,3403,0
nanning,92,67,FAILED,COMPLETE,879,1134,129,False,False,878,129,4401,0
nanning,92,69,FAILED,COMPLETE,879,1160,129,False,False,878,129,3906,0
nanning,92,71,FAILED,COMPLETE,879,1236,129,False,False,878,129,4667,0
nanning,92,73,FAILED,COMPLETE,879,1259,129,False,False,878,129,5511,0
nanning,92,77,COMPLETE,COMPLETE,464,464,,False,True,,,2357,0
nanning,92,79,COMPLETE,COMPLETE,556,556,,False,True,,,2896,0
nanning,92,81,COMPLETE,COMPLETE,577,577,,False,True,,,3047,0
nanning,92,83,COMPLETE,COMPLETE,656,656,,False,True,,,3339,0
nanning,92,85,COMPLETE,COMPLETE,688,688,,False,True,,,2054,0
nanning,92,87,COMPLETE,COMPLETE,731,731,,False,True,,,6135,0
nanning,92,99,FAILED,COMPLETE,879,964,129,False,False,878,129,985,0
nanning,92,101,FAILED,COMPLETE,879,1053,129,False,False,878,129,15671,0
nanning,92,103,FAILED,COMPLETE,879,1080,129,False,False,878,129,2070,0
nanning,92,106,FAILED,COMPLETE,879,1178,129,False,False,878,129,2255,0
nanning,92,108,FAILED,COMPLETE,879,1205,129,False,False,878,129,2928,0
nanning,92,110,FAILED,COMPLETE,879,1300,129,False,False,878,129,2191,0
nanning,92,114,COMPLETE,COMPLETE,475,475,,False,True,,,2360,0
nanning,92,116,COMPLETE,COMPLETE,506,506,,False,True,,,931,0
nanning,92,118,COMPLETE,COMPLETE,542,542,,False,True,,,7538,0
nanning,92,120,COMPLETE,COMPLETE,585,585,,False,True,,,10507,0
nanning,92,122,COMPLETE,COMPLETE,665,665,,False,True,,,8230,0
nanning,92,124,COMPLETE,COMPLETE,697,697,,False,True,,,6523,0
nanning,92,126,COMPLETE,COMPLETE,740,740,,False,True,,,7491,0
nanning,95,16,FAILED,COMPLETE,1151,2227,53;55,False,False,1150,53,27511,0
nanning,95,18,FAILED,COMPLETE,1151,2328,53;55,False,False,1150,53,17763,0
nanning,95,19,FAILED,COMPLETE,1151,2432,53;55,False,False,1150,53,9145,0
nanning,95,20,FAILED,COMPLETE,1151,1909,53;56,False,False,1150,53,6425,0
nanning,95,21,FAILED,COMPLETE,1151,1977,53;55,False,False,1150,53,5860,0
nanning,95,22,FAILED,COMPLETE,1151,2003,53;55,False,False,1150,53,2477,0
nanning,95,23,FAILED,COMPLETE,1151,2100,53;55,False,False,1150,53,2552,0
nanning,95,42,FAILED,COMPLETE,1151,2352,53;55,False,False,1150,53,14730,0
nanning,95,43,FAILED,COMPLETE,1151,2379,53;55,False,False,1150,53,5185,0
nanning,95,44,FAILED,COMPLETE,1151,2466,53;55,False,False,1150,53,5127,0
nanning,95,45,FAILED,COMPLETE,1151,1923,53;55,False,False,1150,53,1274,0
nanning,95,46,FAILED,COMPLETE,1151,2003,53;55,False,False,1150,53,22301,0
nanning,95,47,FAILED,COMPLETE,1151,2033,53;55,False,False,1150,53,963,0
nanning,95,48,FAILED,COMPLETE,1151,2128,53;55,False,False,1150,53,8942,0
nanning,95,53,COMPLETE,COMPLETE,1150,1150,,True,True,,,3,0
nanning,95,60,COMPLETE,COMPLETE,389,389,,False,True,,,9027,0
nanning,95,64,COMPLETE,COMPLETE,455,455,,False,True,,,3200,0
nanning,95,67,COMPLETE,COMPLETE,555,555,,False,True,,,4188,0
nanning,95,69,COMPLETE,COMPLETE,581,581,,False,True,,,12855,0
nanning,95,71,COMPLETE,COMPLETE,657,657,,False,True,,,4012,0
nanning,95,73,COMPLETE,COMPLETE,680,680,,False,True,,,15126,0
nanning,95,77,COMPLETE,COMPLETE,874,874,,False,True,,,2016,0
nanning,95,79,COMPLETE,COMPLETE,966,966,,False,True,,,21804,0
nanning,95,81,COMPLETE,COMPLETE,987,987,,False,True,,,3569,0
