ID EntryTime(s) STD(s) star end Unloader Loader
199 14681.52445 23400 53 50 2 T 
200 14686.89579 23400 53 48 2 T 
201 14745.56245 23400 53 50 1 T 
202 14792.65194 22200 53 49 1 T 
203 14843.81627 27300 5 49 2 C2 
204 14846.48295 24600 3 49 1 C2 
205 14849.23362 22200 4 49 1 C2 
206 14854.61557 22200 5 49 1 C2 
207 14855.83527 29100 2 49 3 B1 
208 14857.28813 22200 3 49 1 C2 
209 14858.25444 28500 0 50 2 B2 
210 14858.66752 23400 5 48 2 C1 
211 14859.95491 22200 4 49 2 C2 
212 14860.82182 26400 1 50 4 B2 
213 14861.33419 22200 3 48 1 C1 
214 14862.62156 23100 5 49 1 C2 
215 14863.97301 28200 4 48 3 C1 
216 14865.5483 27000 2 50 2 B2 
217 14866.63978 28500 5 48 4 C1 
218 14867.95502 22200 3 49 2 C2 
219 14868.92116 24900 0 50 4 B2 
220 14869.44076 27000 3 48 5 C1 
221 14871.47714 27000 1 50 3 B2 
222 14872.10315 28200 4 48 2 C1 
223 14873.79428 24900 2 50 3 B2 
224 14874.63957 24900 5 48 1 C1 
225 14875.67291 22200 5 49 1 D1 
226 14877.43642 25800 3 48 5 C1 
227 14879.97296 24900 4 48 5 C1 
228 14882.77424 25800 5 48 1 C1 
229 14884.10648 23400 0 50 1 B2 
230 14885.43644 24600 3 48 3 C1 
231 14886.81115 24600 1 50 1 B2 
232 14888.10738 24600 4 48 4 C1 
233 14889.47782 24600 2 50 5 B2 
234 14892.10644 23400 0 50 2 B2 
235 14894.58807 28500 1 50 3 B2 
236 14923.84544 24900 4 49 2 C2 
237 14934.48295 27000 5 49 2 C2 
238 14941.4366 22200 5 48 1 C1 
239 14944.00076 27000 3 48 4 C1 
240 14996.31389 28200 0 49 2 B1 
241 15006.67027 24600 3 49 2 C2 
242 15025.04903 24600 2 50 2 B2 
243 15031.12563 27300 4 49 1 C2 
244 15177.99227 24000 53 50 4 T 
245 15183.08134 24000 53 50 4 T 
246 15187.95708 24000 53 49 1 T 
247 15193.05901 24000 53 49 1 T 
248 15198.39227 24000 53 50 3 T 
249 15203.48134 24000 53 50 3 T 
250 15222.30902 24300 53 49 1 T 
251 15227.39919 24300 53 49 1 T 
252 15232.28805 24000 53 49 2 T 
253 15237.40844 24000 53 49 2 T 
254 15268.19113 24000 53 49 2 T 
255 15278.85778 24000 53 49 1 T 
256 15286.67245 24000 53 50 4 T 
257 15345.35578 24000 53 50 3 T 
258 15367.28291 24300 53 49 1 T 
259 15392.6519 22200 53 49 1 T 
260 15395.31864 22200 53 49 2 T 
261 15438.61546 24300 5 49 1 C2 
262 15441.28832 22200 3 49 2 C2 
263 15451.84539 22200 4 49 1 C2 
264 15452.98327 28200 1 49 2 B1 
265 15454.33946 22200 3 48 1 D1 
266 15454.54752 22200 5 49 2 C2 
267 15454.77316 29400 0 50 1 B2 
268 15455.83533 29100 2 49 3 B1 
269 15455.97304 22200 4 48 1 C1 
270 15458.24616 28800 1 50 5 B2 
271 15459.94879 22200 3 49 1 C2 
272 15460.91278 23400 2 50 1 B2 
273 15461.20661 24000 0 49 1 B1 
274 15461.33407 26400 5 48 2 C1 
275 15462.51214 22200 4 49 1 C2 
276 15463.43371 24900 0 50 3 B2 
277 15465.17861 22200 5 49 2 C2 
278 15466.13725 22200 53 48 1 T 
279 15466.66743 25200 3 48 2 C1 
280 15467.94881 28800 3 49 2 C2 
281 15469.43654 29100 4 48 1 C1 
282 15470.77316 28500 1 50 2 B2 
283 15472.10748 27600 5 48 1 C1 
284 15473.14966 22200 4 49 1 C2 
285 15473.27115 24000 2 50 3 B2 
286 15474.72045 23400 3 48 2 C1 
287 15476.14448 28800 0 50 4 B2 
288 15478.45065 22200 4 49 1 D1 
289 15480.10744 25200 4 48 4 C1 
290 15481.0595 22200 5 49 2 D1 
291 15481.25475 25200 1 50 5 B2 
292 15482.76996 24600 5 48 4 C1 
293 15485.36436 28800 3 48 5 C1 
294 15486.8111 29100 2 50 3 B2 
295 15489.26381 26700 0 50 1 B2 
296 15490.25452 26400 1 50 4 A1 
297 15491.9215 26400 1 50 4 B2 
298 15498.10116 27000 2 50 3 A1 
299 15499.9549 27600 5 49 1 C2 
300 15502.51215 28800 3 49 1 C2 
301 15503.57985 24900 0 50 3 A1 
302 15510.48299 28800 4 49 2 C2 
303 15513.28826 26400 5 49 2 C2 
304 15513.47783 23400 2 50 2 B2 
305 15515.81632 27600 3 49 1 C2 
306 15518.48282 26400 4 49 1 C2 
307 15521.17884 27600 5 49 2 C2 
308 15521.47783 29100 0 50 4 B2 
309 15524.82844 26400 1 50 2 B2 
310 15526.62161 23100 3 49 1 C2 
311 15527.10103 24000 2 50 4 B2 
312 15529.2821 23100 4 49 1 C2 
313 15529.543 27600 0 50 4 B2 
314 15531.81639 24000 5 49 2 C2 
315 15532.01468 25200 1 50 1 B2 
316 15534.6162 27900 2 50 1 B2 
317 15537.25662 26700 0 50 5 B2 
318 15540.82849 28500 1 50 3 B2 
319 15541.33421 22200 4 48 1 C1 
320 15543.19523 27900 2 50 5 B2 
321 15544.1032 26700 5 48 3 C1 
322 15548.07112 26400 0 50 3 B2 
323 15579.84544 26400 3 49 1 C2 
324 15593.43981 27000 1 50 3 B2 
325 15598.77316 24600 2 50 1 B2 
326 15600.78969 22200 3 48 1 C1 
327 15612.45601 22200 4 49 1 C2 
328 15627.48694 28500 4 48 4 C1 
329 15640.58505 29100 0 50 2 B2 
330 15651.01602 25200 5 48 3 C1 
331 15707.21613 28800 1 50 1 B2 
332 15777.75708 24600 53 50 2 T 
333 15782.85901 24600 53 50 2 T 
334 15788.19227 24600 53 50 5 T 
335 15793.28134 24600 53 50 5 T 
336 15798.15708 24600 53 48 3 T 
337 15803.25901 24600 53 48 3 T 
338 15808.59227 24600 53 48 4 T 
339 15813.68134 24600 53 48 4 T 
340 15818.55708 24600 53 48 4 T 
341 15822.30902 24600 53 49 2 T 
342 15823.65901 24600 53 48 4 T 
343 15827.39919 24600 53 49 2 T 
344 15828.99227 24900 53 50 3 T 
345 15832.28805 24900 53 49 2 T 
346 15834.08134 24900 53 50 3 T 
347 15837.40844 24900 53 49 2 T 
348 15838.95708 24900 53 50 3 T 
349 15842.70899 24600 53 49 1 T 
350 15844.05901 24900 53 50 3 T 
351 15847.79917 24600 53 49 1 T 
352 15849.39227 24900 53 50 3 T 
353 15854.48134 24900 53 50 3 T 
354 15859.35708 24900 53 50 3 T 
355 15864.45901 24900 53 48 1 T 
356 15869.79227 24900 53 48 1 T 
357 15873.33913 24900 53 49 2 T 
358 15875.81209 24900 53 48 5 T 
359 15878.85778 24900 53 50 3 T 
360 15880.98203 24900 53 48 5 T 
361 15883.51216 24600 53 48 3 T 
362 15886.02239 24600 53 50 1 T 
363 15890.19227 24600 53 50 1 T 
364 15895.28134 24600 53 50 1 T 
365 15900.15708 24600 53 50 1 T 
366 15905.25901 24900 53 50 4 T 
367 15910.59227 24900 53 50 4 T 
368 15926.68913 24600 53 49 1 T 
369 15934.89579 24900 53 50 3 T 
370 15940.02245 24600 53 48 4 T 
371 15985.52447 24600 53 49 2 T 
372 15988.00578 24900 53 50 3 T 
373 15989.98527 23100 53 49 1 T 
374 15995.3186 22200 53 49 1 T 
375 16001.52445 24600 53 48 4 T 
376 16038.51205 22200 5 49 1 C2 
377 16043.81639 22200 3 49 1 C2 
378 16044.02245 24600 53 50 1 T 
379 16044.99994 24000 1 49 1 B1 
380 16045.43665 27000 3 48 4 C1 
381 16048.10327 22200 4 48 1 C1 
382 16050.14278 24600 2 50 5 B2 
383 16050.31661 28200 2 49 2 B1 
384 16053.20666 29100 0 49 3 B1 
385 16054.45053 22200 3 48 1 D1 
386 16054.61543 22200 4 49 1 C2 
387 16056.00077 22200 5 48 1 C1 
388 16057.15077 27300 5 49 1 C2 
389 16059.7262 22200 4 49 2 D1 
390 16059.92116 29700 0 50 2 B2 
391 16061.30627 22200 3 48 1 C1 
392 16065.2346 29400 3 49 1 C2 
393 16065.56245 24900 53 48 1 T 
394 16069.44092 22200 4 48 1 C1 
395 16070.22901 23100 5 49 1 D1 
396 16070.48312 24600 4 49 1 C2 
397 16070.77316 23400 1 50 2 B2 
398 16071.97292 24900 5 48 1 C1 
399 16073.28215 27000 5 49 2 C2 
400 16073.47782 29400 2 50 1 B2 
401 16074.66754 23400 3 48 2 C1 
402 16075.94158 23400 0 50 2 B2 
403 16077.44093 28200 4 48 3 C1 
404 16078.3395 22200 3 49 1 D1 
405 16078.81116 23400 1 50 1 B2 
406 16079.97299 27000 5 48 5 C1 
407 16081.26383 24600 2 50 1 B2 
408 16082.77424 23400 3 48 2 C1 
409 16083.93777 24600 0 50 1 B2 
410 16085.33408 24600 4 48 3 C1 
411 16089.2749 24600 1 50 2 B2 
412 16099.81626 22200 3 49 2 C2 
413 16102.61552 29400 4 49 2 C2 
414 16103.58778 27000 2 50 3 B2 
415 16106.10863 24600 53 50 1 T 
416 16108.92116 24900 1 50 3 A1 
417 16110.62148 29400 5 49 1 C2 
418 16113.27116 26400 0 50 4 B2 
419 16113.28224 24300 3 49 1 C2 
420 16118.60449 28500 1 50 3 B2 
421 16118.62161 23100 4 49 1 C2 
422 16120.04139 25800 5 48 5 C1 
423 16121.2883 23100 5 49 1 C2 
424 16121.47783 28500 2 50 2 B2 
425 16123.81631 23100 3 49 1 C2 
426 16124.00578 24900 53 48 5 T 
427 16126.61547 22200 4 49 1 C2 
428 16130.62179 25800 3 48 1 C1 
429 16131.84548 22200 5 49 1 C2 
430 16131.92115 24900 0 50 4 B2 
431 16134.58782 24900 1 50 3 B2 
432 16136.00079 28500 4 48 4 C1 
433 16138.66764 24600 5 48 4 C1 
434 16139.92141 24900 2 50 3 B2 
435 16141.43641 28200 3 48 2 C1 
436 16142.77315 24000 0 50 4 B2 
437 16144.10317 24900 4 48 5 C1 
438 16145.27116 29700 1 50 3 B2 
439 16148.10648 24000 2 50 3 B2 
440 16164.22912 24900 53 50 4 T 
441 16171.84545 24900 3 49 2 C2 
442 16174.51204 24000 4 49 2 C2 
443 16179.95495 22200 5 49 2 C2 
444 16182.61543 29400 3 49 2 C2 
445 16185.17886 22200 4 49 2 C2 
446 16193.14961 22200 5 49 2 C2 
447 16206.63938 22200 3 49 1 C2 
448 16209.444 24900 0 50 3 B2 
449 16217.03061 29700 5 48 2 C1 
450 16220.00578 24600 53 50 2 T 
451 16228.85571 22200 4 49 1 C2 
452 16231.74647 29400 1 50 5 B2 
453 16250.51843 27300 5 49 2 C2 
454 16254.66868 23400 2 50 1 B2 
455 16272.45869 24600 3 49 2 C2 
456 16272.73414 24600 3 48 4 C1 
457 16281.35578 24600 53 50 5 T 
458 16292.62605 27000 0 50 2 B2 
459 16295.99187 29700 4 48 3 C1 
460 16377.98134 25200 53 50 1 T 
461 16382.85708 25200 53 50 1 T 
462 16387.95901 25200 53 48 2 T 
463 16393.29227 25200 53 48 2 T 
464 16398.38134 25200 53 48 3 T 
465 16403.25708 25200 53 48 3 T 
466 16408.35901 25200 53 48 4 T 
467 16413.69227 25200 53 48 4 T 
468 16418.78134 22200 53 48 1 T 
469 16422.08807 22200 53 49 2 T 
470 16422.92424 22200 53 49 1 T 
471 16423.65708 22200 53 48 1 T 
472 16425.92008 22200 53 49 2 T 
473 16427.20845 22200 53 49 2 T 
474 16428.75901 25200 53 50 5 T 
475 16431.2727 22200 53 48 1 T 
476 16432.50899 22200 53 49 1 T 
477 16434.09227 25200 53 50 5 T 
478 16437.5992 22200 53 49 1 T 
479 16442.48806 22200 53 49 1 T 
480 16447.60843 22200 53 49 1 T 
481 16473.52445 25200 53 50 1 T 
482 16486.68911 25200 53 48 4 T 
483 16526.89579 25200 53 50 5 T 
484 16529.11533 22200 53 49 2 T 
485 16534.67246 22200 53 49 1 T 
486 16579.3186 22200 53 49 1 T 
487 16588.3934 22200 53 48 1 T 
488 16592.42274 22200 53 49 1 T 
489 16595.31864 23400 53 50 1 T 
490 16597.98504 24900 53 50 3 T 
491 16599.21011 25200 53 48 2 T 
492 16605.98528 24600 53 50 1 T 
493 16608.65186 23400 53 50 2 T 
494 16641.28835 22200 4 49 2 C2 
495 16643.90127 22200 5 49 2 C2 
496 16644.98332 24000 1 49 1 B1 
497 16646.39276 22200 4 48 1 D1 
498 16647.58782 24000 1 50 4 B2 
499 16647.83528 24000 2 49 1 B1 
500 16649.0595 23400 5 48 2 D1 
501 16650.16034 25200 53 48 3 T 
502 16650.50199 29100 0 49 3 B1 
503 16651.72613 28500 3 48 4 D1 
504 16651.8453 22200 3 49 2 C2 
505 16653.44091 28800 5 48 5 C1 
506 16654.48296 27600 4 49 2 C2 
507 16657.05956 26700 4 48 3 D1 
508 16657.28825 28800 5 49 2 C2 
509 16658.24611 24000 2 50 4 B2 
510 16658.50194 30300 1 49 1 B1 
511 16658.63959 26700 3 48 3 C1 
512 16659.81628 27600 3 49 1 C2 
513 16660.99994 28200 2 49 2 B1 
514 16661.33421 29100 4 48 1 C1 
515 16662.39294 23100 5 49 1 D1 
516 16662.51207 24600 4 49 2 C2 
517 16664.10756 24900 5 48 1 C1 
518 16665.0063 26400 3 49 2 D1 
519 16665.43983 23400 0 50 1 B2 
520 16666.63976 26400 3 48 2 C1 
521 16667.92142 27900 1 50 5 B2 
522 16668.80392 23400 53 48 2 T 
523 16669.44081 28500 4 48 4 C1 
524 16670.39296 28200 4 49 2 D1 
525 16670.61545 26400 5 49 1 C2 
526 16670.81116 23400 2 50 1 B2 
527 16671.47064 24600 53 48 4 T 
528 16671.97288 22200 5 48 1 C1 
529 16673.14968 30000 3 49 2 C2 
530 16673.43983 23400 0 50 1 B2 
531 16674.76972 22200 3 48 1 C1 
532 16677.30622 22200 4 48 1 C1 
533 16678.45059 22200 5 49 1 D1 
534 16678.60448 29400 1 50 1 B2 
535 16680.10752 22200 5 48 1 C1 
536 16681.05965 22200 3 49 1 D1 
537 16681.27115 28500 2 50 3 B2 
538 16682.76991 22200 3 48 1 C1 
539 16684.14444 24600 0 50 5 B2 
540 16684.92118 28500 2 50 3 A1 
541 16685.44088 24900 4 48 5 C1 
542 16686.60824 29100 1 50 4 B2 
543 16689.47781 24600 2 50 2 B2 
544 16690.25449 24900 0 50 3 A1 
545 16693.68116 23400 1 50 2 A1 
546 16697.07542 23400 2 50 1 A1 
547 16699.84551 24300 4 49 1 C2 
548 16700.05422 28500 0 50 2 A1 
549 16702.62155 22200 5 49 1 C2 
550 16703.24916 26400 1 50 3 A1 
551 16705.28218 26400 3 49 2 C2 
552 16707.94876 24000 4 49 2 C2 
553 16710.48281 24300 5 49 1 C2 
554 16712.10317 24600 5 48 4 C1 
555 16713.1787 24000 3 49 2 C2 
556 16715.84546 22200 4 49 1 C2 
557 16721.14965 22200 5 49 2 C2 
558 16721.47783 25200 0 50 1 B2 
559 16722.76985 25200 3 48 2 C1 
560 16723.94887 24600 3 49 1 C2 
561 16724.14449 27600 1 50 4 B2 
562 16725.30636 24600 4 48 4 C1 
563 16727.49511 24000 2 50 3 B2 
564 16728.00074 24600 5 48 3 C1 
565 16730.66751 25200 3 48 3 C1 
566 16731.95494 30000 4 49 1 C2 
567 16732.14449 26700 0 50 5 B2 
568 16733.43643 23400 4 48 2 C1 
569 16734.77315 23400 1 50 2 B2 
570 16736.10753 23400 5 48 2 C1 
571 16737.43981 29100 2 50 2 B2 
572 16738.77424 23400 3 48 2 C1 
573 16740.10649 28800 0 50 4 B2 
574 16741.43661 25200 4 48 4 C1 
575 16742.58803 27000 1 50 3 B2 
576 16744.00075 27600 5 48 1 C1 
577 16747.92115 23400 2 50 2 B2 
578 16750.58781 29100 0 50 3 B2 
579 16753.1667 23100 5 49 1 C2 
580 16758.48302 26400 3 49 1 C2 
581 16761.14967 30300 4 49 1 C2 
582 16763.95493 22200 5 49 1 C2 
583 16766.61537 22200 3 49 1 C2 
584 16771.955 22200 4 49 1 C2 
585 16772.82849 27900 1 50 1 B2 
586 16774.61542 22200 5 49 1 C2 
587 16777.14962 22200 3 49 1 C2 
588 16779.92116 26400 2 50 2 B2 
589 16782.58783 25200 0 50 5 B2 
590 16785.25449 28800 1 50 1 B2 
591 16787.8454 22200 4 49 1 C2 
592 16788.80944 26400 2 50 3 B2 
593 16793.43983 24900 0 50 3 B2 
594 16796.14448 24900 1 50 3 B2 
595 16798.81115 24600 2 50 1 B2 
596 16800.64921 22200 5 49 2 C2 
597 16803.94154 26700 0 50 1 B2 
598 16806.60449 24900 1 50 3 B2 
599 16811.84541 24900 3 49 2 C2 
600 16814.60448 28500 2 50 2 B2 
601 16817.17873 28800 4 49 1 C2 
602 16825.1788 23100 5 49 1 C2 
603 16827.94878 28800 3 49 2 C2 
604 16831.29095 24900 0 50 4 B2 
605 16849.1083 26400 4 48 2 D1 
606 16851.81626 23100 4 49 1 C2 
607 16861.20137 24000 1 50 3 B2 
608 16864.68108 28800 2 50 5 B2 
609 16867.25102 26400 0 50 4 B2 
610 16878.77314 30300 1 50 4 B2 
611 16895.2297 26700 2 50 5 A1 
612 16900.21846 23400 2 50 2 B2 
613 16910.66897 22200 5 49 1 C2 
614 16929.08655 22200 5 49 2 D1 
615 16956.81716 24600 0 50 1 B2 
616 16977.33673 27600 3 49 1 C2 
617 16977.98134 25800 53 48 1 T 
618 16982.85708 25800 53 48 1 T 
619 16987.95901 25800 53 48 5 T 
620 16993.29227 25800 53 48 5 T 
621 16999.26016 23100 4 49 1 C2 
622 17022.30902 23100 53 49 1 T 
623 17027.39919 23100 53 49 1 T 
624 17036.25732 23100 53 49 1 T 
625 17073.52447 23100 53 49 1 T 
626 17076.02245 25800 53 48 5 T 
627 17134.85778 25800 53 48 1 T 
628 17179.3186 24000 53 49 2 T 
629 17181.98528 22200 53 49 1 T 
630 17184.65201 22200 53 49 2 T 
631 17187.31861 24300 53 49 1 T 
632 17197.98502 24000 53 50 3 T 
633 17200.65185 24900 53 50 3 T 
634 17208.652 24000 53 50 4 T 
635 17211.31859 24600 53 50 1 T 
636 17238.48292 23100 5 49 1 C2 
637 17239.91665 29100 0 49 3 B1 
638 17241.00613 27000 3 48 4 D1 
639 17245.20661 28200 1 49 2 B1 
640 17247.83527 24000 2 49 1 B1 
641 17248.00092 24600 3 48 3 C1 
642 17249.05946 24600 4 48 4 D1 
643 17249.14961 24300 3 49 1 C2 
644 17250.33333 24000 0 49 1 B1 
645 17251.67295 22200 5 48 1 D1 
646 17251.94887 23100 4 49 1 C2 
647 17252.80426 24000 53 49 1 T 
648 17254.39294 29100 3 49 3 D1 
649 17254.51199 24300 5 49 1 C2 
650 17255.58778 26400 1 50 4 B2 
651 17257.00619 23400 4 48 2 D1 
652 17257.28823 24300 3 49 1 C2 
653 17259.78402 22200 5 49 1 D1 
654 17259.81635 24000 4 49 2 C2 
655 17260.80949 31500 2 50 5 B2 
656 17261.16866 23400 1 50 2 B1 
657 17261.3342 24600 4 48 3 C1 
658 17262.33971 22200 3 49 1 D1 
659 17262.61543 24000 5 49 2 C2 
660 17263.97294 24600 5 48 4 C1 
661 17265.00634 24000 4 49 1 D1 
662 17265.14963 24000 3 49 2 C2 
663 17265.59152 23400 0 50 2 B2 
664 17266.53994 24000 2 49 1 B1 
665 17266.63956 29700 3 48 3 C1 
666 17267.94892 29400 4 49 1 C2 
667 17269.44079 24600 4 48 4 C1 
668 17270.60449 23400 1 50 2 B2 
669 17272.10769 24600 5 48 4 C1 
670 17273.17877 30900 5 49 2 C2 
